Year,Géographie,Type d'événement,Sexe,GeoCode,Value
2019,Territoires du Nord-Ouest,Accidental apparent opioid toxicity deaths,Femme,61,0.0
2019,Territoires du Nord-Ouest,Accidental apparent opioid toxicity deaths,Homme,61,0.0
2021,Territoires du Nord-Ouest,Accidental apparent opioid toxicity deaths,Femme,61,4.6
2021,Territoires du Nord-Ouest,Accidental apparent opioid toxicity deaths,Homme,61,13.1
2022,Territoires du Nord-Ouest,Accidental apparent opioid toxicity deaths,Femme,61,13.8
2022,Territoires du Nord-Ouest,Accidental apparent opioid toxicity deaths,Homme,61,17.5
2016,Nunavut,Accidental apparent opioid toxicity deaths,Femme,62,0.0
2016,Nunavut,Accidental apparent opioid toxicity deaths,Homme,62,0.0
2017,Nunavut,Accidental apparent opioid toxicity deaths,Femme,62,0.0
2017,Nunavut,Accidental apparent opioid toxicity deaths,Homme,62,0.0
2018,Nunavut,Accidental apparent opioid toxicity deaths,Femme,62,0.0
2018,Nunavut,Accidental apparent opioid toxicity deaths,Homme,62,0.0
2019,Nunavut,Accidental apparent opioid toxicity deaths,Femme,62,0.0
2019,Nunavut,Accidental apparent opioid toxicity deaths,Homme,62,0.0
2020,Nunavut,Accidental apparent opioid toxicity deaths,Femme,62,0.0
2020,Nunavut,Accidental apparent opioid toxicity deaths,Homme,62,0.0
2021,Nunavut,Accidental apparent opioid toxicity deaths,Femme,62,0.0
2021,Nunavut,Accidental apparent opioid toxicity deaths,Homme,62,0.0
2023,Nunavut,Accidental apparent opioid toxicity deaths,Femme,62,0.0
2023,Nunavut,Accidental apparent opioid toxicity deaths,Homme,62,0.0
