Year,Units,Géographie,Type d'événement,GeoCode,Value
2019,Taux par 100 000 personnes,Île-du-Prince-Édouard,Hospitalisations pour intoxication aux opioïdes,11,15.2
2019,Nombre,Île-du-Prince-Édouard,Hospitalisations pour intoxication aux opioïdes,11,24
2020,Taux par 100 000 personnes,Île-du-Prince-Édouard,Hospitalisations pour intoxication aux opioïdes,11,10.5
2020,Nombre,Île-du-Prince-Édouard,Hospitalisations pour intoxication aux opioïdes,11,17
2021,Taux par 100 000 personnes,Île-du-Prince-Édouard,Hospitalisations pour intoxication aux opioïdes,11,10.3
2021,Nombre,Île-du-Prince-Édouard,Hospitalisations pour intoxication aux opioïdes,11,17
2016,Taux par 100 000 personnes,Terre-Neuve-et-Labrador,Hospitalisations pour intoxication aux opioïdes,10,10.6
2016,Nombre,Terre-Neuve-et-Labrador,Hospitalisations pour intoxication aux opioïdes,10,56
2017,Taux par 100 000 personnes,Terre-Neuve-et-Labrador,Hospitalisations pour intoxication aux opioïdes,10,17
2017,Nombre,Terre-Neuve-et-Labrador,Hospitalisations pour intoxication aux opioïdes,10,90
2018,Taux par 100 000 personnes,Terre-Neuve-et-Labrador,Hospitalisations pour intoxication aux opioïdes,10,12.7
2018,Nombre,Terre-Neuve-et-Labrador,Hospitalisations pour intoxication aux opioïdes,10,67
2019,Taux par 100 000 personnes,Terre-Neuve-et-Labrador,Hospitalisations pour intoxication aux opioïdes,10,9.9
2019,Nombre,Terre-Neuve-et-Labrador,Hospitalisations pour intoxication aux opioïdes,10,52
2020,Taux par 100 000 personnes,Terre-Neuve-et-Labrador,Hospitalisations pour intoxication aux opioïdes,10,12.3
2020,Nombre,Terre-Neuve-et-Labrador,Hospitalisations pour intoxication aux opioïdes,10,64
2021,Taux par 100 000 personnes,Terre-Neuve-et-Labrador,Hospitalisations pour intoxication aux opioïdes,10,13.1
2021,Nombre,Terre-Neuve-et-Labrador,Hospitalisations pour intoxication aux opioïdes,10,68
2016,Taux par 100 000 personnes,Territoires,Hospitalisations pour intoxication aux opioïdes,,25.8
2016,Nombre,Territoires,Hospitalisations pour intoxication aux opioïdes,,31
2017,Taux par 100 000 personnes,Territoires,Hospitalisations pour intoxication aux opioïdes,,24.6
2017,Nombre,Territoires,Hospitalisations pour intoxication aux opioïdes,,30
2018,Taux par 100 000 personnes,Territoires,Hospitalisations pour intoxication aux opioïdes,,21
2018,Nombre,Territoires,Hospitalisations pour intoxication aux opioïdes,,26
2019,Taux par 100 000 personnes,Territoires,Hospitalisations pour intoxication aux opioïdes,,16.8
2019,Nombre,Territoires,Hospitalisations pour intoxication aux opioïdes,,21
2020,Taux par 100 000 personnes,Territoires,Hospitalisations pour intoxication aux opioïdes,,16.6
2020,Nombre,Territoires,Hospitalisations pour intoxication aux opioïdes,,21
2021,Taux par 100 000 personnes,Territoires,Hospitalisations pour intoxication aux opioïdes,,24.1
2021,Nombre,Territoires,Hospitalisations pour intoxication aux opioïdes,,31
2017,Nombre,Colombie-Britannique,Interventions des SMU pour surdoses suspectées d'être liées aux opioïdes,59,12961
2018,Nombre,Colombie-Britannique,Interventions des SMU pour surdoses suspectées d'être liées aux opioïdes,59,13365
2019,Nombre,Colombie-Britannique,Interventions des SMU pour surdoses suspectées d'être liées aux opioïdes,59,13486
2020,Nombre,Colombie-Britannique,Interventions des SMU pour surdoses suspectées d'être liées aux opioïdes,59,17011
2021,Nombre,Colombie-Britannique,Interventions des SMU pour surdoses suspectées d'être liées aux opioïdes,59,24158
2017,Nombre,Alberta,Interventions des SMU pour surdoses suspectées d'être liées aux opioïdes,48,2643
2018,Nombre,Alberta,Interventions des SMU pour surdoses suspectées d'être liées aux opioïdes,48,4206
2019,Nombre,Alberta,Interventions des SMU pour surdoses suspectées d'être liées aux opioïdes,48,3536
2020,Nombre,Alberta,Interventions des SMU pour surdoses suspectées d'être liées aux opioïdes,48,5188
2021,Nombre,Alberta,Interventions des SMU pour surdoses suspectées d'être liées aux opioïdes,48,8215
2018,Nombre,Saskatchewan,Interventions des SMU pour surdoses suspectées d'être liées aux opioïdes,47,196
2019,Nombre,Saskatchewan,Interventions des SMU pour surdoses suspectées d'être liées aux opioïdes,47,321
2020,Nombre,Saskatchewan,Interventions des SMU pour surdoses suspectées d'être liées aux opioïdes,47,640
2021,Nombre,Saskatchewan,Interventions des SMU pour surdoses suspectées d'être liées aux opioïdes,47,1015
2017,Nombre,Winnipeg Manitoba,Interventions des SMU pour surdoses suspectées d'être liées aux opioïdes,,1520
2018,Nombre,Winnipeg Manitoba,Interventions des SMU pour surdoses suspectées d'être liées aux opioïdes,,1095
2019,Nombre,Winnipeg Manitoba,Interventions des SMU pour surdoses suspectées d'être liées aux opioïdes,,1403
2020,Nombre,Winnipeg Manitoba,Interventions des SMU pour surdoses suspectées d'être liées aux opioïdes,,2684
2021,Nombre,Winnipeg Manitoba,Interventions des SMU pour surdoses suspectées d'être liées aux opioïdes,,2732
2017,Nombre,Régions rurales et du nord du Manitoba,Interventions des SMU pour surdoses suspectées d'être liées aux opioïdes,,32
2018,Nombre,Régions rurales et du nord du Manitoba,Interventions des SMU pour surdoses suspectées d'être liées aux opioïdes,,21
2019,Nombre,Régions rurales et du nord du Manitoba,Interventions des SMU pour surdoses suspectées d'être liées aux opioïdes,,21
2020,Nombre,Régions rurales et du nord du Manitoba,Interventions des SMU pour surdoses suspectées d'être liées aux opioïdes,,53
2021,Nombre,Régions rurales et du nord du Manitoba,Interventions des SMU pour surdoses suspectées d'être liées aux opioïdes,,63
2018,Nombre,Ontario,Interventions des SMU pour surdoses suspectées d'être liées aux opioïdes,35,1804
2019,Nombre,Ontario,Interventions des SMU pour surdoses suspectées d'être liées aux opioïdes,35,2629
2020,Nombre,Ontario,Interventions des SMU pour surdoses suspectées d'être liées aux opioïdes,35,3809
2021,Nombre,Ontario,Interventions des SMU pour surdoses suspectées d'être liées aux opioïdes,35,5008
2017,Nombre,Nouveau-Brunswick,Interventions des SMU pour surdoses suspectées d'être liées aux opioïdes,13,152
2018,Nombre,Nouveau-Brunswick,Interventions des SMU pour surdoses suspectées d'être liées aux opioïdes,13,110
2019,Nombre,Nouveau-Brunswick,Interventions des SMU pour surdoses suspectées d'être liées aux opioïdes,13,127
2020,Nombre,Nouveau-Brunswick,Interventions des SMU pour surdoses suspectées d'être liées aux opioïdes,13,125
2021,Nombre,Nouveau-Brunswick,Interventions des SMU pour surdoses suspectées d'être liées aux opioïdes,13,175
2018,Nombre,Nouvelle-Écosse,Interventions des SMU pour surdoses suspectées d'être liées aux opioïdes,12,111
2019,Nombre,Nouvelle-Écosse,Interventions des SMU pour surdoses suspectées d'être liées aux opioïdes,12,188
2020,Nombre,Nouvelle-Écosse,Interventions des SMU pour surdoses suspectées d'être liées aux opioïdes,12,182
2021,Nombre,Nouvelle-Écosse,Interventions des SMU pour surdoses suspectées d'être liées aux opioïdes,12,220
2017,Nombre,Terre-Neuve-et-Labrador,Interventions des SMU pour surdoses suspectées d'être liées aux opioïdes,10,46
2018,Nombre,Terre-Neuve-et-Labrador,Interventions des SMU pour surdoses suspectées d'être liées aux opioïdes,10,Suppr.
2017,Nombre,Whitehorse Yukon,Interventions des SMU pour surdoses suspectées d'être liées aux opioïdes,,59
2018,Nombre,Whitehorse Yukon,Interventions des SMU pour surdoses suspectées d'être liées aux opioïdes,,78
2019,Nombre,Whitehorse Yukon,Interventions des SMU pour surdoses suspectées d'être liées aux opioïdes,,48
2020,Nombre,Whitehorse Yukon,Interventions des SMU pour surdoses suspectées d'être liées aux opioïdes,,104
2021,Nombre,Whitehorse Yukon,Interventions des SMU pour surdoses suspectées d'être liées aux opioïdes,,133
2017,Nombre,Yellowknife Territoires du Nord-Ouest,Interventions des SMU pour surdoses suspectées d'être liées aux opioïdes,,Suppr.
2018,Nombre,Yellowknife Territoires du Nord-Ouest,Interventions des SMU pour surdoses suspectées d'être liées aux opioïdes,,Suppr.
2019,Nombre,Yellowknife Territoires du Nord-Ouest,Interventions des SMU pour surdoses suspectées d'être liées aux opioïdes,,Suppr.
2020,Nombre,Yellowknife Territoires du Nord-Ouest,Interventions des SMU pour surdoses suspectées d'être liées aux opioïdes,,6
2021,Nombre,Yellowknife Territoires du Nord-Ouest,Interventions des SMU pour surdoses suspectées d'être liées aux opioïdes,,Suppr.
2018,Taux par 100 000 personnes,Colombie-Britannique,Décès totaux apparemment liés à une intoxication aux stimulants,59,21.2
2018,Nombre,Colombie-Britannique,Décès totaux apparemment liés à une intoxication aux stimulants,59,1063
2019,Taux par 100 000 personnes,Colombie-Britannique,Décès totaux apparemment liés à une intoxication aux stimulants,59,9.5
2019,Nombre,Colombie-Britannique,Décès totaux apparemment liés à une intoxication aux stimulants,59,482
2020,Taux par 100 000 personnes,Colombie-Britannique,Décès totaux apparemment liés à une intoxication aux stimulants,59,15.9
2020,Nombre,Colombie-Britannique,Décès totaux apparemment liés à une intoxication aux stimulants,59,822
2021,Taux par 100 000 personnes,Colombie-Britannique,Décès totaux apparemment liés à une intoxication aux stimulants,59,10.9
2021,Nombre,Colombie-Britannique,Décès totaux apparemment liés à une intoxication aux stimulants,59,565
2018,Taux par 100 000 personnes,Saskatchewan,Décès totaux apparemment liés à une intoxication aux stimulants,47,7.2
2018,Nombre,Saskatchewan,Décès totaux apparemment liés à une intoxication aux stimulants,47,84
2019,Taux par 100 000 personnes,Saskatchewan,Décès totaux apparemment liés à une intoxication aux stimulants,47,8.1
2019,Nombre,Saskatchewan,Décès totaux apparemment liés à une intoxication aux stimulants,47,95
2020,Taux par 100 000 personnes,Saskatchewan,Décès totaux apparemment liés à une intoxication aux stimulants,47,15.6
2020,Nombre,Saskatchewan,Décès totaux apparemment liés à une intoxication aux stimulants,47,184
2021,Taux par 100 000 personnes,Saskatchewan,Décès totaux apparemment liés à une intoxication aux stimulants,47,22.7
2021,Nombre,Saskatchewan,Décès totaux apparemment liés à une intoxication aux stimulants,47,268
2018,Taux par 100 000 personnes,Manitoba,Décès totaux apparemment liés à une intoxication aux stimulants,46,
2018,Nombre,Manitoba,Décès totaux apparemment liés à une intoxication aux stimulants,46,
2019,Taux par 100 000 personnes,Manitoba,Décès totaux apparemment liés à une intoxication aux stimulants,46,5.9
2019,Nombre,Manitoba,Décès totaux apparemment liés à une intoxication aux stimulants,46,81
2020,Taux par 100 000 personnes,Manitoba,Décès totaux apparemment liés à une intoxication aux stimulants,46,18
2020,Nombre,Manitoba,Décès totaux apparemment liés à une intoxication aux stimulants,46,249
2021,Taux par 100 000 personnes,Manitoba,Décès totaux apparemment liés à une intoxication aux stimulants,46,19.4
2021,Nombre,Manitoba,Décès totaux apparemment liés à une intoxication aux stimulants,46,270
2018,Taux par 100 000 personnes,Ontario,Décès totaux apparemment liés à une intoxication aux stimulants,35,6.4
2018,Nombre,Ontario,Décès totaux apparemment liés à une intoxication aux stimulants,35,916
2019,Taux par 100 000 personnes,Ontario,Décès totaux apparemment liés à une intoxication aux stimulants,35,7
2019,Nombre,Ontario,Décès totaux apparemment liés à une intoxication aux stimulants,35,1025
2020,Taux par 100 000 personnes,Ontario,Décès totaux apparemment liés à une intoxication aux stimulants,35,11.7
2020,Nombre,Ontario,Décès totaux apparemment liés à une intoxication aux stimulants,35,1722
2021,Taux par 100 000 personnes,Ontario,Décès totaux apparemment liés à une intoxication aux stimulants,35,14
2021,Nombre,Ontario,Décès totaux apparemment liés à une intoxication aux stimulants,35,2067
2018,Taux par 100 000 personnes,Québec,Décès totaux apparemment liés à une intoxication aux stimulants,24,1.9
2018,Nombre,Québec,Décès totaux apparemment liés à une intoxication aux stimulants,24,163
2019,Taux par 100 000 personnes,Québec,Décès totaux apparemment liés à une intoxication aux stimulants,24,1.6
2019,Nombre,Québec,Décès totaux apparemment liés à une intoxication aux stimulants,24,139
2020,Taux par 100 000 personnes,Québec,Décès totaux apparemment liés à une intoxication aux stimulants,24,2.2
2020,Nombre,Québec,Décès totaux apparemment liés à une intoxication aux stimulants,24,192
2021,Taux par 100 000 personnes,Québec,Décès totaux apparemment liés à une intoxication aux stimulants,24,
2021,Nombre,Québec,Décès totaux apparemment liés à une intoxication aux stimulants,24,
2018,Taux par 100 000 personnes,Nouvelle-Écosse,Décès totaux apparemment liés à une intoxication aux stimulants,12,2.6
2018,Nombre,Nouvelle-Écosse,Décès totaux apparemment liés à une intoxication aux stimulants,12,25
2019,Taux par 100 000 personnes,Nouvelle-Écosse,Décès totaux apparemment liés à une intoxication aux stimulants,12,3
2019,Nombre,Nouvelle-Écosse,Décès totaux apparemment liés à une intoxication aux stimulants,12,29
2020,Taux par 100 000 personnes,Nouvelle-Écosse,Décès totaux apparemment liés à une intoxication aux stimulants,12,3.6
2020,Nombre,Nouvelle-Écosse,Décès totaux apparemment liés à une intoxication aux stimulants,12,35
2021,Taux par 100 000 personnes,Nouvelle-Écosse,Décès totaux apparemment liés à une intoxication aux stimulants,12,3.4
2021,Nombre,Nouvelle-Écosse,Décès totaux apparemment liés à une intoxication aux stimulants,12,34
2018,Taux par 100 000 personnes,Terre-Neuve-et-Labrador,Décès totaux apparemment liés à une intoxication aux stimulants,10,
2018,Nombre,Terre-Neuve-et-Labrador,Décès totaux apparemment liés à une intoxication aux stimulants,10,
2019,Taux par 100 000 personnes,Terre-Neuve-et-Labrador,Décès totaux apparemment liés à une intoxication aux stimulants,10,
2019,Nombre,Terre-Neuve-et-Labrador,Décès totaux apparemment liés à une intoxication aux stimulants,10,
2020,Taux par 100 000 personnes,Terre-Neuve-et-Labrador,Décès totaux apparemment liés à une intoxication aux stimulants,10,1.9
2020,Nombre,Terre-Neuve-et-Labrador,Décès totaux apparemment liés à une intoxication aux stimulants,10,10
2021,Taux par 100 000 personnes,Terre-Neuve-et-Labrador,Décès totaux apparemment liés à une intoxication aux stimulants,10,3.1
2021,Nombre,Terre-Neuve-et-Labrador,Décès totaux apparemment liés à une intoxication aux stimulants,10,16
2018,Taux par 100 000 personnes,Yukon,Décès totaux apparemment liés à une intoxication aux stimulants,60,
2018,Nombre,Yukon,Décès totaux apparemment liés à une intoxication aux stimulants,60,
2019,Taux par 100 000 personnes,Yukon,Décès totaux apparemment liés à une intoxication aux stimulants,60,
2019,Nombre,Yukon,Décès totaux apparemment liés à une intoxication aux stimulants,60,
2020,Taux par 100 000 personnes,Yukon,Décès totaux apparemment liés à une intoxication aux stimulants,60,
2020,Nombre,Yukon,Décès totaux apparemment liés à une intoxication aux stimulants,60,
2021,Taux par 100 000 personnes,Yukon,Décès totaux apparemment liés à une intoxication aux stimulants,60,13.9
2021,Nombre,Yukon,Décès totaux apparemment liés à une intoxication aux stimulants,60,6
2018,Taux par 100 000 personnes,Territoires du Nord-Ouest,Décès totaux apparemment liés à une intoxication aux stimulants,61,
2018,Nombre,Territoires du Nord-Ouest,Décès totaux apparemment liés à une intoxication aux stimulants,61,
2019,Taux par 100 000 personnes,Territoires du Nord-Ouest,Décès totaux apparemment liés à une intoxication aux stimulants,61,
2019,Nombre,Territoires du Nord-Ouest,Décès totaux apparemment liés à une intoxication aux stimulants,61,
2020,Taux par 100 000 personnes,Territoires du Nord-Ouest,Décès totaux apparemment liés à une intoxication aux stimulants,61,6.6
2020,Nombre,Territoires du Nord-Ouest,Décès totaux apparemment liés à une intoxication aux stimulants,61,3
2021,Taux par 100 000 personnes,Territoires du Nord-Ouest,Décès totaux apparemment liés à une intoxication aux stimulants,61,6.6
2021,Nombre,Territoires du Nord-Ouest,Décès totaux apparemment liés à une intoxication aux stimulants,61,3
2016,Taux par 100 000 personnes,Canada,Hospitalisations pour intoxication aux stimulants,,6.8
2016,Nombre,Canada,Hospitalisations pour intoxication aux stimulants,,1885
2017,Taux par 100 000 personnes,Canada,Hospitalisations pour intoxication aux stimulants,,7.9
2017,Nombre,Canada,Hospitalisations pour intoxication aux stimulants,,2235
2018,Taux par 100 000 personnes,Canada,Hospitalisations pour intoxication aux stimulants,,8.3
2018,Nombre,Canada,Hospitalisations pour intoxication aux stimulants,,2373
2019,Taux par 100 000 personnes,Canada,Hospitalisations pour intoxication aux stimulants,,7.5
2019,Nombre,Canada,Hospitalisations pour intoxication aux stimulants,,2179
2020,Taux par 100 000 personnes,Canada,Hospitalisations pour intoxication aux stimulants,,8.5
2020,Nombre,Canada,Hospitalisations pour intoxication aux stimulants,,2516
2021,Taux par 100 000 personnes,Canada,Hospitalisations pour intoxication aux stimulants,,8.2
2021,Nombre,Canada,Hospitalisations pour intoxication aux stimulants,,2422
2016,Taux par 100 000 personnes,Colombie-Britannique,Hospitalisations pour intoxication aux stimulants,59,9.9
2016,Nombre,Colombie-Britannique,Hospitalisations pour intoxication aux stimulants,59,480
2017,Taux par 100 000 personnes,Colombie-Britannique,Hospitalisations pour intoxication aux stimulants,59,11.8
2017,Nombre,Colombie-Britannique,Hospitalisations pour intoxication aux stimulants,59,583
2018,Taux par 100 000 personnes,Colombie-Britannique,Hospitalisations pour intoxication aux stimulants,59,10.9
2018,Nombre,Colombie-Britannique,Hospitalisations pour intoxication aux stimulants,59,548
2019,Taux par 100 000 personnes,Colombie-Britannique,Hospitalisations pour intoxication aux stimulants,59,10.3
2019,Nombre,Colombie-Britannique,Hospitalisations pour intoxication aux stimulants,59,524
2020,Taux par 100 000 personnes,Colombie-Britannique,Hospitalisations pour intoxication aux stimulants,59,11.7
2020,Nombre,Colombie-Britannique,Hospitalisations pour intoxication aux stimulants,59,606
2021,Taux par 100 000 personnes,Colombie-Britannique,Hospitalisations pour intoxication aux stimulants,59,12.7
2021,Nombre,Colombie-Britannique,Hospitalisations pour intoxication aux stimulants,59,663
2016,Taux par 100 000 personnes,Alberta,Hospitalisations pour intoxication aux stimulants,48,8.8
2016,Nombre,Alberta,Hospitalisations pour intoxication aux stimulants,48,370
2017,Taux par 100 000 personnes,Alberta,Hospitalisations pour intoxication aux stimulants,48,9.5
2017,Nombre,Alberta,Hospitalisations pour intoxication aux stimulants,48,401
2018,Taux par 100 000 personnes,Alberta,Hospitalisations pour intoxication aux stimulants,48,9.3
2018,Nombre,Alberta,Hospitalisations pour intoxication aux stimulants,48,399
2019,Taux par 100 000 personnes,Alberta,Hospitalisations pour intoxication aux stimulants,48,7.4
2019,Nombre,Alberta,Hospitalisations pour intoxication aux stimulants,48,321
2020,Taux par 100 000 personnes,Alberta,Hospitalisations pour intoxication aux stimulants,48,9.6
2020,Nombre,Alberta,Hospitalisations pour intoxication aux stimulants,48,425
2021,Taux par 100 000 personnes,Alberta,Hospitalisations pour intoxication aux stimulants,48,9
2021,Nombre,Alberta,Hospitalisations pour intoxication aux stimulants,48,402
2016,Taux par 100 000 personnes,Saskatchewan,Hospitalisations pour intoxication aux stimulants,47,10.6
2016,Nombre,Saskatchewan,Hospitalisations pour intoxication aux stimulants,47,120
2017,Taux par 100 000 personnes,Saskatchewan,Hospitalisations pour intoxication aux stimulants,47,9.4
2017,Nombre,Saskatchewan,Hospitalisations pour intoxication aux stimulants,47,108
2018,Taux par 100 000 personnes,Saskatchewan,Hospitalisations pour intoxication aux stimulants,47,10.8
2018,Nombre,Saskatchewan,Hospitalisations pour intoxication aux stimulants,47,126
2019,Taux par 100 000 personnes,Saskatchewan,Hospitalisations pour intoxication aux stimulants,47,13.6
2019,Nombre,Saskatchewan,Hospitalisations pour intoxication aux stimulants,47,159
2020,Taux par 100 000 personnes,Saskatchewan,Hospitalisations pour intoxication aux stimulants,47,12.1
2020,Nombre,Saskatchewan,Hospitalisations pour intoxication aux stimulants,47,143
2021,Taux par 100 000 personnes,Saskatchewan,Hospitalisations pour intoxication aux stimulants,47,13.7
2021,Nombre,Saskatchewan,Hospitalisations pour intoxication aux stimulants,47,162
2016,Taux par 100 000 personnes,Manitoba,Hospitalisations pour intoxication aux stimulants,46,5
2016,Nombre,Manitoba,Hospitalisations pour intoxication aux stimulants,46,66
2017,Taux par 100 000 personnes,Manitoba,Hospitalisations pour intoxication aux stimulants,46,6.1
2017,Nombre,Manitoba,Hospitalisations pour intoxication aux stimulants,46,82
2018,Taux par 100 000 personnes,Manitoba,Hospitalisations pour intoxication aux stimulants,46,4.7
2018,Nombre,Manitoba,Hospitalisations pour intoxication aux stimulants,46,64
2019,Taux par 100 000 personnes,Manitoba,Hospitalisations pour intoxication aux stimulants,46,4.2
2019,Nombre,Manitoba,Hospitalisations pour intoxication aux stimulants,46,58
2020,Taux par 100 000 personnes,Manitoba,Hospitalisations pour intoxication aux stimulants,46,4.1
2020,Nombre,Manitoba,Hospitalisations pour intoxication aux stimulants,46,56
2021,Taux par 100 000 personnes,Manitoba,Hospitalisations pour intoxication aux stimulants,46,3.9
2021,Nombre,Manitoba,Hospitalisations pour intoxication aux stimulants,46,54
2016,Taux par 100 000 personnes,Ontario,Hospitalisations pour intoxication aux stimulants,35,5.2
2016,Nombre,Ontario,Hospitalisations pour intoxication aux stimulants,35,722
2017,Taux par 100 000 personnes,Ontario,Hospitalisations pour intoxication aux stimulants,35,6.5
2017,Nombre,Ontario,Hospitalisations pour intoxication aux stimulants,35,916
2018,Taux par 100 000 personnes,Ontario,Hospitalisations pour intoxication aux stimulants,35,7.7
2018,Nombre,Ontario,Hospitalisations pour intoxication aux stimulants,35,1107
2019,Taux par 100 000 personnes,Ontario,Hospitalisations pour intoxication aux stimulants,35,6.7
2019,Nombre,Ontario,Hospitalisations pour intoxication aux stimulants,35,975
2020,Taux par 100 000 personnes,Ontario,Hospitalisations pour intoxication aux stimulants,35,7.5
2020,Nombre,Ontario,Hospitalisations pour intoxication aux stimulants,35,1111
2021,Taux par 100 000 personnes,Ontario,Hospitalisations pour intoxication aux stimulants,35,6.8
2021,Nombre,Ontario,Hospitalisations pour intoxication aux stimulants,35,1002
2016,Taux par 100 000 personnes,Québec,Hospitalisations pour intoxication aux stimulants,24,
2016,Nombre,Québec,Hospitalisations pour intoxication aux stimulants,24,
2017,Taux par 100 000 personnes,Québec,Hospitalisations pour intoxication aux stimulants,24,
2017,Nombre,Québec,Hospitalisations pour intoxication aux stimulants,24,
2018,Taux par 100 000 personnes,Québec,Hospitalisations pour intoxication aux stimulants,24,
2018,Nombre,Québec,Hospitalisations pour intoxication aux stimulants,24,
2019,Taux par 100 000 personnes,Québec,Hospitalisations pour intoxication aux stimulants,24,
2019,Nombre,Québec,Hospitalisations pour intoxication aux stimulants,24,
2020,Taux par 100 000 personnes,Québec,Hospitalisations pour intoxication aux stimulants,24,
2020,Nombre,Québec,Hospitalisations pour intoxication aux stimulants,24,
2021,Taux par 100 000 personnes,Québec,Hospitalisations pour intoxication aux stimulants,24,
2021,Nombre,Québec,Hospitalisations pour intoxication aux stimulants,24,
2016,Taux par 100 000 personnes,Nouveau-Brunswick,Hospitalisations pour intoxication aux stimulants,13,6.7
2016,Nombre,Nouveau-Brunswick,Hospitalisations pour intoxication aux stimulants,13,51
2017,Taux par 100 000 personnes,Nouveau-Brunswick,Hospitalisations pour intoxication aux stimulants,13,7
2017,Nombre,Nouveau-Brunswick,Hospitalisations pour intoxication aux stimulants,13,54
2018,Taux par 100 000 personnes,Nouveau-Brunswick,Hospitalisations pour intoxication aux stimulants,13,6.9
2018,Nombre,Nouveau-Brunswick,Hospitalisations pour intoxication aux stimulants,13,53
2019,Taux par 100 000 personnes,Nouveau-Brunswick,Hospitalisations pour intoxication aux stimulants,13,7.2
2019,Nombre,Nouveau-Brunswick,Hospitalisations pour intoxication aux stimulants,13,56
2020,Taux par 100 000 personnes,Nouveau-Brunswick,Hospitalisations pour intoxication aux stimulants,13,7.5
2020,Nombre,Nouveau-Brunswick,Hospitalisations pour intoxication aux stimulants,13,59
2021,Taux par 100 000 personnes,Nouveau-Brunswick,Hospitalisations pour intoxication aux stimulants,13,7.6
2021,Nombre,Nouveau-Brunswick,Hospitalisations pour intoxication aux stimulants,13,60
2016,Taux par 100 000 personnes,Nouvelle-Écosse,Hospitalisations pour intoxication aux stimulants,12,3.4
2016,Nombre,Nouvelle-Écosse,Hospitalisations pour intoxication aux stimulants,12,32
2017,Taux par 100 000 personnes,Nouvelle-Écosse,Hospitalisations pour intoxication aux stimulants,12,3.9
2017,Nombre,Nouvelle-Écosse,Hospitalisations pour intoxication aux stimulants,12,37
2018,Taux par 100 000 personnes,Nouvelle-Écosse,Hospitalisations pour intoxication aux stimulants,12,2.8
2018,Nombre,Nouvelle-Écosse,Hospitalisations pour intoxication aux stimulants,12,27
2019,Taux par 100 000 personnes,Nouvelle-Écosse,Hospitalisations pour intoxication aux stimulants,12,3.3
2019,Nombre,Nouvelle-Écosse,Hospitalisations pour intoxication aux stimulants,12,32
2020,Taux par 100 000 personnes,Nouvelle-Écosse,Hospitalisations pour intoxication aux stimulants,12,4.7
2020,Nombre,Nouvelle-Écosse,Hospitalisations pour intoxication aux stimulants,12,46
2021,Taux par 100 000 personnes,Nouvelle-Écosse,Hospitalisations pour intoxication aux stimulants,12,3.4
2021,Nombre,Nouvelle-Écosse,Hospitalisations pour intoxication aux stimulants,12,34
2016,Taux par 100 000 personnes,Île-du-Prince-Édouard,Hospitalisations pour intoxication aux stimulants,11,3.4
2016,Nombre,Île-du-Prince-Édouard,Hospitalisations pour intoxication aux stimulants,11,5
2017,Taux par 100 000 personnes,Île-du-Prince-Édouard,Hospitalisations pour intoxication aux stimulants,11,6
2017,Nombre,Île-du-Prince-Édouard,Hospitalisations pour intoxication aux stimulants,11,9
2018,Taux par 100 000 personnes,Île-du-Prince-Édouard,Hospitalisations pour intoxication aux stimulants,11,3.9
2018,Nombre,Île-du-Prince-Édouard,Hospitalisations pour intoxication aux stimulants,11,6
2019,Taux par 100 000 personnes,Île-du-Prince-Édouard,Hospitalisations pour intoxication aux stimulants,11,3.8
2019,Nombre,Île-du-Prince-Édouard,Hospitalisations pour intoxication aux stimulants,11,6
2020,Taux par 100 000 personnes,Île-du-Prince-Édouard,Hospitalisations pour intoxication aux stimulants,11,4.3
2020,Nombre,Île-du-Prince-Édouard,Hospitalisations pour intoxication aux stimulants,11,7
2021,Taux par 100 000 personnes,Île-du-Prince-Édouard,Hospitalisations pour intoxication aux stimulants,11,Suppr.
2021,Nombre,Île-du-Prince-Édouard,Hospitalisations pour intoxication aux stimulants,11,Suppr.
2016,Taux par 100 000 personnes,Terre-Neuve-et-Labrador,Hospitalisations pour intoxication aux stimulants,10,5.3
2016,Nombre,Terre-Neuve-et-Labrador,Hospitalisations pour intoxication aux stimulants,10,28
2017,Taux par 100 000 personnes,Terre-Neuve-et-Labrador,Hospitalisations pour intoxication aux stimulants,10,6.2
2017,Nombre,Terre-Neuve-et-Labrador,Hospitalisations pour intoxication aux stimulants,10,33
2018,Taux par 100 000 personnes,Terre-Neuve-et-Labrador,Hospitalisations pour intoxication aux stimulants,10,5.9
2018,Nombre,Terre-Neuve-et-Labrador,Hospitalisations pour intoxication aux stimulants,10,31
2019,Taux par 100 000 personnes,Terre-Neuve-et-Labrador,Hospitalisations pour intoxication aux stimulants,10,6.9
2019,Nombre,Terre-Neuve-et-Labrador,Hospitalisations pour intoxication aux stimulants,10,36
2020,Taux par 100 000 personnes,Terre-Neuve-et-Labrador,Hospitalisations pour intoxication aux stimulants,10,8.2
2020,Nombre,Terre-Neuve-et-Labrador,Hospitalisations pour intoxication aux stimulants,10,43
2021,Taux par 100 000 personnes,Terre-Neuve-et-Labrador,Hospitalisations pour intoxication aux stimulants,10,6.1
2021,Nombre,Terre-Neuve-et-Labrador,Hospitalisations pour intoxication aux stimulants,10,32
2016,Taux par 100 000 personnes,Territoires,Hospitalisations pour intoxication aux stimulants,,9.2
2016,Nombre,Territoires,Hospitalisations pour intoxication aux stimulants,,11
2017,Taux par 100 000 personnes,Territoires,Hospitalisations pour intoxication aux stimulants,,9.8
2017,Nombre,Territoires,Hospitalisations pour intoxication aux stimulants,,12
