Year,Units,Geography,Fuel type,Demand characteristics,Value
2015,Terajoules,Prince Edward Island,Steam,Energy use - final demand,0
2016,Terajoules,Prince Edward Island,Steam,Energy use - final demand,0
2017,Terajoules,Prince Edward Island,Steam,Energy use - final demand,0
2018,Terajoules,Prince Edward Island,Steam,Energy use - final demand,0
2019,Terajoules,Prince Edward Island,Steam,Energy use - final demand,0
2015,Terajoules,Prince Edward Island,Steam,Public administration,0
2016,Terajoules,Prince Edward Island,Steam,Public administration,0
2017,Terajoules,Prince Edward Island,Steam,Public administration,0
2018,Terajoules,Prince Edward Island,Steam,Public administration,0
2019,Terajoules,Prince Edward Island,Steam,Public administration,0
2015,Terajoules,Prince Edward Island,Steam,Commercial and other institutional,0
2016,Terajoules,Prince Edward Island,Steam,Commercial and other institutional,0
2017,Terajoules,Prince Edward Island,Steam,Commercial and other institutional,0
2018,Terajoules,Prince Edward Island,Steam,Commercial and other institutional,0
2019,Terajoules,Prince Edward Island,Steam,Commercial and other institutional,0
2015,Terajoules,Prince Edward Island,Total refined petroleum products,Energy use - final demand,16016
2016,Terajoules,Prince Edward Island,Total refined petroleum products,Energy use - final demand,16711
2017,Terajoules,Prince Edward Island,Total refined petroleum products,Energy use - final demand,16755
2018,Terajoules,Prince Edward Island,Total refined petroleum products,Energy use - final demand,16651
2019,Terajoules,Prince Edward Island,Total refined petroleum products,Energy use - final demand,16800
2015,Terajoules,Prince Edward Island,Total refined petroleum products,Total industrial,458
2016,Terajoules,Prince Edward Island,Total refined petroleum products,Total industrial,508
2017,Terajoules,Prince Edward Island,Total refined petroleum products,Total industrial,616
2018,Terajoules,Prince Edward Island,Total refined petroleum products,Total industrial,707
2019,Terajoules,Prince Edward Island,Total refined petroleum products,Total industrial,756
2015,Terajoules,Prince Edward Island,Total refined petroleum products,Total transportation,10844
2016,Terajoules,Prince Edward Island,Total refined petroleum products,Total transportation,11657
2017,Terajoules,Prince Edward Island,Total refined petroleum products,Total transportation,11535
2018,Terajoules,Prince Edward Island,Total refined petroleum products,Total transportation,11428
2019,Terajoules,Prince Edward Island,Total refined petroleum products,Total transportation,11428
2015,Terajoules,Prince Edward Island,Total refined petroleum products,Agriculture,831
2016,Terajoules,Prince Edward Island,Total refined petroleum products,Agriculture,951
2017,Terajoules,Prince Edward Island,Total refined petroleum products,Agriculture,921
2018,Terajoules,Prince Edward Island,Total refined petroleum products,Agriculture,987
2019,Terajoules,Prince Edward Island,Total refined petroleum products,Agriculture,1005
2015,Terajoules,Prince Edward Island,Total refined petroleum products,Residential,2777
2016,Terajoules,Prince Edward Island,Total refined petroleum products,Residential,2810
2017,Terajoules,Prince Edward Island,Total refined petroleum products,Residential,2852
2018,Terajoules,Prince Edward Island,Total refined petroleum products,Residential,2659
2019,Terajoules,Prince Edward Island,Total refined petroleum products,Residential,2775
2015,Terajoules,Prince Edward Island,Total refined petroleum products,Public administration,432
2016,Terajoules,Prince Edward Island,Total refined petroleum products,Public administration,513
2017,Terajoules,Prince Edward Island,Total refined petroleum products,Public administration,469
2018,Terajoules,Prince Edward Island,Total refined petroleum products,Public administration,512
2019,Terajoules,Prince Edward Island,Total refined petroleum products,Public administration,527
2015,Terajoules,Prince Edward Island,Total refined petroleum products,Commercial and other institutional,675
2016,Terajoules,Prince Edward Island,Total refined petroleum products,Commercial and other institutional,271
2017,Terajoules,Prince Edward Island,Total refined petroleum products,Commercial and other institutional,361
2018,Terajoules,Prince Edward Island,Total refined petroleum products,Commercial and other institutional,358
2019,Terajoules,Prince Edward Island,Total refined petroleum products,Commercial and other institutional,309
2015,Terajoules,Nova Scotia,Total primary and secondary energy,Energy use - final demand,148010
2016,Terajoules,Nova Scotia,Total primary and secondary energy,Energy use - final demand,143913
2017,Terajoules,Nova Scotia,Total primary and secondary energy,Energy use - final demand,150234
2018,Terajoules,Nova Scotia,Total primary and secondary energy,Energy use - final demand,155770
2019,Terajoules,Nova Scotia,Total primary and secondary energy,Energy use - final demand,152926
2015,Terajoules,Nova Scotia,Total primary and secondary energy,Total industrial,17614
2016,Terajoules,Nova Scotia,Total primary and secondary energy,Total industrial,17461
2017,Terajoules,Nova Scotia,Total primary and secondary energy,Total industrial,19207
2018,Terajoules,Nova Scotia,Total primary and secondary energy,Total industrial,21061
2019,Terajoules,Nova Scotia,Total primary and secondary energy,Total industrial,19257
2015,Terajoules,Nova Scotia,Total primary and secondary energy,Total transportation,68077
2016,Terajoules,Nova Scotia,Total primary and secondary energy,Total transportation,67639
2017,Terajoules,Nova Scotia,Total primary and secondary energy,Total transportation,69581
2018,Terajoules,Nova Scotia,Total primary and secondary energy,Total transportation,72167
2019,Terajoules,Nova Scotia,Total primary and secondary energy,Total transportation,70819
2015,Terajoules,Nova Scotia,Total primary and secondary energy,Agriculture,1685
2016,Terajoules,Nova Scotia,Total primary and secondary energy,Agriculture,1669
2017,Terajoules,Nova Scotia,Total primary and secondary energy,Agriculture,2295
2018,Terajoules,Nova Scotia,Total primary and secondary energy,Agriculture,2341
2019,Terajoules,Nova Scotia,Total primary and secondary energy,Agriculture,1961
2015,Terajoules,Nova Scotia,Total primary and secondary energy,Residential,33670
2016,Terajoules,Nova Scotia,Total primary and secondary energy,Residential,30424
2017,Terajoules,Nova Scotia,Total primary and secondary energy,Residential,31515
2018,Terajoules,Nova Scotia,Total primary and secondary energy,Residential,33267
2019,Terajoules,Nova Scotia,Total primary and secondary energy,Residential,33567
2015,Terajoules,Nova Scotia,Total primary and secondary energy,Public administration,7214
2016,Terajoules,Nova Scotia,Total primary and secondary energy,Public administration,7550
2017,Terajoules,Nova Scotia,Total primary and secondary energy,Public administration,7878
2018,Terajoules,Nova Scotia,Total primary and secondary energy,Public administration,7408
2019,Terajoules,Nova Scotia,Total primary and secondary energy,Public administration,7443
2015,Terajoules,Nova Scotia,Total primary and secondary energy,Commercial and other institutional,19754
2016,Terajoules,Nova Scotia,Total primary and secondary energy,Commercial and other institutional,19170
2017,Terajoules,Nova Scotia,Total primary and secondary energy,Commercial and other institutional,19515
2018,Terajoules,Nova Scotia,Total primary and secondary energy,Commercial and other institutional,19526
2019,Terajoules,Nova Scotia,Total primary and secondary energy,Commercial and other institutional,19879
2015,Terajoules,Nova Scotia,Total coal,Energy use - final demand,
2016,Terajoules,Nova Scotia,Total coal,Energy use - final demand,
2017,Terajoules,Nova Scotia,Total coal,Energy use - final demand,
2018,Terajoules,Nova Scotia,Total coal,Energy use - final demand,454
2019,Terajoules,Nova Scotia,Total coal,Energy use - final demand,478
2015,Terajoules,Nova Scotia,Total coal,Total industrial,
2016,Terajoules,Nova Scotia,Total coal,Total industrial,
2017,Terajoules,Nova Scotia,Total coal,Total industrial,
2018,Terajoules,Nova Scotia,Total coal,Total industrial,454
2019,Terajoules,Nova Scotia,Total coal,Total industrial,478
2015,Terajoules,Nova Scotia,Natural gas,Energy use - final demand,
2016,Terajoules,Nova Scotia,Natural gas,Energy use - final demand,
2017,Terajoules,Nova Scotia,Natural gas,Energy use - final demand,
2018,Terajoules,Nova Scotia,Natural gas,Energy use - final demand,10744
2019,Terajoules,Nova Scotia,Natural gas,Energy use - final demand,10847
2015,Terajoules,Nova Scotia,Natural gas,Total industrial,
2016,Terajoules,Nova Scotia,Natural gas,Total industrial,
2017,Terajoules,Nova Scotia,Natural gas,Total industrial,
2018,Terajoules,Nova Scotia,Natural gas,Total industrial,2918
2019,Terajoules,Nova Scotia,Natural gas,Total industrial,2582
2015,Terajoules,Nova Scotia,Natural gas,Total transportation,
2016,Terajoules,Nova Scotia,Natural gas,Total transportation,
2017,Terajoules,Nova Scotia,Natural gas,Total transportation,
2018,Terajoules,Nova Scotia,Natural gas,Total transportation,329
2019,Terajoules,Nova Scotia,Natural gas,Total transportation,357
2015,Terajoules,Nova Scotia,Natural gas,Residential,250
2016,Terajoules,Nova Scotia,Natural gas,Residential,238
2017,Terajoules,Nova Scotia,Natural gas,Residential,259
2018,Terajoules,Nova Scotia,Natural gas,Residential,304
2019,Terajoules,Nova Scotia,Natural gas,Residential,333
2015,Terajoules,Nova Scotia,Natural gas,Public administration,1767
2016,Terajoules,Nova Scotia,Natural gas,Public administration,2143
2017,Terajoules,Nova Scotia,Natural gas,Public administration,2705
2018,Terajoules,Nova Scotia,Natural gas,Public administration,2879
2019,Terajoules,Nova Scotia,Natural gas,Public administration,3032
2015,Terajoules,Nova Scotia,Natural gas,Commercial and other institutional,2647
2016,Terajoules,Nova Scotia,Natural gas,Commercial and other institutional,3211
2017,Terajoules,Nova Scotia,Natural gas,Commercial and other institutional,4378
2018,Terajoules,Nova Scotia,Natural gas,Commercial and other institutional,4313
2019,Terajoules,Nova Scotia,Natural gas,Commercial and other institutional,4543
2015,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Energy use - final demand,2367
2016,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Energy use - final demand,2337
2017,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Energy use - final demand,2436
2018,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Energy use - final demand,2856
2019,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Energy use - final demand,2753
2015,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Total industrial,484
2016,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Total industrial,677
2017,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Total industrial,649
2018,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Total industrial,2563
2019,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Total industrial,2514
2015,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Total transportation,46
2016,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Total transportation,40
2017,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Total transportation,32
2018,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Total transportation,6
2019,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Total transportation,5
2015,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Agriculture,39
2016,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Agriculture,33
2017,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Agriculture,32
2018,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Agriculture,6
2019,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Agriculture,5
2015,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Residential,561
2016,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Residential,494
2017,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Residential,457
2018,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Residential,87
2019,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Residential,71
2015,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Public administration,
2016,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Public administration,
2015,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Commercial and other institutional,1243
2016,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Commercial and other institutional,1093
2017,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Commercial and other institutional,1024
2018,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Commercial and other institutional,195
2019,Terajoules,Nova Scotia,Gas plant natural gas liquids (NGL's),Commercial and other institutional,159
2015,Terajoules,Nova Scotia,Hydroelectricity,Energy use - final demand,36073
2016,Terajoules,Nova Scotia,Hydroelectricity,Energy use - final demand,36987
2017,Terajoules,Nova Scotia,Hydroelectricity,Energy use - final demand,37885
2018,Terajoules,Nova Scotia,Hydroelectricity,Energy use - final demand,38896
2019,Terajoules,Nova Scotia,Hydroelectricity,Energy use - final demand,38140
2015,Terajoules,Nova Scotia,Hydroelectricity,Total industrial,8005
2016,Terajoules,Nova Scotia,Hydroelectricity,Total industrial,
2017,Terajoules,Nova Scotia,Hydroelectricity,Total industrial,8988
2018,Terajoules,Nova Scotia,Hydroelectricity,Total industrial,8977
2019,Terajoules,Nova Scotia,Hydroelectricity,Total industrial,7895
2015,Terajoules,Nova Scotia,Hydroelectricity,Total transportation,0
2016,Terajoules,Nova Scotia,Hydroelectricity,Total transportation,0
2017,Terajoules,Nova Scotia,Hydroelectricity,Total transportation,0
2018,Terajoules,Nova Scotia,Hydroelectricity,Total transportation,0
2019,Terajoules,Nova Scotia,Hydroelectricity,Total transportation,0
2015,Terajoules,Nova Scotia,Hydroelectricity,Agriculture,232
2016,Terajoules,Nova Scotia,Hydroelectricity,Agriculture,241
2017,Terajoules,Nova Scotia,Hydroelectricity,Agriculture,251
2018,Terajoules,Nova Scotia,Hydroelectricity,Agriculture,262
2019,Terajoules,Nova Scotia,Hydroelectricity,Agriculture,263
2015,Terajoules,Nova Scotia,Hydroelectricity,Residential,15831
2016,Terajoules,Nova Scotia,Hydroelectricity,Residential,15867
2017,Terajoules,Nova Scotia,Hydroelectricity,Residential,16414
2018,Terajoules,Nova Scotia,Hydroelectricity,Residential,16920
2019,Terajoules,Nova Scotia,Hydroelectricity,Residential,17069
2015,Terajoules,Nova Scotia,Hydroelectricity,Public administration,393
2016,Terajoules,Nova Scotia,Hydroelectricity,Public administration,438
2017,Terajoules,Nova Scotia,Hydroelectricity,Public administration,368
2018,Terajoules,Nova Scotia,Hydroelectricity,Public administration,358
2019,Terajoules,Nova Scotia,Hydroelectricity,Public administration,367
2015,Terajoules,Nova Scotia,Hydroelectricity,Commercial and other institutional,11613
2016,Terajoules,Nova Scotia,Hydroelectricity,Commercial and other institutional,12517
2017,Terajoules,Nova Scotia,Hydroelectricity,Commercial and other institutional,11864
2018,Terajoules,Nova Scotia,Hydroelectricity,Commercial and other institutional,12380
2019,Terajoules,Nova Scotia,Hydroelectricity,Commercial and other institutional,12547
2015,Terajoules,Nova Scotia,Steam,Energy use - final demand,
2016,Terajoules,Nova Scotia,Steam,Energy use - final demand,
2017,Terajoules,Nova Scotia,Steam,Energy use - final demand,
2018,Terajoules,Nova Scotia,Steam,Energy use - final demand,0
2019,Terajoules,Nova Scotia,Steam,Energy use - final demand,0
2015,Terajoules,Nova Scotia,Steam,Total industrial,
2016,Terajoules,Nova Scotia,Steam,Total industrial,
2017,Terajoules,Nova Scotia,Steam,Total industrial,
2018,Terajoules,Nova Scotia,Steam,Total industrial,0
2019,Terajoules,Nova Scotia,Steam,Total industrial,0
2015,Terajoules,Nova Scotia,Steam,Commercial and other institutional,0
2016,Terajoules,Nova Scotia,Steam,Commercial and other institutional,0
2017,Terajoules,Nova Scotia,Steam,Commercial and other institutional,0
2018,Terajoules,Nova Scotia,Steam,Commercial and other institutional,0
2019,Terajoules,Nova Scotia,Steam,Commercial and other institutional,0
2015,Terajoules,Nova Scotia,Coke,Energy use - final demand,0
2016,Terajoules,Nova Scotia,Coke,Energy use - final demand,0
2017,Terajoules,Nova Scotia,Coke,Energy use - final demand,0
2018,Terajoules,Nova Scotia,Coke,Energy use - final demand,0
2019,Terajoules,Nova Scotia,Coke,Energy use - final demand,0
2015,Terajoules,Nova Scotia,Coke,Total industrial,0
2016,Terajoules,Nova Scotia,Coke,Total industrial,0
2017,Terajoules,Nova Scotia,Coke,Total industrial,0
2018,Terajoules,Nova Scotia,Coke,Total industrial,0
2019,Terajoules,Nova Scotia,Coke,Total industrial,0
2015,Terajoules,Nova Scotia,Coke oven gas,Energy use - final demand,0
2016,Terajoules,Nova Scotia,Coke oven gas,Energy use - final demand,0
2017,Terajoules,Nova Scotia,Coke oven gas,Energy use - final demand,0
2018,Terajoules,Nova Scotia,Coke oven gas,Energy use - final demand,0
2019,Terajoules,Nova Scotia,Coke oven gas,Energy use - final demand,0
2015,Terajoules,Nova Scotia,Coke oven gas,Total industrial,0
2016,Terajoules,Nova Scotia,Coke oven gas,Total industrial,0
2017,Terajoules,Nova Scotia,Coke oven gas,Total industrial,0
2018,Terajoules,Nova Scotia,Coke oven gas,Total industrial,0
2019,Terajoules,Nova Scotia,Coke oven gas,Total industrial,0
2015,Terajoules,Nova Scotia,Total refined petroleum products,Energy use - final demand,101046
2016,Terajoules,Nova Scotia,Total refined petroleum products,Energy use - final demand,95574
2017,Terajoules,Nova Scotia,Total refined petroleum products,Energy use - final demand,99047
2018,Terajoules,Nova Scotia,Total refined petroleum products,Energy use - final demand,102819
2019,Terajoules,Nova Scotia,Total refined petroleum products,Energy use - final demand,100708
2015,Terajoules,Nova Scotia,Total refined petroleum products,Total industrial,5591
2016,Terajoules,Nova Scotia,Total refined petroleum products,Total industrial,5759
2017,Terajoules,Nova Scotia,Total refined petroleum products,Total industrial,6350
2018,Terajoules,Nova Scotia,Total refined petroleum products,Total industrial,6149
2019,Terajoules,Nova Scotia,Total refined petroleum products,Total industrial,5788
2015,Terajoules,Nova Scotia,Total refined petroleum products,Total transportation,67706
2016,Terajoules,Nova Scotia,Total refined petroleum products,Total transportation,67278
2017,Terajoules,Nova Scotia,Total refined petroleum products,Total transportation,69245
2018,Terajoules,Nova Scotia,Total refined petroleum products,Total transportation,71832
2019,Terajoules,Nova Scotia,Total refined petroleum products,Total transportation,70457
2015,Terajoules,Nova Scotia,Total refined petroleum products,Agriculture,1414
2016,Terajoules,Nova Scotia,Total refined petroleum products,Agriculture,
2017,Terajoules,Nova Scotia,Total refined petroleum products,Agriculture,2012
2018,Terajoules,Nova Scotia,Total refined petroleum products,Agriculture,2073
2019,Terajoules,Nova Scotia,Total refined petroleum products,Agriculture,1692
2015,Terajoules,Nova Scotia,Total refined petroleum products,Residential,17028
2016,Terajoules,Nova Scotia,Total refined petroleum products,Residential,13825
2017,Terajoules,Nova Scotia,Total refined petroleum products,Residential,14385
2018,Terajoules,Nova Scotia,Total refined petroleum products,Residential,15956
2019,Terajoules,Nova Scotia,Total refined petroleum products,Residential,16095
2015,Terajoules,Nova Scotia,Total refined petroleum products,Public administration,5055
2016,Terajoules,Nova Scotia,Total refined petroleum products,Public administration,4968
2017,Terajoules,Nova Scotia,Total refined petroleum products,Public administration,4806
2018,Terajoules,Nova Scotia,Total refined petroleum products,Public administration,4170
2019,Terajoules,Nova Scotia,Total refined petroleum products,Public administration,4044
2015,Terajoules,Nova Scotia,Total refined petroleum products,Commercial and other institutional,4251
2016,Terajoules,Nova Scotia,Total refined petroleum products,Commercial and other institutional,2348
2017,Terajoules,Nova Scotia,Total refined petroleum products,Commercial and other institutional,2249
2018,Terajoules,Nova Scotia,Total refined petroleum products,Commercial and other institutional,2639
2019,Terajoules,Nova Scotia,Total refined petroleum products,Commercial and other institutional,2632
2015,Terajoules,New Brunswick,Total primary and secondary energy,Energy use - final demand,144221
2016,Terajoules,New Brunswick,Total primary and secondary energy,Energy use - final demand,146107
2017,Terajoules,New Brunswick,Total primary and secondary energy,Energy use - final demand,140350
2018,Terajoules,New Brunswick,Total primary and secondary energy,Energy use - final demand,144574
2019,Terajoules,New Brunswick,Total primary and secondary energy,Energy use - final demand,143776
2015,Terajoules,New Brunswick,Total primary and secondary energy,Total industrial,37777
2016,Terajoules,New Brunswick,Total primary and secondary energy,Total industrial,36070
2017,Terajoules,New Brunswick,Total primary and secondary energy,Total industrial,40133
2018,Terajoules,New Brunswick,Total primary and secondary energy,Total industrial,42282
2019,Terajoules,New Brunswick,Total primary and secondary energy,Total industrial,44472
2015,Terajoules,New Brunswick,Total primary and secondary energy,Total transportation,54341
2016,Terajoules,New Brunswick,Total primary and secondary energy,Total transportation,60494
2017,Terajoules,New Brunswick,Total primary and secondary energy,Total transportation,53631
2018,Terajoules,New Brunswick,Total primary and secondary energy,Total transportation,52794
2019,Terajoules,New Brunswick,Total primary and secondary energy,Total transportation,51339
2015,Terajoules,New Brunswick,Total primary and secondary energy,Agriculture,1883
2016,Terajoules,New Brunswick,Total primary and secondary energy,Agriculture,2189
2017,Terajoules,New Brunswick,Total primary and secondary energy,Agriculture,1936
2018,Terajoules,New Brunswick,Total primary and secondary energy,Agriculture,1786
2019,Terajoules,New Brunswick,Total primary and secondary energy,Agriculture,1724
2015,Terajoules,New Brunswick,Total primary and secondary energy,Residential,29993
2016,Terajoules,New Brunswick,Total primary and secondary energy,Residential,28166
2017,Terajoules,New Brunswick,Total primary and secondary energy,Residential,27954
2018,Terajoules,New Brunswick,Total primary and secondary energy,Residential,28667
2019,Terajoules,New Brunswick,Total primary and secondary energy,Residential,27264
2015,Terajoules,New Brunswick,Total primary and secondary energy,Public administration,4619
2016,Terajoules,New Brunswick,Total primary and secondary energy,Public administration,4250
2017,Terajoules,New Brunswick,Total primary and secondary energy,Public administration,3724
2018,Terajoules,New Brunswick,Total primary and secondary energy,Public administration,3705
2019,Terajoules,New Brunswick,Total primary and secondary energy,Public administration,3518
2015,Terajoules,New Brunswick,Total primary and secondary energy,Commercial and other institutional,15796
2016,Terajoules,New Brunswick,Total primary and secondary energy,Commercial and other institutional,14930
2017,Terajoules,New Brunswick,Total primary and secondary energy,Commercial and other institutional,14003
2018,Terajoules,New Brunswick,Total primary and secondary energy,Commercial and other institutional,15622
2019,Terajoules,New Brunswick,Total primary and secondary energy,Commercial and other institutional,15460
2015,Terajoules,New Brunswick,Total coal,Energy use - final demand,
2016,Terajoules,New Brunswick,Total coal,Energy use - final demand,
2017,Terajoules,New Brunswick,Total coal,Energy use - final demand,
2018,Terajoules,New Brunswick,Total coal,Energy use - final demand,0
2019,Terajoules,New Brunswick,Total coal,Energy use - final demand,0
2015,Terajoules,New Brunswick,Total coal,Total industrial,
2016,Terajoules,New Brunswick,Total coal,Total industrial,
2017,Terajoules,New Brunswick,Total coal,Total industrial,
2018,Terajoules,New Brunswick,Total coal,Total industrial,0
2019,Terajoules,New Brunswick,Total coal,Total industrial,0
2015,Terajoules,New Brunswick,Natural gas,Energy use - final demand,17074
2016,Terajoules,New Brunswick,Natural gas,Energy use - final demand,16866
2017,Terajoules,New Brunswick,Natural gas,Energy use - final demand,17051
2018,Terajoules,New Brunswick,Natural gas,Energy use - final demand,20012
2019,Terajoules,New Brunswick,Natural gas,Energy use - final demand,22386
2015,Terajoules,New Brunswick,Natural gas,Total industrial,13568
2016,Terajoules,New Brunswick,Natural gas,Total industrial,
2017,Terajoules,New Brunswick,Natural gas,Total industrial,
2018,Terajoules,New Brunswick,Natural gas,Total industrial,16304
2019,Terajoules,New Brunswick,Natural gas,Total industrial,18523
2015,Terajoules,New Brunswick,Natural gas,Total transportation,2
2016,Terajoules,New Brunswick,Natural gas,Total transportation,
2017,Terajoules,New Brunswick,Natural gas,Total transportation,
2018,Terajoules,New Brunswick,Natural gas,Total transportation,213
2019,Terajoules,New Brunswick,Natural gas,Total transportation,298
2015,Terajoules,New Brunswick,Natural gas,Agriculture,0
2016,Terajoules,New Brunswick,Natural gas,Agriculture,0
2017,Terajoules,New Brunswick,Natural gas,Agriculture,
2015,Terajoules,New Brunswick,Natural gas,Residential,630
2016,Terajoules,New Brunswick,Natural gas,Residential,611
2017,Terajoules,New Brunswick,Natural gas,Residential,593
2018,Terajoules,New Brunswick,Natural gas,Residential,616
2019,Terajoules,New Brunswick,Natural gas,Residential,612
2015,Terajoules,New Brunswick,Natural gas,Commercial and other institutional,2874
2016,Terajoules,New Brunswick,Natural gas,Commercial and other institutional,2733
2017,Terajoules,New Brunswick,Natural gas,Commercial and other institutional,2544
2018,Terajoules,New Brunswick,Natural gas,Commercial and other institutional,2878
2019,Terajoules,New Brunswick,Natural gas,Commercial and other institutional,2952
2015,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Energy use - final demand,2576
2016,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Energy use - final demand,2568
2017,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Energy use - final demand,1359
2018,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Energy use - final demand,1872
2019,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Energy use - final demand,2605
2015,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Total industrial,965
2016,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Total industrial,1080
2017,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Total industrial,1109
2018,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Total industrial,999
2019,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Total industrial,972
2015,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Total transportation,18
2016,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Total transportation,15
2017,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Total transportation,13
2018,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Total transportation,10
2019,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Total transportation,18
2015,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Agriculture,38
2016,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Agriculture,30
2017,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Agriculture,28
2018,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Agriculture,20
2019,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Agriculture,37
2015,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Residential,364
2016,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Residential,301
2017,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Residential,261
2018,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Residential,177
2019,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Residential,330
2015,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Public administration,
2016,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Public administration,
2015,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Commercial and other institutional,1377
2016,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Commercial and other institutional,1134
2017,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Commercial and other institutional,979
2018,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Commercial and other institutional,949
2019,Terajoules,New Brunswick,Gas plant natural gas liquids (NGL's),Commercial and other institutional,1247
2015,Terajoules,New Brunswick,Hydroelectricity,Energy use - final demand,18356.65364
2016,Terajoules,New Brunswick,Hydroelectricity,Energy use - final demand,19939.56243
2017,Terajoules,New Brunswick,Hydroelectricity,Energy use - final demand,16540.46599
2018,Terajoules,New Brunswick,Hydroelectricity,Energy use - final demand,16993.1493
2019,Terajoules,New Brunswick,Hydroelectricity,Energy use - final demand,18450.12234
2015,Terajoules,New Brunswick,Hydroelectricity,Total industrial,
2016,Terajoules,New Brunswick,Hydroelectricity,Total industrial,
2017,Terajoules,New Brunswick,Hydroelectricity,Total industrial,6004.312
2018,Terajoules,New Brunswick,Hydroelectricity,Total industrial,5724.591546
2019,Terajoules,New Brunswick,Hydroelectricity,Total industrial,6430.126105
2015,Terajoules,New Brunswick,Hydroelectricity,Agriculture,97.89405813
2016,Terajoules,New Brunswick,Hydroelectricity,Agriculture,113.2359895
2017,Terajoules,New Brunswick,Hydroelectricity,Agriculture,92.55525784
2018,Terajoules,New Brunswick,Hydroelectricity,Agriculture,94.75988157
2019,Terajoules,New Brunswick,Hydroelectricity,Agriculture,106.5271139
2015,Terajoules,New Brunswick,Hydroelectricity,Residential,8032.245413
2016,Terajoules,New Brunswick,Hydroelectricity,Residential,8438.379364
2017,Terajoules,New Brunswick,Hydroelectricity,Residential,6793.219361
2018,Terajoules,New Brunswick,Hydroelectricity,Residential,7207.908681
2019,Terajoules,New Brunswick,Hydroelectricity,Residential,7700.602105
