Year,Geography,Selected demographic characteristics,Gender,Value
2018,Nova Scotia,Heterosexual,Gender diverse,
2018,Nova Scotia,Sexual minority,Total - gender,40.87
2018,Nova Scotia,Sexual minority,Male gender,
2018,Nova Scotia,Sexual minority,Female gender,60.77
2018,Nova Scotia,Sexual minority,Gender diverse,
2018,Nova Scotia,Lesbian or gay,Total - gender,
2018,Nova Scotia,Lesbian or gay,Male gender,
2018,Nova Scotia,Lesbian or gay,Female gender,
2018,Nova Scotia,Lesbian or gay,Gender diverse,
2018,Nova Scotia,Bisexual or pansexual,Total - gender,
2018,Nova Scotia,Bisexual or pansexual,Male gender,
2018,Nova Scotia,Bisexual or pansexual,Female gender,
2018,Nova Scotia,Bisexual or pansexual,Gender diverse,
2018,Nova Scotia,Sexual orientation not elsewhere classified,Total - gender,
2018,Nova Scotia,Sexual orientation not elsewhere classified,Male gender,
2018,Nova Scotia,Sexual orientation not elsewhere classified,Female gender,
2018,Nova Scotia,Sexual orientation not elsewhere classified,Gender diverse,
2018,Nova Scotia,Not stated - sexual orientation,Total - gender,11.61
2018,Nova Scotia,Not stated - sexual orientation,Male gender,
2018,Nova Scotia,Not stated - sexual orientation,Female gender,
2018,Nova Scotia,Not stated - sexual orientation,Gender diverse,
2018,New Brunswick,Total - age,Total - gender,19.27
2018,New Brunswick,Total - age,Male gender,9.84
2018,New Brunswick,Total - age,Female gender,28.52
2018,New Brunswick,Total - age,Gender diverse,
2018,New Brunswick,15 to 24 years,Total - gender,24.49
2018,New Brunswick,15 to 24 years,Male gender,
2018,New Brunswick,15 to 24 years,Female gender,42.72
2018,New Brunswick,15 to 24 years,Gender diverse,
2018,New Brunswick,25 to 34 years,Total - gender,23.61
2018,New Brunswick,25 to 34 years,Male gender,
2018,New Brunswick,25 to 34 years,Female gender,39.39
2018,New Brunswick,25 to 34 years,Gender diverse,
2018,New Brunswick,35 to 44 years,Total - gender,25.67
2018,New Brunswick,35 to 44 years,Male gender,16.03
2018,New Brunswick,35 to 44 years,Female gender,35.01
2018,New Brunswick,35 to 44 years,Gender diverse,
2018,New Brunswick,45 to 54 years,Total - gender,20.25
2018,New Brunswick,45 to 54 years,Male gender,10.68
2018,New Brunswick,45 to 54 years,Female gender,29.5
2018,New Brunswick,45 to 54 years,Gender diverse,
2018,New Brunswick,55 years and over,Total - gender,13.74
2018,New Brunswick,55 years and over,Male gender,8.08
2018,New Brunswick,55 years and over,Female gender,18.92
2018,New Brunswick,55 years and over,Gender diverse,
2018,New Brunswick,Total - immigrant status,Total - gender,19.27
2018,New Brunswick,Total - immigrant status,Male gender,9.84
2018,New Brunswick,Total - immigrant status,Female gender,28.52
2018,New Brunswick,Total - immigrant status,Gender diverse,
2018,New Brunswick,Non-immigrants,Total - gender,19.74
2018,New Brunswick,Non-immigrants,Male gender,10.07
2018,New Brunswick,Non-immigrants,Female gender,28.84
2018,New Brunswick,Non-immigrants,Gender diverse,
2018,New Brunswick,Immigrants,Total - gender,13.56
2018,New Brunswick,Immigrants,Male gender,
2018,New Brunswick,Immigrants,Female gender,22.65
2018,New Brunswick,Immigrants,Gender diverse,
2018,New Brunswick,Not stated - immigrant status,Total - gender,
2018,New Brunswick,Not stated - immigrant status,Male gender,
2018,New Brunswick,Not stated - immigrant status,Female gender,
2018,New Brunswick,Not stated - immigrant status,Gender diverse,
2018,New Brunswick,Total - visible minority population,Total - gender,19.27
2018,New Brunswick,Total - visible minority population,Male gender,9.84
2018,New Brunswick,Total - visible minority population,Female gender,28.52
2018,New Brunswick,Total - visible minority population,Gender diverse,
2018,New Brunswick,Visible minority population,Total - gender,13.32
2018,New Brunswick,Visible minority population,Male gender,
2018,New Brunswick,Visible minority population,Female gender,
2018,New Brunswick,Visible minority population,Gender diverse,
2018,New Brunswick,Not a visible minority,Total - gender,19.72
2018,New Brunswick,Not a visible minority,Male gender,9.95
2018,New Brunswick,Not a visible minority,Female gender,28.76
2018,New Brunswick,Not a visible minority,Gender diverse,
2018,New Brunswick,Not stated - visible minority population,Total - gender,
2018,New Brunswick,Not stated - visible minority population,Male gender,
2018,New Brunswick,Not stated - visible minority population,Female gender,
2018,New Brunswick,Not stated - visible minority population,Gender diverse,
2018,New Brunswick,Total - population by indigenous identity,Total - gender,19.27
2018,New Brunswick,Total - population by indigenous identity,Male gender,9.84
2018,New Brunswick,Total - population by indigenous identity,Female gender,28.52
2018,New Brunswick,Total - population by indigenous identity,Gender diverse,
2018,New Brunswick,Indigenous identity,Total - gender,22.04
2018,New Brunswick,Indigenous identity,Male gender,
2018,New Brunswick,Indigenous identity,Female gender,
2018,New Brunswick,Indigenous identity,Gender diverse,
2018,New Brunswick,First Nations (North American Indian),Total - gender,
2018,New Brunswick,First Nations (North American Indian),Male gender,
2018,New Brunswick,First Nations (North American Indian),Female gender,
2018,New Brunswick,First Nations (North American Indian),Gender diverse,
2018,New Brunswick,data.M�tis,Total - gender,
2018,New Brunswick,data.M�tis,Male gender,
2018,New Brunswick,data.M�tis,Female gender,
2018,New Brunswick,data.M�tis,Gender diverse,
2018,New Brunswick,Inuk (Inuit),Total - gender,
2018,New Brunswick,Inuk (Inuit),Male gender,
2018,New Brunswick,Inuk (Inuit),Female gender,
2018,New Brunswick,Inuk (Inuit),Gender diverse,
2018,New Brunswick,Other indigenous identity,Total - gender,
2018,New Brunswick,Other indigenous identity,Male gender,
2018,New Brunswick,Other indigenous identity,Female gender,
2018,New Brunswick,Other indigenous identity,Gender diverse,
2018,New Brunswick,Non-indigenous identity,Total - gender,19.34
2018,New Brunswick,Non-indigenous identity,Male gender,9.77
2018,New Brunswick,Non-indigenous identity,Female gender,28.65
2018,New Brunswick,Non-indigenous identity,Gender diverse,
2018,New Brunswick,Not stated - population by indigenous identity,Total - gender,
2018,New Brunswick,Not stated - population by indigenous identity,Male gender,
2018,New Brunswick,Not stated - population by indigenous identity,Female gender,
2018,New Brunswick,Not stated - population by indigenous identity,Gender diverse,
2018,New Brunswick,Total - disability status,Total - gender,19.27
2018,New Brunswick,Total - disability status,Male gender,9.84
2018,New Brunswick,Total - disability status,Female gender,28.52
2018,New Brunswick,Total - disability status,Gender diverse,
2018,New Brunswick,Has a disability,Total - gender,27.75
2018,New Brunswick,Has a disability,Male gender,15.88
2018,New Brunswick,Has a disability,Female gender,37.23
2018,New Brunswick,Has a disability,Gender diverse,
2018,New Brunswick,Does not have a disability,Total - gender,13.98
2018,New Brunswick,Does not have a disability,Male gender,6.66
2018,New Brunswick,Does not have a disability,Female gender,22.12
2018,New Brunswick,Does not have a disability,Gender diverse,
2018,New Brunswick,Total - sexual orientation,Total - gender,19.27
2018,New Brunswick,Total - sexual orientation,Male gender,9.84
2018,New Brunswick,Total - sexual orientation,Female gender,28.52
2018,New Brunswick,Total - sexual orientation,Gender diverse,
2018,New Brunswick,Heterosexual,Total - gender,18.93
2018,New Brunswick,Heterosexual,Male gender,9.43
2018,New Brunswick,Heterosexual,Female gender,28.28
2018,New Brunswick,Heterosexual,Gender diverse,
2018,New Brunswick,Sexual minority,Total - gender,38.0
2018,New Brunswick,Sexual minority,Male gender,
2018,New Brunswick,Sexual minority,Female gender,
2018,New Brunswick,Sexual minority,Gender diverse,
2018,New Brunswick,Lesbian or gay,Total - gender,
2018,New Brunswick,Lesbian or gay,Male gender,
2018,New Brunswick,Lesbian or gay,Female gender,
2018,New Brunswick,Lesbian or gay,Gender diverse,
2018,New Brunswick,Bisexual or pansexual,Total - gender,
2018,New Brunswick,Bisexual or pansexual,Male gender,
2018,New Brunswick,Bisexual or pansexual,Female gender,
2018,New Brunswick,Bisexual or pansexual,Gender diverse,
2018,New Brunswick,Sexual orientation not elsewhere classified,Total - gender,
2018,New Brunswick,Sexual orientation not elsewhere classified,Male gender,
2018,New Brunswick,Sexual orientation not elsewhere classified,Female gender,
2018,New Brunswick,Sexual orientation not elsewhere classified,Gender diverse,
2018,New Brunswick,Not stated - sexual orientation,Total - gender,8.28
2018,New Brunswick,Not stated - sexual orientation,Male gender,
2018,New Brunswick,Not stated - sexual orientation,Female gender,
2018,New Brunswick,Not stated - sexual orientation,Gender diverse,
2018,Quebec,Total - age,Total - gender,15.2
2018,Quebec,Total - age,Male gender,5.67
2018,Quebec,Total - age,Female gender,24.51
2018,Quebec,Total - age,Gender diverse,
2018,Quebec,15 to 24 years,Total - gender,14.14
2018,Quebec,15 to 24 years,Male gender,4.7
2018,Quebec,15 to 24 years,Female gender,23.95
2018,Quebec,15 to 24 years,Gender diverse,
2018,Quebec,25 to 34 years,Total - gender,16.25
2018,Quebec,25 to 34 years,Male gender,5.19
2018,Quebec,25 to 34 years,Female gender,27.51
2018,Quebec,25 to 34 years,Gender diverse,
2018,Quebec,35 to 44 years,Total - gender,16.82
2018,Quebec,35 to 44 years,Male gender,6.04
2018,Quebec,35 to 44 years,Female gender,27.66
2018,Quebec,35 to 44 years,Gender diverse,
2018,Quebec,45 to 54 years,Total - gender,17.58
2018,Quebec,45 to 54 years,Male gender,6.03
2018,Quebec,45 to 54 years,Female gender,29.42
2018,Quebec,45 to 54 years,Gender diverse,
2018,Quebec,55 years and over,Total - gender,13.53
2018,Quebec,55 years and over,Male gender,5.89
2018,Quebec,55 years and over,Female gender,20.47
2018,Quebec,55 years and over,Gender diverse,
2018,Quebec,Total - immigrant status,Total - gender,15.2
2018,Quebec,Total - immigrant status,Male gender,5.67
2018,Quebec,Total - immigrant status,Female gender,24.51
2018,Quebec,Total - immigrant status,Gender diverse,
2018,Quebec,Non-immigrants,Total - gender,15.96
2018,Quebec,Non-immigrants,Male gender,5.8
2018,Quebec,Non-immigrants,Female gender,25.44
2018,Quebec,Non-immigrants,Gender diverse,
2018,Quebec,Immigrants,Total - gender,11.78
2018,Quebec,Immigrants,Male gender,5.12
2018,Quebec,Immigrants,Female gender,20.08
2018,Quebec,Immigrants,Gender diverse,
2018,Quebec,Not stated - immigrant status,Total - gender,
2018,Quebec,Not stated - immigrant status,Male gender,
2018,Quebec,Not stated - immigrant status,Female gender,
2018,Quebec,Not stated - immigrant status,Gender diverse,
2018,Quebec,Total - visible minority population,Total - gender,15.2
2018,Quebec,Total - visible minority population,Male gender,5.67
2018,Quebec,Total - visible minority population,Female gender,24.51
2018,Quebec,Total - visible minority population,Gender diverse,
2018,Quebec,Visible minority population,Total - gender,10.06
2018,Quebec,Visible minority population,Male gender,
2018,Quebec,Visible minority population,Female gender,17.69
2018,Quebec,Visible minority population,Gender diverse,
2018,Quebec,Not a visible minority,Total - gender,15.98
2018,Quebec,Not a visible minority,Male gender,6.12
2018,Quebec,Not a visible minority,Female gender,25.52
2018,Quebec,Not a visible minority,Gender diverse,
2018,Quebec,Not stated - visible minority population,Total - gender,
2018,Quebec,Not stated - visible minority population,Male gender,
2018,Quebec,Not stated - visible minority population,Female gender,
2018,Quebec,Not stated - visible minority population,Gender diverse,
2018,Quebec,Total - population by indigenous identity,Total - gender,15.2
2018,Quebec,Total - population by indigenous identity,Male gender,5.67
2018,Quebec,Total - population by indigenous identity,Female gender,24.51
2018,Quebec,Total - population by indigenous identity,Gender diverse,
2018,Quebec,Indigenous identity,Total - gender,21.93
2018,Quebec,Indigenous identity,Male gender,
2018,Quebec,Indigenous identity,Female gender,34.19
2018,Quebec,Indigenous identity,Gender diverse,
2018,Quebec,First Nations (North American Indian),Total - gender,
2018,Quebec,First Nations (North American Indian),Male gender,
2018,Quebec,First Nations (North American Indian),Female gender,
2018,Quebec,First Nations (North American Indian),Gender diverse,
2018,Quebec,data.M�tis,Total - gender,27.21
2018,Quebec,data.M�tis,Male gender,
2018,Quebec,data.M�tis,Female gender,
2018,Quebec,data.M�tis,Gender diverse,
2018,Quebec,Inuk (Inuit),Total - gender,
2018,Quebec,Inuk (Inuit),Male gender,
2018,Quebec,Inuk (Inuit),Female gender,
2018,Quebec,Inuk (Inuit),Gender diverse,
2018,Quebec,Other indigenous identity,Total - gender,
2018,Quebec,Other indigenous identity,Male gender,
2018,Quebec,Other indigenous identity,Female gender,
2018,Quebec,Other indigenous identity,Gender diverse,
2018,Quebec,Non-indigenous identity,Total - gender,15.12
2018,Quebec,Non-indigenous identity,Male gender,5.71
2018,Quebec,Non-indigenous identity,Female gender,24.35
2018,Quebec,Non-indigenous identity,Gender diverse,
2018,Quebec,Not stated - population by indigenous identity,Total - gender,
2018,Quebec,Not stated - population by indigenous identity,Male gender,
2018,Quebec,Not stated - population by indigenous identity,Female gender,
2018,Quebec,Not stated - population by indigenous identity,Gender diverse,
2018,Quebec,Total - disability status,Total - gender,15.2
2018,Quebec,Total - disability status,Male gender,5.67
2018,Quebec,Total - disability status,Female gender,24.51
2018,Quebec,Total - disability status,Gender diverse,
2018,Quebec,Has a disability,Total - gender,22.18
2018,Quebec,Has a disability,Male gender,9.8
2018,Quebec,Has a disability,Female gender,31.69
2018,Quebec,Has a disability,Gender diverse,
2018,Quebec,Does not have a disability,Total - gender,12.07
2018,Quebec,Does not have a disability,Male gender,4.13
2018,Quebec,Does not have a disability,Female gender,20.72
2018,Quebec,Does not have a disability,Gender diverse,
2018,Quebec,Total - sexual orientation,Total - gender,15.2
2018,Quebec,Total - sexual orientation,Male gender,5.67
2018,Quebec,Total - sexual orientation,Female gender,24.51
2018,Quebec,Total - sexual orientation,Gender diverse,
2018,Quebec,Heterosexual,Total - gender,14.74
2018,Quebec,Heterosexual,Male gender,5.06
2018,Quebec,Heterosexual,Female gender,24.23
2018,Quebec,Heterosexual,Gender diverse,
2018,Quebec,Sexual minority,Total - gender,33.49
2018,Quebec,Sexual minority,Male gender,24.71
2018,Quebec,Sexual minority,Female gender,42.95
2018,Quebec,Sexual minority,Gender diverse,
2018,Quebec,Lesbian or gay,Total - gender,24.7
2018,Quebec,Lesbian or gay,Male gender,22.05
2018,Quebec,Lesbian or gay,Female gender,
2018,Quebec,Lesbian or gay,Gender diverse,
2018,Quebec,Bisexual or pansexual,Total - gender,40.33
2018,Quebec,Bisexual or pansexual,Male gender,
2018,Quebec,Bisexual or pansexual,Female gender,48.01
2018,Quebec,Bisexual or pansexual,Gender diverse,
2018,Quebec,Sexual orientation not elsewhere classified,Total - gender,
2018,Quebec,Sexual orientation not elsewhere classified,Male gender,
2018,Quebec,Sexual orientation not elsewhere classified,Female gender,
2018,Quebec,Sexual orientation not elsewhere classified,Gender diverse,
2018,Quebec,Not stated - sexual orientation,Total - gender,
2018,Quebec,Not stated - sexual orientation,Male gender,
2018,Quebec,Not stated - sexual orientation,Female gender,
2018,Quebec,Not stated - sexual orientation,Gender diverse,
2018,Ontario,Total - age,Total - gender,19.21
2018,Ontario,Total - age,Male gender,8.17
2018,Ontario,Total - age,Female gender,29.77
2018,Ontario,Total - age,Gender diverse,
2018,Ontario,15 to 24 years,Total - gender,14.67
2018,Ontario,15 to 24 years,Male gender,8.63
2018,Ontario,15 to 24 years,Female gender,21.4
2018,Ontario,15 to 24 years,Gender diverse,
2018,Ontario,25 to 34 years,Total - gender,25.43
2018,Ontario,25 to 34 years,Male gender,8.97
2018,Ontario,25 to 34 years,Female gender,41.38
2018,Ontario,25 to 34 years,Gender diverse,
2018,Ontario,35 to 44 years,Total - gender,23.52
2018,Ontario,35 to 44 years,Male gender,9.81
2018,Ontario,35 to 44 years,Female gender,36.76
2018,Ontario,35 to 44 years,Gender diverse,
2018,Ontario,45 to 54 years,Total - gender,18.68
2018,Ontario,45 to 54 years,Male gender,8.59
2018,Ontario,45 to 54 years,Female gender,28.45
2018,Ontario,45 to 54 years,Gender diverse,
2018,Ontario,55 years and over,Total - gender,16.59
2018,Ontario,55 years and over,Male gender,6.65
2018,Ontario,55 years and over,Female gender,25.42
2018,Ontario,55 years and over,Gender diverse,
2018,Ontario,Total - immigrant status,Total - gender,19.21
2018,Ontario,Total - immigrant status,Male gender,8.17
2018,Ontario,Total - immigrant status,Female gender,29.77
2018,Ontario,Total - immigrant status,Gender diverse,
2018,Ontario,Non-immigrants,Total - gender,23.26
2018,Ontario,Non-immigrants,Male gender,9.77
2018,Ontario,Non-immigrants,Female gender,35.55
2018,Ontario,Non-immigrants,Gender diverse,
2018,Ontario,Immigrants,Total - gender,11.35
2018,Ontario,Immigrants,Male gender,5.43
2018,Ontario,Immigrants,Female gender,17.62
2018,Ontario,Immigrants,Gender diverse,
2018,Ontario,Not stated - immigrant status,Total - gender,
2018,Ontario,Not stated - immigrant status,Male gender,
2018,Ontario,Not stated - immigrant status,Female gender,
2018,Ontario,Not stated - immigrant status,Gender diverse,
2018,Ontario,Total - visible minority population,Total - gender,19.21
2018,Ontario,Total - visible minority population,Male gender,8.17
2018,Ontario,Total - visible minority population,Female gender,29.77
2018,Ontario,Total - visible minority population,Gender diverse,
2018,Ontario,Visible minority population,Total - gender,11.16
2018,Ontario,Visible minority population,Male gender,6.05
2018,Ontario,Visible minority population,Female gender,17.06
2018,Ontario,Visible minority population,Gender diverse,
2018,Ontario,Not a visible minority,Total - gender,22.59
2018,Ontario,Not a visible minority,Male gender,9.22
2018,Ontario,Not a visible minority,Female gender,34.56
2018,Ontario,Not a visible minority,Gender diverse,
2018,Ontario,Not stated - visible minority population,Total - gender,9.56
2018,Ontario,Not stated - visible minority population,Male gender,
2018,Ontario,Not stated - visible minority population,Female gender,
2018,Ontario,Not stated - visible minority population,Gender diverse,
2018,Ontario,Total - population by indigenous identity,Total - gender,19.21
2018,Ontario,Total - population by indigenous identity,Male gender,8.17
2018,Ontario,Total - population by indigenous identity,Female gender,29.77
2018,Ontario,Total - population by indigenous identity,Gender diverse,
2018,Ontario,Indigenous identity,Total - gender,27.4
2018,Ontario,Indigenous identity,Male gender,11.49
2018,Ontario,Indigenous identity,Female gender,44.94
2018,Ontario,Indigenous identity,Gender diverse,
2018,Ontario,First Nations (North American Indian),Total - gender,30.46
2018,Ontario,First Nations (North American Indian),Male gender,
2018,Ontario,First Nations (North American Indian),Female gender,
2018,Ontario,First Nations (North American Indian),Gender diverse,
2018,Ontario,data.M�tis,Total - gender,
2018,Ontario,data.M�tis,Male gender,
2018,Ontario,data.M�tis,Female gender,
2018,Ontario,data.M�tis,Gender diverse,
2018,Ontario,Inuk (Inuit),Total - gender,
2018,Ontario,Inuk (Inuit),Male gender,
2018,Ontario,Inuk (Inuit),Female gender,
2018,Ontario,Inuk (Inuit),Gender diverse,
2018,Ontario,Other indigenous identity,Total - gender,
2018,Ontario,Other indigenous identity,Male gender,
2018,Ontario,Other indigenous identity,Female gender,
2018,Ontario,Other indigenous identity,Gender diverse,
2018,Ontario,Non-indigenous identity,Total - gender,19.11
2018,Ontario,Non-indigenous identity,Male gender,8.08
2018,Ontario,Non-indigenous identity,Female gender,29.61
2018,Ontario,Non-indigenous identity,Gender diverse,
2018,Ontario,Not stated - population by indigenous identity,Total - gender,15.36
2018,Ontario,Not stated - population by indigenous identity,Male gender,
2018,Ontario,Not stated - population by indigenous identity,Female gender,
2018,Ontario,Not stated - population by indigenous identity,Gender diverse,
2018,Ontario,Total - disability status,Total - gender,19.21
2018,Ontario,Total - disability status,Male gender,8.17
2018,Ontario,Total - disability status,Female gender,29.77
2018,Ontario,Total - disability status,Gender diverse,
2018,Ontario,Has a disability,Total - gender,28.07
2018,Ontario,Has a disability,Male gender,13.27
2018,Ontario,Has a disability,Female gender,39.0
2018,Ontario,Has a disability,Gender diverse,
2018,Ontario,Does not have a disability,Total - gender,14.18
2018,Ontario,Does not have a disability,Male gender,5.86
2018,Ontario,Does not have a disability,Female gender,23.44
2018,Ontario,Does not have a disability,Gender diverse,
2018,Ontario,Total - sexual orientation,Total - gender,19.21
2018,Ontario,Total - sexual orientation,Male gender,8.17
2018,Ontario,Total - sexual orientation,Female gender,29.77
2018,Ontario,Total - sexual orientation,Gender diverse,
2018,Ontario,Heterosexual,Total - gender,18.84
2018,Ontario,Heterosexual,Male gender,7.72
2018,Ontario,Heterosexual,Female gender,29.48
2018,Ontario,Heterosexual,Gender diverse,
2018,Ontario,Sexual minority,Total - gender,34.38
2018,Ontario,Sexual minority,Male gender,23.48
2018,Ontario,Sexual minority,Female gender,46.22
2018,Ontario,Sexual minority,Gender diverse,
2018,Ontario,Lesbian or gay,Total - gender,32.76
2018,Ontario,Lesbian or gay,Male gender,26.93
2018,Ontario,Lesbian or gay,Female gender,
2018,Ontario,Lesbian or gay,Gender diverse,
2018,Ontario,Bisexual or pansexual,Total - gender,37.07
2018,Ontario,Bisexual or pansexual,Male gender,
2018,Ontario,Bisexual or pansexual,Female gender,47.13
2018,Ontario,Bisexual or pansexual,Gender diverse,
2018,Ontario,Sexual orientation not elsewhere classified,Total - gender,
2018,Ontario,Sexual orientation not elsewhere classified,Male gender,
2018,Ontario,Sexual orientation not elsewhere classified,Female gender,
2018,Ontario,Sexual orientation not elsewhere classified,Gender diverse,
2018,Ontario,Not stated - sexual orientation,Total - gender,12.6
2018,Ontario,Not stated - sexual orientation,Male gender,
2018,Ontario,Not stated - sexual orientation,Female gender,19.73
2018,Ontario,Not stated - sexual orientation,Gender diverse,
2018,Manitoba,Total - age,Total - gender,20.35
2018,Manitoba,Total - age,Male gender,8.91
2018,Manitoba,Total - age,Female gender,31.74
2018,Manitoba,Total - age,Gender diverse,
2018,Manitoba,15 to 24 years,Total - gender,13.95
2018,Manitoba,15 to 24 years,Male gender,10.34
2018,Manitoba,15 to 24 years,Female gender,18.14
2018,Manitoba,15 to 24 years,Gender diverse,
2018,Manitoba,25 to 34 years,Total - gender,24.06
2018,Manitoba,25 to 34 years,Male gender,9.35
2018,Manitoba,25 to 34 years,Female gender,39.32
2018,Manitoba,25 to 34 years,Gender diverse,
2018,Manitoba,35 to 44 years,Total - gender,25.67
2018,Manitoba,35 to 44 years,Male gender,14.97
2018,Manitoba,35 to 44 years,Female gender,35.99
2018,Manitoba,35 to 44 years,Gender diverse,
2018,Manitoba,45 to 54 years,Total - gender,23.39
2018,Manitoba,45 to 54 years,Male gender,6.83
2018,Manitoba,45 to 54 years,Female gender,40.96
2018,Manitoba,45 to 54 years,Gender diverse,
2018,Manitoba,55 years and over,Total - gender,17.74
2018,Manitoba,55 years and over,Male gender,6.0
2018,Manitoba,55 years and over,Female gender,28.33
2018,Manitoba,55 years and over,Gender diverse,
2018,Manitoba,Total - immigrant status,Total - gender,20.35
2018,Manitoba,Total - immigrant status,Male gender,8.91
2018,Manitoba,Total - immigrant status,Female gender,31.74
2018,Manitoba,Total - immigrant status,Gender diverse,
2018,Manitoba,Non-immigrants,Total - gender,22.14
2018,Manitoba,Non-immigrants,Male gender,9.49
2018,Manitoba,Non-immigrants,Female gender,34.01
2018,Manitoba,Non-immigrants,Gender diverse,
2018,Manitoba,Immigrants,Total - gender,14.7
2018,Manitoba,Immigrants,Male gender,7.31
2018,Manitoba,Immigrants,Female gender,23.66
2018,Manitoba,Immigrants,Gender diverse,
2018,Manitoba,Not stated - immigrant status,Total - gender,
2018,Manitoba,Not stated - immigrant status,Male gender,
2018,Manitoba,Not stated - immigrant status,Female gender,
2018,Manitoba,Not stated - immigrant status,Gender diverse,
2018,Manitoba,Total - visible minority population,Total - gender,20.35
2018,Manitoba,Total - visible minority population,Male gender,8.91
2018,Manitoba,Total - visible minority population,Female gender,31.74
2018,Manitoba,Total - visible minority population,Gender diverse,
2018,Manitoba,Visible minority population,Total - gender,12.82
2018,Manitoba,Visible minority population,Male gender,6.02
2018,Manitoba,Visible minority population,Female gender,20.82
2018,Manitoba,Visible minority population,Gender diverse,
2018,Manitoba,Not a visible minority,Total - gender,22.15
2018,Manitoba,Not a visible minority,Male gender,9.7
2018,Manitoba,Not a visible minority,Female gender,34.09
2018,Manitoba,Not a visible minority,Gender diverse,
2018,Manitoba,Not stated - visible minority population,Total - gender,
2018,Manitoba,Not stated - visible minority population,Male gender,
2018,Manitoba,Not stated - visible minority population,Female gender,
2018,Manitoba,Not stated - visible minority population,Gender diverse,
2018,Manitoba,Total - population by indigenous identity,Total - gender,20.35
2018,Manitoba,Total - population by indigenous identity,Male gender,8.91
2018,Manitoba,Total - population by indigenous identity,Female gender,31.74
2018,Manitoba,Total - population by indigenous identity,Gender diverse,
2018,Manitoba,Indigenous identity,Total - gender,24.2
2018,Manitoba,Indigenous identity,Male gender,13.21
2018,Manitoba,Indigenous identity,Female gender,34.16
2018,Manitoba,Indigenous identity,Gender diverse,
2018,Manitoba,First Nations (North American Indian),Total - gender,30.94
2018,Manitoba,First Nations (North American Indian),Male gender,
2018,Manitoba,First Nations (North American Indian),Female gender,34.11
2018,Manitoba,First Nations (North American Indian),Gender diverse,
2018,Manitoba,data.M�tis,Total - gender,19.06
2018,Manitoba,data.M�tis,Male gender,6.7
2018,Manitoba,data.M�tis,Female gender,32.8
2018,Manitoba,data.M�tis,Gender diverse,
2018,Manitoba,Inuk (Inuit),Total - gender,
2018,Manitoba,Inuk (Inuit),Male gender,
2018,Manitoba,Inuk (Inuit),Female gender,
2018,Manitoba,Inuk (Inuit),Gender diverse,
2018,Manitoba,Other indigenous identity,Total - gender,
2018,Manitoba,Other indigenous identity,Male gender,
2018,Manitoba,Other indigenous identity,Female gender,
2018,Manitoba,Other indigenous identity,Gender diverse,
2018,Manitoba,Non-indigenous identity,Total - gender,19.96
2018,Manitoba,Non-indigenous identity,Male gender,8.53
2018,Manitoba,Non-indigenous identity,Female gender,31.42
2018,Manitoba,Non-indigenous identity,Gender diverse,
2018,Manitoba,Not stated - population by indigenous identity,Total - gender,
2018,Manitoba,Not stated - population by indigenous identity,Male gender,
2018,Manitoba,Not stated - population by indigenous identity,Female gender,
2018,Manitoba,Not stated - population by indigenous identity,Gender diverse,
2018,Manitoba,Total - disability status,Total - gender,20.35
2018,Manitoba,Total - disability status,Male gender,8.91
2018,Manitoba,Total - disability status,Female gender,31.74
2018,Manitoba,Total - disability status,Gender diverse,
2018,Manitoba,Has a disability,Total - gender,29.28
2018,Manitoba,Has a disability,Male gender,13.19
2018,Manitoba,Has a disability,Female gender,42.67
2018,Manitoba,Has a disability,Gender diverse,
2018,Manitoba,Does not have a disability,Total - gender,15.08
2018,Manitoba,Does not have a disability,Male gender,6.72
2018,Manitoba,Does not have a disability,Female gender,24.27
2018,Manitoba,Does not have a disability,Gender diverse,
2018,Manitoba,Total - sexual orientation,Total - gender,20.35
2018,Manitoba,Total - sexual orientation,Male gender,8.91
2018,Manitoba,Total - sexual orientation,Female gender,31.74
2018,Manitoba,Total - sexual orientation,Gender diverse,
2018,Manitoba,Heterosexual,Total - gender,19.82
2018,Manitoba,Heterosexual,Male gender,8.25
2018,Manitoba,Heterosexual,Female gender,31.61
2018,Manitoba,Heterosexual,Gender diverse,
2018,Manitoba,Sexual minority,Total - gender,39.57
2018,Manitoba,Sexual minority,Male gender,
2018,Manitoba,Sexual minority,Female gender,43.42
2018,Manitoba,Sexual minority,Gender diverse,
2018,Manitoba,Lesbian or gay,Total - gender,
2018,Manitoba,Lesbian or gay,Male gender,
2018,Manitoba,Lesbian or gay,Female gender,
2018,Manitoba,Lesbian or gay,Gender diverse,
2018,Manitoba,Bisexual or pansexual,Total - gender,
2018,Manitoba,Bisexual or pansexual,Male gender,
2018,Manitoba,Bisexual or pansexual,Female gender,
2018,Manitoba,Bisexual or pansexual,Gender diverse,
2018,Manitoba,Sexual orientation not elsewhere classified,Total - gender,
2018,Manitoba,Sexual orientation not elsewhere classified,Male gender,
2018,Manitoba,Sexual orientation not elsewhere classified,Female gender,
2018,Manitoba,Sexual orientation not elsewhere classified,Gender diverse,
2018,Manitoba,Not stated - sexual orientation,Total - gender,14.44
2018,Manitoba,Not stated - sexual orientation,Male gender,
2018,Manitoba,Not stated - sexual orientation,Female gender,
2018,Manitoba,Not stated - sexual orientation,Gender diverse,
2018,Saskatchewan,Total - age,Total - gender,19.38
2018,Saskatchewan,Total - age,Male gender,7.89
