Year,Units,Geography,data.Core public infrastructure assets,data.Type of municipality by population size,Value
2016,Number,Nunavut,data.Potable water,"data.Rural municipalities, population 1 to 4,999",2.0
2016,Number,Nunavut,data.Potable water,"data.Rural municipalities, population 5,000 or more",1.0
2016,Number,Nunavut,Public transit,data.All municipalities,0.0
2016,Number,Nunavut,Public transit,data.All urban municipalities,0.0
2016,Number,Nunavut,Public transit,"data.Urban municipalities, population 1 to 4,999",0.0
2016,Number,Nunavut,Public transit,"data.Urban municipalities, population 5,000 to 29,999",0.0
2016,Number,Nunavut,Public transit,"data.Urban municipalities, population 30,000 or more",0.0
2016,Number,Nunavut,Public transit,data.All rural municipalities,0.0
2016,Number,Nunavut,Public transit,"data.Rural municipalities, population 1 to 4,999",0.0
2016,Number,Nunavut,Public transit,"data.Rural municipalities, population 5,000 or more",0.0
2016,Number,Nunavut,data.Roads,data.All municipalities,5.0
2016,Number,Nunavut,data.Roads,data.All urban municipalities,0.0
2016,Number,Nunavut,data.Roads,"data.Urban municipalities, population 1 to 4,999",0.0
2016,Number,Nunavut,data.Roads,"data.Urban municipalities, population 5,000 to 29,999",0.0
2016,Number,Nunavut,data.Roads,"data.Urban municipalities, population 30,000 or more",0.0
2016,Number,Nunavut,data.Roads,data.All rural municipalities,5.0
2016,Number,Nunavut,data.Roads,"data.Rural municipalities, population 1 to 4,999",4.0
2016,Number,Nunavut,data.Roads,"data.Rural municipalities, population 5,000 or more",1.0
2016,Number,Nunavut,data.Social and affordable housing,data.All municipalities,0.0
2016,Number,Nunavut,data.Social and affordable housing,data.All urban municipalities,0.0
2016,Number,Nunavut,data.Social and affordable housing,"data.Urban municipalities, population 1 to 4,999",0.0
2016,Number,Nunavut,data.Social and affordable housing,"data.Urban municipalities, population 5,000 to 29,999",0.0
2016,Number,Nunavut,data.Social and affordable housing,"data.Urban municipalities, population 30,000 or more",0.0
2016,Number,Nunavut,data.Social and affordable housing,data.All rural municipalities,0.0
2016,Number,Nunavut,data.Social and affordable housing,"data.Rural municipalities, population 1 to 4,999",0.0
2016,Number,Nunavut,data.Social and affordable housing,"data.Rural municipalities, population 5,000 or more",0.0
2016,Number,Nunavut,data.Solid waste,data.All municipalities,4.0
2016,Number,Nunavut,data.Solid waste,data.All urban municipalities,0.0
2016,Number,Nunavut,data.Solid waste,"data.Urban municipalities, population 1 to 4,999",0.0
2016,Number,Nunavut,data.Solid waste,"data.Urban municipalities, population 5,000 to 29,999",0.0
2016,Number,Nunavut,data.Solid waste,"data.Urban municipalities, population 30,000 or more",0.0
2016,Number,Nunavut,data.Solid waste,data.All rural municipalities,4.0
2016,Number,Nunavut,data.Solid waste,"data.Rural municipalities, population 1 to 4,999",4.0
2016,Number,Nunavut,data.Solid waste,"data.Rural municipalities, population 5,000 or more",0.0
2016,Number,Nunavut,data.Stormwater,data.All municipalities,0.0
2016,Number,Nunavut,data.Stormwater,data.All urban municipalities,0.0
2016,Number,Nunavut,data.Stormwater,"data.Urban municipalities, population 1 to 4,999",0.0
2016,Number,Nunavut,data.Stormwater,"data.Urban municipalities, population 5,000 to 29,999",0.0
2016,Number,Nunavut,data.Stormwater,"data.Urban municipalities, population 30,000 or more",0.0
2016,Number,Nunavut,data.Stormwater,data.All rural municipalities,0.0
2016,Number,Nunavut,data.Stormwater,"data.Rural municipalities, population 1 to 4,999",0.0
2016,Number,Nunavut,data.Stormwater,"data.Rural municipalities, population 5,000 or more",0.0
2016,Number,Nunavut,data.Wastewater,data.All municipalities,4.0
2016,Number,Nunavut,data.Wastewater,data.All urban municipalities,0.0
2016,Number,Nunavut,data.Wastewater,"data.Urban municipalities, population 1 to 4,999",0.0
2016,Number,Nunavut,data.Wastewater,"data.Urban municipalities, population 5,000 to 29,999",0.0
2016,Number,Nunavut,data.Wastewater,"data.Urban municipalities, population 30,000 or more",0.0
2016,Number,Nunavut,data.Wastewater,data.All rural municipalities,4.0
2016,Number,Nunavut,data.Wastewater,"data.Rural municipalities, population 1 to 4,999",4.0
2016,Number,Nunavut,data.Wastewater,"data.Rural municipalities, population 5,000 or more",0.0
2016,Number,Ontario,data.Bridges and tunnels,data.All municipalities,101.0
2016,Number,Ontario,data.Bridges and tunnels,data.All urban municipalities,54.0
2016,Number,Ontario,data.Bridges and tunnels,"data.Urban municipalities, population 1 to 4,999",6.0
2016,Number,Ontario,data.Bridges and tunnels,"data.Urban municipalities, population 5,000 to 29,999",20.0
2016,Number,Ontario,data.Bridges and tunnels,"data.Urban municipalities, population 30,000 or more",27.0
2016,Number,Ontario,data.Bridges and tunnels,data.All rural municipalities,48.0
2016,Number,Ontario,data.Bridges and tunnels,"data.Rural municipalities, population 1 to 4,999",26.0
2016,Number,Ontario,data.Bridges and tunnels,"data.Rural municipalities, population 5,000 or more",22.0
2016,Number,Ontario,"data.Culture, recreation and sports facilities",data.All municipalities,53.0
2016,Number,Ontario,"data.Culture, recreation and sports facilities",data.All urban municipalities,28.0
2016,Number,Ontario,"data.Culture, recreation and sports facilities","data.Urban municipalities, population 1 to 4,999",1.0
2016,Number,Ontario,"data.Culture, recreation and sports facilities","data.Urban municipalities, population 5,000 to 29,999",9.0
2016,Number,Ontario,"data.Culture, recreation and sports facilities","data.Urban municipalities, population 30,000 or more",18.0
2016,Number,Ontario,"data.Culture, recreation and sports facilities",data.All rural municipalities,25.0
2016,Number,Ontario,"data.Culture, recreation and sports facilities","data.Rural municipalities, population 1 to 4,999",13.0
2016,Number,Ontario,"data.Culture, recreation and sports facilities","data.Rural municipalities, population 5,000 or more",13.0
2016,Number,Ontario,data.Potable water,data.All municipalities,59.0
2016,Number,Ontario,data.Potable water,data.All urban municipalities,31.0
2016,Number,Ontario,data.Potable water,"data.Urban municipalities, population 1 to 4,999",1.0
2016,Number,Ontario,data.Potable water,"data.Urban municipalities, population 5,000 to 29,999",19.0
2016,Number,Ontario,data.Potable water,"data.Urban municipalities, population 30,000 or more",10.0
2016,Number,Ontario,data.Potable water,data.All rural municipalities,28.0
2016,Number,Ontario,data.Potable water,"data.Rural municipalities, population 1 to 4,999",0.0
2016,Number,Ontario,data.Potable water,"data.Rural municipalities, population 5,000 or more",17.0
2016,Number,Ontario,Public transit,data.All municipalities,18.0
2016,Number,Ontario,Public transit,data.All urban municipalities,16.0
2016,Number,Ontario,Public transit,"data.Urban municipalities, population 1 to 4,999",1.0
2016,Number,Ontario,Public transit,"data.Urban municipalities, population 5,000 to 29,999",3.0
2016,Number,Ontario,Public transit,"data.Urban municipalities, population 30,000 or more",12.0
2016,Number,Ontario,Public transit,data.All rural municipalities,1.0
2016,Number,Ontario,Public transit,"data.Rural municipalities, population 1 to 4,999",0.0
2016,Number,Ontario,Public transit,"data.Rural municipalities, population 5,000 or more",1.0
2016,Number,Ontario,data.Roads,data.All municipalities,131.0
2016,Number,Ontario,data.Roads,data.All urban municipalities,61.0
2016,Number,Ontario,data.Roads,"data.Urban municipalities, population 1 to 4,999",8.0
2016,Number,Ontario,data.Roads,"data.Urban municipalities, population 5,000 to 29,999",28.0
2016,Number,Ontario,data.Roads,"data.Urban municipalities, population 30,000 or more",24.0
2016,Number,Ontario,data.Roads,data.All rural municipalities,70.0
2016,Number,Ontario,data.Roads,"data.Rural municipalities, population 1 to 4,999",35.0
2016,Number,Ontario,data.Roads,"data.Rural municipalities, population 5,000 or more",35.0
2016,Number,Ontario,data.Social and affordable housing,data.All municipalities,3.0
2016,Number,Ontario,data.Social and affordable housing,data.All urban municipalities,3.0
2016,Number,Ontario,data.Social and affordable housing,"data.Urban municipalities, population 1 to 4,999",0.0
2016,Number,Ontario,data.Social and affordable housing,"data.Urban municipalities, population 5,000 to 29,999",0.0
2016,Number,Ontario,data.Social and affordable housing,"data.Urban municipalities, population 30,000 or more",3.0
2016,Number,Ontario,data.Social and affordable housing,data.All rural municipalities,0.0
2016,Number,Ontario,data.Social and affordable housing,"data.Rural municipalities, population 1 to 4,999",0.0
2016,Number,Ontario,data.Social and affordable housing,"data.Rural municipalities, population 5,000 or more",0.0
2016,Number,Ontario,data.Solid waste,data.All municipalities,25.0
2016,Number,Ontario,data.Solid waste,data.All urban municipalities,10.0
2016,Number,Ontario,data.Solid waste,"data.Urban municipalities, population 1 to 4,999",1.0
2016,Number,Ontario,data.Solid waste,"data.Urban municipalities, population 5,000 to 29,999",4.0
2016,Number,Ontario,data.Solid waste,"data.Urban municipalities, population 30,000 or more",5.0
2016,Number,Ontario,data.Solid waste,data.All rural municipalities,15.0
2016,Number,Ontario,data.Solid waste,"data.Rural municipalities, population 1 to 4,999",13.0
2016,Number,Ontario,data.Solid waste,"data.Rural municipalities, population 5,000 or more",2.0
2016,Number,Ontario,data.Stormwater,data.All municipalities,157.0
2016,Number,Ontario,data.Stormwater,data.All urban municipalities,81.0
2016,Number,Ontario,data.Stormwater,"data.Urban municipalities, population 1 to 4,999",5.0
2016,Number,Ontario,data.Stormwater,"data.Urban municipalities, population 5,000 to 29,999",35.0
2016,Number,Ontario,data.Stormwater,"data.Urban municipalities, population 30,000 or more",42.0
2016,Number,Ontario,data.Stormwater,data.All rural municipalities,76.0
2016,Number,Ontario,data.Stormwater,"data.Rural municipalities, population 1 to 4,999",42.0
2016,Number,Ontario,data.Stormwater,"data.Rural municipalities, population 5,000 or more",34.0
2016,Number,Ontario,data.Wastewater,data.All municipalities,83.0
2016,Number,Ontario,data.Wastewater,data.All urban municipalities,41.0
2016,Number,Ontario,data.Wastewater,"data.Urban municipalities, population 1 to 4,999",0.0
2016,Number,Ontario,data.Wastewater,"data.Urban municipalities, population 5,000 to 29,999",22.0
2016,Number,Ontario,data.Wastewater,"data.Urban municipalities, population 30,000 or more",19.0
2016,Number,Ontario,data.Wastewater,data.All rural municipalities,41.0
2016,Number,Ontario,data.Wastewater,"data.Rural municipalities, population 1 to 4,999",19.0
2016,Number,Ontario,data.Wastewater,"data.Rural municipalities, population 5,000 or more",22.0
2016,Number,data.Prince Edward Island ,data.Bridges and tunnels,data.All municipalities,0.0
2016,Number,data.Prince Edward Island ,data.Bridges and tunnels,data.All urban municipalities,0.0
2016,Number,data.Prince Edward Island ,data.Bridges and tunnels,"data.Urban municipalities, population 1 to 4,999",0.0
2016,Number,data.Prince Edward Island ,data.Bridges and tunnels,"data.Urban municipalities, population 5,000 to 29,999",0.0
2016,Number,data.Prince Edward Island ,data.Bridges and tunnels,"data.Urban municipalities, population 30,000 or more",0.0
2016,Number,data.Prince Edward Island ,data.Bridges and tunnels,data.All rural municipalities,0.0
2016,Number,data.Prince Edward Island ,data.Bridges and tunnels,"data.Rural municipalities, population 1 to 4,999",0.0
2016,Number,data.Prince Edward Island ,data.Bridges and tunnels,"data.Rural municipalities, population 5,000 or more",0.0
2016,Number,data.Prince Edward Island ,"data.Culture, recreation and sports facilities",data.All municipalities,4.0
2016,Number,data.Prince Edward Island ,"data.Culture, recreation and sports facilities",data.All urban municipalities,3.0
2016,Number,data.Prince Edward Island ,"data.Culture, recreation and sports facilities","data.Urban municipalities, population 1 to 4,999",1.0
2016,Number,data.Prince Edward Island ,"data.Culture, recreation and sports facilities","data.Urban municipalities, population 5,000 to 29,999",1.0
2016,Number,data.Prince Edward Island ,"data.Culture, recreation and sports facilities","data.Urban municipalities, population 30,000 or more",1.0
2016,Number,data.Prince Edward Island ,"data.Culture, recreation and sports facilities",data.All rural municipalities,1.0
2016,Number,data.Prince Edward Island ,"data.Culture, recreation and sports facilities","data.Rural municipalities, population 1 to 4,999",1.0
2016,Number,data.Prince Edward Island ,"data.Culture, recreation and sports facilities","data.Rural municipalities, population 5,000 or more",0.0
2016,Number,data.Prince Edward Island ,data.Potable water,data.All municipalities,2.0
2016,Number,data.Prince Edward Island ,data.Potable water,data.All urban municipalities,2.0
2016,Number,data.Prince Edward Island ,data.Potable water,"data.Urban municipalities, population 1 to 4,999",0.0
2016,Number,data.Prince Edward Island ,data.Potable water,"data.Urban municipalities, population 5,000 to 29,999",1.0
2016,Number,data.Prince Edward Island ,data.Potable water,"data.Urban municipalities, population 30,000 or more",1.0
2016,Number,data.Prince Edward Island ,data.Potable water,data.All rural municipalities,0.0
2016,Number,data.Prince Edward Island ,data.Potable water,"data.Rural municipalities, population 1 to 4,999",0.0
2016,Number,data.Prince Edward Island ,data.Potable water,"data.Rural municipalities, population 5,000 or more",0.0
2016,Number,data.Prince Edward Island ,Public transit,data.All municipalities,0.0
2016,Number,data.Prince Edward Island ,Public transit,data.All urban municipalities,0.0
2016,Number,data.Prince Edward Island ,Public transit,"data.Urban municipalities, population 1 to 4,999",0.0
2016,Number,data.Prince Edward Island ,Public transit,"data.Urban municipalities, population 5,000 to 29,999",0.0
2016,Number,data.Prince Edward Island ,Public transit,"data.Urban municipalities, population 30,000 or more",0.0
2016,Number,data.Prince Edward Island ,Public transit,data.All rural municipalities,0.0
2016,Number,data.Prince Edward Island ,Public transit,"data.Rural municipalities, population 1 to 4,999",0.0
2016,Number,data.Prince Edward Island ,Public transit,"data.Rural municipalities, population 5,000 or more",0.0
2016,Number,data.Prince Edward Island ,data.Roads,data.All municipalities,2.0
2016,Number,data.Prince Edward Island ,data.Roads,data.All urban municipalities,1.0
2016,Number,data.Prince Edward Island ,data.Roads,"data.Urban municipalities, population 1 to 4,999",0.0
2016,Number,data.Prince Edward Island ,data.Roads,"data.Urban municipalities, population 5,000 to 29,999",1.0
2016,Number,data.Prince Edward Island ,data.Roads,"data.Urban municipalities, population 30,000 or more",0.0
2016,Number,data.Prince Edward Island ,data.Roads,data.All rural municipalities,1.0
2016,Number,data.Prince Edward Island ,data.Roads,"data.Rural municipalities, population 1 to 4,999",1.0
2016,Number,data.Prince Edward Island ,data.Roads,"data.Rural municipalities, population 5,000 or more",0.0
2016,Number,data.Prince Edward Island ,data.Social and affordable housing,data.All municipalities,0.0
2016,Number,data.Prince Edward Island ,data.Social and affordable housing,data.All urban municipalities,0.0
2016,Number,data.Prince Edward Island ,data.Social and affordable housing,"data.Urban municipalities, population 1 to 4,999",0.0
2016,Number,data.Prince Edward Island ,data.Social and affordable housing,"data.Urban municipalities, population 5,000 to 29,999",0.0
2016,Number,data.Prince Edward Island ,data.Social and affordable housing,"data.Urban municipalities, population 30,000 or more",0.0
2016,Number,data.Prince Edward Island ,data.Social and affordable housing,data.All rural municipalities,0.0
2016,Number,data.Prince Edward Island ,data.Social and affordable housing,"data.Rural municipalities, population 1 to 4,999",0.0
2016,Number,data.Prince Edward Island ,data.Social and affordable housing,"data.Rural municipalities, population 5,000 or more",0.0
2016,Number,data.Prince Edward Island ,data.Solid waste,data.All municipalities,0.0
2016,Number,data.Prince Edward Island ,data.Solid waste,data.All urban municipalities,0.0
2016,Number,data.Prince Edward Island ,data.Solid waste,"data.Urban municipalities, population 1 to 4,999",0.0
2016,Number,data.Prince Edward Island ,data.Solid waste,"data.Urban municipalities, population 5,000 to 29,999",0.0
2016,Number,data.Prince Edward Island ,data.Solid waste,"data.Urban municipalities, population 30,000 or more",0.0
2016,Number,data.Prince Edward Island ,data.Solid waste,data.All rural municipalities,0.0
2016,Number,data.Prince Edward Island ,data.Solid waste,"data.Rural municipalities, population 1 to 4,999",0.0
2016,Number,data.Prince Edward Island ,data.Solid waste,"data.Rural municipalities, population 5,000 or more",0.0
2016,Number,data.Prince Edward Island ,data.Stormwater,data.All municipalities,3.0
2016,Number,data.Prince Edward Island ,data.Stormwater,data.All urban municipalities,2.0
2016,Number,data.Prince Edward Island ,data.Stormwater,"data.Urban municipalities, population 1 to 4,999",0.0
2016,Number,data.Prince Edward Island ,data.Stormwater,"data.Urban municipalities, population 5,000 to 29,999",1.0
2016,Number,data.Prince Edward Island ,data.Stormwater,"data.Urban municipalities, population 30,000 or more",1.0
2016,Number,data.Prince Edward Island ,data.Stormwater,data.All rural municipalities,1.0
2016,Number,data.Prince Edward Island ,data.Stormwater,"data.Rural municipalities, population 1 to 4,999",1.0
2016,Number,data.Prince Edward Island ,data.Stormwater,"data.Rural municipalities, population 5,000 or more",0.0
2016,Number,data.Prince Edward Island ,data.Wastewater,data.All municipalities,4.0
2016,Number,data.Prince Edward Island ,data.Wastewater,data.All urban municipalities,2.0
2016,Number,data.Prince Edward Island ,data.Wastewater,"data.Urban municipalities, population 1 to 4,999",1.0
2016,Number,data.Prince Edward Island ,data.Wastewater,"data.Urban municipalities, population 5,000 to 29,999",1.0
2016,Number,data.Prince Edward Island ,data.Wastewater,"data.Urban municipalities, population 30,000 or more",0.0
2016,Number,data.Prince Edward Island ,data.Wastewater,data.All rural municipalities,2.0
2016,Number,data.Prince Edward Island ,data.Wastewater,"data.Rural municipalities, population 1 to 4,999",2.0
2016,Number,data.Prince Edward Island ,data.Wastewater,"data.Rural municipalities, population 5,000 or more",0.0
2016,Number,data.Quebec ,data.Bridges and tunnels,data.All municipalities,0.0
2016,Number,data.Quebec ,data.Bridges and tunnels,data.All urban municipalities,17.0
2016,Number,data.Quebec ,data.Bridges and tunnels,"data.Urban municipalities, population 1 to 4,999",9.0
2016,Number,data.Quebec ,data.Bridges and tunnels,"data.Urban municipalities, population 5,000 to 29,999",4.0
2016,Number,data.Quebec ,data.Bridges and tunnels,"data.Urban municipalities, population 30,000 or more",3.0
2016,Number,data.Quebec ,data.Bridges and tunnels,data.All rural municipalities,0.0
2016,Number,data.Quebec ,data.Bridges and tunnels,"data.Rural municipalities, population 1 to 4,999",0.0
2016,Number,data.Quebec ,data.Bridges and tunnels,"data.Rural municipalities, population 5,000 or more",5.0
2016,Number,data.Quebec ,"data.Culture, recreation and sports facilities",data.All municipalities,152.0
2016,Number,data.Quebec ,"data.Culture, recreation and sports facilities",data.All urban municipalities,34.0
2016,Number,data.Quebec ,"data.Culture, recreation and sports facilities","data.Urban municipalities, population 1 to 4,999",17.0
2016,Number,data.Quebec ,"data.Culture, recreation and sports facilities","data.Urban municipalities, population 5,000 to 29,999",11.0
2016,Number,data.Quebec ,"data.Culture, recreation and sports facilities","data.Urban municipalities, population 30,000 or more",6.0
2016,Number,data.Quebec ,"data.Culture, recreation and sports facilities",data.All rural municipalities,118.0
2016,Number,data.Quebec ,"data.Culture, recreation and sports facilities","data.Rural municipalities, population 1 to 4,999",103.0
2016,Number,data.Quebec ,"data.Culture, recreation and sports facilities","data.Rural municipalities, population 5,000 or more",15.0
2016,Number,data.Quebec ,data.Potable water,data.All municipalities,153.0
2016,Number,data.Quebec ,data.Potable water,data.All urban municipalities,48.0
2016,Number,data.Quebec ,data.Potable water,"data.Urban municipalities, population 1 to 4,999",14.0
2016,Number,data.Quebec ,data.Potable water,"data.Urban municipalities, population 5,000 to 29,999",25.0
2016,Number,data.Quebec ,data.Potable water,"data.Urban municipalities, population 30,000 or more",9.0
2016,Number,data.Quebec ,data.Potable water,data.All rural municipalities,105.0
2016,Number,data.Quebec ,data.Potable water,"data.Rural municipalities, population 1 to 4,999",0.0
2016,Number,data.Quebec ,data.Potable water,"data.Rural municipalities, population 5,000 or more",24.0
2016,Number,data.Quebec ,Public transit,data.All municipalities,7.0
2016,Number,data.Quebec ,Public transit,data.All urban municipalities,4.0
2016,Number,data.Quebec ,Public transit,"data.Urban municipalities, population 1 to 4,999",0.0
2016,Number,data.Quebec ,Public transit,"data.Urban municipalities, population 5,000 to 29,999",1.0
2016,Number,data.Quebec ,Public transit,"data.Urban municipalities, population 30,000 or more",3.0
2016,Number,data.Quebec ,Public transit,data.All rural municipalities,2.0
2016,Number,data.Quebec ,Public transit,"data.Rural municipalities, population 1 to 4,999",0.0
2016,Number,data.Quebec ,Public transit,"data.Rural municipalities, population 5,000 or more",2.0
2016,Number,data.Quebec ,data.Roads,data.All municipalities,261.0
2016,Number,data.Quebec ,data.Roads,data.All urban municipalities,76.0
2016,Number,data.Quebec ,data.Roads,"data.Urban municipalities, population 1 to 4,999",35.0
2016,Number,data.Quebec ,data.Roads,"data.Urban municipalities, population 5,000 to 29,999",29.0
2016,Number,data.Quebec ,data.Roads,"data.Urban municipalities, population 30,000 or more",11.0
2016,Number,data.Quebec ,data.Roads,data.All rural municipalities,186.0
2016,Number,data.Quebec ,data.Roads,"data.Rural municipalities, population 1 to 4,999",164.0
2016,Number,data.Quebec ,data.Roads,"data.Rural municipalities, population 5,000 or more",21.0
2016,Number,data.Quebec ,data.Social and affordable housing,data.All municipalities,0.0
2016,Number,data.Quebec ,data.Social and affordable housing,data.All urban municipalities,0.0
2016,Number,data.Quebec ,data.Social and affordable housing,"data.Urban municipalities, population 1 to 4,999",0.0
2016,Number,data.Quebec ,data.Social and affordable housing,"data.Urban municipalities, population 5,000 to 29,999",0.0
2016,Number,data.Quebec ,data.Social and affordable housing,"data.Urban municipalities, population 30,000 or more",0.0
2016,Number,data.Quebec ,data.Social and affordable housing,data.All rural municipalities,0.0
2016,Number,data.Quebec ,data.Social and affordable housing,"data.Rural municipalities, population 1 to 4,999",0.0
2016,Number,data.Quebec ,data.Social and affordable housing,"data.Rural municipalities, population 5,000 or more",0.0
2016,Number,data.Quebec ,data.Solid waste,data.All municipalities,0.0
2016,Number,data.Quebec ,data.Solid waste,data.All urban municipalities,9.0
2016,Number,data.Quebec ,data.Solid waste,"data.Urban municipalities, population 1 to 4,999",3.0
2016,Number,data.Quebec ,data.Solid waste,"data.Urban municipalities, population 5,000 to 29,999",4.0
2016,Number,data.Quebec ,data.Solid waste,"data.Urban municipalities, population 30,000 or more",1.0
2016,Number,data.Quebec ,data.Solid waste,data.All rural municipalities,0.0
2016,Number,data.Quebec ,data.Solid waste,"data.Rural municipalities, population 1 to 4,999",0.0
2016,Number,data.Quebec ,data.Solid waste,"data.Rural municipalities, population 5,000 or more",3.0
2016,Number,data.Quebec ,data.Stormwater,data.All municipalities,223.0
2016,Number,data.Quebec ,data.Stormwater,data.All urban municipalities,108.0
2016,Number,data.Quebec ,data.Stormwater,"data.Urban municipalities, population 1 to 4,999",23.0
2016,Number,data.Quebec ,data.Stormwater,"data.Urban municipalities, population 5,000 to 29,999",54.0
2016,Number,data.Quebec ,data.Stormwater,"data.Urban municipalities, population 30,000 or more",31.0
2016,Number,data.Quebec ,data.Stormwater,data.All rural municipalities,115.0
2016,Number,data.Quebec ,data.Stormwater,"data.Rural municipalities, population 1 to 4,999",92.0
2016,Number,data.Quebec ,data.Stormwater,"data.Rural municipalities, population 5,000 or more",23.0
2016,Number,data.Quebec ,data.Wastewater,data.All municipalities,178.0
2016,Number,data.Quebec ,data.Wastewater,data.All urban municipalities,66.0
2016,Number,data.Quebec ,data.Wastewater,"data.Urban municipalities, population 1 to 4,999",17.0
2016,Number,data.Quebec ,data.Wastewater,"data.Urban municipalities, population 5,000 to 29,999",29.0
2016,Number,data.Quebec ,data.Wastewater,"data.Urban municipalities, population 30,000 or more",19.0
2016,Number,data.Quebec ,data.Wastewater,data.All rural municipalities,112.0
2016,Number,data.Quebec ,data.Wastewater,"data.Rural municipalities, population 1 to 4,999",96.0
2016,Number,data.Quebec ,data.Wastewater,"data.Rural municipalities, population 5,000 or more",16.0
2016,Number,Saskatchewan,data.Bridges and tunnels,data.All municipalities,14.0
2016,Number,Saskatchewan,data.Bridges and tunnels,data.All urban municipalities,7.0
2016,Number,Saskatchewan,data.Bridges and tunnels,"data.Urban municipalities, population 1 to 4,999",3.0
2016,Number,Saskatchewan,data.Bridges and tunnels,"data.Urban municipalities, population 5,000 to 29,999",1.0
2016,Number,Saskatchewan,data.Bridges and tunnels,"data.Urban municipalities, population 30,000 or more",3.0
2016,Number,Saskatchewan,data.Bridges and tunnels,data.All rural municipalities,7.0
2016,Number,Saskatchewan,data.Bridges and tunnels,"data.Rural municipalities, population 1 to 4,999",7.0
2016,Number,Saskatchewan,data.Bridges and tunnels,"data.Rural municipalities, population 5,000 or more",0.0
2016,Number,Saskatchewan,"data.Culture, recreation and sports facilities",data.All municipalities,6.0
2016,Number,Saskatchewan,"data.Culture, recreation and sports facilities",data.All urban municipalities,6.0
2016,Number,Saskatchewan,"data.Culture, recreation and sports facilities","data.Urban municipalities, population 1 to 4,999",3.0
2016,Number,Saskatchewan,"data.Culture, recreation and sports facilities","data.Urban municipalities, population 5,000 to 29,999",2.0
2016,Number,Saskatchewan,"data.Culture, recreation and sports facilities","data.Urban municipalities, population 30,000 or more",1.0
2016,Number,Saskatchewan,"data.Culture, recreation and sports facilities",data.All rural municipalities,0.0
2016,Number,Saskatchewan,"data.Culture, recreation and sports facilities","data.Rural municipalities, population 1 to 4,999",0.0
2016,Number,Saskatchewan,"data.Culture, recreation and sports facilities","data.Rural municipalities, population 5,000 or more",0.0
2016,Number,Saskatchewan,data.Potable water,data.All municipalities,16.0
2016,Number,Saskatchewan,data.Potable water,data.All urban municipalities,11.0
2016,Number,Saskatchewan,data.Potable water,"data.Urban municipalities, population 1 to 4,999",7.0
2016,Number,Saskatchewan,data.Potable water,"data.Urban municipalities, population 5,000 to 29,999",1.0
2016,Number,Saskatchewan,data.Potable water,"data.Urban municipalities, population 30,000 or more",3.0
2016,Number,Saskatchewan,data.Potable water,data.All rural municipalities,6.0
2016,Number,Saskatchewan,data.Potable water,"data.Rural municipalities, population 1 to 4,999",6.0
2016,Number,Saskatchewan,data.Potable water,"data.Rural municipalities, population 5,000 or more",0.0
2016,Number,Saskatchewan,Public transit,data.All municipalities,2.0
2016,Number,Saskatchewan,Public transit,data.All urban municipalities,2.0
2016,Number,Saskatchewan,Public transit,"data.Urban municipalities, population 1 to 4,999",0.0
2016,Number,Saskatchewan,Public transit,"data.Urban municipalities, population 5,000 to 29,999",0.0
2016,Number,Saskatchewan,Public transit,"data.Urban municipalities, population 30,000 or more",2.0
2016,Number,Saskatchewan,Public transit,data.All rural municipalities,0.0
2016,Number,Saskatchewan,Public transit,"data.Rural municipalities, population 1 to 4,999",0.0
2016,Number,Saskatchewan,Public transit,"data.Rural municipalities, population 5,000 or more",0.0
2016,Number,Saskatchewan,data.Roads,data.All municipalities,40.0
2016,Number,Saskatchewan,data.Roads,data.All urban municipalities,24.0
2016,Number,Saskatchewan,data.Roads,"data.Urban municipalities, population 1 to 4,999",20.0
2016,Number,Saskatchewan,data.Roads,"data.Urban municipalities, population 5,000 to 29,999",2.0
2016,Number,Saskatchewan,data.Roads,"data.Urban municipalities, population 30,000 or more",2.0
2016,Number,Saskatchewan,data.Roads,data.All rural municipalities,16.0
2016,Number,Saskatchewan,data.Roads,"data.Rural municipalities, population 1 to 4,999",15.0
2016,Number,Saskatchewan,data.Roads,"data.Rural municipalities, population 5,000 or more",1.0
2016,Number,Saskatchewan,data.Social and affordable housing,data.All municipalities,0.0
2016,Number,Saskatchewan,data.Social and affordable housing,data.All urban municipalities,0.0
2016,Number,Saskatchewan,data.Social and affordable housing,"data.Urban municipalities, population 1 to 4,999",0.0
2016,Number,Saskatchewan,data.Social and affordable housing,"data.Urban municipalities, population 5,000 to 29,999",0.0
2016,Number,Saskatchewan,data.Social and affordable housing,"data.Urban municipalities, population 30,000 or more",0.0
2016,Number,Saskatchewan,data.Social and affordable housing,data.All rural municipalities,0.0
2016,Number,Saskatchewan,data.Social and affordable housing,"data.Rural municipalities, population 1 to 4,999",0.0
2016,Number,Saskatchewan,data.Social and affordable housing,"data.Rural municipalities, population 5,000 or more",0.0
2016,Number,Saskatchewan,data.Solid waste,data.All municipalities,11.0
2016,Number,Saskatchewan,data.Solid waste,data.All urban municipalities,7.0
2016,Number,Saskatchewan,data.Solid waste,"data.Urban municipalities, population 1 to 4,999",4.0
2016,Number,Saskatchewan,data.Solid waste,"data.Urban municipalities, population 5,000 to 29,999",1.0
2016,Number,Saskatchewan,data.Solid waste,"data.Urban municipalities, population 30,000 or more",2.0
2016,Number,Saskatchewan,data.Solid waste,data.All rural municipalities,4.0
2016,Number,Saskatchewan,data.Solid waste,"data.Rural municipalities, population 1 to 4,999",4.0
