Year,Geography,data.Educational attainment level,Age group,Sex,Value
2018,Newfoundland and Labrador,data.Tertiary education,"data.Total, 25 to 64 years",Male,41.0
2019,Newfoundland and Labrador,data.Tertiary education,"data.Total, 25 to 64 years",Male,42.0
2020,Newfoundland and Labrador,data.Tertiary education,"data.Total, 25 to 64 years",Male,44.0
2010,Newfoundland and Labrador,data.Tertiary education,"data.Total, 25 to 64 years",Female,42.0
2011,Newfoundland and Labrador,data.Tertiary education,"data.Total, 25 to 64 years",Female,43.0
2012,Newfoundland and Labrador,data.Tertiary education,"data.Total, 25 to 64 years",Female,47.0
2013,Newfoundland and Labrador,data.Tertiary education,"data.Total, 25 to 64 years",Female,46.0
2014,Newfoundland and Labrador,data.Tertiary education,"data.Total, 25 to 64 years",Female,49.0
2015,Newfoundland and Labrador,data.Tertiary education,"data.Total, 25 to 64 years",Female,48.0
2016,Newfoundland and Labrador,data.Tertiary education,"data.Total, 25 to 64 years",Female,50.0
2017,Newfoundland and Labrador,data.Tertiary education,"data.Total, 25 to 64 years",Female,51.0
2018,Newfoundland and Labrador,data.Tertiary education,"data.Total, 25 to 64 years",Female,56.0
2019,Newfoundland and Labrador,data.Tertiary education,"data.Total, 25 to 64 years",Female,58.0
2020,Newfoundland and Labrador,data.Tertiary education,"data.Total, 25 to 64 years",Female,60.0
2010,Newfoundland and Labrador,data.Tertiary education,25 to 34 years,Both sexes,47.0
2011,Newfoundland and Labrador,data.Tertiary education,25 to 34 years,Both sexes,50.0
2012,Newfoundland and Labrador,data.Tertiary education,25 to 34 years,Both sexes,53.0
2013,Newfoundland and Labrador,data.Tertiary education,25 to 34 years,Both sexes,54.0
2014,Newfoundland and Labrador,data.Tertiary education,25 to 34 years,Both sexes,54.0
2015,Newfoundland and Labrador,data.Tertiary education,25 to 34 years,Both sexes,52.0
2016,Newfoundland and Labrador,data.Tertiary education,25 to 34 years,Both sexes,53.0
2017,Newfoundland and Labrador,data.Tertiary education,25 to 34 years,Both sexes,51.0
2018,Newfoundland and Labrador,data.Tertiary education,25 to 34 years,Both sexes,59.0
2019,Newfoundland and Labrador,data.Tertiary education,25 to 34 years,Both sexes,58.0
2020,Newfoundland and Labrador,data.Tertiary education,25 to 34 years,Both sexes,58.0
2010,Newfoundland and Labrador,data.Tertiary education,25 to 34 years,Male,38.0
2011,Newfoundland and Labrador,data.Tertiary education,25 to 34 years,Male,39.0
2012,Newfoundland and Labrador,data.Tertiary education,25 to 34 years,Male,43.0
2013,Newfoundland and Labrador,data.Tertiary education,25 to 34 years,Male,44.0
2014,Newfoundland and Labrador,data.Tertiary education,25 to 34 years,Male,44.0
2015,Newfoundland and Labrador,data.Tertiary education,25 to 34 years,Male,45.0
2016,Newfoundland and Labrador,data.Tertiary education,25 to 34 years,Male,44.0
2017,Newfoundland and Labrador,data.Tertiary education,25 to 34 years,Male,42.0
2018,Newfoundland and Labrador,data.Tertiary education,25 to 34 years,Male,50.0
2019,Newfoundland and Labrador,data.Tertiary education,25 to 34 years,Male,48.0
2020,Newfoundland and Labrador,data.Tertiary education,25 to 34 years,Male,47.0
2010,Newfoundland and Labrador,data.Tertiary education,25 to 34 years,Female,56.0
2011,Newfoundland and Labrador,data.Tertiary education,25 to 34 years,Female,60.0
2012,Newfoundland and Labrador,data.Tertiary education,25 to 34 years,Female,63.0
2013,Newfoundland and Labrador,data.Tertiary education,25 to 34 years,Female,64.0
2014,Newfoundland and Labrador,data.Tertiary education,25 to 34 years,Female,63.0
2015,Newfoundland and Labrador,data.Tertiary education,25 to 34 years,Female,59.0
2016,Newfoundland and Labrador,data.Tertiary education,25 to 34 years,Female,63.0
2017,Newfoundland and Labrador,data.Tertiary education,25 to 34 years,Female,61.0
2018,Newfoundland and Labrador,data.Tertiary education,25 to 34 years,Female,69.0
2019,Newfoundland and Labrador,data.Tertiary education,25 to 34 years,Female,68.0
2020,Newfoundland and Labrador,data.Tertiary education,25 to 34 years,Female,68.0
2010,Newfoundland and Labrador,data.Tertiary education,30 to 34 years,Both sexes,48.0
2011,Newfoundland and Labrador,data.Tertiary education,30 to 34 years,Both sexes,53.0
2012,Newfoundland and Labrador,data.Tertiary education,30 to 34 years,Both sexes,54.0
2013,Newfoundland and Labrador,data.Tertiary education,30 to 34 years,Both sexes,54.0
2014,Newfoundland and Labrador,data.Tertiary education,30 to 34 years,Both sexes,57.0
2015,Newfoundland and Labrador,data.Tertiary education,30 to 34 years,Both sexes,54.0
2016,Newfoundland and Labrador,data.Tertiary education,30 to 34 years,Both sexes,57.0
2017,Newfoundland and Labrador,data.Tertiary education,30 to 34 years,Both sexes,54.0
2018,Newfoundland and Labrador,data.Tertiary education,30 to 34 years,Both sexes,60.0
2019,Newfoundland and Labrador,data.Tertiary education,30 to 34 years,Both sexes,61.0
2020,Newfoundland and Labrador,data.Tertiary education,30 to 34 years,Both sexes,63.0
2010,Newfoundland and Labrador,data.Tertiary education,30 to 34 years,Male,41.0
2011,Newfoundland and Labrador,data.Tertiary education,30 to 34 years,Male,43.0
2012,Newfoundland and Labrador,data.Tertiary education,30 to 34 years,Male,43.0
2013,Newfoundland and Labrador,data.Tertiary education,30 to 34 years,Male,45.0
2014,Newfoundland and Labrador,data.Tertiary education,30 to 34 years,Male,45.0
2015,Newfoundland and Labrador,data.Tertiary education,30 to 34 years,Male,46.0
2016,Newfoundland and Labrador,data.Tertiary education,30 to 34 years,Male,48.0
2017,Newfoundland and Labrador,data.Tertiary education,30 to 34 years,Male,46.0
2018,Newfoundland and Labrador,data.Tertiary education,30 to 34 years,Male,52.0
2019,Newfoundland and Labrador,data.Tertiary education,30 to 34 years,Male,52.0
2020,Newfoundland and Labrador,data.Tertiary education,30 to 34 years,Male,52.0
2010,Newfoundland and Labrador,data.Tertiary education,30 to 34 years,Female,55.0
2011,Newfoundland and Labrador,data.Tertiary education,30 to 34 years,Female,62.0
2012,Newfoundland and Labrador,data.Tertiary education,30 to 34 years,Female,65.0
2013,Newfoundland and Labrador,data.Tertiary education,30 to 34 years,Female,64.0
2014,Newfoundland and Labrador,data.Tertiary education,30 to 34 years,Female,68.0
2015,Newfoundland and Labrador,data.Tertiary education,30 to 34 years,Female,63.0
2016,Newfoundland and Labrador,data.Tertiary education,30 to 34 years,Female,66.0
2017,Newfoundland and Labrador,data.Tertiary education,30 to 34 years,Female,63.0
2018,Newfoundland and Labrador,data.Tertiary education,30 to 34 years,Female,69.0
2019,Newfoundland and Labrador,data.Tertiary education,30 to 34 years,Female,71.0
2020,Newfoundland and Labrador,data.Tertiary education,30 to 34 years,Female,74.0
2010,Newfoundland and Labrador,data.Tertiary education,35 to 44 years,Both sexes,43.0
2011,Newfoundland and Labrador,data.Tertiary education,35 to 44 years,Both sexes,47.0
2012,Newfoundland and Labrador,data.Tertiary education,35 to 44 years,Both sexes,52.0
2013,Newfoundland and Labrador,data.Tertiary education,35 to 44 years,Both sexes,49.0
2014,Newfoundland and Labrador,data.Tertiary education,35 to 44 years,Both sexes,53.0
2015,Newfoundland and Labrador,data.Tertiary education,35 to 44 years,Both sexes,49.0
2016,Newfoundland and Labrador,data.Tertiary education,35 to 44 years,Both sexes,52.0
2017,Newfoundland and Labrador,data.Tertiary education,35 to 44 years,Both sexes,53.0
2018,Newfoundland and Labrador,data.Tertiary education,35 to 44 years,Both sexes,57.0
2019,Newfoundland and Labrador,data.Tertiary education,35 to 44 years,Both sexes,60.0
2020,Newfoundland and Labrador,data.Tertiary education,35 to 44 years,Both sexes,63.0
2010,Newfoundland and Labrador,data.Tertiary education,35 to 44 years,Male,36.0
2011,Newfoundland and Labrador,data.Tertiary education,35 to 44 years,Male,41.0
2012,Newfoundland and Labrador,data.Tertiary education,35 to 44 years,Male,44.0
2013,Newfoundland and Labrador,data.Tertiary education,35 to 44 years,Male,40.0
2014,Newfoundland and Labrador,data.Tertiary education,35 to 44 years,Male,46.0
2015,Newfoundland and Labrador,data.Tertiary education,35 to 44 years,Male,40.0
2016,Newfoundland and Labrador,data.Tertiary education,35 to 44 years,Male,42.0
2017,Newfoundland and Labrador,data.Tertiary education,35 to 44 years,Male,44.0
2018,Newfoundland and Labrador,data.Tertiary education,35 to 44 years,Male,49.0
2019,Newfoundland and Labrador,data.Tertiary education,35 to 44 years,Male,51.0
2020,Newfoundland and Labrador,data.Tertiary education,35 to 44 years,Male,54.0
2010,Newfoundland and Labrador,data.Tertiary education,35 to 44 years,Female,51.0
2011,Newfoundland and Labrador,data.Tertiary education,35 to 44 years,Female,52.0
2012,Newfoundland and Labrador,data.Tertiary education,35 to 44 years,Female,60.0
2013,Newfoundland and Labrador,data.Tertiary education,35 to 44 years,Female,57.0
2014,Newfoundland and Labrador,data.Tertiary education,35 to 44 years,Female,59.0
2015,Newfoundland and Labrador,data.Tertiary education,35 to 44 years,Female,58.0
2016,Newfoundland and Labrador,data.Tertiary education,35 to 44 years,Female,62.0
2017,Newfoundland and Labrador,data.Tertiary education,35 to 44 years,Female,62.0
2018,Newfoundland and Labrador,data.Tertiary education,35 to 44 years,Female,64.0
2019,Newfoundland and Labrador,data.Tertiary education,35 to 44 years,Female,68.0
2020,Newfoundland and Labrador,data.Tertiary education,35 to 44 years,Female,71.0
2010,Newfoundland and Labrador,data.Tertiary education,45 to 54 years,Both sexes,31.0
2011,Newfoundland and Labrador,data.Tertiary education,45 to 54 years,Both sexes,32.0
2012,Newfoundland and Labrador,data.Tertiary education,45 to 54 years,Both sexes,35.0
2013,Newfoundland and Labrador,data.Tertiary education,45 to 54 years,Both sexes,35.0
2014,Newfoundland and Labrador,data.Tertiary education,45 to 54 years,Both sexes,38.0
2015,Newfoundland and Labrador,data.Tertiary education,45 to 54 years,Both sexes,37.0
2016,Newfoundland and Labrador,data.Tertiary education,45 to 54 years,Both sexes,39.0
2017,Newfoundland and Labrador,data.Tertiary education,45 to 54 years,Both sexes,45.0
2018,Newfoundland and Labrador,data.Tertiary education,45 to 54 years,Both sexes,49.0
2019,Newfoundland and Labrador,data.Tertiary education,45 to 54 years,Both sexes,50.0
2020,Newfoundland and Labrador,data.Tertiary education,45 to 54 years,Both sexes,55.0
2010,Newfoundland and Labrador,data.Tertiary education,45 to 54 years,Male,26.0
2011,Newfoundland and Labrador,data.Tertiary education,45 to 54 years,Male,27.0
2012,Newfoundland and Labrador,data.Tertiary education,45 to 54 years,Male,30.0
2013,Newfoundland and Labrador,data.Tertiary education,45 to 54 years,Male,30.0
2014,Newfoundland and Labrador,data.Tertiary education,45 to 54 years,Male,30.0
2015,Newfoundland and Labrador,data.Tertiary education,45 to 54 years,Male,30.0
2016,Newfoundland and Labrador,data.Tertiary education,45 to 54 years,Male,33.0
2017,Newfoundland and Labrador,data.Tertiary education,45 to 54 years,Male,38.0
2018,Newfoundland and Labrador,data.Tertiary education,45 to 54 years,Male,42.0
2019,Newfoundland and Labrador,data.Tertiary education,45 to 54 years,Male,42.0
2020,Newfoundland and Labrador,data.Tertiary education,45 to 54 years,Male,44.0
2010,Newfoundland and Labrador,data.Tertiary education,45 to 54 years,Female,36.0
2011,Newfoundland and Labrador,data.Tertiary education,45 to 54 years,Female,37.0
2012,Newfoundland and Labrador,data.Tertiary education,45 to 54 years,Female,40.0
2013,Newfoundland and Labrador,data.Tertiary education,45 to 54 years,Female,40.0
2014,Newfoundland and Labrador,data.Tertiary education,45 to 54 years,Female,46.0
2015,Newfoundland and Labrador,data.Tertiary education,45 to 54 years,Female,43.0
2016,Newfoundland and Labrador,data.Tertiary education,45 to 54 years,Female,46.0
2017,Newfoundland and Labrador,data.Tertiary education,45 to 54 years,Female,52.0
2018,Newfoundland and Labrador,data.Tertiary education,45 to 54 years,Female,57.0
2019,Newfoundland and Labrador,data.Tertiary education,45 to 54 years,Female,58.0
2020,Newfoundland and Labrador,data.Tertiary education,45 to 54 years,Female,65.0
2010,Newfoundland and Labrador,data.Tertiary education,55 to 64 years,Both sexes,26.0
2011,Newfoundland and Labrador,data.Tertiary education,55 to 64 years,Both sexes,27.0
2012,Newfoundland and Labrador,data.Tertiary education,55 to 64 years,Both sexes,25.0
2013,Newfoundland and Labrador,data.Tertiary education,55 to 64 years,Both sexes,27.0
2014,Newfoundland and Labrador,data.Tertiary education,55 to 64 years,Both sexes,29.0
2015,Newfoundland and Labrador,data.Tertiary education,55 to 64 years,Both sexes,31.0
2016,Newfoundland and Labrador,data.Tertiary education,55 to 64 years,Both sexes,31.0
2017,Newfoundland and Labrador,data.Tertiary education,55 to 64 years,Both sexes,32.0
2018,Newfoundland and Labrador,data.Tertiary education,55 to 64 years,Both sexes,34.0
2019,Newfoundland and Labrador,data.Tertiary education,55 to 64 years,Both sexes,39.0
2020,Newfoundland and Labrador,data.Tertiary education,55 to 64 years,Both sexes,39.0
2010,Newfoundland and Labrador,data.Tertiary education,55 to 64 years,Male,23.0
2011,Newfoundland and Labrador,data.Tertiary education,55 to 64 years,Male,27.0
2012,Newfoundland and Labrador,data.Tertiary education,55 to 64 years,Male,21.0
2013,Newfoundland and Labrador,data.Tertiary education,55 to 64 years,Male,23.0
2014,Newfoundland and Labrador,data.Tertiary education,55 to 64 years,Male,26.0
2015,Newfoundland and Labrador,data.Tertiary education,55 to 64 years,Male,26.0
2016,Newfoundland and Labrador,data.Tertiary education,55 to 64 years,Male,28.0
2017,Newfoundland and Labrador,data.Tertiary education,55 to 64 years,Male,29.0
2018,Newfoundland and Labrador,data.Tertiary education,55 to 64 years,Male,28.0
2019,Newfoundland and Labrador,data.Tertiary education,55 to 64 years,Male,33.0
2020,Newfoundland and Labrador,data.Tertiary education,55 to 64 years,Male,36.0
2010,Newfoundland and Labrador,data.Tertiary education,55 to 64 years,Female,28.0
2011,Newfoundland and Labrador,data.Tertiary education,55 to 64 years,Female,28.0
2012,Newfoundland and Labrador,data.Tertiary education,55 to 64 years,Female,29.0
2013,Newfoundland and Labrador,data.Tertiary education,55 to 64 years,Female,30.0
2014,Newfoundland and Labrador,data.Tertiary education,55 to 64 years,Female,32.0
2015,Newfoundland and Labrador,data.Tertiary education,55 to 64 years,Female,36.0
2016,Newfoundland and Labrador,data.Tertiary education,55 to 64 years,Female,35.0
2017,Newfoundland and Labrador,data.Tertiary education,55 to 64 years,Female,35.0
2018,Newfoundland and Labrador,data.Tertiary education,55 to 64 years,Female,40.0
2019,Newfoundland and Labrador,data.Tertiary education,55 to 64 years,Female,44.0
2020,Newfoundland and Labrador,data.Tertiary education,55 to 64 years,Female,42.0
2010,Newfoundland and Labrador,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Both sexes,21.0
2011,Newfoundland and Labrador,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Both sexes,21.0
2012,Newfoundland and Labrador,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Both sexes,22.0
2013,Newfoundland and Labrador,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Both sexes,21.0
2014,Newfoundland and Labrador,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Both sexes,22.0
2015,Newfoundland and Labrador,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Both sexes,24.0
2016,Newfoundland and Labrador,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Both sexes,25.0
2017,Newfoundland and Labrador,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Both sexes,27.0
2018,Newfoundland and Labrador,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Both sexes,30.0
2019,Newfoundland and Labrador,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Both sexes,30.0
2020,Newfoundland and Labrador,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Both sexes,31.0
2010,Newfoundland and Labrador,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,17.0
2011,Newfoundland and Labrador,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,17.0
2012,Newfoundland and Labrador,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,17.0
2013,Newfoundland and Labrador,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,16.0
2014,Newfoundland and Labrador,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,17.0
2015,Newfoundland and Labrador,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,19.0
2016,Newfoundland and Labrador,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,20.0
2017,Newfoundland and Labrador,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,23.0
2018,Newfoundland and Labrador,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,25.0
2019,Newfoundland and Labrador,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,26.0
2020,Newfoundland and Labrador,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,27.0
2010,Newfoundland and Labrador,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,25.0
2011,Newfoundland and Labrador,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,25.0
2012,Newfoundland and Labrador,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,26.0
2013,Newfoundland and Labrador,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,25.0
2014,Newfoundland and Labrador,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,27.0
2015,Newfoundland and Labrador,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,29.0
2016,Newfoundland and Labrador,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,29.0
2017,Newfoundland and Labrador,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,31.0
2018,Newfoundland and Labrador,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,34.0
2019,Newfoundland and Labrador,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,35.0
2020,Newfoundland and Labrador,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,35.0
2010,Newfoundland and Labrador,data.Short-cycle tertiary,25 to 34 years,Both sexes,24.0
2011,Newfoundland and Labrador,data.Short-cycle tertiary,25 to 34 years,Both sexes,25.0
2012,Newfoundland and Labrador,data.Short-cycle tertiary,25 to 34 years,Both sexes,26.0
2013,Newfoundland and Labrador,data.Short-cycle tertiary,25 to 34 years,Both sexes,25.0
2014,Newfoundland and Labrador,data.Short-cycle tertiary,25 to 34 years,Both sexes,24.0
2015,Newfoundland and Labrador,data.Short-cycle tertiary,25 to 34 years,Both sexes,25.0
2016,Newfoundland and Labrador,data.Short-cycle tertiary,25 to 34 years,Both sexes,26.0
2017,Newfoundland and Labrador,data.Short-cycle tertiary,25 to 34 years,Both sexes,27.0
2018,Newfoundland and Labrador,data.Short-cycle tertiary,25 to 34 years,Both sexes,31.0
2019,Newfoundland and Labrador,data.Short-cycle tertiary,25 to 34 years,Both sexes,28.0
2020,Newfoundland and Labrador,data.Short-cycle tertiary,25 to 34 years,Both sexes,31.0
2010,Newfoundland and Labrador,data.Short-cycle tertiary,25 to 34 years,Male,21.0
2011,Newfoundland and Labrador,data.Short-cycle tertiary,25 to 34 years,Male,21.0
2012,Newfoundland and Labrador,data.Short-cycle tertiary,25 to 34 years,Male,22.0
2013,Newfoundland and Labrador,data.Short-cycle tertiary,25 to 34 years,Male,22.0
2014,Newfoundland and Labrador,data.Short-cycle tertiary,25 to 34 years,Male,22.0
2015,Newfoundland and Labrador,data.Short-cycle tertiary,25 to 34 years,Male,23.0
2016,Newfoundland and Labrador,data.Short-cycle tertiary,25 to 34 years,Male,22.0
2017,Newfoundland and Labrador,data.Short-cycle tertiary,25 to 34 years,Male,24.0
2018,Newfoundland and Labrador,data.Short-cycle tertiary,25 to 34 years,Male,29.0
2019,Newfoundland and Labrador,data.Short-cycle tertiary,25 to 34 years,Male,25.0
2020,Newfoundland and Labrador,data.Short-cycle tertiary,25 to 34 years,Male,28.0
2010,Newfoundland and Labrador,data.Short-cycle tertiary,25 to 34 years,Female,27.0
2011,Newfoundland and Labrador,data.Short-cycle tertiary,25 to 34 years,Female,28.0
2012,Newfoundland and Labrador,data.Short-cycle tertiary,25 to 34 years,Female,30.0
2013,Newfoundland and Labrador,data.Short-cycle tertiary,25 to 34 years,Female,28.0
2014,Newfoundland and Labrador,data.Short-cycle tertiary,25 to 34 years,Female,27.0
2015,Newfoundland and Labrador,data.Short-cycle tertiary,25 to 34 years,Female,28.0
2016,Newfoundland and Labrador,data.Short-cycle tertiary,25 to 34 years,Female,30.0
2017,Newfoundland and Labrador,data.Short-cycle tertiary,25 to 34 years,Female,29.0
2018,Newfoundland and Labrador,data.Short-cycle tertiary,25 to 34 years,Female,33.0
2019,Newfoundland and Labrador,data.Short-cycle tertiary,25 to 34 years,Female,32.0
2020,Newfoundland and Labrador,data.Short-cycle tertiary,25 to 34 years,Female,34.0
2010,Newfoundland and Labrador,data.Short-cycle tertiary,30 to 34 years,Both sexes,26.0
2011,Newfoundland and Labrador,data.Short-cycle tertiary,30 to 34 years,Both sexes,27.0
2012,Newfoundland and Labrador,data.Short-cycle tertiary,30 to 34 years,Both sexes,26.0
2013,Newfoundland and Labrador,data.Short-cycle tertiary,30 to 34 years,Both sexes,27.0
2014,Newfoundland and Labrador,data.Short-cycle tertiary,30 to 34 years,Both sexes,25.0
2015,Newfoundland and Labrador,data.Short-cycle tertiary,30 to 34 years,Both sexes,26.0
2016,Newfoundland and Labrador,data.Short-cycle tertiary,30 to 34 years,Both sexes,28.0
2017,Newfoundland and Labrador,data.Short-cycle tertiary,30 to 34 years,Both sexes,27.0
2018,Newfoundland and Labrador,data.Short-cycle tertiary,30 to 34 years,Both sexes,33.0
2019,Newfoundland and Labrador,data.Short-cycle tertiary,30 to 34 years,Both sexes,30.0
2020,Newfoundland and Labrador,data.Short-cycle tertiary,30 to 34 years,Both sexes,32.0
2010,Newfoundland and Labrador,data.Short-cycle tertiary,30 to 34 years,Male,24.0
2011,Newfoundland and Labrador,data.Short-cycle tertiary,30 to 34 years,Male,23.0
2012,Newfoundland and Labrador,data.Short-cycle tertiary,30 to 34 years,Male,22.0
2013,Newfoundland and Labrador,data.Short-cycle tertiary,30 to 34 years,Male,24.0
2014,Newfoundland and Labrador,data.Short-cycle tertiary,30 to 34 years,Male,21.0
2015,Newfoundland and Labrador,data.Short-cycle tertiary,30 to 34 years,Male,24.0
2016,Newfoundland and Labrador,data.Short-cycle tertiary,30 to 34 years,Male,24.0
2017,Newfoundland and Labrador,data.Short-cycle tertiary,30 to 34 years,Male,25.0
2018,Newfoundland and Labrador,data.Short-cycle tertiary,30 to 34 years,Male,30.0
2019,Newfoundland and Labrador,data.Short-cycle tertiary,30 to 34 years,Male,23.0
2020,Newfoundland and Labrador,data.Short-cycle tertiary,30 to 34 years,Male,29.0
2010,Newfoundland and Labrador,data.Short-cycle tertiary,30 to 34 years,Female,29.0
2011,Newfoundland and Labrador,data.Short-cycle tertiary,30 to 34 years,Female,30.0
2012,Newfoundland and Labrador,data.Short-cycle tertiary,30 to 34 years,Female,30.0
2013,Newfoundland and Labrador,data.Short-cycle tertiary,30 to 34 years,Female,29.0
2014,Newfoundland and Labrador,data.Short-cycle tertiary,30 to 34 years,Female,29.0
2015,Newfoundland and Labrador,data.Short-cycle tertiary,30 to 34 years,Female,28.0
2016,Newfoundland and Labrador,data.Short-cycle tertiary,30 to 34 years,Female,32.0
2017,Newfoundland and Labrador,data.Short-cycle tertiary,30 to 34 years,Female,29.0
2018,Newfoundland and Labrador,data.Short-cycle tertiary,30 to 34 years,Female,35.0
2019,Newfoundland and Labrador,data.Short-cycle tertiary,30 to 34 years,Female,37.0
2020,Newfoundland and Labrador,data.Short-cycle tertiary,30 to 34 years,Female,35.0
2010,Newfoundland and Labrador,data.Short-cycle tertiary,35 to 44 years,Both sexes,28.0
2011,Newfoundland and Labrador,data.Short-cycle tertiary,35 to 44 years,Both sexes,27.0
2012,Newfoundland and Labrador,data.Short-cycle tertiary,35 to 44 years,Both sexes,28.0
2013,Newfoundland and Labrador,data.Short-cycle tertiary,35 to 44 years,Both sexes,25.0
2014,Newfoundland and Labrador,data.Short-cycle tertiary,35 to 44 years,Both sexes,28.0
2015,Newfoundland and Labrador,data.Short-cycle tertiary,35 to 44 years,Both sexes,28.0
2016,Newfoundland and Labrador,data.Short-cycle tertiary,35 to 44 years,Both sexes,31.0
2017,Newfoundland and Labrador,data.Short-cycle tertiary,35 to 44 years,Both sexes,30.0
2018,Newfoundland and Labrador,data.Short-cycle tertiary,35 to 44 years,Both sexes,33.0
2019,Newfoundland and Labrador,data.Short-cycle tertiary,35 to 44 years,Both sexes,34.0
2020,Newfoundland and Labrador,data.Short-cycle tertiary,35 to 44 years,Both sexes,33.0
2010,Newfoundland and Labrador,data.Short-cycle tertiary,35 to 44 years,Male,22.0
2011,Newfoundland and Labrador,data.Short-cycle tertiary,35 to 44 years,Male,22.0
2012,Newfoundland and Labrador,data.Short-cycle tertiary,35 to 44 years,Male,22.0
2013,Newfoundland and Labrador,data.Short-cycle tertiary,35 to 44 years,Male,21.0
2014,Newfoundland and Labrador,data.Short-cycle tertiary,35 to 44 years,Male,25.0
2015,Newfoundland and Labrador,data.Short-cycle tertiary,35 to 44 years,Male,21.0
2016,Newfoundland and Labrador,data.Short-cycle tertiary,35 to 44 years,Male,24.0
2017,Newfoundland and Labrador,data.Short-cycle tertiary,35 to 44 years,Male,25.0
2018,Newfoundland and Labrador,data.Short-cycle tertiary,35 to 44 years,Male,29.0
2019,Newfoundland and Labrador,data.Short-cycle tertiary,35 to 44 years,Male,30.0
2020,Newfoundland and Labrador,data.Short-cycle tertiary,35 to 44 years,Male,30.0
2010,Newfoundland and Labrador,data.Short-cycle tertiary,35 to 44 years,Female,33.0
2011,Newfoundland and Labrador,data.Short-cycle tertiary,35 to 44 years,Female,31.0
2012,Newfoundland and Labrador,data.Short-cycle tertiary,35 to 44 years,Female,34.0
2013,Newfoundland and Labrador,data.Short-cycle tertiary,35 to 44 years,Female,29.0
2014,Newfoundland and Labrador,data.Short-cycle tertiary,35 to 44 years,Female,30.0
2015,Newfoundland and Labrador,data.Short-cycle tertiary,35 to 44 years,Female,35.0
2016,Newfoundland and Labrador,data.Short-cycle tertiary,35 to 44 years,Female,36.0
2017,Newfoundland and Labrador,data.Short-cycle tertiary,35 to 44 years,Female,35.0
2018,Newfoundland and Labrador,data.Short-cycle tertiary,35 to 44 years,Female,37.0
2019,Newfoundland and Labrador,data.Short-cycle tertiary,35 to 44 years,Female,37.0
2020,Newfoundland and Labrador,data.Short-cycle tertiary,35 to 44 years,Female,35.0
2010,Newfoundland and Labrador,data.Short-cycle tertiary,45 to 54 years,Both sexes,19.0
2011,Newfoundland and Labrador,data.Short-cycle tertiary,45 to 54 years,Both sexes,20.0
2012,Newfoundland and Labrador,data.Short-cycle tertiary,45 to 54 years,Both sexes,20.0
2013,Newfoundland and Labrador,data.Short-cycle tertiary,45 to 54 years,Both sexes,19.0
2014,Newfoundland and Labrador,data.Short-cycle tertiary,45 to 54 years,Both sexes,22.0
2015,Newfoundland and Labrador,data.Short-cycle tertiary,45 to 54 years,Both sexes,23.0
2016,Newfoundland and Labrador,data.Short-cycle tertiary,45 to 54 years,Both sexes,25.0
2017,Newfoundland and Labrador,data.Short-cycle tertiary,45 to 54 years,Both sexes,29.0
2018,Newfoundland and Labrador,data.Short-cycle tertiary,45 to 54 years,Both sexes,32.0
2019,Newfoundland and Labrador,data.Short-cycle tertiary,45 to 54 years,Both sexes,33.0
2020,Newfoundland and Labrador,data.Short-cycle tertiary,45 to 54 years,Both sexes,34.0
2010,Newfoundland and Labrador,data.Short-cycle tertiary,45 to 54 years,Male,15.0
2011,Newfoundland and Labrador,data.Short-cycle tertiary,45 to 54 years,Male,15.0
2012,Newfoundland and Labrador,data.Short-cycle tertiary,45 to 54 years,Male,14.0
2013,Newfoundland and Labrador,data.Short-cycle tertiary,45 to 54 years,Male,14.0
