Year,Age,Generation,Type of household,Ownership status,Income quintile,Main source of household income,Value
2025 Q4,,,,,"Third income quintile, 35 to 44 years",,220.7
2025 Q4,,,,,"Third income quintile, 45 to 54 years",,210.0
2025 Q4,,,,,"Third income quintile, 55 to 64 years",,201.2
2025 Q4,,,,,"Third income quintile, 65 years and over",,66.0
2025 Q4,,,,,"Fourth income quintile, less than 35 years",,174.2
2025 Q4,,,,,"Fourth income quintile, 35 to 44 years",,235.7
2025 Q4,,,,,"Fourth income quintile, 45 to 54 years",,216.4
2025 Q4,,,,,"Fourth income quintile, 55 to 64 years",,159.6
2025 Q4,,,,,"Fourth income quintile, 65 years and over",,85.4
2025 Q4,,,,,"Highest income quintile, less than 35 years",,135.3
2025 Q4,,,,,"Highest income quintile, 35 to 44 years",,214.0
2025 Q4,,,,,"Highest income quintile, 45 to 54 years",,150.0
2025 Q4,,,,,"Highest income quintile, 55 to 64 years",,132.7
2025 Q4,,,,,"Highest income quintile, 65 years and over",,51.4
2015 Q4,,,,,,Wages and salaries,203.5
2015 Q4,,,,,,Self-employment income,300.0
2015 Q4,,,,,,Net property income,102.0
2015 Q4,,,,,,Current transfers received - pension benefits,76.7
2015 Q4,,,,,,Current transfers received - others,155.5
2016 Q4,,,,,,Wages and salaries,216.7
2016 Q4,,,,,,Self-employment income,311.1
2016 Q4,,,,,,Net property income,115.8
2016 Q4,,,,,,Current transfers received - pension benefits,75.0
2016 Q4,,,,,,Current transfers received - others,165.0
2017 Q4,,,,,,Wages and salaries,215.7
2017 Q4,,,,,,Self-employment income,318.3
2017 Q4,,,,,,Net property income,113.4
2017 Q4,,,,,,Current transfers received - pension benefits,78.3
2017 Q4,,,,,,Current transfers received - others,176.6
2018 Q4,,,,,,Wages and salaries,218.5
2018 Q4,,,,,,Self-employment income,292.2
2018 Q4,,,,,,Net property income,119.8
2018 Q4,,,,,,Current transfers received - pension benefits,78.1
2018 Q4,,,,,,Current transfers received - others,192.2
2019 Q4,,,,,,Wages and salaries,217.8
2019 Q4,,,,,,Self-employment income,265.1
2019 Q4,,,,,,Net property income,109.8
2019 Q4,,,,,,Current transfers received - pension benefits,77.6
2019 Q4,,,,,,Current transfers received - others,243.5
2020 Q4,,,,,,Wages and salaries,198.0
2020 Q4,,,,,,Self-employment income,213.3
2020 Q4,,,,,,Net property income,121.4
2020 Q4,,,,,,Current transfers received - pension benefits,76.3
2020 Q4,,,,,,Current transfers received - others,234.9
2021 Q4,,,,,,Wages and salaries,204.2
2021 Q4,,,,,,Self-employment income,248.2
2021 Q4,,,,,,Net property income,134.6
2021 Q4,,,,,,Current transfers received - pension benefits,83.3
2021 Q4,,,,,,Current transfers received - others,225.3
2022 Q4,,,,,,Wages and salaries,207.8
2022 Q4,,,,,,Self-employment income,218.6
2022 Q4,,,,,,Net property income,112.6
2022 Q4,,,,,,Current transfers received - pension benefits,79.8
2022 Q4,,,,,,Current transfers received - others,203.1
2023 Q4,,,,,,Wages and salaries,206.8
2023 Q4,,,,,,Self-employment income,201.7
2023 Q4,,,,,,Net property income,100.2
2023 Q4,,,,,,Current transfers received - pension benefits,76.8
2023 Q4,,,,,,Current transfers received - others,200.1
2024 Q4,,,,,,Wages and salaries,194.7
2024 Q4,,,,,,Self-employment income,228.4
2024 Q4,,,,,,Net property income,104.3
2024 Q4,,,,,,Current transfers received - pension benefits,81.9
2024 Q4,,,,,,Current transfers received - others,194.1
2025 Q4,,,,,,Wages and salaries,199.4
2025 Q4,,,,,,Self-employment income,231.5
2025 Q4,,,,,,Net property income,103.1
2025 Q4,,,,,,Current transfers received - pension benefits,79.7
2025 Q4,,,,,,Current transfers received - others,179.4
