Year,Units,Géographie,Type de combustible,Caractéristiques d’écoulement,Value
2015,Térajoules,Nouveau-Brunswick,Vapeur,Consommation énergétique finale,
2016,Térajoules,Nouveau-Brunswick,Vapeur,Consommation énergétique finale,
2017,Térajoules,Nouveau-Brunswick,Vapeur,Consommation énergétique finale,
2018,Térajoules,Nouveau-Brunswick,Vapeur,Consommation énergétique finale,3275
2019,Térajoules,Nouveau-Brunswick,Vapeur,Consommation énergétique finale,3275
2015,Térajoules,Nouveau-Brunswick,Vapeur,Total industriel,
2016,Térajoules,Nouveau-Brunswick,Vapeur,Total industriel,
2017,Térajoules,Nouveau-Brunswick,Vapeur,Total industriel,
2018,Térajoules,Nouveau-Brunswick,Vapeur,Total industriel,3275
2019,Térajoules,Nouveau-Brunswick,Vapeur,Total industriel,3275
2015,Térajoules,Nouveau-Brunswick,Coke,Consommation énergétique finale,
2016,Térajoules,Nouveau-Brunswick,Coke,Consommation énergétique finale,
2017,Térajoules,Nouveau-Brunswick,Coke,Consommation énergétique finale,
2018,Térajoules,Nouveau-Brunswick,Coke,Consommation énergétique finale,0
2019,Térajoules,Nouveau-Brunswick,Coke,Consommation énergétique finale,0
2015,Térajoules,Nouveau-Brunswick,Coke,Total industriel,
2016,Térajoules,Nouveau-Brunswick,Coke,Total industriel,0
2017,Térajoules,Nouveau-Brunswick,Coke,Total industriel,0
2018,Térajoules,Nouveau-Brunswick,Coke,Total industriel,0
2019,Térajoules,Nouveau-Brunswick,Coke,Total industriel,0
2015,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Consommation énergétique finale,75388
2016,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Consommation énergétique finale,78550
2017,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Consommation énergétique finale,70024
2018,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Consommation énergétique finale,69740
2019,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Consommation énergétique finale,66150
2015,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Total industriel,6233
2016,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Total industriel,4783
2017,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Total industriel,4709
2018,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Total industriel,4969
2019,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Total industriel,4497
2015,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Total transport,54322
2016,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Total transport,60225
2017,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Total transport,53409
2018,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Total transport,52571
2019,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Total transport,51022
2015,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Agriculture,1586
2016,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Agriculture,1888
2017,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Agriculture,1633
2018,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Agriculture,1490
2019,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Agriculture,1402
2015,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Résidentiel,7829
2016,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Résidentiel,7058
2017,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Résidentiel,6917
2018,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Résidentiel,6805
2019,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Résidentiel,5720
2015,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Administrations publiques,3488
2016,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Administrations publiques,2810
2017,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Administrations publiques,2365
2018,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Administrations publiques,2629
2019,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Administrations publiques,2442
2015,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Commerces et autres institutions,1929
2016,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Commerces et autres institutions,1786
2017,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Commerces et autres institutions,992
2018,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Commerces et autres institutions,1277
2019,Térajoules,Nouveau-Brunswick,Total des produits pétroliers raffinés,Commerces et autres institutions,1066
2015,Térajoules,Québec,Énergie primaire et secondaire totale,Consommation énergétique finale,1587985
2016,Térajoules,Québec,Énergie primaire et secondaire totale,Consommation énergétique finale,1576431
2017,Térajoules,Québec,Énergie primaire et secondaire totale,Consommation énergétique finale,
2018,Térajoules,Québec,Énergie primaire et secondaire totale,Consommation énergétique finale,1650053
2019,Térajoules,Québec,Énergie primaire et secondaire totale,Consommation énergétique finale,1694695
2015,Térajoules,Québec,Énergie primaire et secondaire totale,Total industriel,518685
2016,Térajoules,Québec,Énergie primaire et secondaire totale,Total industriel,507834
2017,Térajoules,Québec,Énergie primaire et secondaire totale,Total industriel,512528
2018,Térajoules,Québec,Énergie primaire et secondaire totale,Total industriel,537481
2019,Térajoules,Québec,Énergie primaire et secondaire totale,Total industriel,559294
2015,Térajoules,Québec,Énergie primaire et secondaire totale,Total transport,501906
2016,Térajoules,Québec,Énergie primaire et secondaire totale,Total transport,513111
2017,Térajoules,Québec,Énergie primaire et secondaire totale,Total transport,522690
2018,Térajoules,Québec,Énergie primaire et secondaire totale,Total transport,522397
2019,Térajoules,Québec,Énergie primaire et secondaire totale,Total transport,531879
2015,Térajoules,Québec,Énergie primaire et secondaire totale,Agriculture,33192
2016,Térajoules,Québec,Énergie primaire et secondaire totale,Agriculture,33650
2017,Térajoules,Québec,Énergie primaire et secondaire totale,Agriculture,33915
2018,Térajoules,Québec,Énergie primaire et secondaire totale,Agriculture,35642
2019,Térajoules,Québec,Énergie primaire et secondaire totale,Agriculture,36092
2015,Térajoules,Québec,Énergie primaire et secondaire totale,Résidentiel,286782
2016,Térajoules,Québec,Énergie primaire et secondaire totale,Résidentiel,281691
2017,Térajoules,Québec,Énergie primaire et secondaire totale,Résidentiel,280833
2018,Térajoules,Québec,Énergie primaire et secondaire totale,Résidentiel,293628
2019,Térajoules,Québec,Énergie primaire et secondaire totale,Résidentiel,300377
2015,Térajoules,Québec,Énergie primaire et secondaire totale,Administrations publiques,38068
2016,Térajoules,Québec,Énergie primaire et secondaire totale,Administrations publiques,37791
2017,Térajoules,Québec,Énergie primaire et secondaire totale,Administrations publiques,38387
2018,Térajoules,Québec,Énergie primaire et secondaire totale,Administrations publiques,40909
2019,Térajoules,Québec,Énergie primaire et secondaire totale,Administrations publiques,39850
2015,Térajoules,Québec,Énergie primaire et secondaire totale,Commerces et autres institutions,209736
2016,Térajoules,Québec,Énergie primaire et secondaire totale,Commerces et autres institutions,202353
2017,Térajoules,Québec,Énergie primaire et secondaire totale,Commerces et autres institutions,217791
2018,Térajoules,Québec,Énergie primaire et secondaire totale,Commerces et autres institutions,219996
2019,Térajoules,Québec,Énergie primaire et secondaire totale,Commerces et autres institutions,227204
2015,Térajoules,Québec,Total charbon,Consommation énergétique finale,
2016,Térajoules,Québec,Total charbon,Consommation énergétique finale,14855
2017,Térajoules,Québec,Total charbon,Consommation énergétique finale,
2018,Térajoules,Québec,Total charbon,Consommation énergétique finale,9520
2019,Térajoules,Québec,Total charbon,Consommation énergétique finale,10551
2015,Térajoules,Québec,Total charbon,Total industriel,
2016,Térajoules,Québec,Total charbon,Total industriel,14855
2017,Térajoules,Québec,Total charbon,Total industriel,
2018,Térajoules,Québec,Total charbon,Total industriel,9520
2019,Térajoules,Québec,Total charbon,Total industriel,10551
2015,Térajoules,Québec,Gaz naturel,Consommation énergétique finale,255233
2016,Térajoules,Québec,Gaz naturel,Consommation énergétique finale,237491
2017,Térajoules,Québec,Gaz naturel,Consommation énergétique finale,249788
2018,Térajoules,Québec,Gaz naturel,Consommation énergétique finale,252003
2019,Térajoules,Québec,Gaz naturel,Consommation énergétique finale,252869
2015,Térajoules,Québec,Gaz naturel,Total industriel,151932
2016,Térajoules,Québec,Gaz naturel,Total industriel,135897
2017,Térajoules,Québec,Gaz naturel,Total industriel,142970
2018,Térajoules,Québec,Gaz naturel,Total industriel,149758
2019,Térajoules,Québec,Gaz naturel,Total industriel,146600
2015,Térajoules,Québec,Gaz naturel,Total transport,7961
2016,Térajoules,Québec,Gaz naturel,Total transport,5191
2017,Térajoules,Québec,Gaz naturel,Total transport,3044
2018,Térajoules,Québec,Gaz naturel,Total transport,3058
2019,Térajoules,Québec,Gaz naturel,Total transport,3343
2015,Térajoules,Québec,Gaz naturel,Agriculture,1123
2016,Térajoules,Québec,Gaz naturel,Agriculture,1149
2017,Térajoules,Québec,Gaz naturel,Agriculture,1213
2018,Térajoules,Québec,Gaz naturel,Agriculture,1350
2019,Térajoules,Québec,Gaz naturel,Agriculture,1347
2015,Térajoules,Québec,Gaz naturel,Résidentiel,22681
2016,Térajoules,Québec,Gaz naturel,Résidentiel,22325
2017,Térajoules,Québec,Gaz naturel,Résidentiel,23028
2018,Térajoules,Québec,Gaz naturel,Résidentiel,24079
2019,Térajoules,Québec,Gaz naturel,Résidentiel,28538
2015,Térajoules,Québec,Gaz naturel,Administrations publiques,4906
2016,Térajoules,Québec,Gaz naturel,Administrations publiques,4821
2017,Térajoules,Québec,Gaz naturel,Administrations publiques,4919
2018,Térajoules,Québec,Gaz naturel,Administrations publiques,3880
2019,Térajoules,Québec,Gaz naturel,Administrations publiques,4551
2015,Térajoules,Québec,Gaz naturel,Commerces et autres institutions,66630
2016,Térajoules,Québec,Gaz naturel,Commerces et autres institutions,68107
2017,Térajoules,Québec,Gaz naturel,Commerces et autres institutions,74615
2018,Térajoules,Québec,Gaz naturel,Commerces et autres institutions,69879
2019,Térajoules,Québec,Gaz naturel,Commerces et autres institutions,68491
2015,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,16370
2016,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,17263
2017,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,16490
2018,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,17579
2019,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,18295
2015,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,2064
2016,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,1909
2017,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,2125
2018,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,2338
2019,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,2174
2015,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Total transport,765
2016,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Total transport,800
2017,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Total transport,732
2018,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Total transport,778
2019,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Total transport,822
2015,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Agriculture,4853
2016,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Agriculture,5072
2017,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Agriculture,4684
2018,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Agriculture,4977
2019,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Agriculture,5264
2015,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Résidentiel,1589
2016,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Résidentiel,1660
2017,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Résidentiel,1610
2018,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Résidentiel,1711
2019,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Résidentiel,1809
2015,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Administrations publiques,
2016,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Administrations publiques,
2015,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,7484
2016,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,7821
2017,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,7319
2018,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,7776
2019,Térajoules,Québec,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,8225
2015,Térajoules,Québec,Hydroélectricité,Consommation énergétique finale,678602
2016,Térajoules,Québec,Hydroélectricité,Consommation énergétique finale,676125
2017,Térajoules,Québec,Hydroélectricité,Consommation énergétique finale,675350
2018,Térajoules,Québec,Hydroélectricité,Consommation énergétique finale,708715
2019,Térajoules,Québec,Hydroélectricité,Consommation énergétique finale,733602
2015,Térajoules,Québec,Hydroélectricité,Total industriel,294630
2016,Térajoules,Québec,Hydroélectricité,Total industriel,299543
2017,Térajoules,Québec,Hydroélectricité,Total industriel,294473
2018,Térajoules,Québec,Hydroélectricité,Total industriel,306613
2019,Térajoules,Québec,Hydroélectricité,Total industriel,326436
2015,Térajoules,Québec,Hydroélectricité,Total transport,1741
2016,Térajoules,Québec,Hydroélectricité,Total transport,1724
2017,Térajoules,Québec,Hydroélectricité,Total transport,1713
2018,Térajoules,Québec,Hydroélectricité,Total transport,1721
2019,Térajoules,Québec,Hydroélectricité,Total transport,1726
2015,Térajoules,Québec,Hydroélectricité,Agriculture,6449
2016,Térajoules,Québec,Hydroélectricité,Agriculture,6524
2017,Térajoules,Québec,Hydroélectricité,Agriculture,6584
2018,Térajoules,Québec,Hydroélectricité,Agriculture,7671
2019,Térajoules,Québec,Hydroélectricité,Agriculture,7714
2015,Térajoules,Québec,Hydroélectricité,Résidentiel,242876
2016,Térajoules,Québec,Hydroélectricité,Résidentiel,236055
2017,Térajoules,Québec,Hydroélectricité,Résidentiel,239778
2018,Térajoules,Québec,Hydroélectricité,Résidentiel,251704
2019,Térajoules,Québec,Hydroélectricité,Résidentiel,254689
2015,Térajoules,Québec,Hydroélectricité,Administrations publiques,27346
2016,Térajoules,Québec,Hydroélectricité,Administrations publiques,27403
2017,Térajoules,Québec,Hydroélectricité,Administrations publiques,26540
2018,Térajoules,Québec,Hydroélectricité,Administrations publiques,28652
2019,Térajoules,Québec,Hydroélectricité,Administrations publiques,28279
2015,Térajoules,Québec,Hydroélectricité,Commerces et autres institutions,105560
2016,Térajoules,Québec,Hydroélectricité,Commerces et autres institutions,104876
2017,Térajoules,Québec,Hydroélectricité,Commerces et autres institutions,106263
2018,Térajoules,Québec,Hydroélectricité,Commerces et autres institutions,112352
2019,Térajoules,Québec,Hydroélectricité,Commerces et autres institutions,114758
2015,Térajoules,Québec,Vapeur,Consommation énergétique finale,
2016,Térajoules,Québec,Vapeur,Consommation énergétique finale,4278
2017,Térajoules,Québec,Vapeur,Consommation énergétique finale,2744
2018,Térajoules,Québec,Vapeur,Consommation énergétique finale,3895
2019,Térajoules,Québec,Vapeur,Consommation énergétique finale,3976
2015,Térajoules,Québec,Vapeur,Total industriel,
2016,Térajoules,Québec,Vapeur,Total industriel,4278
2017,Térajoules,Québec,Vapeur,Total industriel,2744
2018,Térajoules,Québec,Vapeur,Total industriel,3895
2019,Térajoules,Québec,Vapeur,Total industriel,3976
2015,Térajoules,Québec,Vapeur,Résidentiel,0
2016,Térajoules,Québec,Vapeur,Résidentiel,0
2017,Térajoules,Québec,Vapeur,Résidentiel,0
2018,Térajoules,Québec,Vapeur,Résidentiel,0
2019,Térajoules,Québec,Vapeur,Résidentiel,0
2015,Térajoules,Québec,Vapeur,Commerces et autres institutions,0
2016,Térajoules,Québec,Vapeur,Commerces et autres institutions,0
2017,Térajoules,Québec,Vapeur,Commerces et autres institutions,0
2018,Térajoules,Québec,Vapeur,Commerces et autres institutions,0
2019,Térajoules,Québec,Vapeur,Commerces et autres institutions,0
2015,Térajoules,Québec,Coke,Consommation énergétique finale,
2016,Térajoules,Québec,Coke,Consommation énergétique finale,
2017,Térajoules,Québec,Coke,Consommation énergétique finale,
2018,Térajoules,Québec,Coke,Consommation énergétique finale,6141
2019,Térajoules,Québec,Coke,Consommation énergétique finale,5936
2015,Térajoules,Québec,Coke,Total industriel,
2016,Térajoules,Québec,Coke,Total industriel,
2017,Térajoules,Québec,Coke,Total industriel,
2018,Térajoules,Québec,Coke,Total industriel,6141
2019,Térajoules,Québec,Coke,Total industriel,5936
2015,Térajoules,Québec,Total des produits pétroliers raffinés,Consommation énergétique finale,617368
2016,Térajoules,Québec,Total des produits pétroliers raffinés,Consommation énergétique finale,625510
2017,Térajoules,Québec,Total des produits pétroliers raffinés,Consommation énergétique finale,648609
2018,Térajoules,Québec,Total des produits pétroliers raffinés,Consommation énergétique finale,652199
2019,Térajoules,Québec,Total des produits pétroliers raffinés,Consommation énergétique finale,669468
2015,Térajoules,Québec,Total des produits pétroliers raffinés,Total industriel,49648
2016,Térajoules,Québec,Total des produits pétroliers raffinés,Total industriel,50442
2017,Térajoules,Québec,Total des produits pétroliers raffinés,Total industriel,57036
2018,Térajoules,Québec,Total des produits pétroliers raffinés,Total industriel,59216
2019,Térajoules,Québec,Total des produits pétroliers raffinés,Total industriel,63622
2015,Térajoules,Québec,Total des produits pétroliers raffinés,Total transport,491439
2016,Térajoules,Québec,Total des produits pétroliers raffinés,Total transport,505396
2017,Térajoules,Québec,Total des produits pétroliers raffinés,Total transport,517202
2018,Térajoules,Québec,Total des produits pétroliers raffinés,Total transport,516840
2019,Térajoules,Québec,Total des produits pétroliers raffinés,Total transport,525987
2015,Térajoules,Québec,Total des produits pétroliers raffinés,Agriculture,20767
2016,Térajoules,Québec,Total des produits pétroliers raffinés,Agriculture,20905
2017,Térajoules,Québec,Total des produits pétroliers raffinés,Agriculture,21433
2018,Térajoules,Québec,Total des produits pétroliers raffinés,Agriculture,21643
2019,Térajoules,Québec,Total des produits pétroliers raffinés,Agriculture,21767
2015,Térajoules,Québec,Total des produits pétroliers raffinés,Résidentiel,19636
2016,Térajoules,Québec,Total des produits pétroliers raffinés,Résidentiel,
2017,Térajoules,Québec,Total des produits pétroliers raffinés,Résidentiel,16416
2018,Térajoules,Québec,Total des produits pétroliers raffinés,Résidentiel,16135
2019,Térajoules,Québec,Total des produits pétroliers raffinés,Résidentiel,15341
2015,Térajoules,Québec,Total des produits pétroliers raffinés,Administrations publiques,5816
2016,Térajoules,Québec,Total des produits pétroliers raffinés,Administrations publiques,5567
2017,Térajoules,Québec,Total des produits pétroliers raffinés,Administrations publiques,6929
2018,Térajoules,Québec,Total des produits pétroliers raffinés,Administrations publiques,8377
2019,Térajoules,Québec,Total des produits pétroliers raffinés,Administrations publiques,7020
2015,Térajoules,Québec,Total des produits pétroliers raffinés,Commerces et autres institutions,30062
2016,Térajoules,Québec,Total des produits pétroliers raffinés,Commerces et autres institutions,21550
2017,Térajoules,Québec,Total des produits pétroliers raffinés,Commerces et autres institutions,29594
2018,Térajoules,Québec,Total des produits pétroliers raffinés,Commerces et autres institutions,29988
2019,Térajoules,Québec,Total des produits pétroliers raffinés,Commerces et autres institutions,35731
2015,Térajoules,Ontario,Énergie primaire et secondaire totale,Consommation énergétique finale,2521754
2016,Térajoules,Ontario,Énergie primaire et secondaire totale,Consommation énergétique finale,2484017
2017,Térajoules,Ontario,Énergie primaire et secondaire totale,Consommation énergétique finale,2543407
2018,Térajoules,Ontario,Énergie primaire et secondaire totale,Consommation énergétique finale,2625409
2019,Térajoules,Ontario,Énergie primaire et secondaire totale,Consommation énergétique finale,2611231
2015,Térajoules,Ontario,Énergie primaire et secondaire totale,Total industriel,580587
2016,Térajoules,Ontario,Énergie primaire et secondaire totale,Total industriel,598542
2017,Térajoules,Ontario,Énergie primaire et secondaire totale,Total industriel,602357
2018,Térajoules,Ontario,Énergie primaire et secondaire totale,Total industriel,600320
2019,Térajoules,Ontario,Énergie primaire et secondaire totale,Total industriel,579423
2015,Térajoules,Ontario,Énergie primaire et secondaire totale,Total transport,880094
2016,Térajoules,Ontario,Énergie primaire et secondaire totale,Total transport,867290
2017,Térajoules,Ontario,Énergie primaire et secondaire totale,Total transport,879120
2018,Térajoules,Ontario,Énergie primaire et secondaire totale,Total transport,908358
2019,Térajoules,Ontario,Énergie primaire et secondaire totale,Total transport,916724
2015,Térajoules,Ontario,Énergie primaire et secondaire totale,Agriculture,61013
2016,Térajoules,Ontario,Énergie primaire et secondaire totale,Agriculture,61738
2017,Térajoules,Ontario,Énergie primaire et secondaire totale,Agriculture,59863
2018,Térajoules,Ontario,Énergie primaire et secondaire totale,Agriculture,62508
2019,Térajoules,Ontario,Énergie primaire et secondaire totale,Agriculture,62531
2015,Térajoules,Ontario,Énergie primaire et secondaire totale,Résidentiel,559195
2016,Térajoules,Ontario,Énergie primaire et secondaire totale,Résidentiel,527371
2017,Térajoules,Ontario,Énergie primaire et secondaire totale,Résidentiel,537619
2018,Térajoules,Ontario,Énergie primaire et secondaire totale,Résidentiel,564545
2019,Térajoules,Ontario,Énergie primaire et secondaire totale,Résidentiel,554885
2015,Térajoules,Ontario,Énergie primaire et secondaire totale,Administrations publiques,25947
2016,Térajoules,Ontario,Énergie primaire et secondaire totale,Administrations publiques,26203
2017,Térajoules,Ontario,Énergie primaire et secondaire totale,Administrations publiques,25714
2018,Térajoules,Ontario,Énergie primaire et secondaire totale,Administrations publiques,28345
2019,Térajoules,Ontario,Énergie primaire et secondaire totale,Administrations publiques,29904
2015,Térajoules,Ontario,Énergie primaire et secondaire totale,Commerces et autres institutions,415246
2016,Térajoules,Ontario,Énergie primaire et secondaire totale,Commerces et autres institutions,402874
2017,Térajoules,Ontario,Énergie primaire et secondaire totale,Commerces et autres institutions,438254
2018,Térajoules,Ontario,Énergie primaire et secondaire totale,Commerces et autres institutions,460979
2019,Térajoules,Ontario,Énergie primaire et secondaire totale,Commerces et autres institutions,467404
2015,Térajoules,Ontario,Total charbon,Consommation énergétique finale,
2016,Térajoules,Ontario,Total charbon,Consommation énergétique finale,15958
2017,Térajoules,Ontario,Total charbon,Consommation énergétique finale,18022
2018,Térajoules,Ontario,Total charbon,Consommation énergétique finale,18259
2019,Térajoules,Ontario,Total charbon,Consommation énergétique finale,17955
2015,Térajoules,Ontario,Total charbon,Total industriel,
2016,Térajoules,Ontario,Total charbon,Total industriel,15958
2017,Térajoules,Ontario,Total charbon,Total industriel,18022
2018,Térajoules,Ontario,Total charbon,Total industriel,18259
2019,Térajoules,Ontario,Total charbon,Total industriel,17955
2015,Térajoules,Ontario,Gaz naturel,Consommation énergétique finale,895667
2016,Térajoules,Ontario,Gaz naturel,Consommation énergétique finale,853678
2017,Térajoules,Ontario,Gaz naturel,Consommation énergétique finale,875863
2018,Térajoules,Ontario,Gaz naturel,Consommation énergétique finale,911297
2019,Térajoules,Ontario,Gaz naturel,Consommation énergétique finale,914560
2015,Térajoules,Ontario,Gaz naturel,Total industriel,247715
2016,Térajoules,Ontario,Gaz naturel,Total industriel,253336
2017,Térajoules,Ontario,Gaz naturel,Total industriel,258142
2018,Térajoules,Ontario,Gaz naturel,Total industriel,248184
2019,Térajoules,Ontario,Gaz naturel,Total industriel,245103
2015,Térajoules,Ontario,Gaz naturel,Total transport,31327
2016,Térajoules,Ontario,Gaz naturel,Total transport,23931
2017,Térajoules,Ontario,Gaz naturel,Total transport,18323
2018,Térajoules,Ontario,Gaz naturel,Total transport,20279
2019,Térajoules,Ontario,Gaz naturel,Total transport,19030
2015,Térajoules,Ontario,Gaz naturel,Agriculture,22656
2016,Térajoules,Ontario,Gaz naturel,Agriculture,22103
2017,Térajoules,Ontario,Gaz naturel,Agriculture,19188
2018,Térajoules,Ontario,Gaz naturel,Agriculture,21394
2019,Térajoules,Ontario,Gaz naturel,Agriculture,23140
2015,Térajoules,Ontario,Gaz naturel,Résidentiel,362719
2016,Térajoules,Ontario,Gaz naturel,Résidentiel,339132
2017,Térajoules,Ontario,Gaz naturel,Résidentiel,356090
2018,Térajoules,Ontario,Gaz naturel,Résidentiel,383455
2019,Térajoules,Ontario,Gaz naturel,Résidentiel,379143
2015,Térajoules,Ontario,Gaz naturel,Administrations publiques,4586
2016,Térajoules,Ontario,Gaz naturel,Administrations publiques,4284
2017,Térajoules,Ontario,Gaz naturel,Administrations publiques,4848
2018,Térajoules,Ontario,Gaz naturel,Administrations publiques,5769
2019,Térajoules,Ontario,Gaz naturel,Administrations publiques,6684
2015,Térajoules,Ontario,Gaz naturel,Commerces et autres institutions,226663
2016,Térajoules,Ontario,Gaz naturel,Commerces et autres institutions,210893
2017,Térajoules,Ontario,Gaz naturel,Commerces et autres institutions,219272
2018,Térajoules,Ontario,Gaz naturel,Commerces et autres institutions,232216
2019,Térajoules,Ontario,Gaz naturel,Commerces et autres institutions,241461
2015,Térajoules,Ontario,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,35315
2016,Térajoules,Ontario,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,48422
2017,Térajoules,Ontario,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,49657
2018,Térajoules,Ontario,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,37277
2019,Térajoules,Ontario,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,37629
2015,Térajoules,Ontario,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,7498
2016,Térajoules,Ontario,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,9333
2017,Térajoules,Ontario,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,9775
2018,Térajoules,Ontario,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,7850
2019,Térajoules,Ontario,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,7863
2015,Térajoules,Ontario,Liquides de gaz naturel des usines de gaz (LGN),Total transport,5214
2016,Térajoules,Ontario,Liquides de gaz naturel des usines de gaz (LGN),Total transport,7241
2017,Térajoules,Ontario,Liquides de gaz naturel des usines de gaz (LGN),Total transport,7208
2018,Térajoules,Ontario,Liquides de gaz naturel des usines de gaz (LGN),Total transport,5318
2019,Térajoules,Ontario,Liquides de gaz naturel des usines de gaz (LGN),Total transport,5379
2015,Térajoules,Ontario,Liquides de gaz naturel des usines de gaz (LGN),Agriculture,3129
2016,Térajoules,Ontario,Liquides de gaz naturel des usines de gaz (LGN),Agriculture,4346
2017,Térajoules,Ontario,Liquides de gaz naturel des usines de gaz (LGN),Agriculture,4325
2018,Térajoules,Ontario,Liquides de gaz naturel des usines de gaz (LGN),Agriculture,3191
2019,Térajoules,Ontario,Liquides de gaz naturel des usines de gaz (LGN),Agriculture,3228
2015,Térajoules,Ontario,Liquides de gaz naturel des usines de gaz (LGN),Résidentiel,8143
2016,Térajoules,Ontario,Liquides de gaz naturel des usines de gaz (LGN),Résidentiel,11309
2017,Térajoules,Ontario,Liquides de gaz naturel des usines de gaz (LGN),Résidentiel,11532
2018,Térajoules,Ontario,Liquides de gaz naturel des usines de gaz (LGN),Résidentiel,8509
