Year,Geography,Fuel type,Demand characteristics,Unit of measure,Value
2018,Ontario,Total primary and secondary energy,Total industrial,Terajoules,600320.0
2019,Ontario,Total primary and secondary energy,Total industrial,Terajoules,579423.0
2015,Ontario,Total primary and secondary energy,Total transportation,Terajoules,880094.0
2016,Ontario,Total primary and secondary energy,Total transportation,Terajoules,867290.0
2017,Ontario,Total primary and secondary energy,Total transportation,Terajoules,879120.0
2018,Ontario,Total primary and secondary energy,Total transportation,Terajoules,908358.0
2019,Ontario,Total primary and secondary energy,Total transportation,Terajoules,916724.0
2015,Ontario,Total primary and secondary energy,Agriculture,Terajoules,61013.0
2016,Ontario,Total primary and secondary energy,Agriculture,Terajoules,61738.0
2017,Ontario,Total primary and secondary energy,Agriculture,Terajoules,59863.0
2018,Ontario,Total primary and secondary energy,Agriculture,Terajoules,62508.0
2019,Ontario,Total primary and secondary energy,Agriculture,Terajoules,62531.0
2015,Ontario,Total primary and secondary energy,Residential,Terajoules,559195.0
2016,Ontario,Total primary and secondary energy,Residential,Terajoules,527371.0
2017,Ontario,Total primary and secondary energy,Residential,Terajoules,537619.0
2018,Ontario,Total primary and secondary energy,Residential,Terajoules,564545.0
2019,Ontario,Total primary and secondary energy,Residential,Terajoules,554885.0
2015,Ontario,Total primary and secondary energy,Public administration,Terajoules,25947.0
2016,Ontario,Total primary and secondary energy,Public administration,Terajoules,26203.0
2017,Ontario,Total primary and secondary energy,Public administration,Terajoules,25714.0
2018,Ontario,Total primary and secondary energy,Public administration,Terajoules,28345.0
2019,Ontario,Total primary and secondary energy,Public administration,Terajoules,29904.0
2015,Ontario,Total primary and secondary energy,Commercial and other institutional,Terajoules,415246.0
2016,Ontario,Total primary and secondary energy,Commercial and other institutional,Terajoules,402874.0
2017,Ontario,Total primary and secondary energy,Commercial and other institutional,Terajoules,438254.0
2018,Ontario,Total primary and secondary energy,Commercial and other institutional,Terajoules,460979.0
2019,Ontario,Total primary and secondary energy,Commercial and other institutional,Terajoules,467404.0
2015,Ontario,Total coal,"Energy use, final demand",Terajoules,
2016,Ontario,Total coal,"Energy use, final demand",Terajoules,15958.0
2017,Ontario,Total coal,"Energy use, final demand",Terajoules,18022.0
2018,Ontario,Total coal,"Energy use, final demand",Terajoules,18259.0
2019,Ontario,Total coal,"Energy use, final demand",Terajoules,17955.0
2015,Ontario,Total coal,Total industrial,Terajoules,
2016,Ontario,Total coal,Total industrial,Terajoules,15958.0
2017,Ontario,Total coal,Total industrial,Terajoules,18022.0
2018,Ontario,Total coal,Total industrial,Terajoules,18259.0
2019,Ontario,Total coal,Total industrial,Terajoules,17955.0
2015,Ontario,Natural gas,"Energy use, final demand",Terajoules,895667.0
2016,Ontario,Natural gas,"Energy use, final demand",Terajoules,853678.0
2017,Ontario,Natural gas,"Energy use, final demand",Terajoules,875863.0
2018,Ontario,Natural gas,"Energy use, final demand",Terajoules,911297.0
2019,Ontario,Natural gas,"Energy use, final demand",Terajoules,914560.0
2015,Ontario,Natural gas,Total industrial,Terajoules,247715.0
2016,Ontario,Natural gas,Total industrial,Terajoules,253336.0
2017,Ontario,Natural gas,Total industrial,Terajoules,258142.0
2018,Ontario,Natural gas,Total industrial,Terajoules,248184.0
2019,Ontario,Natural gas,Total industrial,Terajoules,245103.0
2015,Ontario,Natural gas,Total transportation,Terajoules,31327.0
2016,Ontario,Natural gas,Total transportation,Terajoules,23931.0
2017,Ontario,Natural gas,Total transportation,Terajoules,18323.0
2018,Ontario,Natural gas,Total transportation,Terajoules,20279.0
2019,Ontario,Natural gas,Total transportation,Terajoules,19030.0
2015,Ontario,Natural gas,Agriculture,Terajoules,22656.0
2016,Ontario,Natural gas,Agriculture,Terajoules,22103.0
2017,Ontario,Natural gas,Agriculture,Terajoules,19188.0
2018,Ontario,Natural gas,Agriculture,Terajoules,21394.0
2019,Ontario,Natural gas,Agriculture,Terajoules,23140.0
2015,Ontario,Natural gas,Residential,Terajoules,362719.0
2016,Ontario,Natural gas,Residential,Terajoules,339132.0
2017,Ontario,Natural gas,Residential,Terajoules,356090.0
2018,Ontario,Natural gas,Residential,Terajoules,383455.0
2019,Ontario,Natural gas,Residential,Terajoules,379143.0
2015,Ontario,Natural gas,Public administration,Terajoules,4586.0
2016,Ontario,Natural gas,Public administration,Terajoules,4284.0
2017,Ontario,Natural gas,Public administration,Terajoules,4848.0
2018,Ontario,Natural gas,Public administration,Terajoules,5769.0
2019,Ontario,Natural gas,Public administration,Terajoules,6684.0
2015,Ontario,Natural gas,Commercial and other institutional,Terajoules,226663.0
2016,Ontario,Natural gas,Commercial and other institutional,Terajoules,210893.0
2017,Ontario,Natural gas,Commercial and other institutional,Terajoules,219272.0
2018,Ontario,Natural gas,Commercial and other institutional,Terajoules,232216.0
2019,Ontario,Natural gas,Commercial and other institutional,Terajoules,241461.0
2015,Ontario,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Terajoules,35315.0
2016,Ontario,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Terajoules,48422.0
2017,Ontario,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Terajoules,49657.0
2018,Ontario,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Terajoules,37277.0
2019,Ontario,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Terajoules,37629.0
2015,Ontario,Gas plant natural gas liquids (NGL's),Total industrial,Terajoules,7498.0
2016,Ontario,Gas plant natural gas liquids (NGL's),Total industrial,Terajoules,9333.0
2017,Ontario,Gas plant natural gas liquids (NGL's),Total industrial,Terajoules,9775.0
2018,Ontario,Gas plant natural gas liquids (NGL's),Total industrial,Terajoules,7850.0
2019,Ontario,Gas plant natural gas liquids (NGL's),Total industrial,Terajoules,7863.0
2015,Ontario,Gas plant natural gas liquids (NGL's),Total transportation,Terajoules,5214.0
2016,Ontario,Gas plant natural gas liquids (NGL's),Total transportation,Terajoules,7241.0
2017,Ontario,Gas plant natural gas liquids (NGL's),Total transportation,Terajoules,7208.0
2018,Ontario,Gas plant natural gas liquids (NGL's),Total transportation,Terajoules,5318.0
2019,Ontario,Gas plant natural gas liquids (NGL's),Total transportation,Terajoules,5379.0
2015,Ontario,Gas plant natural gas liquids (NGL's),Agriculture,Terajoules,3129.0
2016,Ontario,Gas plant natural gas liquids (NGL's),Agriculture,Terajoules,4346.0
2017,Ontario,Gas plant natural gas liquids (NGL's),Agriculture,Terajoules,4325.0
2018,Ontario,Gas plant natural gas liquids (NGL's),Agriculture,Terajoules,3191.0
2019,Ontario,Gas plant natural gas liquids (NGL's),Agriculture,Terajoules,3228.0
2015,Ontario,Gas plant natural gas liquids (NGL's),Residential,Terajoules,8143.0
2016,Ontario,Gas plant natural gas liquids (NGL's),Residential,Terajoules,11309.0
2017,Ontario,Gas plant natural gas liquids (NGL's),Residential,Terajoules,11532.0
2018,Ontario,Gas plant natural gas liquids (NGL's),Residential,Terajoules,8509.0
2019,Ontario,Gas plant natural gas liquids (NGL's),Residential,Terajoules,8607.0
2015,Ontario,Gas plant natural gas liquids (NGL's),Public administration,Terajoules,
2016,Ontario,Gas plant natural gas liquids (NGL's),Public administration,Terajoules,
2015,Ontario,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Terajoules,11661.0
2016,Ontario,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Terajoules,16193.0
2017,Ontario,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Terajoules,16338.0
2018,Ontario,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Terajoules,12054.0
2019,Ontario,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Terajoules,12194.0
2015,Ontario,Hydroelectricity,"Energy use, final demand",Terajoules,137458.5547
2016,Ontario,Hydroelectricity,"Energy use, final demand",Terajoules,139898.2195
2017,Ontario,Hydroelectricity,"Energy use, final demand",Terajoules,153035.5026
2018,Ontario,Hydroelectricity,"Energy use, final demand",Terajoules,153103.7546
2019,Ontario,Hydroelectricity,"Energy use, final demand",Terajoules,143380.1439
2015,Ontario,Hydroelectricity,Total industrial,Terajoules,39985.45609
2016,Ontario,Hydroelectricity,Total industrial,Terajoules,42280.48935
2017,Ontario,Hydroelectricity,Total industrial,Terajoules,43463.49245
2018,Ontario,Hydroelectricity,Total industrial,Terajoules,43989.56939
2019,Ontario,Hydroelectricity,Total industrial,Terajoules,40063.53682
2015,Ontario,Hydroelectricity,Total transportation,Terajoules,539.974299
2016,Ontario,Hydroelectricity,Total transportation,Terajoules,562.0389632
2017,Ontario,Hydroelectricity,Total transportation,Terajoules,590.4490651
2018,Ontario,Hydroelectricity,Total transportation,Terajoules,576.7355072
2019,Ontario,Hydroelectricity,Total transportation,Terajoules,560.5990674
2015,Ontario,Hydroelectricity,Agriculture,Terajoules,2538.763503
2016,Ontario,Hydroelectricity,Agriculture,Terajoules,2613.123648
2017,Ontario,Hydroelectricity,Agriculture,Terajoules,2625.888024
2018,Ontario,Hydroelectricity,Agriculture,Terajoules,2582.642465
2019,Ontario,Hydroelectricity,Agriculture,Terajoules,2706.084025
2015,Ontario,Hydroelectricity,Residential,Terajoules,47330.65407
2016,Ontario,Hydroelectricity,Residential,Terajoules,47029.36106
2017,Ontario,Hydroelectricity,Residential,Terajoules,48859.73682
2018,Ontario,Hydroelectricity,Residential,Terajoules,48235.35611
2019,Ontario,Hydroelectricity,Residential,Terajoules,45213.84422
2015,Ontario,Hydroelectricity,Public administration,Terajoules,2371.575964
2016,Ontario,Hydroelectricity,Public administration,Terajoules,2275.614245
2017,Ontario,Hydroelectricity,Public administration,Terajoules,2387.868037
2018,Ontario,Hydroelectricity,Public administration,Terajoules,2327.209737
2019,Ontario,Hydroelectricity,Public administration,Terajoules,2241.252773
2015,Ontario,Hydroelectricity,Commercial and other institutional,Terajoules,44692.13073
2016,Ontario,Hydroelectricity,Commercial and other institutional,Terajoules,45137.59226
2017,Ontario,Hydroelectricity,Commercial and other institutional,Terajoules,55107.76147
2018,Ontario,Hydroelectricity,Commercial and other institutional,Terajoules,55392.53944
2019,Ontario,Hydroelectricity,Commercial and other institutional,Terajoules,52594.54117
2015,Ontario,Nuclear,"Energy use, final demand",Terajoules,359961.4453
2016,Ontario,Nuclear,"Energy use, final demand",Terajoules,349213.7805
2017,Ontario,Nuclear,"Energy use, final demand",Terajoules,345895.4974
2018,Ontario,Nuclear,"Energy use, final demand",Terajoules,360573.2454
2019,Ontario,Nuclear,"Energy use, final demand",Terajoules,358169.8561
2015,Ontario,Nuclear,Total industrial,Terajoules,104709.5439
2016,Ontario,Nuclear,Total industrial,Terajoules,105540.5106
2017,Ontario,Nuclear,Total industrial,Terajoules,98237.50755
2018,Ontario,Nuclear,Total industrial,Terajoules,103599.4306
2019,Ontario,Nuclear,Total industrial,Terajoules,100080.4632
2015,Ontario,Nuclear,Total transportation,Terajoules,1414.025701
2016,Ontario,Nuclear,Total transportation,Terajoules,1402.961037
2017,Ontario,Nuclear,Total transportation,Terajoules,1334.550935
2018,Ontario,Nuclear,Total transportation,Terajoules,1358.264493
2019,Ontario,Nuclear,Total transportation,Terajoules,1400.400933
2015,Ontario,Nuclear,Agriculture,Terajoules,6648.236497
2016,Ontario,Nuclear,Agriculture,Terajoules,6522.876352
2017,Ontario,Nuclear,Agriculture,Terajoules,5935.111976
2018,Ontario,Nuclear,Agriculture,Terajoules,6082.357535
2019,Ontario,Nuclear,Agriculture,Terajoules,6759.915975
2015,Ontario,Nuclear,Residential,Terajoules,123944.3459
2016,Ontario,Nuclear,Residential,Terajoules,117394.6389
2017,Ontario,Nuclear,Residential,Terajoules,110434.2632
2018,Ontario,Nuclear,Residential,Terajoules,113598.6439
2019,Ontario,Nuclear,Residential,Terajoules,112946.1558
2015,Ontario,Nuclear,Public administration,Terajoules,6210.424036
2016,Ontario,Nuclear,Public administration,Terajoules,5680.385755
2017,Ontario,Nuclear,Public administration,Terajoules,5397.131963
2018,Ontario,Nuclear,Public administration,Terajoules,5480.790263
2019,Ontario,Nuclear,Public administration,Terajoules,5598.747227
2015,Ontario,Nuclear,Commercial and other institutional,Terajoules,117034.8693
2016,Ontario,Nuclear,Commercial and other institutional,Terajoules,112672.4077
2017,Ontario,Nuclear,Commercial and other institutional,Terajoules,124556.2385
2018,Ontario,Nuclear,Commercial and other institutional,Terajoules,130454.4606
2019,Ontario,Nuclear,Commercial and other institutional,Terajoules,131383.4588
2015,Ontario,Steam,"Energy use, final demand",Terajoules,5966.0
2016,Ontario,Steam,"Energy use, final demand",Terajoules,5422.0
2017,Ontario,Steam,"Energy use, final demand",Terajoules,5253.0
2018,Ontario,Steam,"Energy use, final demand",Terajoules,6362.0
2019,Ontario,Steam,"Energy use, final demand",Terajoules,2284.0
2015,Ontario,Steam,Total industrial,Terajoules,
2016,Ontario,Steam,Total industrial,Terajoules,3466.0
2017,Ontario,Steam,Total industrial,Terajoules,3808.0
2018,Ontario,Steam,Total industrial,Terajoules,5058.0
2019,Ontario,Steam,Total industrial,Terajoules,1993.0
2015,Ontario,Steam,Agriculture,Terajoules,3.0
2016,Ontario,Steam,Agriculture,Terajoules,1.0
2017,Ontario,Steam,Agriculture,Terajoules,1.0
2018,Ontario,Steam,Agriculture,Terajoules,0.0
2019,Ontario,Steam,Agriculture,Terajoules,0.0
2015,Ontario,Steam,Residential,Terajoules,0.0
2016,Ontario,Steam,Residential,Terajoules,0.0
2017,Ontario,Steam,Residential,Terajoules,0.0
2018,Ontario,Steam,Residential,Terajoules,0.0
2019,Ontario,Steam,Residential,Terajoules,0.0
2015,Ontario,Steam,Public administration,Terajoules,
2016,Ontario,Steam,Public administration,Terajoules,
2017,Ontario,Steam,Public administration,Terajoules,0.0
2018,Ontario,Steam,Public administration,Terajoules,0.0
2019,Ontario,Steam,Public administration,Terajoules,0.0
2015,Ontario,Steam,Commercial and other institutional,Terajoules,2260.0
2016,Ontario,Steam,Commercial and other institutional,Terajoules,1954.0
2017,Ontario,Steam,Commercial and other institutional,Terajoules,1444.0
2018,Ontario,Steam,Commercial and other institutional,Terajoules,1304.0
2019,Ontario,Steam,Commercial and other institutional,Terajoules,292.0
2015,Ontario,Coke,"Energy use, final demand",Terajoules,72003.0
2016,Ontario,Coke,"Energy use, final demand",Terajoules,80371.0
2017,Ontario,Coke,"Energy use, final demand",Terajoules,81737.0
2018,Ontario,Coke,"Energy use, final demand",Terajoules,84159.0
2019,Ontario,Coke,"Energy use, final demand",Terajoules,77859.0
2015,Ontario,Coke,Total industrial,Terajoules,72003.0
2016,Ontario,Coke,Total industrial,Terajoules,80371.0
2017,Ontario,Coke,Total industrial,Terajoules,81737.0
2018,Ontario,Coke,Total industrial,Terajoules,84159.0
2019,Ontario,Coke,Total industrial,Terajoules,77859.0
2015,Ontario,Coke oven gas,"Energy use, final demand",Terajoules,21181.0
2016,Ontario,Coke oven gas,"Energy use, final demand",Terajoules,19994.0
2017,Ontario,Coke oven gas,"Energy use, final demand",Terajoules,19744.0
2018,Ontario,Coke oven gas,"Energy use, final demand",Terajoules,23235.0
2019,Ontario,Coke oven gas,"Energy use, final demand",Terajoules,22119.0
2015,Ontario,Coke oven gas,Total industrial,Terajoules,21181.0
2016,Ontario,Coke oven gas,Total industrial,Terajoules,19994.0
2017,Ontario,Coke oven gas,Total industrial,Terajoules,19744.0
2018,Ontario,Coke oven gas,Total industrial,Terajoules,23235.0
2019,Ontario,Coke oven gas,Total industrial,Terajoules,22119.0
2015,Ontario,Total refined petroleum products,"Energy use, final demand",Terajoules,978625.0
2016,Ontario,Total refined petroleum products,"Energy use, final demand",Terajoules,971061.0
2017,Ontario,Total refined petroleum products,"Energy use, final demand",Terajoules,994201.0
2018,Ontario,Total refined petroleum products,"Energy use, final demand",Terajoules,1031142.0
2019,Ontario,Total refined petroleum products,"Energy use, final demand",Terajoules,1037274.0
2015,Ontario,Total refined petroleum products,Total industrial,Terajoules,68215.0
2016,Ontario,Total refined petroleum products,Total industrial,Terajoules,68263.0
2017,Ontario,Total refined petroleum products,Total industrial,Terajoules,69428.0
2018,Ontario,Total refined petroleum products,Total industrial,Terajoules,65986.0
2019,Ontario,Total refined petroleum products,Total industrial,Terajoules,66387.0
2015,Ontario,Total refined petroleum products,Total transportation,Terajoules,841599.0
2016,Ontario,Total refined petroleum products,Total transportation,Terajoules,834153.0
2017,Ontario,Total refined petroleum products,Total transportation,Terajoules,851665.0
2018,Ontario,Total refined petroleum products,Total transportation,Terajoules,880826.0
2019,Ontario,Total refined petroleum products,Total transportation,Terajoules,890354.0
2015,Ontario,Total refined petroleum products,Agriculture,Terajoules,26038.0
2016,Ontario,Total refined petroleum products,Agriculture,Terajoules,26152.0
2017,Ontario,Total refined petroleum products,Agriculture,Terajoules,27789.0
2018,Ontario,Total refined petroleum products,Agriculture,Terajoules,29258.0
2019,Ontario,Total refined petroleum products,Agriculture,Terajoules,26697.0
2015,Ontario,Total refined petroleum products,Residential,Terajoules,17058.0
2016,Ontario,Total refined petroleum products,Residential,Terajoules,12506.0
2017,Ontario,Total refined petroleum products,Residential,Terajoules,10702.0
2018,Ontario,Total refined petroleum products,Residential,Terajoules,10747.0
2019,Ontario,Total refined petroleum products,Residential,Terajoules,8975.0
2015,Ontario,Total refined petroleum products,Public administration,Terajoules,12779.0
2016,Ontario,Total refined petroleum products,Public administration,Terajoules,13963.0
2017,Ontario,Total refined petroleum products,Public administration,Terajoules,13081.0
2018,Ontario,Total refined petroleum products,Public administration,Terajoules,14767.0
2019,Ontario,Total refined petroleum products,Public administration,Terajoules,15381.0
2015,Ontario,Total refined petroleum products,Commercial and other institutional,Terajoules,12936.0
2016,Ontario,Total refined petroleum products,Commercial and other institutional,Terajoules,16023.0
2017,Ontario,Total refined petroleum products,Commercial and other institutional,Terajoules,21536.0
2018,Ontario,Total refined petroleum products,Commercial and other institutional,Terajoules,29558.0
2019,Ontario,Total refined petroleum products,Commercial and other institutional,Terajoules,29480.0
2015,Manitoba,Total primary and secondary energy,"Energy use, final demand",Terajoules,279322.0
2016,Manitoba,Total primary and secondary energy,"Energy use, final demand",Terajoules,284479.0
2017,Manitoba,Total primary and secondary energy,"Energy use, final demand",Terajoules,293420.0
2018,Manitoba,Total primary and secondary energy,"Energy use, final demand",Terajoules,309567.0
2019,Manitoba,Total primary and secondary energy,"Energy use, final demand",Terajoules,303678.0
2015,Manitoba,Total primary and secondary energy,Total industrial,Terajoules,62798.0
2016,Manitoba,Total primary and secondary energy,Total industrial,Terajoules,67268.0
2017,Manitoba,Total primary and secondary energy,Total industrial,Terajoules,66598.0
2018,Manitoba,Total primary and secondary energy,Total industrial,Terajoules,61927.0
2019,Manitoba,Total primary and secondary energy,Total industrial,Terajoules,59867.0
2015,Manitoba,Total primary and secondary energy,Total transportation,Terajoules,91406.0
2016,Manitoba,Total primary and secondary energy,Total transportation,Terajoules,93323.0
2017,Manitoba,Total primary and secondary energy,Total transportation,Terajoules,94990.0
2018,Manitoba,Total primary and secondary energy,Total transportation,Terajoules,106491.0
2019,Manitoba,Total primary and secondary energy,Total transportation,Terajoules,106239.0
2015,Manitoba,Total primary and secondary energy,Agriculture,Terajoules,23650.0
2016,Manitoba,Total primary and secondary energy,Agriculture,Terajoules,23518.0
2017,Manitoba,Total primary and secondary energy,Agriculture,Terajoules,25286.0
2018,Manitoba,Total primary and secondary energy,Agriculture,Terajoules,27077.0
2019,Manitoba,Total primary and secondary energy,Agriculture,Terajoules,25138.0
2015,Manitoba,Total primary and secondary energy,Residential,Terajoules,49904.0
2016,Manitoba,Total primary and secondary energy,Residential,Terajoules,48724.0
2017,Manitoba,Total primary and secondary energy,Residential,Terajoules,51674.0
2018,Manitoba,Total primary and secondary energy,Residential,Terajoules,55826.0
2019,Manitoba,Total primary and secondary energy,Residential,Terajoules,55459.0
2015,Manitoba,Total primary and secondary energy,Public administration,Terajoules,4873.0
2016,Manitoba,Total primary and secondary energy,Public administration,Terajoules,5340.0
2017,Manitoba,Total primary and secondary energy,Public administration,Terajoules,5485.0
2018,Manitoba,Total primary and secondary energy,Public administration,Terajoules,5460.0
2019,Manitoba,Total primary and secondary energy,Public administration,Terajoules,5390.0
2015,Manitoba,Total primary and secondary energy,Commercial and other institutional,Terajoules,47015.0
2016,Manitoba,Total primary and secondary energy,Commercial and other institutional,Terajoules,46307.0
2017,Manitoba,Total primary and secondary energy,Commercial and other institutional,Terajoules,49387.0
2018,Manitoba,Total primary and secondary energy,Commercial and other institutional,Terajoules,52786.0
2019,Manitoba,Total primary and secondary energy,Commercial and other institutional,Terajoules,51584.0
2015,Manitoba,Total coal,"Energy use, final demand",Terajoules,
2016,Manitoba,Total coal,"Energy use, final demand",Terajoules,
2017,Manitoba,Total coal,"Energy use, final demand",Terajoules,
2018,Manitoba,Total coal,"Energy use, final demand",Terajoules,379.0
2019,Manitoba,Total coal,"Energy use, final demand",Terajoules,330.0
2015,Manitoba,Total coal,Total industrial,Terajoules,
2016,Manitoba,Total coal,Total industrial,Terajoules,
2017,Manitoba,Total coal,Total industrial,Terajoules,
2018,Manitoba,Total coal,Total industrial,Terajoules,379.0
2019,Manitoba,Total coal,Total industrial,Terajoules,330.0
2015,Manitoba,Natural gas,"Energy use, final demand",Terajoules,79777.0
2016,Manitoba,Natural gas,"Energy use, final demand",Terajoules,79777.0
2017,Manitoba,Natural gas,"Energy use, final demand",Terajoules,81711.0
2018,Manitoba,Natural gas,"Energy use, final demand",Terajoules,83663.0
2019,Manitoba,Natural gas,"Energy use, final demand",Terajoules,81529.0
2015,Manitoba,Natural gas,Total industrial,Terajoules,28140.0
2016,Manitoba,Natural gas,Total industrial,Terajoules,30488.0
2017,Manitoba,Natural gas,Total industrial,Terajoules,30444.0
2018,Manitoba,Natural gas,Total industrial,Terajoules,24864.0
2019,Manitoba,Natural gas,Total industrial,Terajoules,24251.0
2015,Manitoba,Natural gas,Total transportation,Terajoules,6257.0
2016,Manitoba,Natural gas,Total transportation,Terajoules,4897.0
2017,Manitoba,Natural gas,Total transportation,Terajoules,3113.0
2018,Manitoba,Natural gas,Total transportation,Terajoules,6124.0
2019,Manitoba,Natural gas,Total transportation,Terajoules,5256.0
2015,Manitoba,Natural gas,Agriculture,Terajoules,59.0
2016,Manitoba,Natural gas,Agriculture,Terajoules,65.0
2017,Manitoba,Natural gas,Agriculture,Terajoules,56.0
2018,Manitoba,Natural gas,Agriculture,Terajoules,64.0
2019,Manitoba,Natural gas,Agriculture,Terajoules,62.0
2015,Manitoba,Natural gas,Residential,Terajoules,19815.0
2016,Manitoba,Natural gas,Residential,Terajoules,19731.0
2017,Manitoba,Natural gas,Residential,Terajoules,21726.0
2018,Manitoba,Natural gas,Residential,Terajoules,23420.0
2019,Manitoba,Natural gas,Residential,Terajoules,23344.0
2015,Manitoba,Natural gas,Public administration,Terajoules,1046.0
2016,Manitoba,Natural gas,Public administration,Terajoules,1008.0
2017,Manitoba,Natural gas,Public administration,Terajoules,1081.0
2018,Manitoba,Natural gas,Public administration,Terajoules,1197.0
2019,Manitoba,Natural gas,Public administration,Terajoules,1173.0
2015,Manitoba,Natural gas,Commercial and other institutional,Terajoules,24461.0
2016,Manitoba,Natural gas,Commercial and other institutional,Terajoules,23588.0
2017,Manitoba,Natural gas,Commercial and other institutional,Terajoules,25291.0
2018,Manitoba,Natural gas,Commercial and other institutional,Terajoules,27995.0
2019,Manitoba,Natural gas,Commercial and other institutional,Terajoules,27443.0
2015,Manitoba,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Terajoules,
2016,Manitoba,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Terajoules,
2017,Manitoba,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Terajoules,
2018,Manitoba,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Terajoules,4746.0
2019,Manitoba,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Terajoules,4706.0
2015,Manitoba,Gas plant natural gas liquids (NGL's),Total industrial,Terajoules,1530.0
2016,Manitoba,Gas plant natural gas liquids (NGL's),Total industrial,Terajoules,
2017,Manitoba,Gas plant natural gas liquids (NGL's),Total industrial,Terajoules,
2018,Manitoba,Gas plant natural gas liquids (NGL's),Total industrial,Terajoules,2143.0
2019,Manitoba,Gas plant natural gas liquids (NGL's),Total industrial,Terajoules,2035.0
2015,Manitoba,Gas plant natural gas liquids (NGL's),Total transportation,Terajoules,143.0
2016,Manitoba,Gas plant natural gas liquids (NGL's),Total transportation,Terajoules,111.0
2017,Manitoba,Gas plant natural gas liquids (NGL's),Total transportation,Terajoules,180.0
2018,Manitoba,Gas plant natural gas liquids (NGL's),Total transportation,Terajoules,224.0
2019,Manitoba,Gas plant natural gas liquids (NGL's),Total transportation,Terajoules,230.0
2015,Manitoba,Gas plant natural gas liquids (NGL's),Agriculture,Terajoules,449.0
2016,Manitoba,Gas plant natural gas liquids (NGL's),Agriculture,Terajoules,347.0
2017,Manitoba,Gas plant natural gas liquids (NGL's),Agriculture,Terajoules,575.0
2018,Manitoba,Gas plant natural gas liquids (NGL's),Agriculture,Terajoules,718.0
2019,Manitoba,Gas plant natural gas liquids (NGL's),Agriculture,Terajoules,737.0
2015,Manitoba,Gas plant natural gas liquids (NGL's),Residential,Terajoules,188.0
2016,Manitoba,Gas plant natural gas liquids (NGL's),Residential,Terajoules,144.0
2017,Manitoba,Gas plant natural gas liquids (NGL's),Residential,Terajoules,252.0
2018,Manitoba,Gas plant natural gas liquids (NGL's),Residential,Terajoules,314.0
2019,Manitoba,Gas plant natural gas liquids (NGL's),Residential,Terajoules,322.0
2015,Manitoba,Gas plant natural gas liquids (NGL's),Public administration,Terajoules,
2016,Manitoba,Gas plant natural gas liquids (NGL's),Public administration,Terajoules,
2015,Manitoba,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Terajoules,830.0
2016,Manitoba,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Terajoules,643.0
2017,Manitoba,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Terajoules,1078.0
2018,Manitoba,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Terajoules,1347.0
2019,Manitoba,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Terajoules,1382.0
2015,Manitoba,Hydroelectricity,"Energy use, final demand",Terajoules,77776.0
2016,Manitoba,Hydroelectricity,"Energy use, final demand",Terajoules,79315.0
2017,Manitoba,Hydroelectricity,"Energy use, final demand",Terajoules,78566.0
2018,Manitoba,Hydroelectricity,"Energy use, final demand",Terajoules,82092.0
2019,Manitoba,Hydroelectricity,"Energy use, final demand",Terajoules,80095.0
2015,Manitoba,Hydroelectricity,Total industrial,Terajoules,21024.0
2016,Manitoba,Hydroelectricity,Total industrial,Terajoules,23322.0
2017,Manitoba,Hydroelectricity,Total industrial,Terajoules,20958.0
2018,Manitoba,Hydroelectricity,Total industrial,Terajoules,21169.0
2019,Manitoba,Hydroelectricity,Total industrial,Terajoules,20031.0
2015,Manitoba,Hydroelectricity,Total transportation,Terajoules,3988.0
2016,Manitoba,Hydroelectricity,Total transportation,Terajoules,4678.0
2017,Manitoba,Hydroelectricity,Total transportation,Terajoules,5232.0
2018,Manitoba,Hydroelectricity,Total transportation,Terajoules,5317.0
2019,Manitoba,Hydroelectricity,Total transportation,Terajoules,5001.0
2015,Manitoba,Hydroelectricity,Agriculture,Terajoules,2764.0
2016,Manitoba,Hydroelectricity,Agriculture,Terajoules,2823.0
2017,Manitoba,Hydroelectricity,Agriculture,Terajoules,2810.0
2018,Manitoba,Hydroelectricity,Agriculture,Terajoules,3033.0
2019,Manitoba,Hydroelectricity,Agriculture,Terajoules,3129.0
2015,Manitoba,Hydroelectricity,Residential,Terajoules,29718.0
2016,Manitoba,Hydroelectricity,Residential,Terajoules,28749.0
2017,Manitoba,Hydroelectricity,Residential,Terajoules,29548.0
