"Year","Geography","Education attainment level","Gender","Population characteristics","Age group","GeoCode","Value"
"2013","Newfoundland and Labrador","Tertiary education","Total - Gender","Total population","25 to 34 years",10,54
"2013","Newfoundland and Labrador","Tertiary education","Men+","Total population","25 to 34 years",10,44
"2013","Newfoundland and Labrador","Tertiary education","Women+","Total population","25 to 34 years",10,64
"2013","Newfoundland and Labrador","Tertiary education","Total - Gender","Total population","30 to 34 years",10,55
"2013","Newfoundland and Labrador","Tertiary education","Men+","Total population","30 to 34 years",10,45
"2013","Newfoundland and Labrador","Tertiary education","Women+","Total population","30 to 34 years",10,64
"2013","Newfoundland and Labrador","Tertiary education","Total - Gender","Total population","35 to 44 years",10,49
"2013","Newfoundland and Labrador","Tertiary education","Men+","Total population","35 to 44 years",10,41
"2013","Newfoundland and Labrador","Tertiary education","Women+","Total population","35 to 44 years",10,57
"2013","Newfoundland and Labrador","Tertiary education","Total - Gender","Total population","45 to 54 years",10,35
"2013","Newfoundland and Labrador","Tertiary education","Men+","Total population","45 to 54 years",10,30
"2013","Newfoundland and Labrador","Tertiary education","Women+","Total population","45 to 54 years",10,40
"2013","Newfoundland and Labrador","Tertiary education","Total - Gender","Total population","55 to 64 years",10,27
"2013","Newfoundland and Labrador","Tertiary education","Men+","Total population","55 to 64 years",10,24
"2013","Newfoundland and Labrador","Tertiary education","Women+","Total population","55 to 64 years",10,30
"2013","Newfoundland and Labrador","Short-cycle tertiary","Total - Gender","Total population","Total, 25 to 64 years",10,21
"2013","Newfoundland and Labrador","Short-cycle tertiary","Men+","Total population","Total, 25 to 64 years",10,16
"2013","Newfoundland and Labrador","Short-cycle tertiary","Women+","Total population","Total, 25 to 64 years",10,25
"2013","Newfoundland and Labrador","Short-cycle tertiary","Total - Gender","Total population","25 to 34 years",10,25
"2013","Newfoundland and Labrador","Short-cycle tertiary","Men+","Total population","25 to 34 years",10,22
"2013","Newfoundland and Labrador","Short-cycle tertiary","Women+","Total population","25 to 34 years",10,28
"2013","Newfoundland and Labrador","Short-cycle tertiary","Total - Gender","Total population","30 to 34 years",10,27
"2013","Newfoundland and Labrador","Short-cycle tertiary","Men+","Total population","30 to 34 years",10,24
"2013","Newfoundland and Labrador","Short-cycle tertiary","Women+","Total population","30 to 34 years",10,29
"2013","Newfoundland and Labrador","Short-cycle tertiary","Total - Gender","Total population","35 to 44 years",10,25
"2013","Newfoundland and Labrador","Short-cycle tertiary","Men+","Total population","35 to 44 years",10,21
"2013","Newfoundland and Labrador","Short-cycle tertiary","Women+","Total population","35 to 44 years",10,29
"2013","Newfoundland and Labrador","Short-cycle tertiary","Total - Gender","Total population","45 to 54 years",10,19
"2013","Newfoundland and Labrador","Short-cycle tertiary","Men+","Total population","45 to 54 years",10,14
"2013","Newfoundland and Labrador","Short-cycle tertiary","Women+","Total population","45 to 54 years",10,25
"2013","Newfoundland and Labrador","Short-cycle tertiary","Total - Gender","Total population","55 to 64 years",10,15
"2013","Newfoundland and Labrador","Short-cycle tertiary","Men+","Total population","55 to 64 years",10,11
"2013","Newfoundland and Labrador","Short-cycle tertiary","Women+","Total population","55 to 64 years",10,19
"2013","Newfoundland and Labrador","Bachelor's level","Total - Gender","Total population","Total, 25 to 64 years",10,13
"2013","Newfoundland and Labrador","Bachelor's level","Men+","Total population","Total, 25 to 64 years",10,12
"2013","Newfoundland and Labrador","Bachelor's level","Women+","Total population","Total, 25 to 64 years",10,15
"2013","Newfoundland and Labrador","Bachelor's level","Total - Gender","Total population","25 to 34 years",10,21
"2013","Newfoundland and Labrador","Bachelor's level","Men+","Total population","25 to 34 years",10,16
"2013","Newfoundland and Labrador","Bachelor's level","Women+","Total population","25 to 34 years",10,26
"2013","Newfoundland and Labrador","Bachelor's level","Total - Gender","Total population","30 to 34 years",10,20
"2013","Newfoundland and Labrador","Bachelor's level","Men+","Total population","30 to 34 years",10,15
"2013","Newfoundland and Labrador","Bachelor's level","Women+","Total population","30 to 34 years",10,26
"2013","Newfoundland and Labrador","Bachelor's level","Total - Gender","Total population","35 to 44 years",10,17
"2013","Newfoundland and Labrador","Bachelor's level","Men+","Total population","35 to 44 years",10,14
"2013","Newfoundland and Labrador","Bachelor's level","Women+","Total population","35 to 44 years",10,19
"2013","Newfoundland and Labrador","Bachelor's level","Total - Gender","Total population","45 to 54 years",10,10
"2013","Newfoundland and Labrador","Bachelor's level","Men+","Total population","45 to 54 years",10,10
"2013","Newfoundland and Labrador","Bachelor's level","Women+","Total population","45 to 54 years",10,10
"2013","Newfoundland and Labrador","Bachelor's level","Total - Gender","Total population","55 to 64 years",10,7
"2013","Newfoundland and Labrador","Bachelor's level","Men+","Total population","55 to 64 years",10,7
"2013","Newfoundland and Labrador","Bachelor's level","Women+","Total population","55 to 64 years",10,8
"2013","Newfoundland and Labrador","Master's or Doctoral level","Total - Gender","Total population","Total, 25 to 64 years",10,6
"2013","Newfoundland and Labrador","Master's or Doctoral level","Men+","Total population","Total, 25 to 64 years",10,5
"2013","Newfoundland and Labrador","Master's or Doctoral level","Women+","Total population","Total, 25 to 64 years",10,7
"2013","Newfoundland and Labrador","Master's or Doctoral level","Total - Gender","Total population","25 to 34 years",10,8
"2013","Newfoundland and Labrador","Master's or Doctoral level","Men+","Total population","25 to 34 years",10,5
"2013","Newfoundland and Labrador","Master's or Doctoral level","Women+","Total population","25 to 34 years",10,10
"2013","Newfoundland and Labrador","Master's or Doctoral level","Total - Gender","Total population","30 to 34 years",10,8
"2013","Newfoundland and Labrador","Master's or Doctoral level","Men+","Total population","30 to 34 years",10,6
"2013","Newfoundland and Labrador","Master's or Doctoral level","Women+","Total population","30 to 34 years",10,9
"2013","Newfoundland and Labrador","Master's or Doctoral level","Total - Gender","Total population","35 to 44 years",10,7
"2013","Newfoundland and Labrador","Master's or Doctoral level","Men+","Total population","35 to 44 years",10,5
"2013","Newfoundland and Labrador","Master's or Doctoral level","Women+","Total population","35 to 44 years",10,9
"2013","Newfoundland and Labrador","Master's or Doctoral level","Total - Gender","Total population","45 to 54 years",10,5
"2013","Newfoundland and Labrador","Master's or Doctoral level","Men+","Total population","45 to 54 years",10,6
"2013","Newfoundland and Labrador","Master's or Doctoral level","Women+","Total population","45 to 54 years",10,5
"2013","Newfoundland and Labrador","Master's or Doctoral level","Total - Gender","Total population","55 to 64 years",10,4
"2013","Newfoundland and Labrador","Master's or Doctoral level","Men+","Total population","55 to 64 years",10,5
"2013","Newfoundland and Labrador","Master's or Doctoral level","Women+","Total population","55 to 64 years",10,3
"2013","Prince Edward Island","Tertiary education","Total - Gender","Total population","Total, 25 to 64 years",11,52
"2013","Prince Edward Island","Tertiary education","Men+","Total population","Total, 25 to 64 years",11,40
"2013","Prince Edward Island","Tertiary education","Women+","Total population","Total, 25 to 64 years",11,63
"2013","Prince Edward Island","Tertiary education","Total - Gender","Total population","25 to 34 years",11,60
"2013","Prince Edward Island","Tertiary education","Men+","Total population","25 to 34 years",11,47
"2013","Prince Edward Island","Tertiary education","Women+","Total population","25 to 34 years",11,72
"2013","Prince Edward Island","Tertiary education","Total - Gender","Total population","30 to 34 years",11,63
"2013","Prince Edward Island","Tertiary education","Men+","Total population","30 to 34 years",11,52
"2013","Prince Edward Island","Tertiary education","Women+","Total population","30 to 34 years",11,72
"2013","Prince Edward Island","Tertiary education","Total - Gender","Total population","35 to 44 years",11,59
"2013","Prince Edward Island","Tertiary education","Men+","Total population","35 to 44 years",11,46
"2013","Prince Edward Island","Tertiary education","Women+","Total population","35 to 44 years",11,71
"2013","Prince Edward Island","Tertiary education","Total - Gender","Total population","45 to 54 years",11,49
"2013","Prince Edward Island","Tertiary education","Men+","Total population","45 to 54 years",11,37
"2013","Prince Edward Island","Tertiary education","Women+","Total population","45 to 54 years",11,61
"2013","Prince Edward Island","Tertiary education","Total - Gender","Total population","55 to 64 years",11,43
"2013","Prince Edward Island","Tertiary education","Men+","Total population","55 to 64 years",11,34
"2013","Prince Edward Island","Tertiary education","Women+","Total population","55 to 64 years",11,52
"2013","Prince Edward Island","Short-cycle tertiary","Total - Gender","Total population","Total, 25 to 64 years",11,29
"2013","Prince Edward Island","Short-cycle tertiary","Men+","Total population","Total, 25 to 64 years",11,22
"2013","Prince Edward Island","Short-cycle tertiary","Women+","Total population","Total, 25 to 64 years",11,36
"2013","Prince Edward Island","Short-cycle tertiary","Total - Gender","Total population","25 to 34 years",11,30
"2013","Prince Edward Island","Short-cycle tertiary","Men+","Total population","25 to 34 years",11,28
"2013","Prince Edward Island","Short-cycle tertiary","Women+","Total population","25 to 34 years",11,33
"2013","Prince Edward Island","Short-cycle tertiary","Total - Gender","Total population","30 to 34 years",11,35
"2013","Prince Edward Island","Short-cycle tertiary","Men+","Total population","30 to 34 years",11,34
"2013","Prince Edward Island","Short-cycle tertiary","Women+","Total population","30 to 34 years",11,36
"2013","Prince Edward Island","Short-cycle tertiary","Total - Gender","Total population","35 to 44 years",11,33
"2013","Prince Edward Island","Short-cycle tertiary","Men+","Total population","35 to 44 years",11,27
"2013","Prince Edward Island","Short-cycle tertiary","Women+","Total population","35 to 44 years",11,38
"2013","Prince Edward Island","Short-cycle tertiary","Total - Gender","Total population","45 to 54 years",11,30
"2013","Prince Edward Island","Short-cycle tertiary","Men+","Total population","45 to 54 years",11,20
"2013","Prince Edward Island","Short-cycle tertiary","Women+","Total population","45 to 54 years",11,40
"2013","Prince Edward Island","Short-cycle tertiary","Total - Gender","Total population","55 to 64 years",11,24
"2013","Prince Edward Island","Short-cycle tertiary","Men+","Total population","55 to 64 years",11,15
"2013","Prince Edward Island","Short-cycle tertiary","Women+","Total population","55 to 64 years",11,32
"2013","Prince Edward Island","Bachelor's level","Total - Gender","Total population","Total, 25 to 64 years",11,16
"2013","Prince Edward Island","Bachelor's level","Men+","Total population","Total, 25 to 64 years",11,12
"2013","Prince Edward Island","Bachelor's level","Women+","Total population","Total, 25 to 64 years",11,20
"2013","Prince Edward Island","Bachelor's level","Total - Gender","Total population","25 to 34 years",11,23
"2013","Prince Edward Island","Bachelor's level","Men+","Total population","25 to 34 years",11,15
"2013","Prince Edward Island","Bachelor's level","Women+","Total population","25 to 34 years",11,31
"2013","Prince Edward Island","Bachelor's level","Total - Gender","Total population","30 to 34 years",11,19
"2013","Prince Edward Island","Bachelor's level","Men+","Total population","30 to 34 years",11,13
"2013","Prince Edward Island","Bachelor's level","Women+","Total population","30 to 34 years",11,25
"2013","Prince Edward Island","Bachelor's level","Total - Gender","Total population","35 to 44 years",11,18
"2013","Prince Edward Island","Bachelor's level","Men+","Total population","35 to 44 years",11,13
"2013","Prince Edward Island","Bachelor's level","Women+","Total population","35 to 44 years",11,23
"2013","Prince Edward Island","Bachelor's level","Total - Gender","Total population","45 to 54 years",11,13
"2013","Prince Edward Island","Bachelor's level","Men+","Total population","45 to 54 years",11,11
"2013","Prince Edward Island","Bachelor's level","Women+","Total population","45 to 54 years",11,15
"2013","Prince Edward Island","Bachelor's level","Total - Gender","Total population","55 to 64 years",11,13
"2013","Prince Edward Island","Bachelor's level","Men+","Total population","55 to 64 years",11,11
"2013","Prince Edward Island","Bachelor's level","Women+","Total population","55 to 64 years",11,15
"2013","Prince Edward Island","Master's or Doctoral level","Total - Gender","Total population","Total, 25 to 64 years",11,7
"2013","Prince Edward Island","Master's or Doctoral level","Men+","Total population","Total, 25 to 64 years",11,6
"2013","Prince Edward Island","Master's or Doctoral level","Women+","Total population","Total, 25 to 64 years",11,7
"2013","Prince Edward Island","Master's or Doctoral level","Total - Gender","Total population","25 to 34 years",11,6
"2013","Prince Edward Island","Master's or Doctoral level","Men+","Total population","25 to 34 years",11,5
"2013","Prince Edward Island","Master's or Doctoral level","Women+","Total population","25 to 34 years",11,8
"2013","Prince Edward Island","Master's or Doctoral level","Total - Gender","Total population","30 to 34 years",11,8
"2013","Prince Edward Island","Master's or Doctoral level","Men+","Total population","30 to 34 years",11,6
"2013","Prince Edward Island","Master's or Doctoral level","Women+","Total population","30 to 34 years",11,10
"2013","Prince Edward Island","Master's or Doctoral level","Total - Gender","Total population","35 to 44 years",11,8
"2013","Prince Edward Island","Master's or Doctoral level","Men+","Total population","35 to 44 years",11,6
"2013","Prince Edward Island","Master's or Doctoral level","Women+","Total population","35 to 44 years",11,11
"2013","Prince Edward Island","Master's or Doctoral level","Total - Gender","Total population","45 to 54 years",11,6
"2013","Prince Edward Island","Master's or Doctoral level","Men+","Total population","45 to 54 years",11,6
"2013","Prince Edward Island","Master's or Doctoral level","Women+","Total population","45 to 54 years",11,6
"2013","Prince Edward Island","Master's or Doctoral level","Total - Gender","Total population","55 to 64 years",11,7
"2013","Prince Edward Island","Master's or Doctoral level","Men+","Total population","55 to 64 years",11,8
"2013","Prince Edward Island","Master's or Doctoral level","Women+","Total population","55 to 64 years",11,5
"2013","Nova Scotia","Tertiary education","Total - Gender","Total population","Total, 25 to 64 years",12,52
"2013","Nova Scotia","Tertiary education","Men+","Total population","Total, 25 to 64 years",12,44
"2013","Nova Scotia","Tertiary education","Women+","Total population","Total, 25 to 64 years",12,59
"2013","Nova Scotia","Tertiary education","Total - Gender","Total population","25 to 34 years",12,61
"2013","Nova Scotia","Tertiary education","Men+","Total population","25 to 34 years",12,52
"2013","Nova Scotia","Tertiary education","Women+","Total population","25 to 34 years",12,68
"2013","Nova Scotia","Tertiary education","Total - Gender","Total population","30 to 34 years",12,65
"2013","Nova Scotia","Tertiary education","Men+","Total population","30 to 34 years",12,58
"2013","Nova Scotia","Tertiary education","Women+","Total population","30 to 34 years",12,73
"2013","Nova Scotia","Tertiary education","Total - Gender","Total population","35 to 44 years",12,60
"2013","Nova Scotia","Tertiary education","Men+","Total population","35 to 44 years",12,51
"2013","Nova Scotia","Tertiary education","Women+","Total population","35 to 44 years",12,68
"2013","Nova Scotia","Tertiary education","Total - Gender","Total population","45 to 54 years",12,47
"2013","Nova Scotia","Tertiary education","Men+","Total population","45 to 54 years",12,39
"2013","Nova Scotia","Tertiary education","Women+","Total population","45 to 54 years",12,54
"2013","Nova Scotia","Tertiary education","Total - Gender","Total population","55 to 64 years",12,43
"2013","Nova Scotia","Tertiary education","Men+","Total population","55 to 64 years",12,37
"2013","Nova Scotia","Tertiary education","Women+","Total population","55 to 64 years",12,49
"2013","Nova Scotia","Short-cycle tertiary","Total - Gender","Total population","Total, 25 to 64 years",12,26
"2013","Nova Scotia","Short-cycle tertiary","Men+","Total population","Total, 25 to 64 years",12,21
"2013","Nova Scotia","Short-cycle tertiary","Women+","Total population","Total, 25 to 64 years",12,31
"2013","Nova Scotia","Short-cycle tertiary","Total - Gender","Total population","25 to 34 years",12,26
"2013","Nova Scotia","Short-cycle tertiary","Men+","Total population","25 to 34 years",12,24
"2013","Nova Scotia","Short-cycle tertiary","Women+","Total population","25 to 34 years",12,28
"2013","Nova Scotia","Short-cycle tertiary","Total - Gender","Total population","30 to 34 years",12,28
"2013","Nova Scotia","Short-cycle tertiary","Men+","Total population","30 to 34 years",12,28
"2013","Nova Scotia","Short-cycle tertiary","Women+","Total population","30 to 34 years",12,29
"2013","Nova Scotia","Short-cycle tertiary","Total - Gender","Total population","35 to 44 years",12,32
"2013","Nova Scotia","Short-cycle tertiary","Men+","Total population","35 to 44 years",12,27
"2013","Nova Scotia","Short-cycle tertiary","Women+","Total population","35 to 44 years",12,36
"2013","Nova Scotia","Short-cycle tertiary","Total - Gender","Total population","45 to 54 years",12,26
"2013","Nova Scotia","Short-cycle tertiary","Men+","Total population","45 to 54 years",12,21
"2013","Nova Scotia","Short-cycle tertiary","Women+","Total population","45 to 54 years",12,32
"2013","Nova Scotia","Short-cycle tertiary","Total - Gender","Total population","55 to 64 years",12,22
"2013","Nova Scotia","Short-cycle tertiary","Men+","Total population","55 to 64 years",12,16
"2013","Nova Scotia","Short-cycle tertiary","Women+","Total population","55 to 64 years",12,29
"2013","Nova Scotia","Bachelor's level","Total - Gender","Total population","Total, 25 to 64 years",12,16
"2013","Nova Scotia","Bachelor's level","Men+","Total population","Total, 25 to 64 years",12,14
"2013","Nova Scotia","Bachelor's level","Women+","Total population","Total, 25 to 64 years",12,18
"2013","Nova Scotia","Bachelor's level","Total - Gender","Total population","25 to 34 years",12,24
"2013","Nova Scotia","Bachelor's level","Men+","Total population","25 to 34 years",12,20
"2013","Nova Scotia","Bachelor's level","Women+","Total population","25 to 34 years",12,28
"2013","Nova Scotia","Bachelor's level","Total - Gender","Total population","30 to 34 years",12,23
"2013","Nova Scotia","Bachelor's level","Men+","Total population","30 to 34 years",12,19
"2013","Nova Scotia","Bachelor's level","Women+","Total population","30 to 34 years",12,26
"2013","Nova Scotia","Bachelor's level","Total - Gender","Total population","35 to 44 years",12,18
"2013","Nova Scotia","Bachelor's level","Men+","Total population","35 to 44 years",12,16
"2013","Nova Scotia","Bachelor's level","Women+","Total population","35 to 44 years",12,20
"2013","Nova Scotia","Bachelor's level","Total - Gender","Total population","45 to 54 years",12,12
"2013","Nova Scotia","Bachelor's level","Men+","Total population","45 to 54 years",12,11
"2013","Nova Scotia","Bachelor's level","Women+","Total population","45 to 54 years",12,14
"2013","Nova Scotia","Bachelor's level","Total - Gender","Total population","55 to 64 years",12,11
"2013","Nova Scotia","Bachelor's level","Men+","Total population","55 to 64 years",12,10
"2013","Nova Scotia","Bachelor's level","Women+","Total population","55 to 64 years",12,12
"2013","Nova Scotia","Master's or Doctoral level","Total - Gender","Total population","Total, 25 to 64 years",12,9
"2013","Nova Scotia","Master's or Doctoral level","Men+","Total population","Total, 25 to 64 years",12,9
"2013","Nova Scotia","Master's or Doctoral level","Women+","Total population","Total, 25 to 64 years",12,10
"2013","Nova Scotia","Master's or Doctoral level","Total - Gender","Total population","25 to 34 years",12,11
"2013","Nova Scotia","Master's or Doctoral level","Men+","Total population","25 to 34 years",12,8
"2013","Nova Scotia","Master's or Doctoral level","Women+","Total population","25 to 34 years",12,13
"2013","Nova Scotia","Master's or Doctoral level","Total - Gender","Total population","30 to 34 years",12,14
"2013","Nova Scotia","Master's or Doctoral level","Men+","Total population","30 to 34 years",12,11
"2013","Nova Scotia","Master's or Doctoral level","Women+","Total population","30 to 34 years",12,17
"2013","Nova Scotia","Master's or Doctoral level","Total - Gender","Total population","35 to 44 years",12,10
"2013","Nova Scotia","Master's or Doctoral level","Men+","Total population","35 to 44 years",12,8
"2013","Nova Scotia","Master's or Doctoral level","Women+","Total population","35 to 44 years",12,12
"2013","Nova Scotia","Master's or Doctoral level","Total - Gender","Total population","45 to 54 years",12,8
"2013","Nova Scotia","Master's or Doctoral level","Men+","Total population","45 to 54 years",12,8
"2013","Nova Scotia","Master's or Doctoral level","Women+","Total population","45 to 54 years",12,8
"2013","Nova Scotia","Master's or Doctoral level","Total - Gender","Total population","55 to 64 years",12,9
"2013","Nova Scotia","Master's or Doctoral level","Men+","Total population","55 to 64 years",12,11
"2013","Nova Scotia","Master's or Doctoral level","Women+","Total population","55 to 64 years",12,8
"2013","New Brunswick","Tertiary education","Total - Gender","Total population","Total, 25 to 64 years",13,48
"2013","New Brunswick","Tertiary education","Men+","Total population","Total, 25 to 64 years",13,42
"2013","New Brunswick","Tertiary education","Women+","Total population","Total, 25 to 64 years",13,54
"2013","New Brunswick","Tertiary education","Total - Gender","Total population","25 to 34 years",13,57
"2013","New Brunswick","Tertiary education","Men+","Total population","25 to 34 years",13,51
"2013","New Brunswick","Tertiary education","Women+","Total population","25 to 34 years",13,63
"2013","New Brunswick","Tertiary education","Total - Gender","Total population","30 to 34 years",13,58
"2013","New Brunswick","Tertiary education","Men+","Total population","30 to 34 years",13,53
"2013","New Brunswick","Tertiary education","Women+","Total population","30 to 34 years",13,63
"2013","New Brunswick","Tertiary education","Total - Gender","Total population","35 to 44 years",13,57
"2013","New Brunswick","Tertiary education","Men+","Total population","35 to 44 years",13,47
"2013","New Brunswick","Tertiary education","Women+","Total population","35 to 44 years",13,66
"2013","New Brunswick","Tertiary education","Total - Gender","Total population","45 to 54 years",13,44
"2013","New Brunswick","Tertiary education","Men+","Total population","45 to 54 years",13,38
"2013","New Brunswick","Tertiary education","Women+","Total population","45 to 54 years",13,50
"2013","New Brunswick","Tertiary education","Total - Gender","Total population","55 to 64 years",13,37
"2013","New Brunswick","Tertiary education","Men+","Total population","55 to 64 years",13,33
"2013","New Brunswick","Tertiary education","Women+","Total population","55 to 64 years",13,42
"2013","New Brunswick","Short-cycle tertiary","Total - Gender","Total population","Total, 25 to 64 years",13,29
"2013","New Brunswick","Short-cycle tertiary","Men+","Total population","Total, 25 to 64 years",13,24
"2013","New Brunswick","Short-cycle tertiary","Women+","Total population","Total, 25 to 64 years",13,32
"2013","New Brunswick","Short-cycle tertiary","Total - Gender","Total population","25 to 34 years",13,30
"2013","New Brunswick","Short-cycle tertiary","Men+","Total population","25 to 34 years",13,29
"2013","New Brunswick","Short-cycle tertiary","Women+","Total population","25 to 34 years",13,31
"2013","New Brunswick","Short-cycle tertiary","Total - Gender","Total population","30 to 34 years",13,33
"2013","New Brunswick","Short-cycle tertiary","Men+","Total population","30 to 34 years",13,31
"2013","New Brunswick","Short-cycle tertiary","Women+","Total population","30 to 34 years",13,35
"2013","New Brunswick","Short-cycle tertiary","Total - Gender","Total population","35 to 44 years",13,33
"2013","New Brunswick","Short-cycle tertiary","Men+","Total population","35 to 44 years",13,28
"2013","New Brunswick","Short-cycle tertiary","Women+","Total population","35 to 44 years",13,37
"2013","New Brunswick","Short-cycle tertiary","Total - Gender","Total population","45 to 54 years",13,29
"2013","New Brunswick","Short-cycle tertiary","Men+","Total population","45 to 54 years",13,23
"2013","New Brunswick","Short-cycle tertiary","Women+","Total population","45 to 54 years",13,34
"2013","New Brunswick","Short-cycle tertiary","Total - Gender","Total population","55 to 64 years",13,23
"2013","New Brunswick","Short-cycle tertiary","Men+","Total population","55 to 64 years",13,19
"2013","New Brunswick","Short-cycle tertiary","Women+","Total population","55 to 64 years",13,28
"2013","New Brunswick","Bachelor's level","Total - Gender","Total population","Total, 25 to 64 years",13,14
"2013","New Brunswick","Bachelor's level","Men+","Total population","Total, 25 to 64 years",13,12
"2013","New Brunswick","Bachelor's level","Women+","Total population","Total, 25 to 64 years",13,16
"2013","New Brunswick","Bachelor's level","Total - Gender","Total population","25 to 34 years",13,21
"2013","New Brunswick","Bachelor's level","Men+","Total population","25 to 34 years",13,17
"2013","New Brunswick","Bachelor's level","Women+","Total population","25 to 34 years",13,25
"2013","New Brunswick","Bachelor's level","Total - Gender","Total population","30 to 34 years",13,19
"2013","New Brunswick","Bachelor's level","Men+","Total population","30 to 34 years",13,17
"2013","New Brunswick","Bachelor's level","Women+","Total population","30 to 34 years",13,21
"2013","New Brunswick","Bachelor's level","Total - Gender","Total population","35 to 44 years",13,19
"2013","New Brunswick","Bachelor's level","Men+","Total population","35 to 44 years",13,15
"2013","New Brunswick","Bachelor's level","Women+","Total population","35 to 44 years",13,23
"2013","New Brunswick","Bachelor's level","Total - Gender","Total population","45 to 54 years",13,11
"2013","New Brunswick","Bachelor's level","Men+","Total population","45 to 54 years",13,10
"2013","New Brunswick","Bachelor's level","Women+","Total population","45 to 54 years",13,12
"2013","New Brunswick","Bachelor's level","Total - Gender","Total population","55 to 64 years",13,9
"2013","New Brunswick","Bachelor's level","Men+","Total population","55 to 64 years",13,9
"2013","New Brunswick","Bachelor's level","Women+","Total population","55 to 64 years",13,10
"2013","New Brunswick","Master's or Doctoral level","Total - Gender","Total population","Total, 25 to 64 years",13,5
"2013","New Brunswick","Master's or Doctoral level","Men+","Total population","Total, 25 to 64 years",13,5
"2013","New Brunswick","Master's or Doctoral level","Women+","Total population","Total, 25 to 64 years",13,5
"2013","New Brunswick","Master's or Doctoral level","Total - Gender","Total population","25 to 34 years",13,6
"2013","New Brunswick","Master's or Doctoral level","Men+","Total population","25 to 34 years",13,5
"2013","New Brunswick","Master's or Doctoral level","Women+","Total population","25 to 34 years",13,7
"2013","New Brunswick","Master's or Doctoral level","Total - Gender","Total population","30 to 34 years",13,6
"2013","New Brunswick","Master's or Doctoral level","Men+","Total population","30 to 34 years",13,5
"2013","New Brunswick","Master's or Doctoral level","Women+","Total population","30 to 34 years",13,7
"2013","New Brunswick","Master's or Doctoral level","Total - Gender","Total population","35 to 44 years",13,5
"2013","New Brunswick","Master's or Doctoral level","Men+","Total population","35 to 44 years",13,4
"2013","New Brunswick","Master's or Doctoral level","Women+","Total population","35 to 44 years",13,6
"2013","New Brunswick","Master's or Doctoral level","Total - Gender","Total population","45 to 54 years",13,5
"2013","New Brunswick","Master's or Doctoral level","Men+","Total population","45 to 54 years",13,5
"2013","New Brunswick","Master's or Doctoral level","Women+","Total population","45 to 54 years",13,5
"2013","New Brunswick","Master's or Doctoral level","Total - Gender","Total population","55 to 64 years",13,5
"2013","New Brunswick","Master's or Doctoral level","Men+","Total population","55 to 64 years",13,5
"2013","New Brunswick","Master's or Doctoral level","Women+","Total population","55 to 64 years",13,4
"2013","Quebec","Tertiary education","Total - Gender","Total population","Total, 25 to 64 years",24,49
"2013","Quebec","Tertiary education","Men+","Total population","Total, 25 to 64 years",24,45
"2013","Quebec","Tertiary education","Women+","Total population","Total, 25 to 64 years",24,53
"2013","Quebec","Tertiary education","Total - Gender","Total population","25 to 34 years",24,56
"2013","Quebec","Tertiary education","Men+","Total population","25 to 34 years",24,47
"2013","Quebec","Tertiary education","Women+","Total population","25 to 34 years",24,65
"2013","Quebec","Tertiary education","Total - Gender","Total population","30 to 34 years",24,56
"2013","Quebec","Tertiary education","Men+","Total population","30 to 34 years",24,48
"2013","Quebec","Tertiary education","Women+","Total population","30 to 34 years",24,65
"2013","Quebec","Tertiary education","Total - Gender","Total population","35 to 44 years",24,57
"2013","Quebec","Tertiary education","Men+","Total population","35 to 44 years",24,50
"2013","Quebec","Tertiary education","Women+","Total population","35 to 44 years",24,64
"2013","Quebec","Tertiary education","Total - Gender","Total population","45 to 54 years",24,46
"2013","Quebec","Tertiary education","Men+","Total population","45 to 54 years",24,44
"2013","Quebec","Tertiary education","Women+","Total population","45 to 54 years",24,48
"2013","Quebec","Tertiary education","Total - Gender","Total population","55 to 64 years",24,39
"2013","Quebec","Tertiary education","Men+","Total population","55 to 64 years",24,39
"2013","Quebec","Tertiary education","Women+","Total population","55 to 64 years",24,39
"2013","Quebec","Short-cycle tertiary","Total - Gender","Total population","Total, 25 to 64 years",24,24
"2013","Quebec","Short-cycle tertiary","Men+","Total population","Total, 25 to 64 years",24,21
"2013","Quebec","Short-cycle tertiary","Women+","Total population","Total, 25 to 64 years",24,27
"2013","Quebec","Short-cycle tertiary","Total - Gender","Total population","25 to 34 years",24,25
"2013","Quebec","Short-cycle tertiary","Men+","Total population","25 to 34 years",24,21
"2013","Quebec","Short-cycle tertiary","Women+","Total population","25 to 34 years",24,28
"2013","Quebec","Short-cycle tertiary","Total - Gender","Total population","30 to 34 years",24,25
"2013","Quebec","Short-cycle tertiary","Men+","Total population","30 to 34 years",24,22
"2013","Quebec","Short-cycle tertiary","Women+","Total population","30 to 34 years",24,28
"2013","Quebec","Short-cycle tertiary","Total - Gender","Total population","35 to 44 years",24,27
"2013","Quebec","Short-cycle tertiary","Men+","Total population","35 to 44 years",24,24
"2013","Quebec","Short-cycle tertiary","Women+","Total population","35 to 44 years",24,30
"2013","Quebec","Short-cycle tertiary","Total - Gender","Total population","45 to 54 years",24,24
"2013","Quebec","Short-cycle tertiary","Men+","Total population","45 to 54 years",24,22
"2013","Quebec","Short-cycle tertiary","Women+","Total population","45 to 54 years",24,27
"2013","Quebec","Short-cycle tertiary","Total - Gender","Total population","55 to 64 years",24,19
"2013","Quebec","Short-cycle tertiary","Men+","Total population","55 to 64 years",24,18
"2013","Quebec","Short-cycle tertiary","Women+","Total population","55 to 64 years",24,21
