"Year","Geography","Industries","Environmental management practices","GeoCode","Value","Environmental protection activities"
"2020","Ontario","Total, industries","Green procurements policy or guidelines",35,9.8,
"2020","Ontario","Total, industries","Environmental supply chain management policy",35,7.5,
"2020","Ontario","Total, industries","New or improved environmental supply chain management policy",35,5.4,
"2020","Ontario","Total, industries","Environmental incentive programs, grants, loans, or tax credits",35,5.7,
"2020","Ontario","Total, industries","Greenhouse gas emission inventory",35,12.6,
"2020","Ontario","Total, industries","Purchased carbon offset credits only or purchased more than sold",35,0.7,
"2020","Ontario","Total, industries","Sold carbon offset credits only or sold more than purchased",35,0.2,
"2020","Ontario","Total, industries","Other environmental management practices",35,4.7,
"2020","Prairie provinces","Total, industries","Reported using one or more environmental management practices",,32.5,
"2020","Prairie provinces","Total, industries","Environmental management system",,21.5,
"2020","Prairie provinces","Total, industries","Pollution prevention plan",,15.9,
"2020","Prairie provinces","Total, industries","Life cycle management",,6.1,
"2020","Prairie provinces","Total, industries","ISO 14000 family certification",,6.1,
"2020","Prairie provinces","Total, industries","Environmental voluntary agreements or programs",,7.3,
"2020","Prairie provinces","Total, industries","Green procurements policy or guidelines",,4.6,
"2020","Prairie provinces","Total, industries","Environmental supply chain management policy",,5.7,
"2020","Prairie provinces","Total, industries","New or improved environmental supply chain management policy",,1.6,
"2020","Prairie provinces","Total, industries","Environmental incentive programs, grants, loans, or tax credits",,6.6,
"2020","Prairie provinces","Total, industries","Greenhouse gas emission inventory",,15.9,
"2020","Prairie provinces","Total, industries","Purchased carbon offset credits only or purchased more than sold",,3,
"2020","Prairie provinces","Total, industries","Sold carbon offset credits only or sold more than purchased",,2,
"2020","Prairie provinces","Total, industries","Other environmental management practices",,3.9,
"2020","Manitoba","Total, industries","Reported using one or more environmental management practices",46,31.9,
"2020","Manitoba","Total, industries","Environmental management system",46,20.2,
"2020","Manitoba","Total, industries","Pollution prevention plan",46,15.9,
"2020","Manitoba","Total, industries","Life cycle management",46,6.4,
"2020","Manitoba","Total, industries","ISO 14000 family certification",46,7.4,
"2020","Manitoba","Total, industries","Environmental voluntary agreements or programs",46,7.2,
"2020","Manitoba","Total, industries","Green procurements policy or guidelines",46,5.9,
"2020","Manitoba","Total, industries","Environmental supply chain management policy",46,6.8,
"2020","Manitoba","Total, industries","New or improved environmental supply chain management policy",46,1.6,
"2020","Manitoba","Total, industries","Environmental incentive programs, grants, loans, or tax credits",46,3.5,
"2020","Manitoba","Total, industries","Greenhouse gas emission inventory",46,11.3,
"2020","Manitoba","Total, industries","Purchased carbon offset credits only or purchased more than sold",46,2,
"2020","Manitoba","Total, industries","Sold carbon offset credits only or sold more than purchased",46,1.7,
"2020","Manitoba","Total, industries","Other environmental management practices",46,2.8,
"2020","Saskatchewan","Total, industries","Reported using one or more environmental management practices",47,30.8,
"2020","Saskatchewan","Total, industries","Environmental management system",47,21.4,
"2020","Saskatchewan","Total, industries","Pollution prevention plan",47,16.1,
"2020","Saskatchewan","Total, industries","Life cycle management",47,7,
"2020","Saskatchewan","Total, industries","ISO 14000 family certification",47,4.3,
"2020","Saskatchewan","Total, industries","Environmental voluntary agreements or programs",47,4.5,
"2020","Saskatchewan","Total, industries","Green procurements policy or guidelines",47,3.8,
"2020","Saskatchewan","Total, industries","Environmental supply chain management policy",47,4.1,
"2020","Saskatchewan","Total, industries","New or improved environmental supply chain management policy",47,0.9,
"2020","Saskatchewan","Total, industries","Environmental incentive programs, grants, loans, or tax credits",47,6.5,
"2020","Saskatchewan","Total, industries","Greenhouse gas emission inventory",47,15.2,
"2020","Saskatchewan","Total, industries","Purchased carbon offset credits only or purchased more than sold",47,0.6,
"2020","Saskatchewan","Total, industries","Sold carbon offset credits only or sold more than purchased",47,,
"2020","Saskatchewan","Total, industries","Other environmental management practices",47,4.6,
"2020","Alberta","Total, industries","Reported using one or more environmental management practices",48,33.1,
"2020","Alberta","Total, industries","Environmental management system",48,21.8,
"2020","Alberta","Total, industries","Pollution prevention plan",48,15.8,
"2020","Alberta","Total, industries","Life cycle management",48,5.8,
"2020","Alberta","Total, industries","ISO 14000 family certification",48,6.2,
"2020","Alberta","Total, industries","Environmental voluntary agreements or programs",48,8.1,
"2020","Alberta","Total, industries","Green procurements policy or guidelines",48,4.5,
"2020","Alberta","Total, industries","Environmental supply chain management policy",48,5.8,
"2020","Alberta","Total, industries","New or improved environmental supply chain management policy",48,1.8,
"2020","Alberta","Total, industries","Environmental incentive programs, grants, loans, or tax credits",48,7.3,
"2020","Alberta","Total, industries","Greenhouse gas emission inventory",48,17.2,
"2020","Alberta","Total, industries","Purchased carbon offset credits only or purchased more than sold",48,3.8,
"2020","Alberta","Total, industries","Sold carbon offset credits only or sold more than purchased",48,2.4,
"2020","Alberta","Total, industries","Other environmental management practices",48,4,
"2020","British Columbia","Total, industries","Reported using one or more environmental management practices",59,26.7,
"2020","British Columbia","Total, industries","Environmental management system",59,15.6,
"2020","British Columbia","Total, industries","Pollution prevention plan",59,11.4,
"2020","British Columbia","Total, industries","Life cycle management",59,5.7,
"2020","British Columbia","Total, industries","ISO 14000 family certification",59,5.2,
"2020","British Columbia","Total, industries","Environmental voluntary agreements or programs",59,4.1,
"2020","British Columbia","Total, industries","Green procurements policy or guidelines",59,6.5,
"2020","British Columbia","Total, industries","Environmental supply chain management policy",59,4.1,
"2020","British Columbia","Total, industries","New or improved environmental supply chain management policy",59,1.9,
"2020","British Columbia","Total, industries","Environmental incentive programs, grants, loans, or tax credits",59,5.2,
"2020","British Columbia","Total, industries","Greenhouse gas emission inventory",59,7.7,
"2020","British Columbia","Total, industries","Purchased carbon offset credits only or purchased more than sold",59,0.6,
"2020","British Columbia","Total, industries","Sold carbon offset credits only or sold more than purchased",59,0.6,
"2020","British Columbia","Total, industries","Other environmental management practices",59,4.1,
"2020","Territories","Total, industries","Reported using one or more environmental management practices",,38.9,
"2020","Territories","Total, industries","Environmental management system",,28,
"2020","Territories","Total, industries","Pollution prevention plan",,23.3,
"2020","Territories","Total, industries","Life cycle management",,7.8,
"2020","Territories","Total, industries","ISO 14000 family certification",,4.7,
"2020","Territories","Total, industries","Environmental voluntary agreements or programs",,4.7,
"2020","Territories","Total, industries","Green procurements policy or guidelines",,6.2,
"2020","Territories","Total, industries","Environmental supply chain management policy",,,
"2020","Territories","Total, industries","New or improved environmental supply chain management policy",,4.7,
"2020","Territories","Total, industries","Environmental incentive programs, grants, loans, or tax credits",,6.2,
"2020","Territories","Total, industries","Greenhouse gas emission inventory",,24.9,
"2020","Territories","Total, industries","Purchased carbon offset credits only or purchased more than sold",,0,
"2020","Territories","Total, industries","Sold carbon offset credits only or sold more than purchased",,0,
"2020","Territories","Total, industries","Other environmental management practices",,6.2,
"2021","Canada","Total, industries","Environmental management system",,23.6,
"2021","Canada","Total, industries","Pollution prevention plan",,18.3,
"2021","Canada","Total, industries","Life cycle management",,6.6,
"2021","Canada","Total, industries","ISO 14000 family certification",,8.2,
"2021","Canada","Total, industries","Environmental voluntary agreements or programs",,7.6,
"2021","Canada","Total, industries","Green procurements policy or guidelines",,9.4,
"2021","Canada","Total, industries","Environmental supply chain management policy",,7.9,
"2021","Canada","Total, industries","New or improved environmental supply chain management policy",,4.3,
"2021","Canada","Total, industries","Environmental incentive programs, grants, loans, or tax credits",,6.1,
"2021","Canada","Total, industries","Greenhouse gas emission inventory",,13.7,
"2021","Canada","Total, industries","Purchased carbon offset credits only or purchased more than sold",,2.1,
"2021","Canada","Total, industries","Sold carbon offset credits only or sold more than purchased",,1,
"2021","Canada","Total, industries","Other environmental management practices",,7.9,
"2021","Canada","Logging (except contract)","Reported using one or more environmental management practices",,58.9,
"2021","Canada","Logging (except contract)","Environmental management system",,,
"2021","Canada","Logging (except contract)","Pollution prevention plan",,21.8,
"2021","Canada","Logging (except contract)","Life cycle management",,6.3,
"2021","Canada","Logging (except contract)","ISO 14000 family certification",,3.9,
"2021","Canada","Logging (except contract)","Environmental voluntary agreements or programs",,2.9,
"2021","Canada","Logging (except contract)","Green procurements policy or guidelines",,5.1,
"2021","Canada","Logging (except contract)","Environmental supply chain management policy",,5.4,
"2021","Canada","Logging (except contract)","New or improved environmental supply chain management policy",,3,
"2021","Canada","Logging (except contract)","Environmental incentive programs, grants, loans, or tax credits",,2.8,
"2021","Canada","Logging (except contract)","Greenhouse gas emission inventory",,1.7,
"2021","Canada","Logging (except contract)","Purchased carbon offset credits only or purchased more than sold",,0,
"2021","Canada","Logging (except contract)","Sold carbon offset credits only or sold more than purchased",,,
"2021","Canada","Logging (except contract)","Other environmental management practices",,,
"2021","Canada","Oil and gas extraction","Reported using one or more environmental management practices",,82.1,
"2021","Canada","Oil and gas extraction","Environmental management system",,49.9,
"2021","Canada","Oil and gas extraction","Pollution prevention plan",,40.2,
"2021","Canada","Oil and gas extraction","Life cycle management",,18.6,
"2021","Canada","Oil and gas extraction","ISO 14000 family certification",,6.8,
"2021","Canada","Oil and gas extraction","Environmental voluntary agreements or programs",,41.1,
"2021","Canada","Oil and gas extraction","Green procurements policy or guidelines",,3.6,
"2021","Canada","Oil and gas extraction","Environmental supply chain management policy",,1.6,
"2021","Canada","Oil and gas extraction","New or improved environmental supply chain management policy",,,
"2021","Canada","Oil and gas extraction","Environmental incentive programs, grants, loans, or tax credits",,35.5,
"2021","Canada","Oil and gas extraction","Greenhouse gas emission inventory",,76.3,
"2021","Canada","Oil and gas extraction","Purchased carbon offset credits only or purchased more than sold",,23.5,
"2021","Canada","Oil and gas extraction","Sold carbon offset credits only or sold more than purchased",,4.9,
"2021","Canada","Oil and gas extraction","Other environmental management practices",,16.3,
"2021","Canada","Mining and quarrying","Reported using one or more environmental management practices",,95.1,
"2021","Canada","Mining and quarrying","Environmental management system",,82.7,
"2021","Canada","Mining and quarrying","Pollution prevention plan",,65.4,
"2021","Canada","Mining and quarrying","Life cycle management",,14.8,
"2021","Canada","Mining and quarrying","ISO 14000 family certification",,13.6,
"2021","Canada","Mining and quarrying","Environmental voluntary agreements or programs",,43.2,
"2021","Canada","Mining and quarrying","Green procurements policy or guidelines",,16,
"2021","Canada","Mining and quarrying","Environmental supply chain management policy",,12.3,
"2021","Canada","Mining and quarrying","New or improved environmental supply chain management policy",,8.6,
"2021","Canada","Mining and quarrying","Environmental incentive programs, grants, loans, or tax credits",,28.4,
"2021","Canada","Mining and quarrying","Greenhouse gas emission inventory",,81.5,
"2021","Canada","Mining and quarrying","Purchased carbon offset credits only or purchased more than sold",,7.4,
"2021","Canada","Mining and quarrying","Sold carbon offset credits only or sold more than purchased",,9.9,
"2021","Canada","Mining and quarrying","Other environmental management practices",,25.9,
"2021","Canada","Electric power generation, transmission and distribution","Reported using one or more environmental management practices",,77.8,
"2021","Canada","Electric power generation, transmission and distribution","Environmental management system",,60.8,
"2021","Canada","Electric power generation, transmission and distribution","Pollution prevention plan",,44.9,
"2021","Canada","Electric power generation, transmission and distribution","Life cycle management",,23.2,
"2021","Canada","Electric power generation, transmission and distribution","ISO 14000 family certification",,16.1,
"2021","Canada","Electric power generation, transmission and distribution","Environmental voluntary agreements or programs",,12.3,
"2021","Canada","Electric power generation, transmission and distribution","Green procurements policy or guidelines",,22.2,
"2021","Canada","Electric power generation, transmission and distribution","Environmental supply chain management policy",,15.2,
"2021","Canada","Electric power generation, transmission and distribution","New or improved environmental supply chain management policy",,7.9,
"2021","Canada","Electric power generation, transmission and distribution","Environmental incentive programs, grants, loans, or tax credits",,6.5,
"2021","Canada","Electric power generation, transmission and distribution","Greenhouse gas emission inventory",,60.6,
"2021","Canada","Electric power generation, transmission and distribution","Purchased carbon offset credits only or purchased more than sold",,11.5,
"2021","Canada","Electric power generation, transmission and distribution","Sold carbon offset credits only or sold more than purchased",,2.9,
"2021","Canada","Electric power generation, transmission and distribution","Other environmental management practices",,14.5,
"2021","Canada","Natural gas distribution","Reported using one or more environmental management practices",,67.9,
"2021","Canada","Natural gas distribution","Environmental management system",,42.9,
"2021","Canada","Natural gas distribution","Pollution prevention plan",,14.3,
"2021","Canada","Natural gas distribution","Life cycle management",,14.3,
"2021","Canada","Natural gas distribution","ISO 14000 family certification",,,
"2021","Canada","Natural gas distribution","Environmental voluntary agreements or programs",,25,
"2021","Canada","Natural gas distribution","Green procurements policy or guidelines",,,
"2021","Canada","Natural gas distribution","Environmental supply chain management policy",,0,
"2021","Canada","Natural gas distribution","New or improved environmental supply chain management policy",,0,
"2021","Canada","Natural gas distribution","Environmental incentive programs, grants, loans, or tax credits",,10.7,
"2021","Canada","Natural gas distribution","Greenhouse gas emission inventory",,46.4,
"2021","Canada","Natural gas distribution","Purchased carbon offset credits only or purchased more than sold",,21.4,
"2021","Canada","Natural gas distribution","Sold carbon offset credits only or sold more than purchased",,0,
"2021","Canada","Natural gas distribution","Other environmental management practices",,17.9,
"2021","Canada","Food manufacturing","Reported using one or more environmental management practices",,56.1,
"2021","Canada","Food manufacturing","Environmental management system",,36.1,
"2021","Canada","Food manufacturing","Pollution prevention plan",,23.7,
"2021","Canada","Food manufacturing","Life cycle management",,11.1,
"2021","Canada","Food manufacturing","ISO 14000 family certification",,4.1,
"2021","Canada","Food manufacturing","Environmental voluntary agreements or programs",,17.2,
"2021","Canada","Food manufacturing","Green procurements policy or guidelines",,14.6,
"2021","Canada","Food manufacturing","Environmental supply chain management policy",,12.3,
"2021","Canada","Food manufacturing","New or improved environmental supply chain management policy",,2.2,
"2021","Canada","Food manufacturing","Environmental incentive programs, grants, loans, or tax credits",,4.1,
"2021","Canada","Food manufacturing","Greenhouse gas emission inventory",,27.2,
"2021","Canada","Food manufacturing","Purchased carbon offset credits only or purchased more than sold",,6.8,
"2021","Canada","Food manufacturing","Sold carbon offset credits only or sold more than purchased",,0.3,
"2021","Canada","Food manufacturing","Other environmental management practices",,9,
"2021","Canada","Beverage and tobacco product manufacturing","Reported using one or more environmental management practices",,29.9,
"2021","Canada","Beverage and tobacco product manufacturing","Environmental management system",,19.4,
"2021","Canada","Beverage and tobacco product manufacturing","Pollution prevention plan",,19.1,
"2021","Canada","Beverage and tobacco product manufacturing","Life cycle management",,8.8,
"2021","Canada","Beverage and tobacco product manufacturing","ISO 14000 family certification",,3.8,
"2021","Canada","Beverage and tobacco product manufacturing","Environmental voluntary agreements or programs",,2.5,
"2021","Canada","Beverage and tobacco product manufacturing","Green procurements policy or guidelines",,10.9,
"2021","Canada","Beverage and tobacco product manufacturing","Environmental supply chain management policy",,10.6,
"2021","Canada","Beverage and tobacco product manufacturing","New or improved environmental supply chain management policy",,5.6,
"2021","Canada","Beverage and tobacco product manufacturing","Environmental incentive programs, grants, loans, or tax credits",,4.4,
"2021","Canada","Beverage and tobacco product manufacturing","Greenhouse gas emission inventory",,11.1,
"2021","Canada","Beverage and tobacco product manufacturing","Purchased carbon offset credits only or purchased more than sold",,,
"2021","Canada","Beverage and tobacco product manufacturing","Sold carbon offset credits only or sold more than purchased",,11,
"2021","Canada","Beverage and tobacco product manufacturing","Other environmental management practices",,3.1,
"2021","Canada","Wood product manufacturing","Reported using one or more environmental management practices",,42.9,
"2021","Canada","Wood product manufacturing","Environmental management system",,23.7,
"2021","Canada","Wood product manufacturing","Pollution prevention plan",,16.4,
"2021","Canada","Wood product manufacturing","Life cycle management",,2.4,
"2021","Canada","Wood product manufacturing","ISO 14000 family certification",,3,
"2021","Canada","Wood product manufacturing","Environmental voluntary agreements or programs",,11.6,
"2021","Canada","Wood product manufacturing","Green procurements policy or guidelines",,5.7,
"2021","Canada","Wood product manufacturing","Environmental supply chain management policy",,6.9,
"2021","Canada","Wood product manufacturing","New or improved environmental supply chain management policy",,1.1,
"2021","Canada","Wood product manufacturing","Environmental incentive programs, grants, loans, or tax credits",,7.5,
"2021","Canada","Wood product manufacturing","Greenhouse gas emission inventory",,17.2,
"2021","Canada","Wood product manufacturing","Purchased carbon offset credits only or purchased more than sold",,,
"2021","Canada","Wood product manufacturing","Sold carbon offset credits only or sold more than purchased",,2.2,
"2021","Canada","Wood product manufacturing","Other environmental management practices",,6.4,
"2021","Canada","Paper manufacturing","Reported using one or more environmental management practices",,78.8,
"2021","Canada","Paper manufacturing","Environmental management system",,57.5,
"2021","Canada","Paper manufacturing","Pollution prevention plan",,44.5,
"2021","Canada","Paper manufacturing","Life cycle management",,15.4,
"2021","Canada","Paper manufacturing","ISO 14000 family certification",,24.9,
"2021","Canada","Paper manufacturing","Environmental voluntary agreements or programs",,49.6,
"2021","Canada","Paper manufacturing","Green procurements policy or guidelines",,19.4,
"2021","Canada","Paper manufacturing","Environmental supply chain management policy",,36.6,
"2021","Canada","Paper manufacturing","New or improved environmental supply chain management policy",,6.2,
"2021","Canada","Paper manufacturing","Environmental incentive programs, grants, loans, or tax credits",,14.2,
"2021","Canada","Paper manufacturing","Greenhouse gas emission inventory",,61.1,
"2021","Canada","Paper manufacturing","Purchased carbon offset credits only or purchased more than sold",,15.5,
"2021","Canada","Paper manufacturing","Sold carbon offset credits only or sold more than purchased",,6.9,
"2021","Canada","Paper manufacturing","Other environmental management practices",,6.6,
"2021","Canada","Petroleum and coal product manufacturing","Reported using one or more environmental management practices",,90,
"2021","Canada","Petroleum and coal product manufacturing","Environmental management system",,80,
"2021","Canada","Petroleum and coal product manufacturing","Pollution prevention plan",,60,
"2021","Canada","Petroleum and coal product manufacturing","Life cycle management",,26.7,
"2021","Canada","Petroleum and coal product manufacturing","ISO 14000 family certification",,46.7,
"2021","Canada","Petroleum and coal product manufacturing","Environmental voluntary agreements or programs",,13.3,
"2021","Canada","Petroleum and coal product manufacturing","Green procurements policy or guidelines",,13.3,
"2021","Canada","Petroleum and coal product manufacturing","Environmental supply chain management policy",,20,
"2021","Canada","Petroleum and coal product manufacturing","New or improved environmental supply chain management policy",,,
"2021","Canada","Petroleum and coal product manufacturing","Environmental incentive programs, grants, loans, or tax credits",,23.3,
"2021","Canada","Petroleum and coal product manufacturing","Greenhouse gas emission inventory",,66.7,
"2021","Canada","Petroleum and coal product manufacturing","Purchased carbon offset credits only or purchased more than sold",,23.3,
"2021","Canada","Petroleum and coal product manufacturing","Sold carbon offset credits only or sold more than purchased",,10,
"2021","Canada","Petroleum and coal product manufacturing","Other environmental management practices",,10,
"2021","Canada","Chemical manufacturing","Reported using one or more environmental management practices",,72.7,
"2021","Canada","Chemical manufacturing","Environmental management system",,53.5,
"2021","Canada","Chemical manufacturing","Pollution prevention plan",,34.2,
"2021","Canada","Chemical manufacturing","Life cycle management",,7.5,
"2021","Canada","Chemical manufacturing","ISO 14000 family certification",,22.3,
"2021","Canada","Chemical manufacturing","Environmental voluntary agreements or programs",,9.7,
"2021","Canada","Chemical manufacturing","Green procurements policy or guidelines",,14.7,
"2021","Canada","Chemical manufacturing","Environmental supply chain management policy",,16,
"2021","Canada","Chemical manufacturing","New or improved environmental supply chain management policy",,5.8,
"2021","Canada","Chemical manufacturing","Environmental incentive programs, grants, loans, or tax credits",,13.3,
"2021","Canada","Chemical manufacturing","Greenhouse gas emission inventory",,44.5,
"2021","Canada","Chemical manufacturing","Purchased carbon offset credits only or purchased more than sold",,6.1,
"2021","Canada","Chemical manufacturing","Sold carbon offset credits only or sold more than purchased",,,
"2021","Canada","Chemical manufacturing","Other environmental management practices",,11.6,
"2021","Canada","Non-metallic mineral product manufacturing","Reported using one or more environmental management practices",,58,
"2021","Canada","Non-metallic mineral product manufacturing","Environmental management system",,49.2,
"2021","Canada","Non-metallic mineral product manufacturing","Pollution prevention plan",,32.5,
"2021","Canada","Non-metallic mineral product manufacturing","Life cycle management",,3.8,
"2021","Canada","Non-metallic mineral product manufacturing","ISO 14000 family certification",,5,
"2021","Canada","Non-metallic mineral product manufacturing","Environmental voluntary agreements or programs",,1.8,
"2021","Canada","Non-metallic mineral product manufacturing","Green procurements policy or guidelines",,25,
"2021","Canada","Non-metallic mineral product manufacturing","Environmental supply chain management policy",,13.6,
"2021","Canada","Non-metallic mineral product manufacturing","New or improved environmental supply chain management policy",,5.4,
"2021","Canada","Non-metallic mineral product manufacturing","Environmental incentive programs, grants, loans, or tax credits",,1.8,
"2021","Canada","Non-metallic mineral product manufacturing","Greenhouse gas emission inventory",,12.1,
"2021","Canada","Non-metallic mineral product manufacturing","Purchased carbon offset credits only or purchased more than sold",,0,
"2021","Canada","Non-metallic mineral product manufacturing","Sold carbon offset credits only or sold more than purchased",,,
"2021","Canada","Non-metallic mineral product manufacturing","Other environmental management practices",,2.4,
"2021","Canada","Primary metal manufacturing","Reported using one or more environmental management practices",,69.1,
"2021","Canada","Primary metal manufacturing","Environmental management system",,59.1,
"2021","Canada","Primary metal manufacturing","Pollution prevention plan",,52.8,
"2021","Canada","Primary metal manufacturing","Life cycle management",,23.1,
"2021","Canada","Primary metal manufacturing","ISO 14000 family certification",,38.7,
"2021","Canada","Primary metal manufacturing","Environmental voluntary agreements or programs",,28.7,
"2021","Canada","Primary metal manufacturing","Green procurements policy or guidelines",,15,
"2021","Canada","Primary metal manufacturing","Environmental supply chain management policy",,16.7,
"2021","Canada","Primary metal manufacturing","New or improved environmental supply chain management policy",,5.1,
"2021","Canada","Primary metal manufacturing","Environmental incentive programs, grants, loans, or tax credits",,13.3,
"2021","Canada","Primary metal manufacturing","Greenhouse gas emission inventory",,57.3,
"2021","Canada","Primary metal manufacturing","Purchased carbon offset credits only or purchased more than sold",,13.6,
"2021","Canada","Primary metal manufacturing","Sold carbon offset credits only or sold more than purchased",,10.9,
"2021","Canada","Primary metal manufacturing","Other environmental management practices",,12.8,
"2021","Canada","Fabricated metal product manufacturing","Reported using one or more environmental management practices",,24.7,
"2021","Canada","Fabricated metal product manufacturing","Environmental management system",,13.2,
"2021","Canada","Fabricated metal product manufacturing","Pollution prevention plan",,8,
"2021","Canada","Fabricated metal product manufacturing","Life cycle management",,3.1,
"2021","Canada","Fabricated metal product manufacturing","ISO 14000 family certification",,2.6,
"2021","Canada","Fabricated metal product manufacturing","Environmental voluntary agreements or programs",,0.8,
"2021","Canada","Fabricated metal product manufacturing","Green procurements policy or guidelines",,3.4,
"2021","Canada","Fabricated metal product manufacturing","Environmental supply chain management policy",,4,
"2021","Canada","Fabricated metal product manufacturing","New or improved environmental supply chain management policy",,2.3,
"2021","Canada","Fabricated metal product manufacturing","Environmental incentive programs, grants, loans, or tax credits",,2.3,
"2021","Canada","Fabricated metal product manufacturing","Greenhouse gas emission inventory",,5.2,
"2021","Canada","Fabricated metal product manufacturing","Purchased carbon offset credits only or purchased more than sold",,,
"2021","Canada","Fabricated metal product manufacturing","Sold carbon offset credits only or sold more than purchased",,0.2,
"2021","Canada","Fabricated metal product manufacturing","Other environmental management practices",,2.2,
"2021","Canada","Transportation equipment manufacturing","Reported using one or more environmental management practices",,55.2,
"2021","Canada","Transportation equipment manufacturing","Environmental management system",,45.5,
"2021","Canada","Transportation equipment manufacturing","Pollution prevention plan",,28.3,
"2021","Canada","Transportation equipment manufacturing","Life cycle management",,16.4,
"2021","Canada","Transportation equipment manufacturing","ISO 14000 family certification",,39.4,
"2021","Canada","Transportation equipment manufacturing","Environmental voluntary agreements or programs",,7.5,
"2021","Canada","Transportation equipment manufacturing","Green procurements policy or guidelines",,14.9,
"2021","Canada","Transportation equipment manufacturing","Environmental supply chain management policy",,15.6,
"2021","Canada","Transportation equipment manufacturing","New or improved environmental supply chain management policy",,6.9,
"2021","Canada","Transportation equipment manufacturing","Environmental incentive programs, grants, loans, or tax credits",,10.8,
"2021","Canada","Transportation equipment manufacturing","Greenhouse gas emission inventory",,28.1,
"2021","Canada","Transportation equipment manufacturing","Purchased carbon offset credits only or purchased more than sold",,,
"2021","Canada","Transportation equipment manufacturing","Sold carbon offset credits only or sold more than purchased",,0,
"2021","Canada","Transportation equipment manufacturing","Other environmental management practices",,5.5,
"2021","Canada","Plastics and rubber products manufacturing","Reported using one or more environmental management practices",,43.2,
"2021","Canada","Plastics and rubber products manufacturing","Environmental management system",,22.5,
"2021","Canada","Plastics and rubber products manufacturing","Pollution prevention plan",,22.3,
"2021","Canada","Plastics and rubber products manufacturing","Life cycle management",,8.6,
"2021","Canada","Plastics and rubber products manufacturing","ISO 14000 family certification",,14.9,
"2021","Canada","Plastics and rubber products manufacturing","Environmental voluntary agreements or programs",,10,
"2021","Canada","Plastics and rubber products manufacturing","Green procurements policy or guidelines",,8.1,
"2021","Canada","Plastics and rubber products manufacturing","Environmental supply chain management policy",,7.5,
"2021","Canada","Plastics and rubber products manufacturing","New or improved environmental supply chain management policy",,7.7,
"2021","Canada","Plastics and rubber products manufacturing","Environmental incentive programs, grants, loans, or tax credits",,5.4,
"2021","Canada","Plastics and rubber products manufacturing","Greenhouse gas emission inventory",,15,
"2021","Canada","Plastics and rubber products manufacturing","Purchased carbon offset credits only or purchased more than sold",,4.2,
"2021","Canada","Plastics and rubber products manufacturing","Sold carbon offset credits only or sold more than purchased",,2.4,
"2021","Canada","Plastics and rubber products manufacturing","Other environmental management practices",,5.5,
"2021","Canada","Machinery manufacturing","Reported using one or more environmental management practices",,35,
"2021","Canada","Machinery manufacturing","Environmental management system",,9.4,
"2021","Canada","Machinery manufacturing","Pollution prevention plan",,16.3,
"2021","Canada","Machinery manufacturing","Life cycle management",,4,
"2021","Canada","Machinery manufacturing","ISO 14000 family certification",,6,
"2021","Canada","Machinery manufacturing","Environmental voluntary agreements or programs",,1.5,
"2021","Canada","Machinery manufacturing","Green procurements policy or guidelines",,6.3,
"2021","Canada","Machinery manufacturing","Environmental supply chain management policy",,3.2,
"2021","Canada","Machinery manufacturing","New or improved environmental supply chain management policy",,2.2,
"2021","Canada","Machinery manufacturing","Environmental incentive programs, grants, loans, or tax credits",,4.9,
"2021","Canada","Machinery manufacturing","Greenhouse gas emission inventory",,2.1,
"2021","Canada","Machinery manufacturing","Purchased carbon offset credits only or purchased more than sold",,0.3,
"2021","Canada","Machinery manufacturing","Sold carbon offset credits only or sold more than purchased",,0,
"2021","Canada","Machinery manufacturing","Other environmental management practices",,4.6,
"2021","Canada","Furniture and related product manufacturing","Reported using one or more environmental management practices",,25.8,
"2021","Canada","Furniture and related product manufacturing","Environmental management system",,9.8,
"2021","Canada","Furniture and related product manufacturing","Pollution prevention plan",,12,
"2021","Canada","Furniture and related product manufacturing","Life cycle management",,4.8,
"2021","Canada","Furniture and related product manufacturing","ISO 14000 family certification",,3.8,
"2021","Canada","Furniture and related product manufacturing","Environmental voluntary agreements or programs",,6,
"2021","Canada","Furniture and related product manufacturing","Green procurements policy or guidelines",,9.1,
"2021","Canada","Furniture and related product manufacturing","Environmental supply chain management policy",,7.1,
"2021","Canada","Furniture and related product manufacturing","New or improved environmental supply chain management policy",,4.8,
"2021","Canada","Furniture and related product manufacturing","Environmental incentive programs, grants, loans, or tax credits",,1.8,
"2021","Canada","Furniture and related product manufacturing","Greenhouse gas emission inventory",,3.7,
"2021","Canada","Furniture and related product manufacturing","Purchased carbon offset credits only or purchased more than sold",,0.4,
"2021","Canada","Furniture and related product manufacturing","Sold carbon offset credits only or sold more than purchased",,0,
"2021","Canada","Furniture and related product manufacturing","Other environmental management practices",,3.1,
"2021","Canada","Other manufacturing industries","Reported using one or more environmental management practices",,31.4,
"2021","Canada","Other manufacturing industries","Environmental management system",,12,
"2021","Canada","Other manufacturing industries","Pollution prevention plan",,12.8,
"2021","Canada","Other manufacturing industries","Life cycle management",,6.5,
"2021","Canada","Other manufacturing industries","ISO 14000 family certification",,10.6,
"2021","Canada","Other manufacturing industries","Environmental voluntary agreements or programs",,7.3,
"2021","Canada","Other manufacturing industries","Green procurements policy or guidelines",,9.3,
"2021","Canada","Other manufacturing industries","Environmental supply chain management policy",,7.2,
"2021","Canada","Other manufacturing industries","New or improved environmental supply chain management policy",,6.4,
"2021","Canada","Other manufacturing industries","Environmental incentive programs, grants, loans, or tax credits",,8.5,
