Year,Units,data.Geography,data.Offences,data.Age of accused,data.Sex of accused,GeoCode,Value
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Administration of justice,data.18 to 24 years,data.Sex unknown,61,93
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Administration of justice,data.25 to 34 years,"data.Total, sex of accused",61,85
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Administration of justice,data.25 to 34 years,data.Males,61,85
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Administration of justice,data.25 to 34 years,data.Females,61,97
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Administration of justice,data.25 to 34 years,data.Sex unknown,61,85
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Administration of justice,data.35 to 44 years,"data.Total, sex of accused",61,57
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Administration of justice,data.35 to 44 years,data.Males,61,50
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Administration of justice,data.35 to 44 years,data.Females,61,100
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Administration of justice,data.35 to 44 years,data.Sex unknown,61,65
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Administration of justice,data.45 to 54 years,"data.Total, sex of accused",61,86
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Administration of justice,data.45 to 54 years,data.Males,61,93
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Administration of justice,data.45 to 54 years,data.Females,61,64
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Administration of justice,data.45 to 54 years,data.Sex unknown,61,87
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Administration of justice,data.55 years and over,"data.Total, sex of accused",61,47
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Administration of justice,data.55 years and over,data.Males,61,47
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Administration of justice,data.55 years and over,data.Females,61,0
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Administration of justice,data.55 years and over,data.Sex unknown,61,0
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Administration of justice,data.Other ages,"data.Total, sex of accused",61,37
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Administration of justice,data.Other ages,data.Males,61,30
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Administration of justice,data.Other ages,data.Females,61,37
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Administration of justice,data.Other ages,data.Sex unknown,61,51
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Administration of justice,data.Age not applicable,"data.Total, sex of accused",61,0
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Administration of justice,data.Age not applicable,data.Company,61,0
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Criminal Code traffic,"data.Total, age of accused","data.Total, sex of accused",61,46
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Criminal Code traffic,"data.Total, age of accused",data.Males,61,45
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Criminal Code traffic,"data.Total, age of accused",data.Females,61,44
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Criminal Code traffic,"data.Total, age of accused",data.Company,61,0
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Criminal Code traffic,"data.Total, age of accused",data.Sex unknown,61,64
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Criminal Code traffic,data.18 to 24 years,"data.Total, sex of accused",61,29
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Criminal Code traffic,data.18 to 24 years,data.Males,61,36
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Criminal Code traffic,data.18 to 24 years,data.Females,61,19
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Criminal Code traffic,data.18 to 24 years,data.Sex unknown,61,25
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Criminal Code traffic,data.25 to 34 years,"data.Total, sex of accused",61,57
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Criminal Code traffic,data.25 to 34 years,data.Males,61,45
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Criminal Code traffic,data.25 to 34 years,data.Females,61,85
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Criminal Code traffic,data.25 to 34 years,data.Sex unknown,61,141
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Criminal Code traffic,data.35 to 44 years,"data.Total, sex of accused",61,44
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Criminal Code traffic,data.35 to 44 years,data.Males,61,44
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Criminal Code traffic,data.35 to 44 years,data.Females,61,47
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Criminal Code traffic,data.35 to 44 years,data.Sex unknown,61,0
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Criminal Code traffic,data.45 to 54 years,"data.Total, sex of accused",61,53
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Criminal Code traffic,data.45 to 54 years,data.Males,61,43
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Criminal Code traffic,data.45 to 54 years,data.Females,61,169
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Criminal Code traffic,data.45 to 54 years,data.Sex unknown,61,56
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Criminal Code traffic,data.55 years and over,"data.Total, sex of accused",61,120
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Criminal Code traffic,data.55 years and over,data.Males,61,201
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Criminal Code traffic,data.55 years and over,data.Females,61,0
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Criminal Code traffic,data.55 years and over,data.Sex unknown,61,27
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Criminal Code traffic,data.Other ages,"data.Total, sex of accused",61,43
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Criminal Code traffic,data.Other ages,data.Males,61,3
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Criminal Code traffic,data.Other ages,data.Females,61,10
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Criminal Code traffic,data.Other ages,data.Sex unknown,61,125
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Criminal Code traffic,data.Age not applicable,"data.Total, sex of accused",61,0
2017/2018,data.Adult criminal courts,data.Northwest Territories,data.Criminal Code traffic,data.Age not applicable,data.Company,61,0
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total offences,"data.Total, age of accused","data.Total, sex of accused",62,86
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total offences,"data.Total, age of accused",data.Males,62,85
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total offences,"data.Total, age of accused",data.Females,62,98
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total offences,"data.Total, age of accused",data.Company,62,0
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total offences,"data.Total, age of accused",data.Sex unknown,62,78
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total offences,data.18 to 24 years,"data.Total, sex of accused",62,101
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total offences,data.18 to 24 years,data.Males,62,105
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total offences,data.18 to 24 years,data.Females,62,114
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total offences,data.18 to 24 years,data.Sex unknown,62,60
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total offences,data.25 to 34 years,"data.Total, sex of accused",62,81
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total offences,data.25 to 34 years,data.Males,62,81
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total offences,data.25 to 34 years,data.Females,62,78
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total offences,data.25 to 34 years,data.Sex unknown,62,81
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total offences,data.35 to 44 years,"data.Total, sex of accused",62,79
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total offences,data.35 to 44 years,data.Males,62,78
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total offences,data.35 to 44 years,data.Females,62,101
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total offences,data.35 to 44 years,data.Sex unknown,62,41
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total offences,data.45 to 54 years,"data.Total, sex of accused",62,79
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total offences,data.45 to 54 years,data.Males,62,80
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total offences,data.45 to 54 years,data.Females,62,29
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total offences,data.45 to 54 years,data.Sex unknown,62,56
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total offences,data.55 years and over,"data.Total, sex of accused",62,96
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total offences,data.55 years and over,data.Males,62,100
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total offences,data.55 years and over,data.Females,62,44
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total offences,data.55 years and over,data.Sex unknown,62,93
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total offences,data.Other ages,"data.Total, sex of accused",62,101
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total offences,data.Other ages,data.Males,62,77
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total offences,data.Other ages,data.Females,62,170
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total offences,data.Other ages,data.Sex unknown,62,123
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total offences,data.Age not applicable,"data.Total, sex of accused",62,0
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total offences,data.Age not applicable,data.Company,62,0
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total Criminal Code,"data.Total, age of accused","data.Total, sex of accused",62,85
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total Criminal Code,"data.Total, age of accused",data.Males,62,84
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total Criminal Code,"data.Total, age of accused",data.Females,62,94
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total Criminal Code,"data.Total, age of accused",data.Company,62,0
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total Criminal Code,"data.Total, age of accused",data.Sex unknown,62,72
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total Criminal Code,data.18 to 24 years,"data.Total, sex of accused",62,100
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total Criminal Code,data.18 to 24 years,data.Males,62,102
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total Criminal Code,data.18 to 24 years,data.Females,62,114
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total Criminal Code,data.18 to 24 years,data.Sex unknown,62,60
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total Criminal Code,data.25 to 34 years,"data.Total, sex of accused",62,81
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total Criminal Code,data.25 to 34 years,data.Males,62,81
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total Criminal Code,data.25 to 34 years,data.Females,62,78
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total Criminal Code,data.25 to 34 years,data.Sex unknown,62,81
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total Criminal Code,data.35 to 44 years,"data.Total, sex of accused",62,78
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total Criminal Code,data.35 to 44 years,data.Males,62,73
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total Criminal Code,data.35 to 44 years,data.Females,62,101
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total Criminal Code,data.35 to 44 years,data.Sex unknown,62,41
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total Criminal Code,data.45 to 54 years,"data.Total, sex of accused",62,71
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total Criminal Code,data.45 to 54 years,data.Males,62,79
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total Criminal Code,data.45 to 54 years,data.Females,62,29
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total Criminal Code,data.45 to 54 years,data.Sex unknown,62,56
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total Criminal Code,data.55 years and over,"data.Total, sex of accused",62,95
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total Criminal Code,data.55 years and over,data.Males,62,99
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total Criminal Code,data.55 years and over,data.Females,62,44
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total Criminal Code,data.55 years and over,data.Sex unknown,62,0
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total Criminal Code,data.Other ages,"data.Total, sex of accused",62,101
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total Criminal Code,data.Other ages,data.Males,62,75
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total Criminal Code,data.Other ages,data.Females,62,170
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total Criminal Code,data.Other ages,data.Sex unknown,62,123
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total Criminal Code,data.Age not applicable,"data.Total, sex of accused",62,0
2017/2018,data.Adult criminal courts,data.Nunavut,data.Total Criminal Code,data.Age not applicable,data.Company,62,0
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against the person,"data.Total, age of accused","data.Total, sex of accused",62,89
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against the person,"data.Total, age of accused",data.Males,62,92
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against the person,"data.Total, age of accused",data.Females,62,86
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against the person,"data.Total, age of accused",data.Company,62,0
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against the person,"data.Total, age of accused",data.Sex unknown,62,78
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against the person,data.18 to 24 years,"data.Total, sex of accused",62,105
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against the person,data.18 to 24 years,data.Males,62,108
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against the person,data.18 to 24 years,data.Females,62,88
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against the person,data.18 to 24 years,data.Sex unknown,62,63
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against the person,data.25 to 34 years,"data.Total, sex of accused",62,83
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against the person,data.25 to 34 years,data.Males,62,87
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against the person,data.25 to 34 years,data.Females,62,64
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against the person,data.25 to 34 years,data.Sex unknown,62,2
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against the person,data.35 to 44 years,"data.Total, sex of accused",62,81
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against the person,data.35 to 44 years,data.Males,62,79
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against the person,data.35 to 44 years,data.Females,62,101
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against the person,data.35 to 44 years,data.Sex unknown,62,45
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against the person,data.45 to 54 years,"data.Total, sex of accused",62,79
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against the person,data.45 to 54 years,data.Males,62,81
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against the person,data.45 to 54 years,data.Females,62,109
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against the person,data.45 to 54 years,data.Sex unknown,62,56
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against the person,data.55 years and over,"data.Total, sex of accused",62,177
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against the person,data.55 years and over,data.Males,62,177
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against the person,data.55 years and over,data.Females,62,0
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against the person,data.55 years and over,data.Sex unknown,62,0
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against the person,data.Other ages,"data.Total, sex of accused",62,123
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against the person,data.Other ages,data.Males,62,77
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against the person,data.Other ages,data.Females,62,174
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against the person,data.Other ages,data.Sex unknown,62,137
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against the person,data.Age not applicable,"data.Total, sex of accused",62,0
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against the person,data.Age not applicable,data.Company,62,0
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against property,"data.Total, age of accused","data.Total, sex of accused",62,81
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against property,"data.Total, age of accused",data.Males,62,80
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against property,"data.Total, age of accused",data.Females,62,93
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against property,"data.Total, age of accused",data.Company,62,0
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against property,"data.Total, age of accused",data.Sex unknown,62,81
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against property,data.18 to 24 years,"data.Total, sex of accused",62,92
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against property,data.18 to 24 years,data.Males,62,88
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against property,data.18 to 24 years,data.Females,62,120
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against property,data.18 to 24 years,data.Sex unknown,62,1
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against property,data.25 to 34 years,"data.Total, sex of accused",62,80
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against property,data.25 to 34 years,data.Males,62,79
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against property,data.25 to 34 years,data.Females,62,78
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against property,data.25 to 34 years,data.Sex unknown,62,81
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against property,data.35 to 44 years,"data.Total, sex of accused",62,71
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against property,data.35 to 44 years,data.Males,62,71
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against property,data.35 to 44 years,data.Females,62,84
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against property,data.35 to 44 years,data.Sex unknown,62,59
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against property,data.45 to 54 years,"data.Total, sex of accused",62,101
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against property,data.45 to 54 years,data.Males,62,115
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against property,data.45 to 54 years,data.Females,62,86
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against property,data.45 to 54 years,data.Sex unknown,62,0
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against property,data.55 years and over,"data.Total, sex of accused",62,63
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against property,data.55 years and over,data.Males,62,63
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against property,data.55 years and over,data.Females,62,44
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against property,data.55 years and over,data.Sex unknown,62,0
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against property,data.Other ages,"data.Total, sex of accused",62,141
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against property,data.Other ages,data.Males,62,47
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against property,data.Other ages,data.Females,62,372
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against property,data.Other ages,data.Sex unknown,62,142
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against property,data.Age not applicable,"data.Total, sex of accused",62,0
2017/2018,data.Adult criminal courts,data.Nunavut,data.Crimes against property,data.Age not applicable,data.Company,62,0
2017/2018,data.Adult criminal courts,data.Nunavut,data.Administration of justice,"data.Total, age of accused","data.Total, sex of accused",62,78
2017/2018,data.Adult criminal courts,data.Nunavut,data.Administration of justice,"data.Total, age of accused",data.Males,62,70
2017/2018,data.Adult criminal courts,data.Nunavut,data.Administration of justice,"data.Total, age of accused",data.Females,62,114
2017/2018,data.Adult criminal courts,data.Nunavut,data.Administration of justice,"data.Total, age of accused",data.Company,62,0
2017/2018,data.Adult criminal courts,data.Nunavut,data.Administration of justice,"data.Total, age of accused",data.Sex unknown,62,31
2017/2018,data.Adult criminal courts,data.Nunavut,data.Administration of justice,data.18 to 24 years,"data.Total, sex of accused",62,99
2017/2018,data.Adult criminal courts,data.Nunavut,data.Administration of justice,data.18 to 24 years,data.Males,62,93
2017/2018,data.Adult criminal courts,data.Nunavut,data.Administration of justice,data.18 to 24 years,data.Females,62,197
2017/2018,data.Adult criminal courts,data.Nunavut,data.Administration of justice,data.18 to 24 years,data.Sex unknown,62,77
2017/2018,data.Adult criminal courts,data.Nunavut,data.Administration of justice,data.25 to 34 years,"data.Total, sex of accused",62,78
2017/2018,data.Adult criminal courts,data.Nunavut,data.Administration of justice,data.25 to 34 years,data.Males,62,72
2017/2018,data.Adult criminal courts,data.Nunavut,data.Administration of justice,data.25 to 34 years,data.Females,62,96
2017/2018,data.Adult criminal courts,data.Nunavut,data.Administration of justice,data.25 to 34 years,data.Sex unknown,62,86
2017/2018,data.Adult criminal courts,data.Nunavut,data.Administration of justice,data.35 to 44 years,"data.Total, sex of accused",62,59
2017/2018,data.Adult criminal courts,data.Nunavut,data.Administration of justice,data.35 to 44 years,data.Males,62,38
2017/2018,data.Adult criminal courts,data.Nunavut,data.Administration of justice,data.35 to 44 years,data.Females,62,219
2017/2018,data.Adult criminal courts,data.Nunavut,data.Administration of justice,data.35 to 44 years,data.Sex unknown,62,6
2017/2018,data.Adult criminal courts,data.Nunavut,data.Administration of justice,data.45 to 54 years,"data.Total, sex of accused",62,24
2017/2018,data.Adult criminal courts,data.Nunavut,data.Administration of justice,data.45 to 54 years,data.Males,62,69
2017/2018,data.Adult criminal courts,data.Nunavut,data.Administration of justice,data.45 to 54 years,data.Females,62,12
2017/2018,data.Adult criminal courts,data.Nunavut,data.Administration of justice,data.45 to 54 years,data.Sex unknown,62,48
2017/2018,data.Adult criminal courts,data.Nunavut,data.Administration of justice,data.55 years and over,"data.Total, sex of accused",62,3
2017/2018,data.Adult criminal courts,data.Nunavut,data.Administration of justice,data.55 years and over,data.Males,62,3
2017/2018,data.Adult criminal courts,data.Nunavut,data.Administration of justice,data.55 years and over,data.Females,62,0
2017/2018,data.Adult criminal courts,data.Nunavut,data.Administration of justice,data.55 years and over,data.Sex unknown,62,0
2017/2018,data.Adult criminal courts,data.Nunavut,data.Administration of justice,data.Other ages,"data.Total, sex of accused",62,38
2017/2018,data.Adult criminal courts,data.Nunavut,data.Administration of justice,data.Other ages,data.Males,62,115
2017/2018,data.Adult criminal courts,data.Nunavut,data.Administration of justice,data.Other ages,data.Females,62,92
2017/2018,data.Adult criminal courts,data.Nunavut,data.Administration of justice,data.Other ages,data.Sex unknown,62,31
2017/2018,data.Adult criminal courts,data.Nunavut,data.Administration of justice,data.Age not applicable,"data.Total, sex of accused",62,0
2017/2018,data.Adult criminal courts,data.Nunavut,data.Administration of justice,data.Age not applicable,data.Company,62,0
2017/2018,data.Adult criminal courts,data.Nunavut,data.Criminal Code traffic,"data.Total, age of accused","data.Total, sex of accused",62,78
2017/2018,data.Adult criminal courts,data.Nunavut,data.Criminal Code traffic,"data.Total, age of accused",data.Males,62,71
2017/2018,data.Adult criminal courts,data.Nunavut,data.Criminal Code traffic,"data.Total, age of accused",data.Females,62,105
2017/2018,data.Adult criminal courts,data.Nunavut,data.Criminal Code traffic,"data.Total, age of accused",data.Company,62,0
2017/2018,data.Adult criminal courts,data.Nunavut,data.Criminal Code traffic,"data.Total, age of accused",data.Sex unknown,62,2
2017/2018,data.Adult criminal courts,data.Nunavut,data.Criminal Code traffic,data.18 to 24 years,"data.Total, sex of accused",62,114
2017/2018,data.Adult criminal courts,data.Nunavut,data.Criminal Code traffic,data.18 to 24 years,data.Males,62,116
2017/2018,data.Adult criminal courts,data.Nunavut,data.Criminal Code traffic,data.18 to 24 years,data.Females,62,114
2017/2018,data.Adult criminal courts,data.Nunavut,data.Criminal Code traffic,data.18 to 24 years,data.Sex unknown,62,1
2017/2018,data.Adult criminal courts,data.Nunavut,data.Criminal Code traffic,data.25 to 34 years,"data.Total, sex of accused",62,87
2017/2018,data.Adult criminal courts,data.Nunavut,data.Criminal Code traffic,data.25 to 34 years,data.Males,62,78
2017/2018,data.Adult criminal courts,data.Nunavut,data.Criminal Code traffic,data.25 to 34 years,data.Females,62,109
2017/2018,data.Adult criminal courts,data.Nunavut,data.Criminal Code traffic,data.25 to 34 years,data.Sex unknown,62,138
2017/2018,data.Adult criminal courts,data.Nunavut,data.Criminal Code traffic,data.35 to 44 years,"data.Total, sex of accused",62,50
2017/2018,data.Adult criminal courts,data.Nunavut,data.Criminal Code traffic,data.35 to 44 years,data.Males,62,23
2017/2018,data.Adult criminal courts,data.Nunavut,data.Criminal Code traffic,data.35 to 44 years,data.Females,62,71
2017/2018,data.Adult criminal courts,data.Nunavut,data.Criminal Code traffic,data.35 to 44 years,data.Sex unknown,62,52
2017/2018,data.Adult criminal courts,data.Nunavut,data.Criminal Code traffic,data.45 to 54 years,"data.Total, sex of accused",62,3
2017/2018,data.Adult criminal courts,data.Nunavut,data.Criminal Code traffic,data.45 to 54 years,data.Males,62,3
2017/2018,data.Adult criminal courts,data.Nunavut,data.Criminal Code traffic,data.45 to 54 years,data.Females,62,0
2017/2018,data.Adult criminal courts,data.Nunavut,data.Criminal Code traffic,data.45 to 54 years,data.Sex unknown,62,0
2017/2018,data.Adult criminal courts,data.Nunavut,data.Criminal Code traffic,data.55 years and over,"data.Total, sex of accused",62,120
2017/2018,data.Adult criminal courts,data.Nunavut,data.Criminal Code traffic,data.55 years and over,data.Males,62,120
2017/2018,data.Adult criminal courts,data.Nunavut,data.Criminal Code traffic,data.55 years and over,data.Females,62,0
2017/2018,data.Adult criminal courts,data.Nunavut,data.Criminal Code traffic,data.55 years and over,data.Sex unknown,62,0
2017/2018,data.Adult criminal courts,data.Nunavut,data.Criminal Code traffic,data.Other ages,"data.Total, sex of accused",62,78
2017/2018,data.Adult criminal courts,data.Nunavut,data.Criminal Code traffic,data.Other ages,data.Males,62,68
2017/2018,data.Adult criminal courts,data.Nunavut,data.Criminal Code traffic,data.Other ages,data.Females,62,101
2017/2018,data.Adult criminal courts,data.Nunavut,data.Criminal Code traffic,data.Other ages,data.Sex unknown,62,62
2017/2018,data.Adult criminal courts,data.Nunavut,data.Criminal Code traffic,data.Age not applicable,"data.Total, sex of accused",62,0
2017/2018,data.Adult criminal courts,data.Nunavut,data.Criminal Code traffic,data.Age not applicable,data.Company,62,0
2018/2019,data.Adult criminal courts,data.Canada,data.Total offences,"data.Total, age of accused",data.Males,,142
2018/2019,data.Adult criminal courts,data.Canada,data.Total offences,"data.Total, age of accused",data.Females,,134
2018/2019,data.Adult criminal courts,data.Canada,data.Total offences,"data.Total, age of accused",data.Company,,245
2018/2019,data.Adult criminal courts,data.Canada,data.Total offences,"data.Total, age of accused",data.Sex unknown,,141
2018/2019,data.Adult criminal courts,data.Canada,data.Total offences,data.18 to 24 years,"data.Total, sex of accused",,155
2018/2019,data.Adult criminal courts,data.Canada,data.Total offences,data.18 to 24 years,data.Males,,160
2018/2019,data.Adult criminal courts,data.Canada,data.Total offences,data.18 to 24 years,data.Females,,140
2018/2019,data.Adult criminal courts,data.Canada,data.Total offences,data.18 to 24 years,data.Sex unknown,,155
