Year,Units,data.Geography,data.Fuel type,data.Demand characteristics,Value
2016,data.Terajoules,data.Quebec,data.Total primary and secondary energy,data.Energy use - final demand,1576431
2017,data.Terajoules,data.Quebec,data.Total primary and secondary energy,data.Energy use - final demand,
2018,data.Terajoules,data.Quebec,data.Total primary and secondary energy,data.Energy use - final demand,1650053
2019,data.Terajoules,data.Quebec,data.Total primary and secondary energy,data.Energy use - final demand,1694695
2015,data.Terajoules,data.Quebec,data.Total primary and secondary energy,data.Total industrial,518685
2016,data.Terajoules,data.Quebec,data.Total primary and secondary energy,data.Total industrial,507834
2017,data.Terajoules,data.Quebec,data.Total primary and secondary energy,data.Total industrial,512528
2018,data.Terajoules,data.Quebec,data.Total primary and secondary energy,data.Total industrial,537481
2019,data.Terajoules,data.Quebec,data.Total primary and secondary energy,data.Total industrial,559294
2015,data.Terajoules,data.Quebec,data.Total primary and secondary energy,data.Total transportation,501906
2016,data.Terajoules,data.Quebec,data.Total primary and secondary energy,data.Total transportation,513111
2017,data.Terajoules,data.Quebec,data.Total primary and secondary energy,data.Total transportation,522690
2018,data.Terajoules,data.Quebec,data.Total primary and secondary energy,data.Total transportation,522397
2019,data.Terajoules,data.Quebec,data.Total primary and secondary energy,data.Total transportation,531879
2015,data.Terajoules,data.Quebec,data.Total primary and secondary energy,data.Agriculture,33192
2016,data.Terajoules,data.Quebec,data.Total primary and secondary energy,data.Agriculture,33650
2017,data.Terajoules,data.Quebec,data.Total primary and secondary energy,data.Agriculture,33915
2018,data.Terajoules,data.Quebec,data.Total primary and secondary energy,data.Agriculture,35642
2019,data.Terajoules,data.Quebec,data.Total primary and secondary energy,data.Agriculture,36092
2015,data.Terajoules,data.Quebec,data.Total primary and secondary energy,data.Residential,286782
2016,data.Terajoules,data.Quebec,data.Total primary and secondary energy,data.Residential,281691
2017,data.Terajoules,data.Quebec,data.Total primary and secondary energy,data.Residential,280833
2018,data.Terajoules,data.Quebec,data.Total primary and secondary energy,data.Residential,293628
2019,data.Terajoules,data.Quebec,data.Total primary and secondary energy,data.Residential,300377
2015,data.Terajoules,data.Quebec,data.Total primary and secondary energy,data.Public administration,38068
2016,data.Terajoules,data.Quebec,data.Total primary and secondary energy,data.Public administration,37791
2017,data.Terajoules,data.Quebec,data.Total primary and secondary energy,data.Public administration,38387
2018,data.Terajoules,data.Quebec,data.Total primary and secondary energy,data.Public administration,40909
2019,data.Terajoules,data.Quebec,data.Total primary and secondary energy,data.Public administration,39850
2015,data.Terajoules,data.Quebec,data.Total primary and secondary energy,data.Commercial and other institutional,209736
2016,data.Terajoules,data.Quebec,data.Total primary and secondary energy,data.Commercial and other institutional,202353
2017,data.Terajoules,data.Quebec,data.Total primary and secondary energy,data.Commercial and other institutional,217791
2018,data.Terajoules,data.Quebec,data.Total primary and secondary energy,data.Commercial and other institutional,219996
2019,data.Terajoules,data.Quebec,data.Total primary and secondary energy,data.Commercial and other institutional,227204
2015,data.Terajoules,data.Quebec,data.Total coal,data.Energy use - final demand,
2016,data.Terajoules,data.Quebec,data.Total coal,data.Energy use - final demand,14855
2017,data.Terajoules,data.Quebec,data.Total coal,data.Energy use - final demand,
2018,data.Terajoules,data.Quebec,data.Total coal,data.Energy use - final demand,9520
2019,data.Terajoules,data.Quebec,data.Total coal,data.Energy use - final demand,10551
2015,data.Terajoules,data.Quebec,data.Total coal,data.Total industrial,
2016,data.Terajoules,data.Quebec,data.Total coal,data.Total industrial,14855
2017,data.Terajoules,data.Quebec,data.Total coal,data.Total industrial,
2018,data.Terajoules,data.Quebec,data.Total coal,data.Total industrial,9520
2019,data.Terajoules,data.Quebec,data.Total coal,data.Total industrial,10551
2015,data.Terajoules,data.Quebec,data.Natural gas,data.Energy use - final demand,255233
2016,data.Terajoules,data.Quebec,data.Natural gas,data.Energy use - final demand,237491
2017,data.Terajoules,data.Quebec,data.Natural gas,data.Energy use - final demand,249788
2018,data.Terajoules,data.Quebec,data.Natural gas,data.Energy use - final demand,252003
2019,data.Terajoules,data.Quebec,data.Natural gas,data.Energy use - final demand,252869
2015,data.Terajoules,data.Quebec,data.Natural gas,data.Total industrial,151932
2016,data.Terajoules,data.Quebec,data.Natural gas,data.Total industrial,135897
2017,data.Terajoules,data.Quebec,data.Natural gas,data.Total industrial,142970
2018,data.Terajoules,data.Quebec,data.Natural gas,data.Total industrial,149758
2019,data.Terajoules,data.Quebec,data.Natural gas,data.Total industrial,146600
2015,data.Terajoules,data.Quebec,data.Natural gas,data.Total transportation,7961
2016,data.Terajoules,data.Quebec,data.Natural gas,data.Total transportation,5191
2017,data.Terajoules,data.Quebec,data.Natural gas,data.Total transportation,3044
2018,data.Terajoules,data.Quebec,data.Natural gas,data.Total transportation,3058
2019,data.Terajoules,data.Quebec,data.Natural gas,data.Total transportation,3343
2015,data.Terajoules,data.Quebec,data.Natural gas,data.Agriculture,1123
2016,data.Terajoules,data.Quebec,data.Natural gas,data.Agriculture,1149
2017,data.Terajoules,data.Quebec,data.Natural gas,data.Agriculture,1213
2018,data.Terajoules,data.Quebec,data.Natural gas,data.Agriculture,1350
2019,data.Terajoules,data.Quebec,data.Natural gas,data.Agriculture,1347
2015,data.Terajoules,data.Quebec,data.Natural gas,data.Residential,22681
2016,data.Terajoules,data.Quebec,data.Natural gas,data.Residential,22325
2017,data.Terajoules,data.Quebec,data.Natural gas,data.Residential,23028
2018,data.Terajoules,data.Quebec,data.Natural gas,data.Residential,24079
2019,data.Terajoules,data.Quebec,data.Natural gas,data.Residential,28538
2015,data.Terajoules,data.Quebec,data.Natural gas,data.Public administration,4906
2016,data.Terajoules,data.Quebec,data.Natural gas,data.Public administration,4821
2017,data.Terajoules,data.Quebec,data.Natural gas,data.Public administration,4919
2018,data.Terajoules,data.Quebec,data.Natural gas,data.Public administration,3880
2019,data.Terajoules,data.Quebec,data.Natural gas,data.Public administration,4551
2015,data.Terajoules,data.Quebec,data.Natural gas,data.Commercial and other institutional,66630
2016,data.Terajoules,data.Quebec,data.Natural gas,data.Commercial and other institutional,68107
2017,data.Terajoules,data.Quebec,data.Natural gas,data.Commercial and other institutional,74615
2018,data.Terajoules,data.Quebec,data.Natural gas,data.Commercial and other institutional,69879
2019,data.Terajoules,data.Quebec,data.Natural gas,data.Commercial and other institutional,68491
2015,data.Terajoules,data.Quebec,data.Gas plant natural gas liquids (NGL's),data.Energy use - final demand,16370
2016,data.Terajoules,data.Quebec,data.Gas plant natural gas liquids (NGL's),data.Energy use - final demand,17263
2017,data.Terajoules,data.Quebec,data.Gas plant natural gas liquids (NGL's),data.Energy use - final demand,16490
2018,data.Terajoules,data.Quebec,data.Gas plant natural gas liquids (NGL's),data.Energy use - final demand,17579
2019,data.Terajoules,data.Quebec,data.Gas plant natural gas liquids (NGL's),data.Energy use - final demand,18295
2015,data.Terajoules,data.Quebec,data.Gas plant natural gas liquids (NGL's),data.Total industrial,2064
2016,data.Terajoules,data.Quebec,data.Gas plant natural gas liquids (NGL's),data.Total industrial,1909
2017,data.Terajoules,data.Quebec,data.Gas plant natural gas liquids (NGL's),data.Total industrial,2125
2018,data.Terajoules,data.Quebec,data.Gas plant natural gas liquids (NGL's),data.Total industrial,2338
2019,data.Terajoules,data.Quebec,data.Gas plant natural gas liquids (NGL's),data.Total industrial,2174
2015,data.Terajoules,data.Quebec,data.Gas plant natural gas liquids (NGL's),data.Total transportation,765
2016,data.Terajoules,data.Quebec,data.Gas plant natural gas liquids (NGL's),data.Total transportation,800
2017,data.Terajoules,data.Quebec,data.Gas plant natural gas liquids (NGL's),data.Total transportation,732
2018,data.Terajoules,data.Quebec,data.Gas plant natural gas liquids (NGL's),data.Total transportation,778
2019,data.Terajoules,data.Quebec,data.Gas plant natural gas liquids (NGL's),data.Total transportation,822
2015,data.Terajoules,data.Quebec,data.Gas plant natural gas liquids (NGL's),data.Agriculture,4853
2016,data.Terajoules,data.Quebec,data.Gas plant natural gas liquids (NGL's),data.Agriculture,5072
2017,data.Terajoules,data.Quebec,data.Gas plant natural gas liquids (NGL's),data.Agriculture,4684
2018,data.Terajoules,data.Quebec,data.Gas plant natural gas liquids (NGL's),data.Agriculture,4977
2019,data.Terajoules,data.Quebec,data.Gas plant natural gas liquids (NGL's),data.Agriculture,5264
2015,data.Terajoules,data.Quebec,data.Gas plant natural gas liquids (NGL's),data.Residential,1589
2016,data.Terajoules,data.Quebec,data.Gas plant natural gas liquids (NGL's),data.Residential,1660
2017,data.Terajoules,data.Quebec,data.Gas plant natural gas liquids (NGL's),data.Residential,1610
2018,data.Terajoules,data.Quebec,data.Gas plant natural gas liquids (NGL's),data.Residential,1711
2019,data.Terajoules,data.Quebec,data.Gas plant natural gas liquids (NGL's),data.Residential,1809
2015,data.Terajoules,data.Quebec,data.Gas plant natural gas liquids (NGL's),data.Public administration,
2016,data.Terajoules,data.Quebec,data.Gas plant natural gas liquids (NGL's),data.Public administration,
2015,data.Terajoules,data.Quebec,data.Gas plant natural gas liquids (NGL's),data.Commercial and other institutional,7484
2016,data.Terajoules,data.Quebec,data.Gas plant natural gas liquids (NGL's),data.Commercial and other institutional,7821
2017,data.Terajoules,data.Quebec,data.Gas plant natural gas liquids (NGL's),data.Commercial and other institutional,7319
2018,data.Terajoules,data.Quebec,data.Gas plant natural gas liquids (NGL's),data.Commercial and other institutional,7776
2019,data.Terajoules,data.Quebec,data.Gas plant natural gas liquids (NGL's),data.Commercial and other institutional,8225
2015,data.Terajoules,data.Quebec,data.Hydroelectricity,data.Energy use - final demand,678602
2016,data.Terajoules,data.Quebec,data.Hydroelectricity,data.Energy use - final demand,676125
2017,data.Terajoules,data.Quebec,data.Hydroelectricity,data.Energy use - final demand,675350
2018,data.Terajoules,data.Quebec,data.Hydroelectricity,data.Energy use - final demand,708715
2019,data.Terajoules,data.Quebec,data.Hydroelectricity,data.Energy use - final demand,733602
2015,data.Terajoules,data.Quebec,data.Hydroelectricity,data.Total industrial,294630
2016,data.Terajoules,data.Quebec,data.Hydroelectricity,data.Total industrial,299543
2017,data.Terajoules,data.Quebec,data.Hydroelectricity,data.Total industrial,294473
2018,data.Terajoules,data.Quebec,data.Hydroelectricity,data.Total industrial,306613
2019,data.Terajoules,data.Quebec,data.Hydroelectricity,data.Total industrial,326436
2015,data.Terajoules,data.Quebec,data.Hydroelectricity,data.Total transportation,1741
2016,data.Terajoules,data.Quebec,data.Hydroelectricity,data.Total transportation,1724
2017,data.Terajoules,data.Quebec,data.Hydroelectricity,data.Total transportation,1713
2018,data.Terajoules,data.Quebec,data.Hydroelectricity,data.Total transportation,1721
2019,data.Terajoules,data.Quebec,data.Hydroelectricity,data.Total transportation,1726
2015,data.Terajoules,data.Quebec,data.Hydroelectricity,data.Agriculture,6449
2016,data.Terajoules,data.Quebec,data.Hydroelectricity,data.Agriculture,6524
2017,data.Terajoules,data.Quebec,data.Hydroelectricity,data.Agriculture,6584
2018,data.Terajoules,data.Quebec,data.Hydroelectricity,data.Agriculture,7671
2019,data.Terajoules,data.Quebec,data.Hydroelectricity,data.Agriculture,7714
2015,data.Terajoules,data.Quebec,data.Hydroelectricity,data.Residential,242876
2016,data.Terajoules,data.Quebec,data.Hydroelectricity,data.Residential,236055
2017,data.Terajoules,data.Quebec,data.Hydroelectricity,data.Residential,239778
2018,data.Terajoules,data.Quebec,data.Hydroelectricity,data.Residential,251704
2019,data.Terajoules,data.Quebec,data.Hydroelectricity,data.Residential,254689
2015,data.Terajoules,data.Quebec,data.Hydroelectricity,data.Public administration,27346
2016,data.Terajoules,data.Quebec,data.Hydroelectricity,data.Public administration,27403
2017,data.Terajoules,data.Quebec,data.Hydroelectricity,data.Public administration,26540
2018,data.Terajoules,data.Quebec,data.Hydroelectricity,data.Public administration,28652
2019,data.Terajoules,data.Quebec,data.Hydroelectricity,data.Public administration,28279
2015,data.Terajoules,data.Quebec,data.Hydroelectricity,data.Commercial and other institutional,105560
2016,data.Terajoules,data.Quebec,data.Hydroelectricity,data.Commercial and other institutional,104876
2017,data.Terajoules,data.Quebec,data.Hydroelectricity,data.Commercial and other institutional,106263
2018,data.Terajoules,data.Quebec,data.Hydroelectricity,data.Commercial and other institutional,112352
2019,data.Terajoules,data.Quebec,data.Hydroelectricity,data.Commercial and other institutional,114758
2015,data.Terajoules,data.Quebec,data.Steam,data.Energy use - final demand,
2016,data.Terajoules,data.Quebec,data.Steam,data.Energy use - final demand,4278
2017,data.Terajoules,data.Quebec,data.Steam,data.Energy use - final demand,2744
2018,data.Terajoules,data.Quebec,data.Steam,data.Energy use - final demand,3895
2019,data.Terajoules,data.Quebec,data.Steam,data.Energy use - final demand,3976
2015,data.Terajoules,data.Quebec,data.Steam,data.Total industrial,
2016,data.Terajoules,data.Quebec,data.Steam,data.Total industrial,4278
2017,data.Terajoules,data.Quebec,data.Steam,data.Total industrial,2744
2018,data.Terajoules,data.Quebec,data.Steam,data.Total industrial,3895
2019,data.Terajoules,data.Quebec,data.Steam,data.Total industrial,3976
2015,data.Terajoules,data.Quebec,data.Steam,data.Residential,0
2016,data.Terajoules,data.Quebec,data.Steam,data.Residential,0
2017,data.Terajoules,data.Quebec,data.Steam,data.Residential,0
2018,data.Terajoules,data.Quebec,data.Steam,data.Residential,0
2019,data.Terajoules,data.Quebec,data.Steam,data.Residential,0
2015,data.Terajoules,data.Quebec,data.Steam,data.Commercial and other institutional,0
2016,data.Terajoules,data.Quebec,data.Steam,data.Commercial and other institutional,0
2017,data.Terajoules,data.Quebec,data.Steam,data.Commercial and other institutional,0
2018,data.Terajoules,data.Quebec,data.Steam,data.Commercial and other institutional,0
2019,data.Terajoules,data.Quebec,data.Steam,data.Commercial and other institutional,0
2015,data.Terajoules,data.Quebec,data.Coke,data.Energy use - final demand,
2016,data.Terajoules,data.Quebec,data.Coke,data.Energy use - final demand,
2017,data.Terajoules,data.Quebec,data.Coke,data.Energy use - final demand,
2018,data.Terajoules,data.Quebec,data.Coke,data.Energy use - final demand,6141
2019,data.Terajoules,data.Quebec,data.Coke,data.Energy use - final demand,5936
2015,data.Terajoules,data.Quebec,data.Coke,data.Total industrial,
2016,data.Terajoules,data.Quebec,data.Coke,data.Total industrial,
2017,data.Terajoules,data.Quebec,data.Coke,data.Total industrial,
2018,data.Terajoules,data.Quebec,data.Coke,data.Total industrial,6141
2019,data.Terajoules,data.Quebec,data.Coke,data.Total industrial,5936
2015,data.Terajoules,data.Quebec,data.Total refined petroleum products,data.Energy use - final demand,617368
2016,data.Terajoules,data.Quebec,data.Total refined petroleum products,data.Energy use - final demand,625510
2017,data.Terajoules,data.Quebec,data.Total refined petroleum products,data.Energy use - final demand,648609
2018,data.Terajoules,data.Quebec,data.Total refined petroleum products,data.Energy use - final demand,652199
2019,data.Terajoules,data.Quebec,data.Total refined petroleum products,data.Energy use - final demand,669468
2015,data.Terajoules,data.Quebec,data.Total refined petroleum products,data.Total industrial,49648
2016,data.Terajoules,data.Quebec,data.Total refined petroleum products,data.Total industrial,50442
2017,data.Terajoules,data.Quebec,data.Total refined petroleum products,data.Total industrial,57036
2018,data.Terajoules,data.Quebec,data.Total refined petroleum products,data.Total industrial,59216
2019,data.Terajoules,data.Quebec,data.Total refined petroleum products,data.Total industrial,63622
2015,data.Terajoules,data.Quebec,data.Total refined petroleum products,data.Total transportation,491439
2016,data.Terajoules,data.Quebec,data.Total refined petroleum products,data.Total transportation,505396
2017,data.Terajoules,data.Quebec,data.Total refined petroleum products,data.Total transportation,517202
2018,data.Terajoules,data.Quebec,data.Total refined petroleum products,data.Total transportation,516840
2019,data.Terajoules,data.Quebec,data.Total refined petroleum products,data.Total transportation,525987
2015,data.Terajoules,data.Quebec,data.Total refined petroleum products,data.Agriculture,20767
2016,data.Terajoules,data.Quebec,data.Total refined petroleum products,data.Agriculture,20905
2017,data.Terajoules,data.Quebec,data.Total refined petroleum products,data.Agriculture,21433
2018,data.Terajoules,data.Quebec,data.Total refined petroleum products,data.Agriculture,21643
2019,data.Terajoules,data.Quebec,data.Total refined petroleum products,data.Agriculture,21767
2015,data.Terajoules,data.Quebec,data.Total refined petroleum products,data.Residential,19636
2016,data.Terajoules,data.Quebec,data.Total refined petroleum products,data.Residential,
2017,data.Terajoules,data.Quebec,data.Total refined petroleum products,data.Residential,16416
2018,data.Terajoules,data.Quebec,data.Total refined petroleum products,data.Residential,16135
2019,data.Terajoules,data.Quebec,data.Total refined petroleum products,data.Residential,15341
2015,data.Terajoules,data.Quebec,data.Total refined petroleum products,data.Public administration,5816
2016,data.Terajoules,data.Quebec,data.Total refined petroleum products,data.Public administration,5567
2017,data.Terajoules,data.Quebec,data.Total refined petroleum products,data.Public administration,6929
2018,data.Terajoules,data.Quebec,data.Total refined petroleum products,data.Public administration,8377
2019,data.Terajoules,data.Quebec,data.Total refined petroleum products,data.Public administration,7020
2015,data.Terajoules,data.Quebec,data.Total refined petroleum products,data.Commercial and other institutional,30062
2016,data.Terajoules,data.Quebec,data.Total refined petroleum products,data.Commercial and other institutional,21550
2017,data.Terajoules,data.Quebec,data.Total refined petroleum products,data.Commercial and other institutional,29594
2018,data.Terajoules,data.Quebec,data.Total refined petroleum products,data.Commercial and other institutional,29988
2019,data.Terajoules,data.Quebec,data.Total refined petroleum products,data.Commercial and other institutional,35731
2015,data.Terajoules,data.Ontario,data.Total primary and secondary energy,data.Energy use - final demand,2521754
2016,data.Terajoules,data.Ontario,data.Total primary and secondary energy,data.Energy use - final demand,2484017
2017,data.Terajoules,data.Ontario,data.Total primary and secondary energy,data.Energy use - final demand,2543407
2018,data.Terajoules,data.Ontario,data.Total primary and secondary energy,data.Energy use - final demand,2625409
2019,data.Terajoules,data.Ontario,data.Total primary and secondary energy,data.Energy use - final demand,2611231
2015,data.Terajoules,data.Ontario,data.Total primary and secondary energy,data.Total industrial,580587
2016,data.Terajoules,data.Ontario,data.Total primary and secondary energy,data.Total industrial,598542
2017,data.Terajoules,data.Ontario,data.Total primary and secondary energy,data.Total industrial,602357
2018,data.Terajoules,data.Ontario,data.Total primary and secondary energy,data.Total industrial,600320
2019,data.Terajoules,data.Ontario,data.Total primary and secondary energy,data.Total industrial,579423
2015,data.Terajoules,data.Ontario,data.Total primary and secondary energy,data.Total transportation,880094
2016,data.Terajoules,data.Ontario,data.Total primary and secondary energy,data.Total transportation,867290
2017,data.Terajoules,data.Ontario,data.Total primary and secondary energy,data.Total transportation,879120
2018,data.Terajoules,data.Ontario,data.Total primary and secondary energy,data.Total transportation,908358
2019,data.Terajoules,data.Ontario,data.Total primary and secondary energy,data.Total transportation,916724
2015,data.Terajoules,data.Ontario,data.Total primary and secondary energy,data.Agriculture,61013
2016,data.Terajoules,data.Ontario,data.Total primary and secondary energy,data.Agriculture,61738
2017,data.Terajoules,data.Ontario,data.Total primary and secondary energy,data.Agriculture,59863
2018,data.Terajoules,data.Ontario,data.Total primary and secondary energy,data.Agriculture,62508
2019,data.Terajoules,data.Ontario,data.Total primary and secondary energy,data.Agriculture,62531
2015,data.Terajoules,data.Ontario,data.Total primary and secondary energy,data.Residential,559195
2016,data.Terajoules,data.Ontario,data.Total primary and secondary energy,data.Residential,527371
2017,data.Terajoules,data.Ontario,data.Total primary and secondary energy,data.Residential,537619
2018,data.Terajoules,data.Ontario,data.Total primary and secondary energy,data.Residential,564545
2019,data.Terajoules,data.Ontario,data.Total primary and secondary energy,data.Residential,554885
2015,data.Terajoules,data.Ontario,data.Total primary and secondary energy,data.Public administration,25947
2016,data.Terajoules,data.Ontario,data.Total primary and secondary energy,data.Public administration,26203
2017,data.Terajoules,data.Ontario,data.Total primary and secondary energy,data.Public administration,25714
2018,data.Terajoules,data.Ontario,data.Total primary and secondary energy,data.Public administration,28345
2019,data.Terajoules,data.Ontario,data.Total primary and secondary energy,data.Public administration,29904
2015,data.Terajoules,data.Ontario,data.Total primary and secondary energy,data.Commercial and other institutional,415246
2016,data.Terajoules,data.Ontario,data.Total primary and secondary energy,data.Commercial and other institutional,402874
2017,data.Terajoules,data.Ontario,data.Total primary and secondary energy,data.Commercial and other institutional,438254
2018,data.Terajoules,data.Ontario,data.Total primary and secondary energy,data.Commercial and other institutional,460979
2019,data.Terajoules,data.Ontario,data.Total primary and secondary energy,data.Commercial and other institutional,467404
2015,data.Terajoules,data.Ontario,data.Total coal,data.Energy use - final demand,
2016,data.Terajoules,data.Ontario,data.Total coal,data.Energy use - final demand,15958
2017,data.Terajoules,data.Ontario,data.Total coal,data.Energy use - final demand,18022
2018,data.Terajoules,data.Ontario,data.Total coal,data.Energy use - final demand,18259
2019,data.Terajoules,data.Ontario,data.Total coal,data.Energy use - final demand,17955
2015,data.Terajoules,data.Ontario,data.Total coal,data.Total industrial,
2016,data.Terajoules,data.Ontario,data.Total coal,data.Total industrial,15958
2017,data.Terajoules,data.Ontario,data.Total coal,data.Total industrial,18022
2018,data.Terajoules,data.Ontario,data.Total coal,data.Total industrial,18259
2019,data.Terajoules,data.Ontario,data.Total coal,data.Total industrial,17955
2015,data.Terajoules,data.Ontario,data.Natural gas,data.Energy use - final demand,895667
2016,data.Terajoules,data.Ontario,data.Natural gas,data.Energy use - final demand,853678
2017,data.Terajoules,data.Ontario,data.Natural gas,data.Energy use - final demand,875863
2018,data.Terajoules,data.Ontario,data.Natural gas,data.Energy use - final demand,911297
2019,data.Terajoules,data.Ontario,data.Natural gas,data.Energy use - final demand,914560
2015,data.Terajoules,data.Ontario,data.Natural gas,data.Total industrial,247715
2016,data.Terajoules,data.Ontario,data.Natural gas,data.Total industrial,253336
2017,data.Terajoules,data.Ontario,data.Natural gas,data.Total industrial,258142
2018,data.Terajoules,data.Ontario,data.Natural gas,data.Total industrial,248184
2019,data.Terajoules,data.Ontario,data.Natural gas,data.Total industrial,245103
2015,data.Terajoules,data.Ontario,data.Natural gas,data.Total transportation,31327
2016,data.Terajoules,data.Ontario,data.Natural gas,data.Total transportation,23931
2017,data.Terajoules,data.Ontario,data.Natural gas,data.Total transportation,18323
2018,data.Terajoules,data.Ontario,data.Natural gas,data.Total transportation,20279
2019,data.Terajoules,data.Ontario,data.Natural gas,data.Total transportation,19030
2015,data.Terajoules,data.Ontario,data.Natural gas,data.Agriculture,22656
2016,data.Terajoules,data.Ontario,data.Natural gas,data.Agriculture,22103
2017,data.Terajoules,data.Ontario,data.Natural gas,data.Agriculture,19188
2018,data.Terajoules,data.Ontario,data.Natural gas,data.Agriculture,21394
2019,data.Terajoules,data.Ontario,data.Natural gas,data.Agriculture,23140
2015,data.Terajoules,data.Ontario,data.Natural gas,data.Residential,362719
2016,data.Terajoules,data.Ontario,data.Natural gas,data.Residential,339132
2017,data.Terajoules,data.Ontario,data.Natural gas,data.Residential,356090
2018,data.Terajoules,data.Ontario,data.Natural gas,data.Residential,383455
2019,data.Terajoules,data.Ontario,data.Natural gas,data.Residential,379143
2015,data.Terajoules,data.Ontario,data.Natural gas,data.Public administration,4586
2016,data.Terajoules,data.Ontario,data.Natural gas,data.Public administration,4284
2017,data.Terajoules,data.Ontario,data.Natural gas,data.Public administration,4848
2018,data.Terajoules,data.Ontario,data.Natural gas,data.Public administration,5769
2019,data.Terajoules,data.Ontario,data.Natural gas,data.Public administration,6684
2015,data.Terajoules,data.Ontario,data.Natural gas,data.Commercial and other institutional,226663
2016,data.Terajoules,data.Ontario,data.Natural gas,data.Commercial and other institutional,210893
2017,data.Terajoules,data.Ontario,data.Natural gas,data.Commercial and other institutional,219272
2018,data.Terajoules,data.Ontario,data.Natural gas,data.Commercial and other institutional,232216
2019,data.Terajoules,data.Ontario,data.Natural gas,data.Commercial and other institutional,241461
2015,data.Terajoules,data.Ontario,data.Gas plant natural gas liquids (NGL's),data.Energy use - final demand,35315
2016,data.Terajoules,data.Ontario,data.Gas plant natural gas liquids (NGL's),data.Energy use - final demand,48422
2017,data.Terajoules,data.Ontario,data.Gas plant natural gas liquids (NGL's),data.Energy use - final demand,49657
2018,data.Terajoules,data.Ontario,data.Gas plant natural gas liquids (NGL's),data.Energy use - final demand,37277
2019,data.Terajoules,data.Ontario,data.Gas plant natural gas liquids (NGL's),data.Energy use - final demand,37629
2015,data.Terajoules,data.Ontario,data.Gas plant natural gas liquids (NGL's),data.Total industrial,7498
2016,data.Terajoules,data.Ontario,data.Gas plant natural gas liquids (NGL's),data.Total industrial,9333
2017,data.Terajoules,data.Ontario,data.Gas plant natural gas liquids (NGL's),data.Total industrial,9775
2018,data.Terajoules,data.Ontario,data.Gas plant natural gas liquids (NGL's),data.Total industrial,7850
2019,data.Terajoules,data.Ontario,data.Gas plant natural gas liquids (NGL's),data.Total industrial,7863
2015,data.Terajoules,data.Ontario,data.Gas plant natural gas liquids (NGL's),data.Total transportation,5214
2016,data.Terajoules,data.Ontario,data.Gas plant natural gas liquids (NGL's),data.Total transportation,7241
2017,data.Terajoules,data.Ontario,data.Gas plant natural gas liquids (NGL's),data.Total transportation,7208
2018,data.Terajoules,data.Ontario,data.Gas plant natural gas liquids (NGL's),data.Total transportation,5318
2019,data.Terajoules,data.Ontario,data.Gas plant natural gas liquids (NGL's),data.Total transportation,5379
2015,data.Terajoules,data.Ontario,data.Gas plant natural gas liquids (NGL's),data.Agriculture,3129
2016,data.Terajoules,data.Ontario,data.Gas plant natural gas liquids (NGL's),data.Agriculture,4346
2017,data.Terajoules,data.Ontario,data.Gas plant natural gas liquids (NGL's),data.Agriculture,4325
2018,data.Terajoules,data.Ontario,data.Gas plant natural gas liquids (NGL's),data.Agriculture,3191
2019,data.Terajoules,data.Ontario,data.Gas plant natural gas liquids (NGL's),data.Agriculture,3228
2015,data.Terajoules,data.Ontario,data.Gas plant natural gas liquids (NGL's),data.Residential,8143
2016,data.Terajoules,data.Ontario,data.Gas plant natural gas liquids (NGL's),data.Residential,11309
2017,data.Terajoules,data.Ontario,data.Gas plant natural gas liquids (NGL's),data.Residential,11532
2018,data.Terajoules,data.Ontario,data.Gas plant natural gas liquids (NGL's),data.Residential,8509
2019,data.Terajoules,data.Ontario,data.Gas plant natural gas liquids (NGL's),data.Residential,8607
2015,data.Terajoules,data.Ontario,data.Gas plant natural gas liquids (NGL's),data.Public administration,
2016,data.Terajoules,data.Ontario,data.Gas plant natural gas liquids (NGL's),data.Public administration,
2015,data.Terajoules,data.Ontario,data.Gas plant natural gas liquids (NGL's),data.Commercial and other institutional,11661
2016,data.Terajoules,data.Ontario,data.Gas plant natural gas liquids (NGL's),data.Commercial and other institutional,16193
2017,data.Terajoules,data.Ontario,data.Gas plant natural gas liquids (NGL's),data.Commercial and other institutional,16338
2018,data.Terajoules,data.Ontario,data.Gas plant natural gas liquids (NGL's),data.Commercial and other institutional,12054
2019,data.Terajoules,data.Ontario,data.Gas plant natural gas liquids (NGL's),data.Commercial and other institutional,12194
2015,data.Terajoules,data.Ontario,data.Hydroelectricity,data.Energy use - final demand,137459
2016,data.Terajoules,data.Ontario,data.Hydroelectricity,data.Energy use - final demand,139898
2017,data.Terajoules,data.Ontario,data.Hydroelectricity,data.Energy use - final demand,153036
2018,data.Terajoules,data.Ontario,data.Hydroelectricity,data.Energy use - final demand,153104
2019,data.Terajoules,data.Ontario,data.Hydroelectricity,data.Energy use - final demand,143380
2015,data.Terajoules,data.Ontario,data.Hydroelectricity,data.Total industrial,39985
2016,data.Terajoules,data.Ontario,data.Hydroelectricity,data.Total industrial,42280
2017,data.Terajoules,data.Ontario,data.Hydroelectricity,data.Total industrial,43463
2018,data.Terajoules,data.Ontario,data.Hydroelectricity,data.Total industrial,43990
2019,data.Terajoules,data.Ontario,data.Hydroelectricity,data.Total industrial,40064
2015,data.Terajoules,data.Ontario,data.Hydroelectricity,data.Total transportation,540
2016,data.Terajoules,data.Ontario,data.Hydroelectricity,data.Total transportation,562
2017,data.Terajoules,data.Ontario,data.Hydroelectricity,data.Total transportation,590
