Year,Units,Geography,Offences,Age,Sex,Value
2017/2018,Adult criminal courts,Ontario,Administration of justice,18 to 24 years,Males,97
2018/2019,Adult criminal courts,Ontario,Administration of justice,18 to 24 years,Males,110
2014/2015,Adult criminal courts,Ontario,Administration of justice,18 to 24 years,Females,78
2015/2016,Adult criminal courts,Ontario,Administration of justice,18 to 24 years,Females,81
2016/2017,Adult criminal courts,Ontario,Administration of justice,18 to 24 years,Females,96
2017/2018,Adult criminal courts,Ontario,Administration of justice,18 to 24 years,Females,90
2018/2019,Adult criminal courts,Ontario,Administration of justice,18 to 24 years,Females,106
2014/2015,Adult criminal courts,Ontario,Administration of justice,18 to 24 years,Sex unknown,54
2015/2016,Adult criminal courts,Ontario,Administration of justice,18 to 24 years,Sex unknown,60
2016/2017,Adult criminal courts,Ontario,Administration of justice,18 to 24 years,Sex unknown,64
2017/2018,Adult criminal courts,Ontario,Administration of justice,18 to 24 years,Sex unknown,232
2018/2019,Adult criminal courts,Ontario,Administration of justice,18 to 24 years,Sex unknown,181
2014/2015,Adult criminal courts,Ontario,Administration of justice,25 to 34 years,Total,67
2015/2016,Adult criminal courts,Ontario,Administration of justice,25 to 34 years,Total,66
2016/2017,Adult criminal courts,Ontario,Administration of justice,25 to 34 years,Total,75
2017/2018,Adult criminal courts,Ontario,Administration of justice,25 to 34 years,Total,77
2018/2019,Adult criminal courts,Ontario,Administration of justice,25 to 34 years,Total,80
2014/2015,Adult criminal courts,Ontario,Administration of justice,25 to 34 years,Males,64
2015/2016,Adult criminal courts,Ontario,Administration of justice,25 to 34 years,Males,64
2016/2017,Adult criminal courts,Ontario,Administration of justice,25 to 34 years,Males,74
2017/2018,Adult criminal courts,Ontario,Administration of justice,25 to 34 years,Males,77
2018/2019,Adult criminal courts,Ontario,Administration of justice,25 to 34 years,Males,77
2014/2015,Adult criminal courts,Ontario,Administration of justice,25 to 34 years,Females,80
2015/2016,Adult criminal courts,Ontario,Administration of justice,25 to 34 years,Females,78
2016/2017,Adult criminal courts,Ontario,Administration of justice,25 to 34 years,Females,78
2017/2018,Adult criminal courts,Ontario,Administration of justice,25 to 34 years,Females,80
2018/2019,Adult criminal courts,Ontario,Administration of justice,25 to 34 years,Females,93
2014/2015,Adult criminal courts,Ontario,Administration of justice,25 to 34 years,Sex unknown,110
2015/2016,Adult criminal courts,Ontario,Administration of justice,25 to 34 years,Sex unknown,72
2016/2017,Adult criminal courts,Ontario,Administration of justice,25 to 34 years,Sex unknown,90
2017/2018,Adult criminal courts,Ontario,Administration of justice,25 to 34 years,Sex unknown,103
2018/2019,Adult criminal courts,Ontario,Administration of justice,25 to 34 years,Sex unknown,64
2014/2015,Adult criminal courts,Ontario,Administration of justice,35 to 44 years,Total,61
2015/2016,Adult criminal courts,Ontario,Administration of justice,35 to 44 years,Total,64
2016/2017,Adult criminal courts,Ontario,Administration of justice,35 to 44 years,Total,72
2017/2018,Adult criminal courts,Ontario,Administration of justice,35 to 44 years,Total,73
2018/2019,Adult criminal courts,Ontario,Administration of justice,35 to 44 years,Total,76
2014/2015,Adult criminal courts,Ontario,Administration of justice,35 to 44 years,Males,59
2015/2016,Adult criminal courts,Ontario,Administration of justice,35 to 44 years,Males,61
2016/2017,Adult criminal courts,Ontario,Administration of justice,35 to 44 years,Males,70
2017/2018,Adult criminal courts,Ontario,Administration of justice,35 to 44 years,Males,67
2018/2019,Adult criminal courts,Ontario,Administration of justice,35 to 44 years,Males,70
2014/2015,Adult criminal courts,Ontario,Administration of justice,35 to 44 years,Females,71
2015/2016,Adult criminal courts,Ontario,Administration of justice,35 to 44 years,Females,72
2016/2017,Adult criminal courts,Ontario,Administration of justice,35 to 44 years,Females,80
2017/2018,Adult criminal courts,Ontario,Administration of justice,35 to 44 years,Females,97
2018/2019,Adult criminal courts,Ontario,Administration of justice,35 to 44 years,Females,94
2014/2015,Adult criminal courts,Ontario,Administration of justice,35 to 44 years,Sex unknown,9
2015/2016,Adult criminal courts,Ontario,Administration of justice,35 to 44 years,Sex unknown,173
2016/2017,Adult criminal courts,Ontario,Administration of justice,35 to 44 years,Sex unknown,34
2017/2018,Adult criminal courts,Ontario,Administration of justice,35 to 44 years,Sex unknown,31
2018/2019,Adult criminal courts,Ontario,Administration of justice,35 to 44 years,Sex unknown,22
2014/2015,Adult criminal courts,Ontario,Administration of justice,45 to 54 years,Total,62
2015/2016,Adult criminal courts,Ontario,Administration of justice,45 to 54 years,Total,71
2016/2017,Adult criminal courts,Ontario,Administration of justice,45 to 54 years,Total,72
2017/2018,Adult criminal courts,Ontario,Administration of justice,45 to 54 years,Total,71
2018/2019,Adult criminal courts,Ontario,Administration of justice,45 to 54 years,Total,85
2014/2015,Adult criminal courts,Ontario,Administration of justice,45 to 54 years,Males,57
2015/2016,Adult criminal courts,Ontario,Administration of justice,45 to 54 years,Males,70
2016/2017,Adult criminal courts,Ontario,Administration of justice,45 to 54 years,Males,68
2017/2018,Adult criminal courts,Ontario,Administration of justice,45 to 54 years,Males,69
2018/2019,Adult criminal courts,Ontario,Administration of justice,45 to 54 years,Males,82
2014/2015,Adult criminal courts,Ontario,Administration of justice,45 to 54 years,Females,79
2015/2016,Adult criminal courts,Ontario,Administration of justice,45 to 54 years,Females,85
2016/2017,Adult criminal courts,Ontario,Administration of justice,45 to 54 years,Females,92
2017/2018,Adult criminal courts,Ontario,Administration of justice,45 to 54 years,Females,85
2018/2019,Adult criminal courts,Ontario,Administration of justice,45 to 54 years,Females,93
2014/2015,Adult criminal courts,Ontario,Administration of justice,45 to 54 years,Sex unknown,152
2015/2016,Adult criminal courts,Ontario,Administration of justice,45 to 54 years,Sex unknown,322
2016/2017,Adult criminal courts,Ontario,Administration of justice,45 to 54 years,Sex unknown,51
2017/2018,Adult criminal courts,Ontario,Administration of justice,45 to 54 years,Sex unknown,9
2018/2019,Adult criminal courts,Ontario,Administration of justice,45 to 54 years,Sex unknown,60
2014/2015,Adult criminal courts,Ontario,Administration of justice,55 years and over,Total,58
2015/2016,Adult criminal courts,Ontario,Administration of justice,55 years and over,Total,70
2016/2017,Adult criminal courts,Ontario,Administration of justice,55 years and over,Total,78
2017/2018,Adult criminal courts,Ontario,Administration of justice,55 years and over,Total,71
2018/2019,Adult criminal courts,Ontario,Administration of justice,55 years and over,Total,92
2014/2015,Adult criminal courts,Ontario,Administration of justice,55 years and over,Males,57
2015/2016,Adult criminal courts,Ontario,Administration of justice,55 years and over,Males,70
2016/2017,Adult criminal courts,Ontario,Administration of justice,55 years and over,Males,76
2017/2018,Adult criminal courts,Ontario,Administration of justice,55 years and over,Males,67
2018/2019,Adult criminal courts,Ontario,Administration of justice,55 years and over,Males,83
2014/2015,Adult criminal courts,Ontario,Administration of justice,55 years and over,Females,72
2015/2016,Adult criminal courts,Ontario,Administration of justice,55 years and over,Females,71
2016/2017,Adult criminal courts,Ontario,Administration of justice,55 years and over,Females,84
2017/2018,Adult criminal courts,Ontario,Administration of justice,55 years and over,Females,96
2018/2019,Adult criminal courts,Ontario,Administration of justice,55 years and over,Females,114
2014/2015,Adult criminal courts,Ontario,Administration of justice,55 years and over,Sex unknown,55
2015/2016,Adult criminal courts,Ontario,Administration of justice,55 years and over,Sex unknown,24
2016/2017,Adult criminal courts,Ontario,Administration of justice,55 years and over,Sex unknown,174
2017/2018,Adult criminal courts,Ontario,Administration of justice,55 years and over,Sex unknown,0
2018/2019,Adult criminal courts,Ontario,Administration of justice,55 years and over,Sex unknown,84
2014/2015,Adult criminal courts,Ontario,Criminal Code traffic,Total,Total,122
2015/2016,Adult criminal courts,Ontario,Criminal Code traffic,Total,Total,127
2016/2017,Adult criminal courts,Ontario,Criminal Code traffic,Total,Total,141
2017/2018,Adult criminal courts,Ontario,Criminal Code traffic,Total,Total,142
2018/2019,Adult criminal courts,Ontario,Criminal Code traffic,Total,Total,137
2014/2015,Adult criminal courts,Ontario,Criminal Code traffic,Total,Males,129
2015/2016,Adult criminal courts,Ontario,Criminal Code traffic,Total,Males,133
2016/2017,Adult criminal courts,Ontario,Criminal Code traffic,Total,Males,145
2017/2018,Adult criminal courts,Ontario,Criminal Code traffic,Total,Males,147
2018/2019,Adult criminal courts,Ontario,Criminal Code traffic,Total,Males,144
2014/2015,Adult criminal courts,Ontario,Criminal Code traffic,Total,Females,91
2015/2016,Adult criminal courts,Ontario,Criminal Code traffic,Total,Females,92
2016/2017,Adult criminal courts,Ontario,Criminal Code traffic,Total,Females,122
2017/2018,Adult criminal courts,Ontario,Criminal Code traffic,Total,Females,126
2018/2019,Adult criminal courts,Ontario,Criminal Code traffic,Total,Females,110
2014/2015,Adult criminal courts,Ontario,Criminal Code traffic,Total,Company,0
2015/2016,Adult criminal courts,Ontario,Criminal Code traffic,Total,Company,0
2016/2017,Adult criminal courts,Ontario,Criminal Code traffic,Total,Company,0
2017/2018,Adult criminal courts,Ontario,Criminal Code traffic,Total,Company,0
2018/2019,Adult criminal courts,Ontario,Criminal Code traffic,Total,Company,0
2014/2015,Adult criminal courts,Ontario,Criminal Code traffic,Total,Sex unknown,410
2015/2016,Adult criminal courts,Ontario,Criminal Code traffic,Total,Sex unknown,43
2016/2017,Adult criminal courts,Ontario,Criminal Code traffic,Total,Sex unknown,123
2017/2018,Adult criminal courts,Ontario,Criminal Code traffic,Total,Sex unknown,315
2018/2019,Adult criminal courts,Ontario,Criminal Code traffic,Total,Sex unknown,123
2014/2015,Adult criminal courts,Ontario,Criminal Code traffic,18 to 24 years,Total,118
2015/2016,Adult criminal courts,Ontario,Criminal Code traffic,18 to 24 years,Total,129
2016/2017,Adult criminal courts,Ontario,Criminal Code traffic,18 to 24 years,Total,135
2017/2018,Adult criminal courts,Ontario,Criminal Code traffic,18 to 24 years,Total,141
2018/2019,Adult criminal courts,Ontario,Criminal Code traffic,18 to 24 years,Total,152
2014/2015,Adult criminal courts,Ontario,Criminal Code traffic,18 to 24 years,Males,120
2015/2016,Adult criminal courts,Ontario,Criminal Code traffic,18 to 24 years,Males,131
2016/2017,Adult criminal courts,Ontario,Criminal Code traffic,18 to 24 years,Males,134
2017/2018,Adult criminal courts,Ontario,Criminal Code traffic,18 to 24 years,Males,141
2018/2019,Adult criminal courts,Ontario,Criminal Code traffic,18 to 24 years,Males,151
2014/2015,Adult criminal courts,Ontario,Criminal Code traffic,18 to 24 years,Females,104
2015/2016,Adult criminal courts,Ontario,Criminal Code traffic,18 to 24 years,Females,109
2016/2017,Adult criminal courts,Ontario,Criminal Code traffic,18 to 24 years,Females,143
2017/2018,Adult criminal courts,Ontario,Criminal Code traffic,18 to 24 years,Females,141
2018/2019,Adult criminal courts,Ontario,Criminal Code traffic,18 to 24 years,Females,154
2014/2015,Adult criminal courts,Ontario,Criminal Code traffic,18 to 24 years,Sex unknown,1156
2015/2016,Adult criminal courts,Ontario,Criminal Code traffic,18 to 24 years,Sex unknown,1
2016/2017,Adult criminal courts,Ontario,Criminal Code traffic,18 to 24 years,Sex unknown,119
2017/2018,Adult criminal courts,Ontario,Criminal Code traffic,18 to 24 years,Sex unknown,0
2018/2019,Adult criminal courts,Ontario,Criminal Code traffic,18 to 24 years,Sex unknown,0
2014/2015,Adult criminal courts,Ontario,Criminal Code traffic,25 to 34 years,Total,148
2015/2016,Adult criminal courts,Ontario,Criminal Code traffic,25 to 34 years,Total,148
2016/2017,Adult criminal courts,Ontario,Criminal Code traffic,25 to 34 years,Total,155
2017/2018,Adult criminal courts,Ontario,Criminal Code traffic,25 to 34 years,Total,155
2018/2019,Adult criminal courts,Ontario,Criminal Code traffic,25 to 34 years,Total,152
2014/2015,Adult criminal courts,Ontario,Criminal Code traffic,25 to 34 years,Males,157
2015/2016,Adult criminal courts,Ontario,Criminal Code traffic,25 to 34 years,Males,154
2016/2017,Adult criminal courts,Ontario,Criminal Code traffic,25 to 34 years,Males,159
2017/2018,Adult criminal courts,Ontario,Criminal Code traffic,25 to 34 years,Males,155
2018/2019,Adult criminal courts,Ontario,Criminal Code traffic,25 to 34 years,Males,158
2014/2015,Adult criminal courts,Ontario,Criminal Code traffic,25 to 34 years,Females,108
2015/2016,Adult criminal courts,Ontario,Criminal Code traffic,25 to 34 years,Females,125
2016/2017,Adult criminal courts,Ontario,Criminal Code traffic,25 to 34 years,Females,148
2017/2018,Adult criminal courts,Ontario,Criminal Code traffic,25 to 34 years,Females,154
2018/2019,Adult criminal courts,Ontario,Criminal Code traffic,25 to 34 years,Females,131
2014/2015,Adult criminal courts,Ontario,Criminal Code traffic,25 to 34 years,Sex unknown,675
2015/2016,Adult criminal courts,Ontario,Criminal Code traffic,25 to 34 years,Sex unknown,282
2016/2017,Adult criminal courts,Ontario,Criminal Code traffic,25 to 34 years,Sex unknown,206
2017/2018,Adult criminal courts,Ontario,Criminal Code traffic,25 to 34 years,Sex unknown,0
2018/2019,Adult criminal courts,Ontario,Criminal Code traffic,25 to 34 years,Sex unknown,9566
2014/2015,Adult criminal courts,Ontario,Criminal Code traffic,35 to 44 years,Total,141
2015/2016,Adult criminal courts,Ontario,Criminal Code traffic,35 to 44 years,Total,131
2016/2017,Adult criminal courts,Ontario,Criminal Code traffic,35 to 44 years,Total,162
2017/2018,Adult criminal courts,Ontario,Criminal Code traffic,35 to 44 years,Total,155
2018/2019,Adult criminal courts,Ontario,Criminal Code traffic,35 to 44 years,Total,146
2014/2015,Adult criminal courts,Ontario,Criminal Code traffic,35 to 44 years,Males,148
2015/2016,Adult criminal courts,Ontario,Criminal Code traffic,35 to 44 years,Males,141
2016/2017,Adult criminal courts,Ontario,Criminal Code traffic,35 to 44 years,Males,166
2017/2018,Adult criminal courts,Ontario,Criminal Code traffic,35 to 44 years,Males,162
2018/2019,Adult criminal courts,Ontario,Criminal Code traffic,35 to 44 years,Males,148
2014/2015,Adult criminal courts,Ontario,Criminal Code traffic,35 to 44 years,Females,93
2015/2016,Adult criminal courts,Ontario,Criminal Code traffic,35 to 44 years,Females,92
2016/2017,Adult criminal courts,Ontario,Criminal Code traffic,35 to 44 years,Females,146
2017/2018,Adult criminal courts,Ontario,Criminal Code traffic,35 to 44 years,Females,127
2018/2019,Adult criminal courts,Ontario,Criminal Code traffic,35 to 44 years,Females,126
2014/2015,Adult criminal courts,Ontario,Criminal Code traffic,35 to 44 years,Sex unknown,0
2015/2016,Adult criminal courts,Ontario,Criminal Code traffic,35 to 44 years,Sex unknown,43
2016/2017,Adult criminal courts,Ontario,Criminal Code traffic,35 to 44 years,Sex unknown,311
2017/2018,Adult criminal courts,Ontario,Criminal Code traffic,35 to 44 years,Sex unknown,177
2018/2019,Adult criminal courts,Ontario,Criminal Code traffic,35 to 44 years,Sex unknown,43
2014/2015,Adult criminal courts,Ontario,Criminal Code traffic,45 to 54 years,Total,116
2015/2016,Adult criminal courts,Ontario,Criminal Code traffic,45 to 54 years,Total,120
2016/2017,Adult criminal courts,Ontario,Criminal Code traffic,45 to 54 years,Total,148
2017/2018,Adult criminal courts,Ontario,Criminal Code traffic,45 to 54 years,Total,157
2018/2019,Adult criminal courts,Ontario,Criminal Code traffic,45 to 54 years,Total,147
2014/2015,Adult criminal courts,Ontario,Criminal Code traffic,45 to 54 years,Males,126
2015/2016,Adult criminal courts,Ontario,Criminal Code traffic,45 to 54 years,Males,130
2016/2017,Adult criminal courts,Ontario,Criminal Code traffic,45 to 54 years,Males,158
2017/2018,Adult criminal courts,Ontario,Criminal Code traffic,45 to 54 years,Males,165
2018/2019,Adult criminal courts,Ontario,Criminal Code traffic,45 to 54 years,Males,162
2014/2015,Adult criminal courts,Ontario,Criminal Code traffic,45 to 54 years,Females,78
2015/2016,Adult criminal courts,Ontario,Criminal Code traffic,45 to 54 years,Females,72
2016/2017,Adult criminal courts,Ontario,Criminal Code traffic,45 to 54 years,Females,94
2017/2018,Adult criminal courts,Ontario,Criminal Code traffic,45 to 54 years,Females,121
2018/2019,Adult criminal courts,Ontario,Criminal Code traffic,45 to 54 years,Females,98
2014/2015,Adult criminal courts,Ontario,Criminal Code traffic,45 to 54 years,Sex unknown,29
2015/2016,Adult criminal courts,Ontario,Criminal Code traffic,45 to 54 years,Sex unknown,271
2016/2017,Adult criminal courts,Ontario,Criminal Code traffic,45 to 54 years,Sex unknown,29
2017/2018,Adult criminal courts,Ontario,Criminal Code traffic,45 to 54 years,Sex unknown,351
2018/2019,Adult criminal courts,Ontario,Criminal Code traffic,45 to 54 years,Sex unknown,0
2014/2015,Adult criminal courts,Ontario,Criminal Code traffic,55 years and over,Total,75
2015/2016,Adult criminal courts,Ontario,Criminal Code traffic,55 years and over,Total,78
2016/2017,Adult criminal courts,Ontario,Criminal Code traffic,55 years and over,Total,88
2017/2018,Adult criminal courts,Ontario,Criminal Code traffic,55 years and over,Total,92
2018/2019,Adult criminal courts,Ontario,Criminal Code traffic,55 years and over,Total,83
2014/2015,Adult criminal courts,Ontario,Criminal Code traffic,55 years and over,Males,78
2015/2016,Adult criminal courts,Ontario,Criminal Code traffic,55 years and over,Males,85
2016/2017,Adult criminal courts,Ontario,Criminal Code traffic,55 years and over,Males,94
2017/2018,Adult criminal courts,Ontario,Criminal Code traffic,55 years and over,Males,102
2018/2019,Adult criminal courts,Ontario,Criminal Code traffic,55 years and over,Males,92
2014/2015,Adult criminal courts,Ontario,Criminal Code traffic,55 years and over,Females,50
2015/2016,Adult criminal courts,Ontario,Criminal Code traffic,55 years and over,Females,64
2016/2017,Adult criminal courts,Ontario,Criminal Code traffic,55 years and over,Females,64
2017/2018,Adult criminal courts,Ontario,Criminal Code traffic,55 years and over,Females,57
2018/2019,Adult criminal courts,Ontario,Criminal Code traffic,55 years and over,Females,57
2014/2015,Adult criminal courts,Ontario,Criminal Code traffic,55 years and over,Sex unknown,144
2015/2016,Adult criminal courts,Ontario,Criminal Code traffic,55 years and over,Sex unknown,15
2016/2017,Adult criminal courts,Ontario,Criminal Code traffic,55 years and over,Sex unknown,15
2017/2018,Adult criminal courts,Ontario,Criminal Code traffic,55 years and over,Sex unknown,0
2018/2019,Adult criminal courts,Ontario,Criminal Code traffic,55 years and over,Sex unknown,26
2014/2015,Adult criminal courts,Manitoba,Total offences,Total,Total,154
2015/2016,Adult criminal courts,Manitoba,Total offences,Total,Total,148
2016/2017,Adult criminal courts,Manitoba,Total offences,Total,Total,149
2017/2018,Adult criminal courts,Manitoba,Total offences,Total,Total,145
2018/2019,Adult criminal courts,Manitoba,Total offences,Total,Total,140
2014/2015,Adult criminal courts,Manitoba,Total offences,Total,Males,
2015/2016,Adult criminal courts,Manitoba,Total offences,Total,Males,
2016/2017,Adult criminal courts,Manitoba,Total offences,Total,Males,
2017/2018,Adult criminal courts,Manitoba,Total offences,Total,Males,
2018/2019,Adult criminal courts,Manitoba,Total offences,Total,Males,
2014/2015,Adult criminal courts,Manitoba,Total offences,Total,Females,
2015/2016,Adult criminal courts,Manitoba,Total offences,Total,Females,
2016/2017,Adult criminal courts,Manitoba,Total offences,Total,Females,
2017/2018,Adult criminal courts,Manitoba,Total offences,Total,Females,
2018/2019,Adult criminal courts,Manitoba,Total offences,Total,Females,
2014/2015,Adult criminal courts,Manitoba,Total offences,Total,Company,620
2015/2016,Adult criminal courts,Manitoba,Total offences,Total,Company,806
2016/2017,Adult criminal courts,Manitoba,Total offences,Total,Company,372
2017/2018,Adult criminal courts,Manitoba,Total offences,Total,Company,92
2018/2019,Adult criminal courts,Manitoba,Total offences,Total,Company,410
2014/2015,Adult criminal courts,Manitoba,Total offences,Total,Sex unknown,154
2015/2016,Adult criminal courts,Manitoba,Total offences,Total,Sex unknown,148
2016/2017,Adult criminal courts,Manitoba,Total offences,Total,Sex unknown,149
2017/2018,Adult criminal courts,Manitoba,Total offences,Total,Sex unknown,145
2018/2019,Adult criminal courts,Manitoba,Total offences,Total,Sex unknown,140
2014/2015,Adult criminal courts,Manitoba,Total offences,18 to 24 years,Total,156
2015/2016,Adult criminal courts,Manitoba,Total offences,18 to 24 years,Total,147
2016/2017,Adult criminal courts,Manitoba,Total offences,18 to 24 years,Total,157
2017/2018,Adult criminal courts,Manitoba,Total offences,18 to 24 years,Total,155
2018/2019,Adult criminal courts,Manitoba,Total offences,18 to 24 years,Total,154
2014/2015,Adult criminal courts,Manitoba,Total offences,18 to 24 years,Males,
2015/2016,Adult criminal courts,Manitoba,Total offences,18 to 24 years,Males,
2016/2017,Adult criminal courts,Manitoba,Total offences,18 to 24 years,Males,
2017/2018,Adult criminal courts,Manitoba,Total offences,18 to 24 years,Males,
2018/2019,Adult criminal courts,Manitoba,Total offences,18 to 24 years,Males,
2014/2015,Adult criminal courts,Manitoba,Total offences,18 to 24 years,Females,
2015/2016,Adult criminal courts,Manitoba,Total offences,18 to 24 years,Females,
2016/2017,Adult criminal courts,Manitoba,Total offences,18 to 24 years,Females,
2017/2018,Adult criminal courts,Manitoba,Total offences,18 to 24 years,Females,
2018/2019,Adult criminal courts,Manitoba,Total offences,18 to 24 years,Females,
2014/2015,Adult criminal courts,Manitoba,Total offences,18 to 24 years,Sex unknown,156
2015/2016,Adult criminal courts,Manitoba,Total offences,18 to 24 years,Sex unknown,147
2016/2017,Adult criminal courts,Manitoba,Total offences,18 to 24 years,Sex unknown,157
2017/2018,Adult criminal courts,Manitoba,Total offences,18 to 24 years,Sex unknown,155
2018/2019,Adult criminal courts,Manitoba,Total offences,18 to 24 years,Sex unknown,154
2014/2015,Adult criminal courts,Manitoba,Total offences,25 to 34 years,Total,148
2015/2016,Adult criminal courts,Manitoba,Total offences,25 to 34 years,Total,148
2016/2017,Adult criminal courts,Manitoba,Total offences,25 to 34 years,Total,142
2017/2018,Adult criminal courts,Manitoba,Total offences,25 to 34 years,Total,138
2018/2019,Adult criminal courts,Manitoba,Total offences,25 to 34 years,Total,138
2014/2015,Adult criminal courts,Manitoba,Total offences,25 to 34 years,Males,
2015/2016,Adult criminal courts,Manitoba,Total offences,25 to 34 years,Males,
2016/2017,Adult criminal courts,Manitoba,Total offences,25 to 34 years,Males,
2017/2018,Adult criminal courts,Manitoba,Total offences,25 to 34 years,Males,
2018/2019,Adult criminal courts,Manitoba,Total offences,25 to 34 years,Males,
2014/2015,Adult criminal courts,Manitoba,Total offences,25 to 34 years,Females,
2015/2016,Adult criminal courts,Manitoba,Total offences,25 to 34 years,Females,
2016/2017,Adult criminal courts,Manitoba,Total offences,25 to 34 years,Females,
2017/2018,Adult criminal courts,Manitoba,Total offences,25 to 34 years,Females,
2018/2019,Adult criminal courts,Manitoba,Total offences,25 to 34 years,Females,
2014/2015,Adult criminal courts,Manitoba,Total offences,25 to 34 years,Sex unknown,148
2015/2016,Adult criminal courts,Manitoba,Total offences,25 to 34 years,Sex unknown,148
2016/2017,Adult criminal courts,Manitoba,Total offences,25 to 34 years,Sex unknown,142
2017/2018,Adult criminal courts,Manitoba,Total offences,25 to 34 years,Sex unknown,138
2018/2019,Adult criminal courts,Manitoba,Total offences,25 to 34 years,Sex unknown,138
2014/2015,Adult criminal courts,Manitoba,Total offences,35 to 44 years,Total,150
2015/2016,Adult criminal courts,Manitoba,Total offences,35 to 44 years,Total,149
2016/2017,Adult criminal courts,Manitoba,Total offences,35 to 44 years,Total,134
2017/2018,Adult criminal courts,Manitoba,Total offences,35 to 44 years,Total,135
2018/2019,Adult criminal courts,Manitoba,Total offences,35 to 44 years,Total,136
2014/2015,Adult criminal courts,Manitoba,Total offences,35 to 44 years,Males,
2015/2016,Adult criminal courts,Manitoba,Total offences,35 to 44 years,Males,
2016/2017,Adult criminal courts,Manitoba,Total offences,35 to 44 years,Males,
2017/2018,Adult criminal courts,Manitoba,Total offences,35 to 44 years,Males,
2018/2019,Adult criminal courts,Manitoba,Total offences,35 to 44 years,Males,
2014/2015,Adult criminal courts,Manitoba,Total offences,35 to 44 years,Females,
2015/2016,Adult criminal courts,Manitoba,Total offences,35 to 44 years,Females,
2016/2017,Adult criminal courts,Manitoba,Total offences,35 to 44 years,Females,
2017/2018,Adult criminal courts,Manitoba,Total offences,35 to 44 years,Females,
2018/2019,Adult criminal courts,Manitoba,Total offences,35 to 44 years,Females,
2014/2015,Adult criminal courts,Manitoba,Total offences,35 to 44 years,Sex unknown,150
2015/2016,Adult criminal courts,Manitoba,Total offences,35 to 44 years,Sex unknown,149
2016/2017,Adult criminal courts,Manitoba,Total offences,35 to 44 years,Sex unknown,134
2017/2018,Adult criminal courts,Manitoba,Total offences,35 to 44 years,Sex unknown,135
2018/2019,Adult criminal courts,Manitoba,Total offences,35 to 44 years,Sex unknown,136
2014/2015,Adult criminal courts,Manitoba,Total offences,45 to 54 years,Total,147
2015/2016,Adult criminal courts,Manitoba,Total offences,45 to 54 years,Total,140
2016/2017,Adult criminal courts,Manitoba,Total offences,45 to 54 years,Total,152
2017/2018,Adult criminal courts,Manitoba,Total offences,45 to 54 years,Total,136
2018/2019,Adult criminal courts,Manitoba,Total offences,45 to 54 years,Total,136
2014/2015,Adult criminal courts,Manitoba,Total offences,45 to 54 years,Males,
2015/2016,Adult criminal courts,Manitoba,Total offences,45 to 54 years,Males,
2016/2017,Adult criminal courts,Manitoba,Total offences,45 to 54 years,Males,
2017/2018,Adult criminal courts,Manitoba,Total offences,45 to 54 years,Males,
2018/2019,Adult criminal courts,Manitoba,Total offences,45 to 54 years,Males,
2014/2015,Adult criminal courts,Manitoba,Total offences,45 to 54 years,Females,
2015/2016,Adult criminal courts,Manitoba,Total offences,45 to 54 years,Females,
2016/2017,Adult criminal courts,Manitoba,Total offences,45 to 54 years,Females,
2017/2018,Adult criminal courts,Manitoba,Total offences,45 to 54 years,Females,
2018/2019,Adult criminal courts,Manitoba,Total offences,45 to 54 years,Females,
2014/2015,Adult criminal courts,Manitoba,Total offences,45 to 54 years,Sex unknown,147
2015/2016,Adult criminal courts,Manitoba,Total offences,45 to 54 years,Sex unknown,140
2016/2017,Adult criminal courts,Manitoba,Total offences,45 to 54 years,Sex unknown,152
2017/2018,Adult criminal courts,Manitoba,Total offences,45 to 54 years,Sex unknown,136
2018/2019,Adult criminal courts,Manitoba,Total offences,45 to 54 years,Sex unknown,136
2014/2015,Adult criminal courts,Manitoba,Total offences,55 years and over,Total,135
2015/2016,Adult criminal courts,Manitoba,Total offences,55 years and over,Total,157
2016/2017,Adult criminal courts,Manitoba,Total offences,55 years and over,Total,155
2017/2018,Adult criminal courts,Manitoba,Total offences,55 years and over,Total,157
2018/2019,Adult criminal courts,Manitoba,Total offences,55 years and over,Total,126
2014/2015,Adult criminal courts,Manitoba,Total offences,55 years and over,Males,
2015/2016,Adult criminal courts,Manitoba,Total offences,55 years and over,Males,
2016/2017,Adult criminal courts,Manitoba,Total offences,55 years and over,Males,
2017/2018,Adult criminal courts,Manitoba,Total offences,55 years and over,Males,
2018/2019,Adult criminal courts,Manitoba,Total offences,55 years and over,Males,
2014/2015,Adult criminal courts,Manitoba,Total offences,55 years and over,Females,
2015/2016,Adult criminal courts,Manitoba,Total offences,55 years and over,Females,
2016/2017,Adult criminal courts,Manitoba,Total offences,55 years and over,Females,
2017/2018,Adult criminal courts,Manitoba,Total offences,55 years and over,Females,
2018/2019,Adult criminal courts,Manitoba,Total offences,55 years and over,Females,
2014/2015,Adult criminal courts,Manitoba,Total offences,55 years and over,Sex unknown,135
2015/2016,Adult criminal courts,Manitoba,Total offences,55 years and over,Sex unknown,157
2016/2017,Adult criminal courts,Manitoba,Total offences,55 years and over,Sex unknown,155
2017/2018,Adult criminal courts,Manitoba,Total offences,55 years and over,Sex unknown,157
2018/2019,Adult criminal courts,Manitoba,Total offences,55 years and over,Sex unknown,126
2014/2015,Adult criminal courts,Manitoba,Total Criminal Code,Total,Total,150
2015/2016,Adult criminal courts,Manitoba,Total Criminal Code,Total,Total,147
2016/2017,Adult criminal courts,Manitoba,Total Criminal Code,Total,Total,147
