Year,Geography,Violations,GeoCode,Value
2018,data.Quebec [24],Total sexual violations against children,,32.2
2019,data.Quebec [24],Total sexual violations against children,,35.5
2020,data.Quebec [24],Total sexual violations against children,,35.34
2015,data.Quebec [24],"Assault, level 3, aggravated",,3.19
2016,data.Quebec [24],"Assault, level 3, aggravated",,3.57
2017,data.Quebec [24],"Assault, level 3, aggravated",,3.66
2018,data.Quebec [24],"Assault, level 3, aggravated",,3.33
2019,data.Quebec [24],"Assault, level 3, aggravated",,3.56
2020,data.Quebec [24],"Assault, level 3, aggravated",,2.99
2015,data.Quebec [24],"Assault, level 2, weapon or bodily harm",,114.69
2016,data.Quebec [24],"Assault, level 2, weapon or bodily harm",,122.77
2017,data.Quebec [24],"Assault, level 2, weapon or bodily harm",,122.29
2018,data.Quebec [24],"Assault, level 2, weapon or bodily harm",,122.53
2019,data.Quebec [24],"Assault, level 2, weapon or bodily harm",,131.74
2020,data.Quebec [24],"Assault, level 2, weapon or bodily harm",,136.47
2015,data.Quebec [24],"Assault, level 1",,371.28
2016,data.Quebec [24],"Assault, level 1",,399.1
2017,data.Quebec [24],"Assault, level 1",,403.54
2018,data.Quebec [24],"Assault, level 1",,409.93
2019,data.Quebec [24],"Assault, level 1",,431.31
2020,data.Quebec [24],"Assault, level 1",,411.99
2015,data.Quebec [24],Total robbery,,49.37
2016,data.Quebec [24],Total robbery,,45.45
2017,data.Quebec [24],Total robbery,,43.95
2018,data.Quebec [24],Total robbery,,38.56
2019,data.Quebec [24],Total robbery,,40.39
2020,data.Quebec [24],Total robbery,,32.2
2015,data.Quebec [24],Uttering threats,,189.31
2016,data.Quebec [24],Uttering threats,,185.49
2017,data.Quebec [24],Uttering threats,,203.4
2018,data.Quebec [24],Uttering threats,,206.29
2019,data.Quebec [24],Uttering threats,,211.73
2020,data.Quebec [24],Uttering threats,,217.03
2015,data.Quebec [24],Total other violent violations,,23.06
2016,data.Quebec [24],Total other violent violations,,24.61
2017,data.Quebec [24],Total other violent violations,,27.97
2018,data.Quebec [24],Total other violent violations,,28.15
2019,data.Quebec [24],Total other violent violations,,29.37
2020,data.Quebec [24],Total other violent violations,,29.72
2015,data.Ontario [35],"Total, all violations",35,4021.58
2016,data.Ontario [35],"Total, all violations",35,4090.89
2017,data.Ontario [35],"Total, all violations",35,4259.47
2018,data.Ontario [35],"Total, all violations",35,4509.15
2019,data.Ontario [35],"Total, all violations",35,4544.1
2020,data.Ontario [35],"Total, all violations",35,4044.17
2015,data.Ontario [35],Homicide,,1.27
2016,data.Ontario [35],Homicide,,1.48
2017,data.Ontario [35],Homicide,,1.4
2018,data.Ontario [35],Homicide,,1.9
2019,data.Ontario [35],Homicide,,1.74
2020,data.Ontario [35],Homicide,,1.59
2015,data.Ontario [35],Total other violations causing death,,0.22
2016,data.Ontario [35],Total other violations causing death,,0.26
2017,data.Ontario [35],Total other violations causing death,,0.21
2018,data.Ontario [35],Total other violations causing death,,0.36
2019,data.Ontario [35],Total other violations causing death,,0.2
2020,data.Ontario [35],Total other violations causing death,,0.19
2015,data.Ontario [35],Attempted murder,,1.84
2016,data.Ontario [35],Attempted murder,,1.88
2017,data.Ontario [35],Attempted murder,,2.04
2018,data.Ontario [35],Attempted murder,,2.64
2019,data.Ontario [35],Attempted murder,,2.39
2020,data.Ontario [35],Attempted murder,,2.19
2015,data.Ontario [35],"Sexual assault, level 3, aggravated",,0.15
2016,data.Ontario [35],"Sexual assault, level 3, aggravated",,0.25
2017,data.Ontario [35],"Sexual assault, level 3, aggravated",,0.41
2018,data.Ontario [35],"Sexual assault, level 3, aggravated",,0.26
2019,data.Ontario [35],"Sexual assault, level 3, aggravated",,0.21
2020,data.Ontario [35],"Sexual assault, level 3, aggravated",,0.18
2015,data.Ontario [35],"Sexual assault, level 2, weapon or bodily harm",,0.98
2016,data.Ontario [35],"Sexual assault, level 2, weapon or bodily harm",,1.05
2017,data.Ontario [35],"Sexual assault, level 2, weapon or bodily harm",,1.07
2018,data.Ontario [35],"Sexual assault, level 2, weapon or bodily harm",,1.23
2019,data.Ontario [35],"Sexual assault, level 2, weapon or bodily harm",,1.49
2020,data.Ontario [35],"Sexual assault, level 2, weapon or bodily harm",,1.68
2015,data.Ontario [35],"Sexual assault, level 1",,53.8
2016,data.Ontario [35],"Sexual assault, level 1",,53.58
2017,data.Ontario [35],"Sexual assault, level 1",,62.42
2018,data.Ontario [35],"Sexual assault, level 1",,73.86
2019,data.Ontario [35],"Sexual assault, level 1",,74.54
2020,data.Ontario [35],"Sexual assault, level 1",,63.18
2015,data.Ontario [35],Total sexual violations against children,,8.12
2016,data.Ontario [35],Total sexual violations against children,,14.62
2017,data.Ontario [35],Total sexual violations against children,,15.0
2018,data.Ontario [35],Total sexual violations against children,,15.92
2019,data.Ontario [35],Total sexual violations against children,,15.94
2020,data.Ontario [35],Total sexual violations against children,,16.56
2015,data.Ontario [35],"Assault, level 3, aggravated",,7.4
2016,data.Ontario [35],"Assault, level 3, aggravated",,7.71
2017,data.Ontario [35],"Assault, level 3, aggravated",,7.67
2018,data.Ontario [35],"Assault, level 3, aggravated",,7.37
2019,data.Ontario [35],"Assault, level 3, aggravated",,7.8
2020,data.Ontario [35],"Assault, level 3, aggravated",,7.1
2015,data.Ontario [35],"Assault, level 2, weapon or bodily harm",,89.76
2016,data.Ontario [35],"Assault, level 2, weapon or bodily harm",,96.16
2017,data.Ontario [35],"Assault, level 2, weapon or bodily harm",,101.45
2018,data.Ontario [35],"Assault, level 2, weapon or bodily harm",,107.56
2019,data.Ontario [35],"Assault, level 2, weapon or bodily harm",,109.72
2020,data.Ontario [35],"Assault, level 2, weapon or bodily harm",,117.65
2015,data.Ontario [35],"Assault, level 1",,324.98
2016,data.Ontario [35],"Assault, level 1",,327.93
2017,data.Ontario [35],"Assault, level 1",,337.51
2018,data.Ontario [35],"Assault, level 1",,357.94
2019,data.Ontario [35],"Assault, level 1",,371.04
2020,data.Ontario [35],"Assault, level 1",,328.88
2015,data.Ontario [35],Total robbery,,55.77
2016,data.Ontario [35],Total robbery,,59.64
2017,data.Ontario [35],Total robbery,,65.86
2018,data.Ontario [35],Total robbery,,61.84
2019,data.Ontario [35],Total robbery,,61.49
2020,data.Ontario [35],Total robbery,,48.3
2015,data.Ontario [35],Uttering threats,,109.27
2016,data.Ontario [35],Uttering threats,,105.82
2017,data.Ontario [35],Uttering threats,,113.82
2018,data.Ontario [35],Uttering threats,,125.33
2019,data.Ontario [35],Uttering threats,,135.17
2020,data.Ontario [35],Uttering threats,,140.11
2015,data.Ontario [35],Total other violent violations,,11.14
2016,data.Ontario [35],Total other violent violations,,11.27
2017,data.Ontario [35],Total other violent violations,,14.61
2018,data.Ontario [35],Total other violent violations,,10.77
2019,data.Ontario [35],Total other violent violations,,13.08
2020,data.Ontario [35],Total other violent violations,,13.64
2015,data.Manitoba [46],"Total, all violations",46,8925.91
2016,data.Manitoba [46],"Total, all violations",46,9507.82
2017,data.Manitoba [46],"Total, all violations",46,9758.09
2018,data.Manitoba [46],"Total, all violations",46,9998.34
2019,data.Manitoba [46],"Total, all violations",46,10863.72
2020,data.Manitoba [46],"Total, all violations",46,10114.89
2015,data.Manitoba [46],Homicide,,3.64
2016,data.Manitoba [46],Homicide,,3.2
2017,data.Manitoba [46],Homicide,,3.52
2018,data.Manitoba [46],Homicide,,4.07
2019,data.Manitoba [46],Homicide,,5.26
2020,data.Manitoba [46],Homicide,,4.5
2015,data.Manitoba [46],Total other violations causing death,,0.39
2016,data.Manitoba [46],Total other violations causing death,,0.38
2017,data.Manitoba [46],Total other violations causing death,,0.45
2018,data.Manitoba [46],Total other violations causing death,,0.37
2019,data.Manitoba [46],Total other violations causing death,,0.22
2020,data.Manitoba [46],Total other violations causing death,,0.29
2015,data.Manitoba [46],Attempted murder,,2.4
2016,data.Manitoba [46],Attempted murder,,3.27
2017,data.Manitoba [46],Attempted murder,,3.07
2018,data.Manitoba [46],Attempted murder,,2.66
2019,data.Manitoba [46],Attempted murder,,2.04
2020,data.Manitoba [46],Attempted murder,,1.38
2015,data.Manitoba [46],"Sexual assault, level 3, aggravated",,0.62
2016,data.Manitoba [46],"Sexual assault, level 3, aggravated",,0.53
2017,data.Manitoba [46],"Sexual assault, level 3, aggravated",,1.05
2018,data.Manitoba [46],"Sexual assault, level 3, aggravated",,1.33
2019,data.Manitoba [46],"Sexual assault, level 3, aggravated",,0.51
2020,data.Manitoba [46],"Sexual assault, level 3, aggravated",,0.36
2015,data.Manitoba [46],"Sexual assault, level 2, weapon or bodily harm",,2.4
2016,data.Manitoba [46],"Sexual assault, level 2, weapon or bodily harm",,2.28
2017,data.Manitoba [46],"Sexual assault, level 2, weapon or bodily harm",,1.95
2018,data.Manitoba [46],"Sexual assault, level 2, weapon or bodily harm",,1.77
2019,data.Manitoba [46],"Sexual assault, level 2, weapon or bodily harm",,2.19
2020,data.Manitoba [46],"Sexual assault, level 2, weapon or bodily harm",,2.97
2015,data.Manitoba [46],"Sexual assault, level 1",,102.15
2016,data.Manitoba [46],"Sexual assault, level 1",,105.62
2017,data.Manitoba [46],"Sexual assault, level 1",,103.76
2018,data.Manitoba [46],"Sexual assault, level 1",,107.85
2019,data.Manitoba [46],"Sexual assault, level 1",,120.92
2020,data.Manitoba [46],"Sexual assault, level 1",,114.05
2015,data.Manitoba [46],Total sexual violations against children,,20.43
2016,data.Manitoba [46],Total sexual violations against children,,37.9
2017,data.Manitoba [46],Total sexual violations against children,,39.41
2018,data.Manitoba [46],Total sexual violations against children,,43.61
2019,data.Manitoba [46],Total sexual violations against children,,47.83
2020,data.Manitoba [46],Total sexual violations against children,,51.04
2015,data.Manitoba [46],"Assault, level 3, aggravated",,30.57
2016,data.Manitoba [46],"Assault, level 3, aggravated",,35.16
2017,data.Manitoba [46],"Assault, level 3, aggravated",,36.19
2018,data.Manitoba [46],"Assault, level 3, aggravated",,36.59
2019,data.Manitoba [46],"Assault, level 3, aggravated",,40.89
2020,data.Manitoba [46],"Assault, level 3, aggravated",,35.02
2015,data.Manitoba [46],"Assault, level 2, weapon or bodily harm",,314.42
2016,data.Manitoba [46],"Assault, level 2, weapon or bodily harm",,347.3
2017,data.Manitoba [46],"Assault, level 2, weapon or bodily harm",,360.58
2018,data.Manitoba [46],"Assault, level 2, weapon or bodily harm",,366.94
2019,data.Manitoba [46],"Assault, level 2, weapon or bodily harm",,410.87
2020,data.Manitoba [46],"Assault, level 2, weapon or bodily harm",,416.16
2015,data.Manitoba [46],"Assault, level 1",,793.98
2016,data.Manitoba [46],"Assault, level 1",,834.08
2017,data.Manitoba [46],"Assault, level 1",,840.81
2018,data.Manitoba [46],"Assault, level 1",,813.78
2019,data.Manitoba [46],"Assault, level 1",,880.37
2020,data.Manitoba [46],"Assault, level 1",,858.28
2015,data.Manitoba [46],Total robbery,,129.08
2016,data.Manitoba [46],Total robbery,,156.91
2017,data.Manitoba [46],Total robbery,,176.81
2018,data.Manitoba [46],Total robbery,,197.44
2019,data.Manitoba [46],Total robbery,,196.56
2020,data.Manitoba [46],Total robbery,,162.41
2015,data.Manitoba [46],Uttering threats,,248.56
2016,data.Manitoba [46],Uttering threats,,248.15
2017,data.Manitoba [46],Uttering threats,,244.83
2018,data.Manitoba [46],Uttering threats,,245.71
2019,data.Manitoba [46],Uttering threats,,284.11
2020,data.Manitoba [46],Uttering threats,,267.17
2015,data.Manitoba [46],Total other violent violations,,11.92
2016,data.Manitoba [46],Total other violent violations,,11.87
2017,data.Manitoba [46],Total other violent violations,,13.49
2018,data.Manitoba [46],Total other violent violations,,14.78
2019,data.Manitoba [46],Total other violent violations,,21.83
2020,data.Manitoba [46],Total other violent violations,,18.27
2015,data.Saskatchewan [47],"Total, all violations",47,12919.2
2016,data.Saskatchewan [47],"Total, all violations",47,13510.63
2017,data.Saskatchewan [47],"Total, all violations",47,12983.31
2018,data.Saskatchewan [47],"Total, all violations",47,12665.28
2019,data.Saskatchewan [47],"Total, all violations",47,12897.62
2020,data.Saskatchewan [47],"Total, all violations",47,12224.26
2015,data.Saskatchewan [47],Homicide,,3.93
2016,data.Saskatchewan [47],Homicide,,4.75
2017,data.Saskatchewan [47],Homicide,,3.3
2018,data.Saskatchewan [47],Homicide,,2.93
2019,data.Saskatchewan [47],Homicide,,4.69
2020,data.Saskatchewan [47],Homicide,,5.09
2015,data.Saskatchewan [47],Total other violations causing death,,0.54
2016,data.Saskatchewan [47],Total other violations causing death,,0.62
2017,data.Saskatchewan [47],Total other violations causing death,,0.52
2018,data.Saskatchewan [47],Total other violations causing death,,0.09
2019,data.Saskatchewan [47],Total other violations causing death,,0.26
2020,data.Saskatchewan [47],Total other violations causing death,,0.25
2015,data.Saskatchewan [47],Attempted murder,,2.5
2016,data.Saskatchewan [47],Attempted murder,,5.72
2017,data.Saskatchewan [47],Attempted murder,,3.65
2018,data.Saskatchewan [47],Attempted murder,,3.1
2019,data.Saskatchewan [47],Attempted murder,,6.06
2020,data.Saskatchewan [47],Attempted murder,,3.9
2015,data.Saskatchewan [47],"Sexual assault, level 3, aggravated",,0.62
2016,data.Saskatchewan [47],"Sexual assault, level 3, aggravated",,1.5
2017,data.Saskatchewan [47],"Sexual assault, level 3, aggravated",,0.61
2018,data.Saskatchewan [47],"Sexual assault, level 3, aggravated",,1.46
2019,data.Saskatchewan [47],"Sexual assault, level 3, aggravated",,1.28
2020,data.Saskatchewan [47],"Sexual assault, level 3, aggravated",,0.93
2015,data.Saskatchewan [47],"Sexual assault, level 2, weapon or bodily harm",,1.43
2016,data.Saskatchewan [47],"Sexual assault, level 2, weapon or bodily harm",,1.5
2017,data.Saskatchewan [47],"Sexual assault, level 2, weapon or bodily harm",,1.83
2018,data.Saskatchewan [47],"Sexual assault, level 2, weapon or bodily harm",,1.38
2019,data.Saskatchewan [47],"Sexual assault, level 2, weapon or bodily harm",,1.19
2020,data.Saskatchewan [47],"Sexual assault, level 2, weapon or bodily harm",,1.7
2015,data.Saskatchewan [47],"Sexual assault, level 1",,97.06
2016,data.Saskatchewan [47],"Sexual assault, level 1",,101.59
2017,data.Saskatchewan [47],"Sexual assault, level 1",,98.41
2018,data.Saskatchewan [47],"Sexual assault, level 1",,108.03
2019,data.Saskatchewan [47],"Sexual assault, level 1",,122.58
2020,data.Saskatchewan [47],"Sexual assault, level 1",,109.95
2015,data.Saskatchewan [47],Total sexual violations against children,,29.62
2016,data.Saskatchewan [47],Total sexual violations against children,,33.8
2017,data.Saskatchewan [47],Total sexual violations against children,,39.38
2018,data.Saskatchewan [47],Total sexual violations against children,,34.26
2019,data.Saskatchewan [47],Total sexual violations against children,,45.55
2020,data.Saskatchewan [47],Total sexual violations against children,,46.83
2015,data.Saskatchewan [47],"Assault, level 3, aggravated",,32.56
2016,data.Saskatchewan [47],"Assault, level 3, aggravated",,36.44
2017,data.Saskatchewan [47],"Assault, level 3, aggravated",,33.99
2018,data.Saskatchewan [47],"Assault, level 3, aggravated",,33.23
2019,data.Saskatchewan [47],"Assault, level 3, aggravated",,38.3
2020,data.Saskatchewan [47],"Assault, level 3, aggravated",,40.89
2015,data.Saskatchewan [47],"Assault, level 2, weapon or bodily harm",,344.79
2016,data.Saskatchewan [47],"Assault, level 2, weapon or bodily harm",,340.58
2017,data.Saskatchewan [47],"Assault, level 2, weapon or bodily harm",,349.64
2018,data.Saskatchewan [47],"Assault, level 2, weapon or bodily harm",,328.47
2019,data.Saskatchewan [47],"Assault, level 2, weapon or bodily harm",,360.06
2020,data.Saskatchewan [47],"Assault, level 2, weapon or bodily harm",,425.22
2015,data.Saskatchewan [47],"Assault, level 1",,939.28
2016,data.Saskatchewan [47],"Assault, level 1",,932.76
2017,data.Saskatchewan [47],"Assault, level 1",,929.91
2018,data.Saskatchewan [47],"Assault, level 1",,864.72
2019,data.Saskatchewan [47],"Assault, level 1",,960.76
2020,data.Saskatchewan [47],"Assault, level 1",,942.41
2015,data.Saskatchewan [47],Total robbery,,87.6
2016,data.Saskatchewan [47],Total robbery,,88.82
2017,data.Saskatchewan [47],Total robbery,,89.19
2018,data.Saskatchewan [47],Total robbery,,85.65
2019,data.Saskatchewan [47],Total robbery,,95.11
2020,data.Saskatchewan [47],Total robbery,,80.26
2015,data.Saskatchewan [47],Uttering threats,,272.35
2016,data.Saskatchewan [47],Uttering threats,,270.07
2017,data.Saskatchewan [47],Uttering threats,,271.66
2018,data.Saskatchewan [47],Uttering threats,,259.09
2019,data.Saskatchewan [47],Uttering threats,,314.25
2020,data.Saskatchewan [47],Uttering threats,,345.98
2015,data.Saskatchewan [47],Total other violent violations,,16.77
2016,data.Saskatchewan [47],Total other violent violations,,16.02
2017,data.Saskatchewan [47],Total other violent violations,,20.43
2018,data.Saskatchewan [47],Total other violent violations,,19.19
2019,data.Saskatchewan [47],Total other violent violations,,31.48
2020,data.Saskatchewan [47],Total other violent violations,,26.47
2015,data.Alberta [48],"Total, all violations",48,8916.56
2016,data.Alberta [48],"Total, all violations",48,9025.97
2017,data.Alberta [48],"Total, all violations",48,9335.17
2018,data.Alberta [48],"Total, all violations",48,9392.19
2019,data.Alberta [48],"Total, all violations",48,10026.65
2020,data.Alberta [48],"Total, all violations",48,8722.11
2015,data.Alberta [48],Homicide,,3.21
2016,data.Alberta [48],Homicide,,2.76
2017,data.Alberta [48],Homicide,,2.81
2018,data.Alberta [48],Homicide,,1.88
2019,data.Alberta [48],Homicide,,2.29
2020,data.Alberta [48],Homicide,,3.14
2015,data.Alberta [48],Total other violations causing death,,0.12
2016,data.Alberta [48],Total other violations causing death,,0.19
2017,data.Alberta [48],Total other violations causing death,,0.35
2018,data.Alberta [48],Total other violations causing death,,0.05
2019,data.Alberta [48],Total other violations causing death,,0.05
2020,data.Alberta [48],Total other violations causing death,,0.25
2015,data.Alberta [48],Attempted murder,,1.64
2016,data.Alberta [48],Attempted murder,,1.31
2017,data.Alberta [48],Attempted murder,,1.41
2018,data.Alberta [48],Attempted murder,,1.23
2019,data.Alberta [48],Attempted murder,,1.22
2020,data.Alberta [48],Attempted murder,,1.27
2015,data.Alberta [48],"Sexual assault, level 3, aggravated",,0.17
2016,data.Alberta [48],"Sexual assault, level 3, aggravated",,0.24
2017,data.Alberta [48],"Sexual assault, level 3, aggravated",,0.33
2018,data.Alberta [48],"Sexual assault, level 3, aggravated",,0.54
2019,data.Alberta [48],"Sexual assault, level 3, aggravated",,0.62
2020,data.Alberta [48],"Sexual assault, level 3, aggravated",,0.57
2015,data.Alberta [48],"Sexual assault, level 2, weapon or bodily harm",,1.09
2016,data.Alberta [48],"Sexual assault, level 2, weapon or bodily harm",,1.22
2017,data.Alberta [48],"Sexual assault, level 2, weapon or bodily harm",,1.74
2018,data.Alberta [48],"Sexual assault, level 2, weapon or bodily harm",,2.07
2019,data.Alberta [48],"Sexual assault, level 2, weapon or bodily harm",,1.81
2020,data.Alberta [48],"Sexual assault, level 2, weapon or bodily harm",,2.26
2015,data.Alberta [48],"Sexual assault, level 1",,67.54
2016,data.Alberta [48],"Sexual assault, level 1",,64.47
2017,data.Alberta [48],"Sexual assault, level 1",,70.24
2018,data.Alberta [48],"Sexual assault, level 1",,79.96
2019,data.Alberta [48],"Sexual assault, level 1",,88.73
2020,data.Alberta [48],"Sexual assault, level 1",,77.34
2015,data.Alberta [48],Total sexual violations against children,,14.6
2016,data.Alberta [48],Total sexual violations against children,,19.54
2017,data.Alberta [48],Total sexual violations against children,,21.95
2018,data.Alberta [48],Total sexual violations against children,,27.48
2019,data.Alberta [48],Total sexual violations against children,,32.01
2020,data.Alberta [48],Total sexual violations against children,,30.67
2015,data.Alberta [48],"Assault, level 3, aggravated",,16.7
2016,data.Alberta [48],"Assault, level 3, aggravated",,15.18
2017,data.Alberta [48],"Assault, level 3, aggravated",,16.08
2018,data.Alberta [48],"Assault, level 3, aggravated",,17.05
2019,data.Alberta [48],"Assault, level 3, aggravated",,19.14
2020,data.Alberta [48],"Assault, level 3, aggravated",,20.33
2015,data.Alberta [48],"Assault, level 2, weapon or bodily harm",,180.12
2016,data.Alberta [48],"Assault, level 2, weapon or bodily harm",,182.91
2017,data.Alberta [48],"Assault, level 2, weapon or bodily harm",,197.31
2018,data.Alberta [48],"Assault, level 2, weapon or bodily harm",,201.62
2019,data.Alberta [48],"Assault, level 2, weapon or bodily harm",,214.89
2020,data.Alberta [48],"Assault, level 2, weapon or bodily harm",,232.05
2015,data.Alberta [48],"Assault, level 1",,558.26
2016,data.Alberta [48],"Assault, level 1",,545.68
2017,data.Alberta [48],"Assault, level 1",,541.51
2018,data.Alberta [48],"Assault, level 1",,546.38
2019,data.Alberta [48],"Assault, level 1",,567.49
2020,data.Alberta [48],"Assault, level 1",,520.91
2015,data.Alberta [48],Total robbery,,82.74
2016,data.Alberta [48],Total robbery,,73.81
2017,data.Alberta [48],Total robbery,,76.94
2018,data.Alberta [48],Total robbery,,81.22
2019,data.Alberta [48],Total robbery,,83.71
2020,data.Alberta [48],Total robbery,,66.17
2015,data.Alberta [48],Uttering threats,,194.14
2016,data.Alberta [48],Uttering threats,,183.7
2017,data.Alberta [48],Uttering threats,,180.05
2018,data.Alberta [48],Uttering threats,,173.93
2019,data.Alberta [48],Uttering threats,,210.06
2020,data.Alberta [48],Uttering threats,,216.18
2015,data.Alberta [48],Total other violent violations,,11.34
2016,data.Alberta [48],Total other violent violations,,12.3
2017,data.Alberta [48],Total other violent violations,,14.57
2018,data.Alberta [48],Total other violent violations,,12.63
2019,data.Alberta [48],Total other violent violations,,15.66
2020,data.Alberta [48],Total other violent violations,,17.73
2015,data.British Columbia [59],"Total, all violations",59,8608.09
2016,data.British Columbia [59],"Total, all violations",59,8488.51
2017,data.British Columbia [59],"Total, all violations",59,8090.02
2018,data.British Columbia [59],"Total, all violations",59,8250.95
2019,data.British Columbia [59],"Total, all violations",59,9573.92
2020,data.British Columbia [59],"Total, all violations",59,8532.04
2015,data.British Columbia [59],Homicide,,2.03
2016,data.British Columbia [59],Homicide,,1.81
2017,data.British Columbia [59],Homicide,,2.41
2018,data.British Columbia [59],Homicide,,1.8
2019,data.British Columbia [59],Homicide,,1.77
2020,data.British Columbia [59],Homicide,,1.9
2015,data.British Columbia [59],Total other violations causing death,,0.38
2016,data.British Columbia [59],Total other violations causing death,,0.39
2017,data.British Columbia [59],Total other violations causing death,,0.22
2018,data.British Columbia [59],Total other violations causing death,,0.42
2019,data.British Columbia [59],Total other violations causing death,,0.47
2020,data.British Columbia [59],Total other violations causing death,,0.39
2015,data.British Columbia [59],Attempted murder,,2.7
2016,data.British Columbia [59],Attempted murder,,2.45
2017,data.British Columbia [59],Attempted murder,,2.33
2018,data.British Columbia [59],Attempted murder,,1.76
2019,data.British Columbia [59],Attempted murder,,1.98
2020,data.British Columbia [59],Attempted murder,,1.98
2015,data.British Columbia [59],"Sexual assault, level 3, aggravated",,0.4
2016,data.British Columbia [59],"Sexual assault, level 3, aggravated",,0.39
2017,data.British Columbia [59],"Sexual assault, level 3, aggravated",,0.57
2018,data.British Columbia [59],"Sexual assault, level 3, aggravated",,0.16
2019,data.British Columbia [59],"Sexual assault, level 3, aggravated",,0.2
2020,data.British Columbia [59],"Sexual assault, level 3, aggravated",,0.35
2015,data.British Columbia [59],"Sexual assault, level 2, weapon or bodily harm",,0.84
2016,data.British Columbia [59],"Sexual assault, level 2, weapon or bodily harm",,0.72
2017,data.British Columbia [59],"Sexual assault, level 2, weapon or bodily harm",,0.63
2018,data.British Columbia [59],"Sexual assault, level 2, weapon or bodily harm",,1.28
2019,data.British Columbia [59],"Sexual assault, level 2, weapon or bodily harm",,1.06
2020,data.British Columbia [59],"Sexual assault, level 2, weapon or bodily harm",,0.89
2015,data.British Columbia [59],"Sexual assault, level 1",,46.69
2016,data.British Columbia [59],"Sexual assault, level 1",,46.47
2017,data.British Columbia [59],"Sexual assault, level 1",,54.49
2018,data.British Columbia [59],"Sexual assault, level 1",,64.13
2019,data.British Columbia [59],"Sexual assault, level 1",,80.3
2020,data.British Columbia [59],"Sexual assault, level 1",,73.26
2015,data.British Columbia [59],Total sexual violations against children,,13.71
2016,data.British Columbia [59],Total sexual violations against children,,16.96
2017,data.British Columbia [59],Total sexual violations against children,,20.0
2018,data.British Columbia [59],Total sexual violations against children,,22.63
2019,data.British Columbia [59],Total sexual violations against children,,28.93
2020,data.British Columbia [59],Total sexual violations against children,,26.69
2015,data.British Columbia [59],"Assault, level 3, aggravated",,6.93
2016,data.British Columbia [59],"Assault, level 3, aggravated",,6.67
2017,data.British Columbia [59],"Assault, level 3, aggravated",,7.3
2018,data.British Columbia [59],"Assault, level 3, aggravated",,6.67
2019,data.British Columbia [59],"Assault, level 3, aggravated",,6.72
2020,data.British Columbia [59],"Assault, level 3, aggravated",,6.31
2015,data.British Columbia [59],"Assault, level 2, weapon or bodily harm",,144.54
2016,data.British Columbia [59],"Assault, level 2, weapon or bodily harm",,139.9
2017,data.British Columbia [59],"Assault, level 2, weapon or bodily harm",,138.9
2018,data.British Columbia [59],"Assault, level 2, weapon or bodily harm",,146.35
2019,data.British Columbia [59],"Assault, level 2, weapon or bodily harm",,176.12
2020,data.British Columbia [59],"Assault, level 2, weapon or bodily harm",,191.48
2015,data.British Columbia [59],"Assault, level 1",,466.75
2016,data.British Columbia [59],"Assault, level 1",,431.24
2017,data.British Columbia [59],"Assault, level 1",,418.59
2018,data.British Columbia [59],"Assault, level 1",,449.62
2019,data.British Columbia [59],"Assault, level 1",,577.0
2020,data.British Columbia [59],"Assault, level 1",,531.34
2015,data.British Columbia [59],Total robbery,,76.31
2016,data.British Columbia [59],Total robbery,,61.08
2017,data.British Columbia [59],Total robbery,,50.45
2018,data.British Columbia [59],Total robbery,,49.54
2019,data.British Columbia [59],Total robbery,,56.3
2020,data.British Columbia [59],Total robbery,,51.95
2015,data.British Columbia [59],Uttering threats,,215.27
2016,data.British Columbia [59],Uttering threats,,195.44
2017,data.British Columbia [59],Uttering threats,,175.68
2018,data.British Columbia [59],Uttering threats,,193.65
2019,data.British Columbia [59],Uttering threats,,321.96
2020,data.British Columbia [59],Uttering threats,,317.85
2015,data.British Columbia [59],Total other violent violations,,10.15
2016,data.British Columbia [59],Total other violent violations,,9.88
2017,data.British Columbia [59],Total other violent violations,,10.16
2018,data.British Columbia [59],Total other violent violations,,11.38
2019,data.British Columbia [59],Total other violent violations,,15.16
2020,data.British Columbia [59],Total other violent violations,,14.51
2015,data.Yukon [60],"Total, all violations",60,25794.64
2016,data.Yukon [60],"Total, all violations",60,23542.69
2017,data.Yukon [60],"Total, all violations",60,22191.13
2018,data.Yukon [60],"Total, all violations",60,21638.39
2019,data.Yukon [60],"Total, all violations",60,26390.53
2020,data.Yukon [60],"Total, all violations",60,25818.03
2015,data.Yukon [60],Homicide,,2.65
2016,data.Yukon [60],Homicide,,10.38
2017,data.Yukon [60],Homicide,,20.17
2018,data.Yukon [60],Homicide,,7.39
2019,data.Yukon [60],Homicide,,2.41
2020,data.Yukon [60],Homicide,,0.0
2015,data.Yukon [60],Total other violations causing death,,0.0
2016,data.Yukon [60],Total other violations causing death,,0.0
2017,data.Yukon [60],Total other violations causing death,,0.0
2018,data.Yukon [60],Total other violations causing death,,0.0
2019,data.Yukon [60],Total other violations causing death,,0.0
2020,data.Yukon [60],Total other violations causing death,,0.0
2015,data.Yukon [60],Attempted murder,,10.61
2016,data.Yukon [60],Attempted murder,,5.19
2017,data.Yukon [60],Attempted murder,,5.04
2018,data.Yukon [60],Attempted murder,,4.92
2019,data.Yukon [60],Attempted murder,,2.41
2020,data.Yukon [60],Attempted murder,,7.13
2015,data.Yukon [60],"Sexual assault, level 3, aggravated",,0.0
2016,data.Yukon [60],"Sexual assault, level 3, aggravated",,2.59
2017,data.Yukon [60],"Sexual assault, level 3, aggravated",,0.0
