Year,Geography,Disposition de vie,Niveau de sécurité alimentaire du ménage,Value
2017-2018,Ontario,Couple avec enfant(s) de moins de 18 ans,Food insecure marginal,4.7
2015-2016,Ontario,Couple avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,
2017-2018,Ontario,Couple avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,7.2
2015-2016,Ontario,Mère monoparentale avec enfant(s) de moins de 18 ans,Sécurité alimentaire,
2017-2018,Ontario,Mère monoparentale avec enfant(s) de moins de 18 ans,Sécurité alimentaire,66.3
2015-2016,Ontario,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure marginal,
2017-2018,Ontario,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure marginal,7.6
2015-2016,Ontario,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,
2017-2018,Ontario,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,26.0
2015-2016,Ontario,Père monoparental avec enfant(s) de moins de 18 ans,Sécurité alimentaire,
2017-2018,Ontario,Père monoparental avec enfant(s) de moins de 18 ans,Sécurité alimentaire,75.3
2015-2016,Ontario,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure marginal,
2017-2018,Ontario,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure marginal,
2015-2016,Ontario,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,
2017-2018,Ontario,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,18.2
2015-2016,Ontario,Autres dispositions de vie,Sécurité alimentaire,
2017-2018,Ontario,Autres dispositions de vie,Sécurité alimentaire,87.0
2015-2016,Ontario,Autres dispositions de vie,Food insecure marginal,
2017-2018,Ontario,Autres dispositions de vie,Food insecure marginal,4.6
2015-2016,Ontario,Autres dispositions de vie,Food insecure moderate and severe,
2017-2018,Ontario,Autres dispositions de vie,Food insecure moderate and severe,8.4
2015-2016,Manitoba,Total all living arrangements,Sécurité alimentaire,86.0
2017-2018,Manitoba,Total all living arrangements,Sécurité alimentaire,85.6
2015-2016,Manitoba,Total all living arrangements,Food insecure marginal,4.1
2017-2018,Manitoba,Total all living arrangements,Food insecure marginal,4.2
2015-2016,Manitoba,Total all living arrangements,Food insecure moderate and severe,10.0
2017-2018,Manitoba,Total all living arrangements,Food insecure moderate and severe,10.2
2015-2016,Manitoba,Femme vivant seule,Sécurité alimentaire,85.0
2017-2018,Manitoba,Femme vivant seule,Sécurité alimentaire,81.4
2015-2016,Manitoba,Femme vivant seule,Food insecure marginal,2.7
2017-2018,Manitoba,Femme vivant seule,Food insecure marginal,5.8
2015-2016,Manitoba,Femme vivant seule,Food insecure moderate and severe,12.3
2017-2018,Manitoba,Femme vivant seule,Food insecure moderate and severe,12.8
2015-2016,Manitoba,Homme vivant seul,Sécurité alimentaire,80.2
2017-2018,Manitoba,Homme vivant seul,Sécurité alimentaire,82.3
2015-2016,Manitoba,Homme vivant seul,Food insecure marginal,5.3
2017-2018,Manitoba,Homme vivant seul,Food insecure marginal,6.6
2015-2016,Manitoba,Homme vivant seul,Food insecure moderate and severe,14.5
2017-2018,Manitoba,Homme vivant seul,Food insecure moderate and severe,11.0
2015-2016,Manitoba,Couple sans enfant,Sécurité alimentaire,95.4
2017-2018,Manitoba,Couple sans enfant,Sécurité alimentaire,94.5
2015-2016,Manitoba,Couple sans enfant,Food insecure marginal,1.5
2017-2018,Manitoba,Couple sans enfant,Food insecure marginal,2.0
2015-2016,Manitoba,Couple sans enfant,Food insecure moderate and severe,3.1
2017-2018,Manitoba,Couple sans enfant,Food insecure moderate and severe,3.5
2015-2016,Manitoba,Couple avec enfant(s) de moins de 18 ans,Sécurité alimentaire,86.8
2017-2018,Manitoba,Couple avec enfant(s) de moins de 18 ans,Sécurité alimentaire,87.2
2015-2016,Manitoba,Couple avec enfant(s) de moins de 18 ans,Food insecure marginal,4.8
2017-2018,Manitoba,Couple avec enfant(s) de moins de 18 ans,Food insecure marginal,4.0
2015-2016,Manitoba,Couple avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,8.3
2017-2018,Manitoba,Couple avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,8.9
2015-2016,Manitoba,Mère monoparentale avec enfant(s) de moins de 18 ans,Sécurité alimentaire,51.0
2017-2018,Manitoba,Mère monoparentale avec enfant(s) de moins de 18 ans,Sécurité alimentaire,51.1
2015-2016,Manitoba,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure marginal,14.0
2017-2018,Manitoba,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure marginal,7.8
2015-2016,Manitoba,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,35.0
2017-2018,Manitoba,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,41.1
2015-2016,Manitoba,Père monoparental avec enfant(s) de moins de 18 ans,Sécurité alimentaire,77.7
2017-2018,Manitoba,Père monoparental avec enfant(s) de moins de 18 ans,Sécurité alimentaire,56.0
2015-2016,Manitoba,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure marginal,
2017-2018,Manitoba,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure marginal,
2015-2016,Manitoba,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,
2017-2018,Manitoba,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,37.3
2015-2016,Manitoba,Autres dispositions de vie,Sécurité alimentaire,83.3
2017-2018,Manitoba,Autres dispositions de vie,Sécurité alimentaire,84.9
2015-2016,Manitoba,Autres dispositions de vie,Food insecure marginal,5.2
2017-2018,Manitoba,Autres dispositions de vie,Food insecure marginal,3.9
2015-2016,Manitoba,Autres dispositions de vie,Food insecure moderate and severe,11.4
2017-2018,Manitoba,Autres dispositions de vie,Food insecure moderate and severe,11.2
2015-2016,Saskatchewan,Total all living arrangements,Sécurité alimentaire,86.8
2017-2018,Saskatchewan,Total all living arrangements,Sécurité alimentaire,86.1
2015-2016,Saskatchewan,Total all living arrangements,Food insecure marginal,4.0
2017-2018,Saskatchewan,Total all living arrangements,Food insecure marginal,4.6
2015-2016,Saskatchewan,Total all living arrangements,Food insecure moderate and severe,9.3
2017-2018,Saskatchewan,Total all living arrangements,Food insecure moderate and severe,9.3
2015-2016,Saskatchewan,Femme vivant seule,Sécurité alimentaire,88.2
2017-2018,Saskatchewan,Femme vivant seule,Sécurité alimentaire,84.8
2015-2016,Saskatchewan,Femme vivant seule,Food insecure marginal,
2017-2018,Saskatchewan,Femme vivant seule,Food insecure marginal,3.9
2015-2016,Saskatchewan,Femme vivant seule,Food insecure moderate and severe,9.8
2017-2018,Saskatchewan,Femme vivant seule,Food insecure moderate and severe,11.2
2015-2016,Saskatchewan,Homme vivant seul,Sécurité alimentaire,83.4
2017-2018,Saskatchewan,Homme vivant seul,Sécurité alimentaire,86.8
2015-2016,Saskatchewan,Homme vivant seul,Food insecure marginal,4.6
2017-2018,Saskatchewan,Homme vivant seul,Food insecure marginal,2.7
2015-2016,Saskatchewan,Homme vivant seul,Food insecure moderate and severe,11.9
2017-2018,Saskatchewan,Homme vivant seul,Food insecure moderate and severe,10.4
2015-2016,Saskatchewan,Couple sans enfant,Sécurité alimentaire,94.8
2017-2018,Saskatchewan,Couple sans enfant,Sécurité alimentaire,93.6
2015-2016,Saskatchewan,Couple sans enfant,Food insecure marginal,2.0
2017-2018,Saskatchewan,Couple sans enfant,Food insecure marginal,2.8
2015-2016,Saskatchewan,Couple sans enfant,Food insecure moderate and severe,3.2
2017-2018,Saskatchewan,Couple sans enfant,Food insecure moderate and severe,3.6
2015-2016,Saskatchewan,Couple avec enfant(s) de moins de 18 ans,Sécurité alimentaire,87.4
2017-2018,Saskatchewan,Couple avec enfant(s) de moins de 18 ans,Sécurité alimentaire,87.6
2015-2016,Saskatchewan,Couple avec enfant(s) de moins de 18 ans,Food insecure marginal,5.5
2017-2018,Saskatchewan,Couple avec enfant(s) de moins de 18 ans,Food insecure marginal,5.2
2015-2016,Saskatchewan,Couple avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,7.1
2017-2018,Saskatchewan,Couple avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,7.2
2015-2016,Saskatchewan,Mère monoparentale avec enfant(s) de moins de 18 ans,Sécurité alimentaire,58.2
2017-2018,Saskatchewan,Mère monoparentale avec enfant(s) de moins de 18 ans,Sécurité alimentaire,63.1
2015-2016,Saskatchewan,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure marginal,
2017-2018,Saskatchewan,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure marginal,8.9
2015-2016,Saskatchewan,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,34.0
2017-2018,Saskatchewan,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,28.0
2015-2016,Saskatchewan,Père monoparental avec enfant(s) de moins de 18 ans,Sécurité alimentaire,91.8
2017-2018,Saskatchewan,Père monoparental avec enfant(s) de moins de 18 ans,Sécurité alimentaire,67.4
2015-2016,Saskatchewan,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure marginal,
2017-2018,Saskatchewan,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure marginal,
2015-2016,Saskatchewan,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,
2017-2018,Saskatchewan,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,
2015-2016,Saskatchewan,Autres dispositions de vie,Sécurité alimentaire,79.8
2017-2018,Saskatchewan,Autres dispositions de vie,Sécurité alimentaire,78.8
2015-2016,Saskatchewan,Autres dispositions de vie,Food insecure marginal,5.9
2017-2018,Saskatchewan,Autres dispositions de vie,Food insecure marginal,7.2
2015-2016,Saskatchewan,Autres dispositions de vie,Food insecure moderate and severe,14.3
2017-2018,Saskatchewan,Autres dispositions de vie,Food insecure moderate and severe,14.0
2015-2016,Alberta,Total all living arrangements,Sécurité alimentaire,87.4
2017-2018,Alberta,Total all living arrangements,Sécurité alimentaire,87.1
2015-2016,Alberta,Total all living arrangements,Food insecure marginal,3.7
2017-2018,Alberta,Total all living arrangements,Food insecure marginal,3.7
2015-2016,Alberta,Total all living arrangements,Food insecure moderate and severe,8.8
2017-2018,Alberta,Total all living arrangements,Food insecure moderate and severe,9.2
2015-2016,Alberta,Femme vivant seule,Sécurité alimentaire,84.3
2017-2018,Alberta,Femme vivant seule,Sécurité alimentaire,84.6
2015-2016,Alberta,Femme vivant seule,Food insecure marginal,4.0
2017-2018,Alberta,Femme vivant seule,Food insecure marginal,3.5
2015-2016,Alberta,Femme vivant seule,Food insecure moderate and severe,11.8
2017-2018,Alberta,Femme vivant seule,Food insecure moderate and severe,11.9
2015-2016,Alberta,Homme vivant seul,Sécurité alimentaire,85.3
2017-2018,Alberta,Homme vivant seul,Sécurité alimentaire,83.4
2015-2016,Alberta,Homme vivant seul,Food insecure marginal,4.1
2017-2018,Alberta,Homme vivant seul,Food insecure marginal,3.9
2015-2016,Alberta,Homme vivant seul,Food insecure moderate and severe,10.6
2017-2018,Alberta,Homme vivant seul,Food insecure moderate and severe,12.7
2015-2016,Alberta,Couple sans enfant,Sécurité alimentaire,94.6
2017-2018,Alberta,Couple sans enfant,Sécurité alimentaire,94.2
2015-2016,Alberta,Couple sans enfant,Food insecure marginal,1.7
2017-2018,Alberta,Couple sans enfant,Food insecure marginal,2.3
2015-2016,Alberta,Couple sans enfant,Food insecure moderate and severe,3.7
2017-2018,Alberta,Couple sans enfant,Food insecure moderate and severe,3.6
2015-2016,Alberta,Couple avec enfant(s) de moins de 18 ans,Sécurité alimentaire,86.3
2017-2018,Alberta,Couple avec enfant(s) de moins de 18 ans,Sécurité alimentaire,86.8
2015-2016,Alberta,Couple avec enfant(s) de moins de 18 ans,Food insecure marginal,4.8
2017-2018,Alberta,Couple avec enfant(s) de moins de 18 ans,Food insecure marginal,4.7
2015-2016,Alberta,Couple avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,9.0
2017-2018,Alberta,Couple avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,8.6
2015-2016,Alberta,Mère monoparentale avec enfant(s) de moins de 18 ans,Sécurité alimentaire,66.9
2017-2018,Alberta,Mère monoparentale avec enfant(s) de moins de 18 ans,Sécurité alimentaire,65.0
2015-2016,Alberta,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure marginal,7.7
2017-2018,Alberta,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure marginal,9.1
2015-2016,Alberta,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,25.5
2017-2018,Alberta,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,25.9
2015-2016,Alberta,Père monoparental avec enfant(s) de moins de 18 ans,Sécurité alimentaire,78.2
2017-2018,Alberta,Père monoparental avec enfant(s) de moins de 18 ans,Sécurité alimentaire,81.4
2015-2016,Alberta,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure marginal,
2017-2018,Alberta,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure marginal,
2015-2016,Alberta,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,13.0
2017-2018,Alberta,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,
2015-2016,Alberta,Autres dispositions de vie,Sécurité alimentaire,85.8
2017-2018,Alberta,Autres dispositions de vie,Sécurité alimentaire,85.3
2015-2016,Alberta,Autres dispositions de vie,Food insecure marginal,4.1
2017-2018,Alberta,Autres dispositions de vie,Food insecure marginal,3.6
2015-2016,Alberta,Autres dispositions de vie,Food insecure moderate and severe,10.0
2017-2018,Alberta,Autres dispositions de vie,Food insecure moderate and severe,11.1
2015-2016,Colombie-Britannique,Total all living arrangements,Sécurité alimentaire,87.7
2017-2018,Colombie-Britannique,Total all living arrangements,Sécurité alimentaire,87.6
2015-2016,Colombie-Britannique,Total all living arrangements,Food insecure marginal,3.5
2017-2018,Colombie-Britannique,Total all living arrangements,Food insecure marginal,3.7
2015-2016,Colombie-Britannique,Total all living arrangements,Food insecure moderate and severe,8.8
2017-2018,Colombie-Britannique,Total all living arrangements,Food insecure moderate and severe,8.7
2015-2016,Colombie-Britannique,Femme vivant seule,Sécurité alimentaire,85.4
2017-2018,Colombie-Britannique,Femme vivant seule,Sécurité alimentaire,86.0
2015-2016,Colombie-Britannique,Femme vivant seule,Food insecure marginal,3.9
2017-2018,Colombie-Britannique,Femme vivant seule,Food insecure marginal,3.1
2015-2016,Colombie-Britannique,Femme vivant seule,Food insecure moderate and severe,10.7
2017-2018,Colombie-Britannique,Femme vivant seule,Food insecure moderate and severe,10.9
2015-2016,Colombie-Britannique,Homme vivant seul,Sécurité alimentaire,80.8
2017-2018,Colombie-Britannique,Homme vivant seul,Sécurité alimentaire,82.9
2015-2016,Colombie-Britannique,Homme vivant seul,Food insecure marginal,4.9
2017-2018,Colombie-Britannique,Homme vivant seul,Food insecure marginal,4.1
2015-2016,Colombie-Britannique,Homme vivant seul,Food insecure moderate and severe,14.4
2017-2018,Colombie-Britannique,Homme vivant seul,Food insecure moderate and severe,13.0
2015-2016,Colombie-Britannique,Couple sans enfant,Sécurité alimentaire,94.8
2017-2018,Colombie-Britannique,Couple sans enfant,Sécurité alimentaire,95.1
2015-2016,Colombie-Britannique,Couple sans enfant,Food insecure marginal,1.8
2017-2018,Colombie-Britannique,Couple sans enfant,Food insecure marginal,2.1
2015-2016,Colombie-Britannique,Couple sans enfant,Food insecure moderate and severe,3.5
2017-2018,Colombie-Britannique,Couple sans enfant,Food insecure moderate and severe,2.8
2015-2016,Colombie-Britannique,Couple avec enfant(s) de moins de 18 ans,Sécurité alimentaire,88.3
2017-2018,Colombie-Britannique,Couple avec enfant(s) de moins de 18 ans,Sécurité alimentaire,89.2
2015-2016,Colombie-Britannique,Couple avec enfant(s) de moins de 18 ans,Food insecure marginal,4.2
2017-2018,Colombie-Britannique,Couple avec enfant(s) de moins de 18 ans,Food insecure marginal,3.6
2015-2016,Colombie-Britannique,Couple avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,7.5
2017-2018,Colombie-Britannique,Couple avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,7.2
2015-2016,Colombie-Britannique,Mère monoparentale avec enfant(s) de moins de 18 ans,Sécurité alimentaire,69.7
2017-2018,Colombie-Britannique,Mère monoparentale avec enfant(s) de moins de 18 ans,Sécurité alimentaire,68.0
2015-2016,Colombie-Britannique,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure marginal,8.7
2017-2018,Colombie-Britannique,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure marginal,9.1
2015-2016,Colombie-Britannique,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,21.5
2017-2018,Colombie-Britannique,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,22.9
2015-2016,Colombie-Britannique,Père monoparental avec enfant(s) de moins de 18 ans,Sécurité alimentaire,78.8
2017-2018,Colombie-Britannique,Père monoparental avec enfant(s) de moins de 18 ans,Sécurité alimentaire,69.4
2015-2016,Colombie-Britannique,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure marginal,
2017-2018,Colombie-Britannique,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure marginal,
2015-2016,Colombie-Britannique,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,15.9
2017-2018,Colombie-Britannique,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,27.5
2015-2016,Colombie-Britannique,Autres dispositions de vie,Sécurité alimentaire,87.6
2017-2018,Colombie-Britannique,Autres dispositions de vie,Sécurité alimentaire,84.1
2015-2016,Colombie-Britannique,Autres dispositions de vie,Food insecure marginal,2.8
2017-2018,Colombie-Britannique,Autres dispositions de vie,Food insecure marginal,5.2
2015-2016,Colombie-Britannique,Autres dispositions de vie,Food insecure moderate and severe,9.6
2017-2018,Colombie-Britannique,Autres dispositions de vie,Food insecure moderate and severe,10.7
2015-2016,Yukon,Total all living arrangements,Sécurité alimentaire,
2017-2018,Yukon,Total all living arrangements,Sécurité alimentaire,83.1
2015-2016,Yukon,Total all living arrangements,Food insecure marginal,
2017-2018,Yukon,Total all living arrangements,Food insecure marginal,4.3
2015-2016,Yukon,Total all living arrangements,Food insecure moderate and severe,
2017-2018,Yukon,Total all living arrangements,Food insecure moderate and severe,12.6
2015-2016,Yukon,Femme vivant seule,Sécurité alimentaire,
2017-2018,Yukon,Femme vivant seule,Sécurité alimentaire,80.4
2015-2016,Yukon,Femme vivant seule,Food insecure marginal,
2017-2018,Yukon,Femme vivant seule,Food insecure marginal,
2015-2016,Yukon,Femme vivant seule,Food insecure moderate and severe,
2017-2018,Yukon,Femme vivant seule,Food insecure moderate and severe,16.2
2015-2016,Yukon,Homme vivant seul,Sécurité alimentaire,
2017-2018,Yukon,Homme vivant seul,Sécurité alimentaire,79.5
2015-2016,Yukon,Homme vivant seul,Food insecure marginal,
2017-2018,Yukon,Homme vivant seul,Food insecure marginal,
2015-2016,Yukon,Homme vivant seul,Food insecure moderate and severe,
2017-2018,Yukon,Homme vivant seul,Food insecure moderate and severe,14.1
2015-2016,Yukon,Couple sans enfant,Sécurité alimentaire,
2017-2018,Yukon,Couple sans enfant,Sécurité alimentaire,91.3
2015-2016,Yukon,Couple sans enfant,Food insecure marginal,
2017-2018,Yukon,Couple sans enfant,Food insecure marginal,
2015-2016,Yukon,Couple sans enfant,Food insecure moderate and severe,
2017-2018,Yukon,Couple sans enfant,Food insecure moderate and severe,6.3
2015-2016,Yukon,Couple avec enfant(s) de moins de 18 ans,Sécurité alimentaire,
2017-2018,Yukon,Couple avec enfant(s) de moins de 18 ans,Sécurité alimentaire,89.4
2015-2016,Yukon,Couple avec enfant(s) de moins de 18 ans,Food insecure marginal,
2017-2018,Yukon,Couple avec enfant(s) de moins de 18 ans,Food insecure marginal,
2015-2016,Yukon,Couple avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,
2017-2018,Yukon,Couple avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,
2015-2016,Yukon,Mère monoparentale avec enfant(s) de moins de 18 ans,Sécurité alimentaire,
2017-2018,Yukon,Mère monoparentale avec enfant(s) de moins de 18 ans,Sécurité alimentaire,63.8
2015-2016,Yukon,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure marginal,
2017-2018,Yukon,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure marginal,
2015-2016,Yukon,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,
2017-2018,Yukon,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,
2015-2016,Yukon,Père monoparental avec enfant(s) de moins de 18 ans,Sécurité alimentaire,
2017-2018,Yukon,Père monoparental avec enfant(s) de moins de 18 ans,Sécurité alimentaire,
2015-2016,Yukon,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure marginal,
2017-2018,Yukon,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure marginal,
2015-2016,Yukon,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,
2017-2018,Yukon,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,
2015-2016,Yukon,Autres dispositions de vie,Sécurité alimentaire,
2017-2018,Yukon,Autres dispositions de vie,Sécurité alimentaire,75.2
2015-2016,Yukon,Autres dispositions de vie,Food insecure marginal,
2017-2018,Yukon,Autres dispositions de vie,Food insecure marginal,
2015-2016,Yukon,Autres dispositions de vie,Food insecure moderate and severe,
2017-2018,Yukon,Autres dispositions de vie,Food insecure moderate and severe,20.4
2015-2016,Territoires du Nord-Ouest,Total all living arrangements,Sécurité alimentaire,79.7
2017-2018,Territoires du Nord-Ouest,Total all living arrangements,Sécurité alimentaire,78.4
2015-2016,Territoires du Nord-Ouest,Total all living arrangements,Food insecure marginal,5.6
2017-2018,Territoires du Nord-Ouest,Total all living arrangements,Food insecure marginal,5.7
2015-2016,Territoires du Nord-Ouest,Total all living arrangements,Food insecure moderate and severe,14.7
2017-2018,Territoires du Nord-Ouest,Total all living arrangements,Food insecure moderate and severe,16.0
2015-2016,Territoires du Nord-Ouest,Femme vivant seule,Sécurité alimentaire,85.9
2017-2018,Territoires du Nord-Ouest,Femme vivant seule,Sécurité alimentaire,81.7
2015-2016,Territoires du Nord-Ouest,Femme vivant seule,Food insecure marginal,
2017-2018,Territoires du Nord-Ouest,Femme vivant seule,Food insecure marginal,
2015-2016,Territoires du Nord-Ouest,Femme vivant seule,Food insecure moderate and severe,
2017-2018,Territoires du Nord-Ouest,Femme vivant seule,Food insecure moderate and severe,15.5
2015-2016,Territoires du Nord-Ouest,Homme vivant seul,Sécurité alimentaire,70.6
2017-2018,Territoires du Nord-Ouest,Homme vivant seul,Sécurité alimentaire,77.0
2015-2016,Territoires du Nord-Ouest,Homme vivant seul,Food insecure marginal,
2017-2018,Territoires du Nord-Ouest,Homme vivant seul,Food insecure marginal,
2015-2016,Territoires du Nord-Ouest,Homme vivant seul,Food insecure moderate and severe,24.4
2017-2018,Territoires du Nord-Ouest,Homme vivant seul,Food insecure moderate and severe,19.8
2015-2016,Territoires du Nord-Ouest,Couple sans enfant,Sécurité alimentaire,93.4
2017-2018,Territoires du Nord-Ouest,Couple sans enfant,Sécurité alimentaire,85.6
2015-2016,Territoires du Nord-Ouest,Couple sans enfant,Food insecure marginal,
2017-2018,Territoires du Nord-Ouest,Couple sans enfant,Food insecure marginal,8.2
2015-2016,Territoires du Nord-Ouest,Couple sans enfant,Food insecure moderate and severe,
2017-2018,Territoires du Nord-Ouest,Couple sans enfant,Food insecure moderate and severe,6.2
2015-2016,Territoires du Nord-Ouest,Couple avec enfant(s) de moins de 18 ans,Sécurité alimentaire,78.7
2017-2018,Territoires du Nord-Ouest,Couple avec enfant(s) de moins de 18 ans,Sécurité alimentaire,82.4
2015-2016,Territoires du Nord-Ouest,Couple avec enfant(s) de moins de 18 ans,Food insecure marginal,
2017-2018,Territoires du Nord-Ouest,Couple avec enfant(s) de moins de 18 ans,Food insecure marginal,
2015-2016,Territoires du Nord-Ouest,Couple avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,16.0
2017-2018,Territoires du Nord-Ouest,Couple avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,12.1
2015-2016,Territoires du Nord-Ouest,Mère monoparentale avec enfant(s) de moins de 18 ans,Sécurité alimentaire,53.3
2017-2018,Territoires du Nord-Ouest,Mère monoparentale avec enfant(s) de moins de 18 ans,Sécurité alimentaire,45.1
2015-2016,Territoires du Nord-Ouest,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure marginal,
2017-2018,Territoires du Nord-Ouest,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure marginal,
2015-2016,Territoires du Nord-Ouest,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,28.8
2017-2018,Territoires du Nord-Ouest,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,47.6
2015-2016,Territoires du Nord-Ouest,Père monoparental avec enfant(s) de moins de 18 ans,Sécurité alimentaire,
2017-2018,Territoires du Nord-Ouest,Père monoparental avec enfant(s) de moins de 18 ans,Sécurité alimentaire,
2015-2016,Territoires du Nord-Ouest,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure marginal,
2017-2018,Territoires du Nord-Ouest,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure marginal,
2015-2016,Territoires du Nord-Ouest,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,
2017-2018,Territoires du Nord-Ouest,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,
2015-2016,Territoires du Nord-Ouest,Autres dispositions de vie,Sécurité alimentaire,77.6
2017-2018,Territoires du Nord-Ouest,Autres dispositions de vie,Sécurité alimentaire,73.2
2015-2016,Territoires du Nord-Ouest,Autres dispositions de vie,Food insecure marginal,5.8
2017-2018,Territoires du Nord-Ouest,Autres dispositions de vie,Food insecure marginal,
2015-2016,Territoires du Nord-Ouest,Autres dispositions de vie,Food insecure moderate and severe,16.6
2017-2018,Territoires du Nord-Ouest,Autres dispositions de vie,Food insecure moderate and severe,20.6
2015-2016,Nunavut,Total all living arrangements,Sécurité alimentaire,47.9
2017-2018,Nunavut,Total all living arrangements,Sécurité alimentaire,43.1
2015-2016,Nunavut,Total all living arrangements,Food insecure marginal,6.0
2017-2018,Nunavut,Total all living arrangements,Food insecure marginal,7.6
2015-2016,Nunavut,Total all living arrangements,Food insecure moderate and severe,46.1
2017-2018,Nunavut,Total all living arrangements,Food insecure moderate and severe,49.4
2015-2016,Nunavut,Femme vivant seule,Sécurité alimentaire,72.2
2017-2018,Nunavut,Femme vivant seule,Sécurité alimentaire,73.9
2015-2016,Nunavut,Femme vivant seule,Food insecure marginal,
2017-2018,Nunavut,Femme vivant seule,Food insecure marginal,
2015-2016,Nunavut,Femme vivant seule,Food insecure moderate and severe,
2017-2018,Nunavut,Femme vivant seule,Food insecure moderate and severe,
2015-2016,Nunavut,Homme vivant seul,Sécurité alimentaire,66.0
2017-2018,Nunavut,Homme vivant seul,Sécurité alimentaire,63.0
2015-2016,Nunavut,Homme vivant seul,Food insecure marginal,
2017-2018,Nunavut,Homme vivant seul,Food insecure marginal,
2015-2016,Nunavut,Homme vivant seul,Food insecure moderate and severe,31.8
2017-2018,Nunavut,Homme vivant seul,Food insecure moderate and severe,36.3
2015-2016,Nunavut,Couple sans enfant,Sécurité alimentaire,83.2
2017-2018,Nunavut,Couple sans enfant,Sécurité alimentaire,80.6
