Year,Géographie,data.Type of work,data.National Occupational Classification (NOC),Groupe d'âge,Value
2015,Canada,data.Full-time employees,data.Occupations in education - law and social - community and government services [4],15 ans et plus,0.78
2016,Canada,data.Full-time employees,data.Occupations in education - law and social - community and government services [4],15 ans et plus,0.77
2017,Canada,data.Full-time employees,data.Occupations in education - law and social - community and government services [4],15 ans et plus,0.77
2018,Canada,data.Full-time employees,data.Occupations in education - law and social - community and government services [4],15 ans et plus,0.78
2019,Canada,data.Full-time employees,data.Occupations in education - law and social - community and government services [4],15 ans et plus,0.77
2020,Canada,data.Full-time employees,data.Occupations in education - law and social - community and government services [4],15 ans et plus,0.79
2015,Canada,data.Full-time employees,data.Occupations in education - law and social - community and government services [4],15 à 24 ans,1.13
2016,Canada,data.Full-time employees,data.Occupations in education - law and social - community and government services [4],15 à 24 ans,0.9
2017,Canada,data.Full-time employees,data.Occupations in education - law and social - community and government services [4],15 à 24 ans,0.83
2018,Canada,data.Full-time employees,data.Occupations in education - law and social - community and government services [4],15 à 24 ans,0.91
2019,Canada,data.Full-time employees,data.Occupations in education - law and social - community and government services [4],15 à 24 ans,0.94
2020,Canada,data.Full-time employees,data.Occupations in education - law and social - community and government services [4],15 à 24 ans,0.95
2015,Canada,data.Full-time employees,data.Occupations in education - law and social - community and government services [4],25 à 54 ans,0.8
2016,Canada,data.Full-time employees,data.Occupations in education - law and social - community and government services [4],25 à 54 ans,0.79
2017,Canada,data.Full-time employees,data.Occupations in education - law and social - community and government services [4],25 à 54 ans,0.79
2018,Canada,data.Full-time employees,data.Occupations in education - law and social - community and government services [4],25 à 54 ans,0.8
2019,Canada,data.Full-time employees,data.Occupations in education - law and social - community and government services [4],25 à 54 ans,0.8
2020,Canada,data.Full-time employees,data.Occupations in education - law and social - community and government services [4],25 à 54 ans,0.82
2015,Canada,data.Full-time employees,data.Occupations in education - law and social - community and government services [4],55 ans et plus,0.75
2016,Canada,data.Full-time employees,data.Occupations in education - law and social - community and government services [4],55 ans et plus,0.73
2017,Canada,data.Full-time employees,data.Occupations in education - law and social - community and government services [4],55 ans et plus,0.71
2018,Canada,data.Full-time employees,data.Occupations in education - law and social - community and government services [4],55 ans et plus,0.76
2019,Canada,data.Full-time employees,data.Occupations in education - law and social - community and government services [4],55 ans et plus,0.7
2020,Canada,data.Full-time employees,data.Occupations in education - law and social - community and government services [4],55 ans et plus,0.7
2015,Canada,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],15 ans et plus,0.92
2016,Canada,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],15 ans et plus,0.9
2017,Canada,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],15 ans et plus,0.92
2018,Canada,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],15 ans et plus,0.91
2019,Canada,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],15 ans et plus,0.89
2020,Canada,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],15 ans et plus,0.93
2015,Canada,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],15 à 24 ans,0.87
2016,Canada,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],15 à 24 ans,0.97
2017,Canada,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],15 à 24 ans,0.95
2018,Canada,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],15 à 24 ans,1.0
2019,Canada,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],15 à 24 ans,0.96
2020,Canada,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],15 à 24 ans,0.88
2015,Canada,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],25 à 54 ans,0.96
2016,Canada,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],25 à 54 ans,0.91
2017,Canada,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],25 à 54 ans,0.92
2018,Canada,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],25 à 54 ans,0.9
2019,Canada,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],25 à 54 ans,0.9
2020,Canada,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],25 à 54 ans,0.96
2015,Canada,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],55 ans et plus,1.02
2016,Canada,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],55 ans et plus,0.85
2017,Canada,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],55 ans et plus,0.82
2018,Canada,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],55 ans et plus,1.13
2019,Canada,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],55 ans et plus,1.0
2020,Canada,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],55 ans et plus,0.88
2015,Canada,data.Full-time employees,data.Sales and service occupations [6],15 ans et plus,0.86
2016,Canada,data.Full-time employees,data.Sales and service occupations [6],15 ans et plus,0.88
2017,Canada,data.Full-time employees,data.Sales and service occupations [6],15 ans et plus,0.85
2018,Canada,data.Full-time employees,data.Sales and service occupations [6],15 ans et plus,0.89
2019,Canada,data.Full-time employees,data.Sales and service occupations [6],15 ans et plus,0.89
2020,Canada,data.Full-time employees,data.Sales and service occupations [6],15 ans et plus,0.9
2015,Canada,data.Full-time employees,data.Sales and service occupations [6],15 à 24 ans,1.0
2016,Canada,data.Full-time employees,data.Sales and service occupations [6],15 à 24 ans,1.0
2017,Canada,data.Full-time employees,data.Sales and service occupations [6],15 à 24 ans,1.0
2018,Canada,data.Full-time employees,data.Sales and service occupations [6],15 à 24 ans,1.0
2019,Canada,data.Full-time employees,data.Sales and service occupations [6],15 à 24 ans,1.0
2020,Canada,data.Full-time employees,data.Sales and service occupations [6],15 à 24 ans,1.0
2015,Canada,data.Full-time employees,data.Sales and service occupations [6],25 à 54 ans,0.84
2016,Canada,data.Full-time employees,data.Sales and service occupations [6],25 à 54 ans,0.84
2017,Canada,data.Full-time employees,data.Sales and service occupations [6],25 à 54 ans,0.86
2018,Canada,data.Full-time employees,data.Sales and service occupations [6],25 à 54 ans,0.86
2019,Canada,data.Full-time employees,data.Sales and service occupations [6],25 à 54 ans,0.9
2020,Canada,data.Full-time employees,data.Sales and service occupations [6],25 à 54 ans,0.88
2015,Canada,data.Full-time employees,data.Sales and service occupations [6],55 ans et plus,0.84
2016,Canada,data.Full-time employees,data.Sales and service occupations [6],55 ans et plus,0.88
2017,Canada,data.Full-time employees,data.Sales and service occupations [6],55 ans et plus,0.83
2018,Canada,data.Full-time employees,data.Sales and service occupations [6],55 ans et plus,0.86
2019,Canada,data.Full-time employees,data.Sales and service occupations [6],55 ans et plus,0.85
2020,Canada,data.Full-time employees,data.Sales and service occupations [6],55 ans et plus,0.82
2015,Canada,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],15 ans et plus,0.72
2016,Canada,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],15 ans et plus,0.72
2017,Canada,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],15 ans et plus,0.79
2018,Canada,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],15 ans et plus,0.78
2019,Canada,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],15 ans et plus,0.76
2020,Canada,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],15 ans et plus,0.76
2015,Canada,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],15 à 24 ans,0.89
2016,Canada,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],15 à 24 ans,0.8
2017,Canada,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],15 à 24 ans,0.92
2018,Canada,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],15 à 24 ans,0.89
2019,Canada,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],15 à 24 ans,0.86
2020,Canada,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],15 à 24 ans,0.9
2015,Canada,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],25 à 54 ans,0.74
2016,Canada,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],25 à 54 ans,0.73
2017,Canada,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],25 à 54 ans,0.74
2018,Canada,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],25 à 54 ans,0.78
2019,Canada,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],25 à 54 ans,0.75
2020,Canada,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],25 à 54 ans,0.76
2015,Canada,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],55 ans et plus,0.64
2016,Canada,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],55 ans et plus,0.69
2017,Canada,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],55 ans et plus,0.77
2018,Canada,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],55 ans et plus,0.75
2019,Canada,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],55 ans et plus,0.73
2020,Canada,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],55 ans et plus,0.77
2015,Canada,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],15 ans et plus,0.64
2016,Canada,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],15 ans et plus,0.71
2017,Canada,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],15 ans et plus,0.73
2018,Canada,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],15 ans et plus,0.68
2019,Canada,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],15 ans et plus,0.72
2020,Canada,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],15 ans et plus,0.73
2015,Canada,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],15 à 24 ans,0.86
2016,Canada,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],15 à 24 ans,0.88
2017,Canada,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],15 à 24 ans,0.91
2018,Canada,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],15 à 24 ans,0.87
2019,Canada,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],15 à 24 ans,0.92
2020,Canada,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],15 à 24 ans,0.9
2015,Canada,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],25 à 54 ans,0.6
2016,Canada,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],25 à 54 ans,0.66
2017,Canada,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],25 à 54 ans,0.68
2018,Canada,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],25 à 54 ans,0.66
2019,Canada,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],25 à 54 ans,0.71
2020,Canada,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],25 à 54 ans,0.74
2015,Canada,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],55 ans et plus,0.6
2016,Canada,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],55 ans et plus,0.64
2017,Canada,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],55 ans et plus,0.64
2018,Canada,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],55 ans et plus,0.71
2019,Canada,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],55 ans et plus,0.72
2020,Canada,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],55 ans et plus,0.72
2015,Canada,data.Full-time employees,data.Occupations in manufacturing and utilities [9],15 ans et plus,0.75
2016,Canada,data.Full-time employees,data.Occupations in manufacturing and utilities [9],15 ans et plus,0.76
2017,Canada,data.Full-time employees,data.Occupations in manufacturing and utilities [9],15 ans et plus,0.76
2018,Canada,data.Full-time employees,data.Occupations in manufacturing and utilities [9],15 ans et plus,0.77
2019,Canada,data.Full-time employees,data.Occupations in manufacturing and utilities [9],15 ans et plus,0.75
2020,Canada,data.Full-time employees,data.Occupations in manufacturing and utilities [9],15 ans et plus,0.76
2015,Canada,data.Full-time employees,data.Occupations in manufacturing and utilities [9],15 à 24 ans,0.92
2016,Canada,data.Full-time employees,data.Occupations in manufacturing and utilities [9],15 à 24 ans,0.88
2017,Canada,data.Full-time employees,data.Occupations in manufacturing and utilities [9],15 à 24 ans,0.89
2018,Canada,data.Full-time employees,data.Occupations in manufacturing and utilities [9],15 à 24 ans,0.97
2019,Canada,data.Full-time employees,data.Occupations in manufacturing and utilities [9],15 à 24 ans,0.92
2020,Canada,data.Full-time employees,data.Occupations in manufacturing and utilities [9],15 à 24 ans,0.92
2015,Canada,data.Full-time employees,data.Occupations in manufacturing and utilities [9],25 à 54 ans,0.74
2016,Canada,data.Full-time employees,data.Occupations in manufacturing and utilities [9],25 à 54 ans,0.73
2017,Canada,data.Full-time employees,data.Occupations in manufacturing and utilities [9],25 à 54 ans,0.76
2018,Canada,data.Full-time employees,data.Occupations in manufacturing and utilities [9],25 à 54 ans,0.76
2019,Canada,data.Full-time employees,data.Occupations in manufacturing and utilities [9],25 à 54 ans,0.73
2020,Canada,data.Full-time employees,data.Occupations in manufacturing and utilities [9],25 à 54 ans,0.74
2015,Canada,data.Full-time employees,data.Occupations in manufacturing and utilities [9],55 ans et plus,0.69
2016,Canada,data.Full-time employees,data.Occupations in manufacturing and utilities [9],55 ans et plus,0.73
2017,Canada,data.Full-time employees,data.Occupations in manufacturing and utilities [9],55 ans et plus,0.76
2018,Canada,data.Full-time employees,data.Occupations in manufacturing and utilities [9],55 ans et plus,0.75
2019,Canada,data.Full-time employees,data.Occupations in manufacturing and utilities [9],55 ans et plus,0.74
2020,Canada,data.Full-time employees,data.Occupations in manufacturing and utilities [9],55 ans et plus,0.74
2015,Canada,data.Part-time employees,data.Total employees - all occupations,15 ans et plus,1.17
2016,Canada,data.Part-time employees,data.Total employees - all occupations,15 ans et plus,1.16
2017,Canada,data.Part-time employees,data.Total employees - all occupations,15 ans et plus,1.15
2018,Canada,data.Part-time employees,data.Total employees - all occupations,15 ans et plus,1.07
2019,Canada,data.Part-time employees,data.Total employees - all occupations,15 ans et plus,1.07
2020,Canada,data.Part-time employees,data.Total employees - all occupations,15 ans et plus,1.13
2015,Canada,data.Part-time employees,data.Total employees - all occupations,15 à 24 ans,1.0
2016,Canada,data.Part-time employees,data.Total employees - all occupations,15 à 24 ans,0.99
2017,Canada,data.Part-time employees,data.Total employees - all occupations,15 à 24 ans,1.0
2018,Canada,data.Part-time employees,data.Total employees - all occupations,15 à 24 ans,1.0
2019,Canada,data.Part-time employees,data.Total employees - all occupations,15 à 24 ans,1.0
2020,Canada,data.Part-time employees,data.Total employees - all occupations,15 à 24 ans,1.02
2015,Canada,data.Part-time employees,data.Total employees - all occupations,25 à 54 ans,1.06
2016,Canada,data.Part-time employees,data.Total employees - all occupations,25 à 54 ans,1.07
2017,Canada,data.Part-time employees,data.Total employees - all occupations,25 à 54 ans,1.08
2018,Canada,data.Part-time employees,data.Total employees - all occupations,25 à 54 ans,1.11
2019,Canada,data.Part-time employees,data.Total employees - all occupations,25 à 54 ans,1.11
2020,Canada,data.Part-time employees,data.Total employees - all occupations,25 à 54 ans,1.05
2015,Canada,data.Part-time employees,data.Total employees - all occupations,55 ans et plus,1.0
2016,Canada,data.Part-time employees,data.Total employees - all occupations,55 ans et plus,1.06
2017,Canada,data.Part-time employees,data.Total employees - all occupations,55 ans et plus,1.03
2018,Canada,data.Part-time employees,data.Total employees - all occupations,55 ans et plus,1.03
2019,Canada,data.Part-time employees,data.Total employees - all occupations,55 ans et plus,1.05
2020,Canada,data.Part-time employees,data.Total employees - all occupations,55 ans et plus,1.0
2015,Canada,data.Part-time employees,data.Management occupations [0],15 ans et plus,0.87
2016,Canada,data.Part-time employees,data.Management occupations [0],15 ans et plus,0.83
2017,Canada,data.Part-time employees,data.Management occupations [0],15 ans et plus,1.01
2018,Canada,data.Part-time employees,data.Management occupations [0],15 ans et plus,1.01
2019,Canada,data.Part-time employees,data.Management occupations [0],15 ans et plus,0.88
2020,Canada,data.Part-time employees,data.Management occupations [0],15 ans et plus,0.96
2015,Canada,data.Part-time employees,data.Management occupations [0],15 à 24 ans,
2016,Canada,data.Part-time employees,data.Management occupations [0],15 à 24 ans,
2017,Canada,data.Part-time employees,data.Management occupations [0],15 à 24 ans,
2018,Canada,data.Part-time employees,data.Management occupations [0],15 à 24 ans,
2019,Canada,data.Part-time employees,data.Management occupations [0],15 à 24 ans,
2020,Canada,data.Part-time employees,data.Management occupations [0],15 à 24 ans,
2015,Canada,data.Part-time employees,data.Management occupations [0],25 à 54 ans,0.87
2016,Canada,data.Part-time employees,data.Management occupations [0],25 à 54 ans,0.81
2017,Canada,data.Part-time employees,data.Management occupations [0],25 à 54 ans,1.18
2018,Canada,data.Part-time employees,data.Management occupations [0],25 à 54 ans,0.99
2019,Canada,data.Part-time employees,data.Management occupations [0],25 à 54 ans,0.97
2020,Canada,data.Part-time employees,data.Management occupations [0],25 à 54 ans,1.05
2015,Canada,data.Part-time employees,data.Management occupations [0],55 ans et plus,0.86
2016,Canada,data.Part-time employees,data.Management occupations [0],55 ans et plus,0.9
2017,Canada,data.Part-time employees,data.Management occupations [0],55 ans et plus,0.93
2018,Canada,data.Part-time employees,data.Management occupations [0],55 ans et plus,1.13
2019,Canada,data.Part-time employees,data.Management occupations [0],55 ans et plus,1.09
2020,Canada,data.Part-time employees,data.Management occupations [0],55 ans et plus,1.02
2015,Canada,data.Part-time employees,data.Business - finance and administration occupations [1],15 ans et plus,1.26
2016,Canada,data.Part-time employees,data.Business - finance and administration occupations [1],15 ans et plus,1.26
2017,Canada,data.Part-time employees,data.Business - finance and administration occupations [1],15 ans et plus,1.15
2018,Canada,data.Part-time employees,data.Business - finance and administration occupations [1],15 ans et plus,1.17
2019,Canada,data.Part-time employees,data.Business - finance and administration occupations [1],15 ans et plus,1.19
2020,Canada,data.Part-time employees,data.Business - finance and administration occupations [1],15 ans et plus,1.0
2015,Canada,data.Part-time employees,data.Business - finance and administration occupations [1],15 à 24 ans,1.07
2016,Canada,data.Part-time employees,data.Business - finance and administration occupations [1],15 à 24 ans,1.04
2017,Canada,data.Part-time employees,data.Business - finance and administration occupations [1],15 à 24 ans,1.0
2018,Canada,data.Part-time employees,data.Business - finance and administration occupations [1],15 à 24 ans,0.95
2019,Canada,data.Part-time employees,data.Business - finance and administration occupations [1],15 à 24 ans,1.0
2020,Canada,data.Part-time employees,data.Business - finance and administration occupations [1],15 à 24 ans,0.94
2015,Canada,data.Part-time employees,data.Business - finance and administration occupations [1],25 à 54 ans,1.22
2016,Canada,data.Part-time employees,data.Business - finance and administration occupations [1],25 à 54 ans,1.03
2017,Canada,data.Part-time employees,data.Business - finance and administration occupations [1],25 à 54 ans,1.03
2018,Canada,data.Part-time employees,data.Business - finance and administration occupations [1],25 à 54 ans,1.05
2019,Canada,data.Part-time employees,data.Business - finance and administration occupations [1],25 à 54 ans,1.05
2020,Canada,data.Part-time employees,data.Business - finance and administration occupations [1],25 à 54 ans,0.99
2015,Canada,data.Part-time employees,data.Business - finance and administration occupations [1],55 ans et plus,0.89
2016,Canada,data.Part-time employees,data.Business - finance and administration occupations [1],55 ans et plus,0.99
2017,Canada,data.Part-time employees,data.Business - finance and administration occupations [1],55 ans et plus,1.0
2018,Canada,data.Part-time employees,data.Business - finance and administration occupations [1],55 ans et plus,1.0
2019,Canada,data.Part-time employees,data.Business - finance and administration occupations [1],55 ans et plus,1.07
2020,Canada,data.Part-time employees,data.Business - finance and administration occupations [1],55 ans et plus,0.89
2015,Canada,data.Part-time employees,data.Natural and applied sciences and related occupations [2],15 ans et plus,0.87
2016,Canada,data.Part-time employees,data.Natural and applied sciences and related occupations [2],15 ans et plus,0.96
2017,Canada,data.Part-time employees,data.Natural and applied sciences and related occupations [2],15 ans et plus,0.89
2018,Canada,data.Part-time employees,data.Natural and applied sciences and related occupations [2],15 ans et plus,0.89
2019,Canada,data.Part-time employees,data.Natural and applied sciences and related occupations [2],15 ans et plus,0.79
2020,Canada,data.Part-time employees,data.Natural and applied sciences and related occupations [2],15 ans et plus,0.93
2015,Canada,data.Part-time employees,data.Natural and applied sciences and related occupations [2],15 à 24 ans,0.9
2016,Canada,data.Part-time employees,data.Natural and applied sciences and related occupations [2],15 à 24 ans,0.94
2017,Canada,data.Part-time employees,data.Natural and applied sciences and related occupations [2],15 à 24 ans,1.01
2018,Canada,data.Part-time employees,data.Natural and applied sciences and related occupations [2],15 à 24 ans,1.0
2019,Canada,data.Part-time employees,data.Natural and applied sciences and related occupations [2],15 à 24 ans,0.8
2020,Canada,data.Part-time employees,data.Natural and applied sciences and related occupations [2],15 à 24 ans,0.95
2015,Canada,data.Part-time employees,data.Natural and applied sciences and related occupations [2],25 à 54 ans,0.84
2016,Canada,data.Part-time employees,data.Natural and applied sciences and related occupations [2],25 à 54 ans,1.04
2017,Canada,data.Part-time employees,data.Natural and applied sciences and related occupations [2],25 à 54 ans,0.95
2018,Canada,data.Part-time employees,data.Natural and applied sciences and related occupations [2],25 à 54 ans,0.9
2019,Canada,data.Part-time employees,data.Natural and applied sciences and related occupations [2],25 à 54 ans,0.8
2020,Canada,data.Part-time employees,data.Natural and applied sciences and related occupations [2],25 à 54 ans,1.01
2015,Canada,data.Part-time employees,data.Natural and applied sciences and related occupations [2],55 ans et plus,
2016,Canada,data.Part-time employees,data.Natural and applied sciences and related occupations [2],55 ans et plus,1.0
2017,Canada,data.Part-time employees,data.Natural and applied sciences and related occupations [2],55 ans et plus,0.7
2018,Canada,data.Part-time employees,data.Natural and applied sciences and related occupations [2],55 ans et plus,0.83
2019,Canada,data.Part-time employees,data.Natural and applied sciences and related occupations [2],55 ans et plus,
2020,Canada,data.Part-time employees,data.Natural and applied sciences and related occupations [2],55 ans et plus,0.9
2015,Canada,data.Part-time employees,data.Health occupations [3],15 ans et plus,1.13
2016,Canada,data.Part-time employees,data.Health occupations [3],15 ans et plus,1.04
2017,Canada,data.Part-time employees,data.Health occupations [3],15 ans et plus,1.09
2018,Canada,data.Part-time employees,data.Health occupations [3],15 ans et plus,1.16
2019,Canada,data.Part-time employees,data.Health occupations [3],15 ans et plus,1.09
2020,Canada,data.Part-time employees,data.Health occupations [3],15 ans et plus,1.18
2015,Canada,data.Part-time employees,data.Health occupations [3],15 à 24 ans,0.98
2016,Canada,data.Part-time employees,data.Health occupations [3],15 à 24 ans,1.24
2017,Canada,data.Part-time employees,data.Health occupations [3],15 à 24 ans,1.13
2018,Canada,data.Part-time employees,data.Health occupations [3],15 à 24 ans,1.09
2019,Canada,data.Part-time employees,data.Health occupations [3],15 à 24 ans,1.13
2020,Canada,data.Part-time employees,data.Health occupations [3],15 à 24 ans,1.06
2015,Canada,data.Part-time employees,data.Health occupations [3],25 à 54 ans,1.16
2016,Canada,data.Part-time employees,data.Health occupations [3],25 à 54 ans,1.04
2017,Canada,data.Part-time employees,data.Health occupations [3],25 à 54 ans,1.13
2018,Canada,data.Part-time employees,data.Health occupations [3],25 à 54 ans,1.19
2019,Canada,data.Part-time employees,data.Health occupations [3],25 à 54 ans,1.12
2020,Canada,data.Part-time employees,data.Health occupations [3],25 à 54 ans,1.15
2015,Canada,data.Part-time employees,data.Health occupations [3],55 ans et plus,0.97
2016,Canada,data.Part-time employees,data.Health occupations [3],55 ans et plus,0.82
2017,Canada,data.Part-time employees,data.Health occupations [3],55 ans et plus,0.97
2018,Canada,data.Part-time employees,data.Health occupations [3],55 ans et plus,1.13
2019,Canada,data.Part-time employees,data.Health occupations [3],55 ans et plus,1.32
2020,Canada,data.Part-time employees,data.Health occupations [3],55 ans et plus,1.15
2015,Canada,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],15 ans et plus,0.92
2016,Canada,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],15 ans et plus,0.95
2017,Canada,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],15 ans et plus,0.88
2018,Canada,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],15 ans et plus,0.89
2019,Canada,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],15 ans et plus,0.86
2020,Canada,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],15 ans et plus,0.92
2015,Canada,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],15 à 24 ans,0.99
2016,Canada,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],15 à 24 ans,1.0
2017,Canada,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],15 à 24 ans,0.92
2018,Canada,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],15 à 24 ans,0.94
2019,Canada,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],15 à 24 ans,0.92
2020,Canada,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],15 à 24 ans,0.97
2015,Canada,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],25 à 54 ans,0.85
2016,Canada,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],25 à 54 ans,0.87
2017,Canada,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],25 à 54 ans,0.91
2018,Canada,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],25 à 54 ans,0.89
2019,Canada,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],25 à 54 ans,0.85
2020,Canada,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],25 à 54 ans,0.88
2015,Canada,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],55 ans et plus,0.68
2016,Canada,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],55 ans et plus,0.88
2017,Canada,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],55 ans et plus,0.7
2018,Canada,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],55 ans et plus,0.69
2019,Canada,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],55 ans et plus,0.75
2020,Canada,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],55 ans et plus,0.79
2015,Canada,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],15 ans et plus,1.08
2016,Canada,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],15 ans et plus,1.0
2017,Canada,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],15 ans et plus,1.0
2018,Canada,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],15 ans et plus,1.03
2019,Canada,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],15 ans et plus,1.01
2020,Canada,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],15 ans et plus,1.0
2015,Canada,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],15 à 24 ans,1.08
2016,Canada,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],15 à 24 ans,0.93
2017,Canada,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],15 à 24 ans,0.96
2018,Canada,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],15 à 24 ans,1.0
2019,Canada,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],15 à 24 ans,1.02
2020,Canada,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],15 à 24 ans,1.03
2015,Canada,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],25 à 54 ans,0.93
2016,Canada,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],25 à 54 ans,1.0
2017,Canada,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],25 à 54 ans,1.1
2018,Canada,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],25 à 54 ans,0.98
2019,Canada,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],25 à 54 ans,1.06
2020,Canada,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],25 à 54 ans,0.86
