Year,Géographie,Situation géographique,Régions métropolitaines de recensement sélectionnées,Mode d'occupation,GeoCode,Value
2021,Canada,Census metropolitan areas,"Total, régions métropolitaines de recensement","Total, tenure",,10.6
2021,Canada,Census metropolitan areas,"Total, régions métropolitaines de recensement",Propriétaire,,5.3
2021,Canada,Census metropolitan areas,"Total, régions métropolitaines de recensement",Owner who is a first-time homebuyer,,4.0
2021,Canada,Census metropolitan areas,"Total, régions métropolitaines de recensement",Owner who is not a first-time homebuyer,,5.5
2021,Canada,Census metropolitan areas,"Total, régions métropolitaines de recensement",Locataire,,20.0
2021,Canada,Census metropolitan areas,"Total, régions métropolitaines de recensement",Renter not in social and affordable housing,,19.3
2021,Canada,Census metropolitan areas,"Total, régions métropolitaines de recensement",Renter in social and affordable housing,,27.0
2021,Terre-Neuve-et-Labrador,Census metropolitan areas,"St. John's, Terre-Neuve-et-Labrador","Total, tenure",10,7.1
2021,Terre-Neuve-et-Labrador,Census metropolitan areas,"St. John's, Terre-Neuve-et-Labrador",Propriétaire,10,2.5
2021,Terre-Neuve-et-Labrador,Census metropolitan areas,"St. John's, Terre-Neuve-et-Labrador",Owner who is not a first-time homebuyer,10,2.5
2021,Terre-Neuve-et-Labrador,Census metropolitan areas,"St. John's, Terre-Neuve-et-Labrador",Locataire,10,18.4
2021,Terre-Neuve-et-Labrador,Census metropolitan areas,"St. John's, Terre-Neuve-et-Labrador",Renter not in social and affordable housing,10,14.3
2021,Terre-Neuve-et-Labrador,Census metropolitan areas,"St. John's, Terre-Neuve-et-Labrador",Renter in social and affordable housing,10,38.0
2021,Nouvelle-Écosse,Census metropolitan areas,"Halifax, Nouvelle-Écosse","Total, tenure",12,10.6
2021,Nouvelle-Écosse,Census metropolitan areas,"Halifax, Nouvelle-Écosse",Propriétaire,12,4.6
2021,Nouvelle-Écosse,Census metropolitan areas,"Halifax, Nouvelle-Écosse",Owner who is not a first-time homebuyer,12,4.8
2021,Nouvelle-Écosse,Census metropolitan areas,"Halifax, Nouvelle-Écosse",Locataire,12,19.6
2021,Nouvelle-Écosse,Census metropolitan areas,"Halifax, Nouvelle-Écosse",Renter not in social and affordable housing,12,17.2
2021,Nouvelle-Écosse,Census metropolitan areas,"Halifax, Nouvelle-Écosse",Renter in social and affordable housing,12,48.0
2021,Nouveau-Brunswick,Census metropolitan areas,"Moncton, Nouveau-Brunswick","Total, tenure",13,6.3
2021,Nouveau-Brunswick,Census metropolitan areas,"Moncton, Nouveau-Brunswick",Propriétaire,13,2.0
2021,Nouveau-Brunswick,Census metropolitan areas,"Moncton, Nouveau-Brunswick",Owner who is not a first-time homebuyer,13,2.5
2021,Nouveau-Brunswick,Census metropolitan areas,"Moncton, Nouveau-Brunswick",Locataire,13,15.8
2021,Nouveau-Brunswick,Census metropolitan areas,"Moncton, Nouveau-Brunswick",Renter not in social and affordable housing,13,14.4
2021,Nouveau-Brunswick,Census metropolitan areas,"Moncton, Nouveau-Brunswick",Renter in social and affordable housing,13,28.0
2021,Nouveau-Brunswick,Census metropolitan areas,"Saint John, Nouveau-Brunswick","Total, tenure",13,5.0
2021,Nouveau-Brunswick,Census metropolitan areas,"Saint John, Nouveau-Brunswick",Propriétaire,13,2.2
2021,Nouveau-Brunswick,Census metropolitan areas,"Saint John, Nouveau-Brunswick",Owner who is not a first-time homebuyer,13,2.0
2021,Nouveau-Brunswick,Census metropolitan areas,"Saint John, Nouveau-Brunswick",Locataire,13,11.6
2021,Nouveau-Brunswick,Census metropolitan areas,"Saint John, Nouveau-Brunswick",Renter not in social and affordable housing,13,10.7
2021,Nouveau-Brunswick,Census metropolitan areas,"Saint John, Nouveau-Brunswick",Renter in social and affordable housing,13,16.6
2021,Québec,Census metropolitan areas,"Québec, Québec","Total, tenure",24,5.0
2021,Québec,Census metropolitan areas,"Québec, Québec",Propriétaire,24,0.7
2021,Québec,Census metropolitan areas,"Québec, Québec",Owner who is not a first-time homebuyer,24,0.8
2021,Québec,Census metropolitan areas,"Québec, Québec",Locataire,24,11.2
2021,Québec,Census metropolitan areas,"Québec, Québec",Renter not in social and affordable housing,24,11.3
2021,Québec,Census metropolitan areas,"Québec, Québec",Renter in social and affordable housing,24,10.6
2021,Québec,Census metropolitan areas,"Montréal, Québec","Total, tenure",24,7.3
2021,Québec,Census metropolitan areas,"Montréal, Québec",Propriétaire,24,3.4
2021,Québec,Census metropolitan areas,"Montréal, Québec",Owner who is not a first-time homebuyer,24,3.4
2021,Québec,Census metropolitan areas,"Montréal, Québec",Locataire,24,12.3
2021,Québec,Census metropolitan areas,"Montréal, Québec",Renter not in social and affordable housing,24,12.1
2021,Québec,Census metropolitan areas,"Montréal, Québec",Renter in social and affordable housing,24,15.2
2021,Ontario/Quebec,Census metropolitan areas,"Ottawa-Gatineau, Ontario/Québec","Total, tenure",,8.9
2021,Ontario/Quebec,Census metropolitan areas,"Ottawa-Gatineau, Ontario/Québec",Propriétaire,,4.2
2021,Ontario/Quebec,Census metropolitan areas,"Ottawa-Gatineau, Ontario/Québec",Owner who is not a first-time homebuyer,,4.4
2021,Ontario/Quebec,Census metropolitan areas,"Ottawa-Gatineau, Ontario/Québec",Locataire,,17.6
2021,Ontario/Quebec,Census metropolitan areas,"Ottawa-Gatineau, Ontario/Québec",Renter not in social and affordable housing,,17.0
2021,Ontario/Quebec,Census metropolitan areas,"Ottawa-Gatineau, Ontario/Québec",Renter in social and affordable housing,,22.0
2021,Ontario,Census metropolitan areas,"Toronto, Ontario","Total, tenure",35,15.3
2021,Ontario,Census metropolitan areas,"Toronto, Ontario",Propriétaire,35,9.0
2021,Ontario,Census metropolitan areas,"Toronto, Ontario",Owner who is not a first-time homebuyer,35,9.8
2021,Ontario,Census metropolitan areas,"Toronto, Ontario",Locataire,35,28.0
2021,Ontario,Census metropolitan areas,"Toronto, Ontario",Renter not in social and affordable housing,35,27.0
2021,Ontario,Census metropolitan areas,"Toronto, Ontario",Renter in social and affordable housing,35,33.0
2021,Ontario,Census metropolitan areas,"Hamilton, Ontario","Total, tenure",35,11.5
2021,Ontario,Census metropolitan areas,"Hamilton, Ontario",Propriétaire,35,5.6
2021,Ontario,Census metropolitan areas,"Hamilton, Ontario",Owner who is not a first-time homebuyer,35,6.4
2021,Ontario,Census metropolitan areas,"Hamilton, Ontario",Locataire,35,25.0
2021,Ontario,Census metropolitan areas,"Hamilton, Ontario",Renter not in social and affordable housing,35,24.0
2021,Ontario,Census metropolitan areas,"Hamilton, Ontario",Renter in social and affordable housing,35,31.0
2021,Ontario,Census metropolitan areas,"Kitchener-Cambridge-Waterloo, Ontario","Total, tenure",35,9.7
2021,Ontario,Census metropolitan areas,"Kitchener-Cambridge-Waterloo, Ontario",Propriétaire,35,5.3
2021,Ontario,Census metropolitan areas,"Kitchener-Cambridge-Waterloo, Ontario",Owner who is a first-time homebuyer,35,6.0
2021,Ontario,Census metropolitan areas,"Kitchener-Cambridge-Waterloo, Ontario",Owner who is not a first-time homebuyer,35,5.2
2021,Ontario,Census metropolitan areas,"Kitchener-Cambridge-Waterloo, Ontario",Locataire,35,18.3
2021,Ontario,Census metropolitan areas,"Kitchener-Cambridge-Waterloo, Ontario",Renter not in social and affordable housing,35,17.3
2021,Ontario,Census metropolitan areas,"Kitchener-Cambridge-Waterloo, Ontario",Renter in social and affordable housing,35,27.0
2021,Manitoba,Census metropolitan areas,"Winnipeg, Manitoba","Total, tenure",46,11.6
2021,Manitoba,Census metropolitan areas,"Winnipeg, Manitoba",Propriétaire,46,5.6
2021,Manitoba,Census metropolitan areas,"Winnipeg, Manitoba",Owner who is a first-time homebuyer,46,6.1
2021,Manitoba,Census metropolitan areas,"Winnipeg, Manitoba",Owner who is not a first-time homebuyer,46,5.5
2021,Manitoba,Census metropolitan areas,"Winnipeg, Manitoba",Locataire,46,25.0
2021,Manitoba,Census metropolitan areas,"Winnipeg, Manitoba",Renter not in social and affordable housing,46,23.0
2021,Manitoba,Census metropolitan areas,"Winnipeg, Manitoba",Renter in social and affordable housing,46,34.0
2021,Saskatchewan,Census metropolitan areas,"Regina, Saskatchewan","Total, tenure",47,9.5
2021,Saskatchewan,Census metropolitan areas,"Regina, Saskatchewan",Propriétaire,47,4.2
2021,Saskatchewan,Census metropolitan areas,"Regina, Saskatchewan",Owner who is a first-time homebuyer,47,4.4
2021,Saskatchewan,Census metropolitan areas,"Regina, Saskatchewan",Owner who is not a first-time homebuyer,47,4.2
2021,Saskatchewan,Census metropolitan areas,"Regina, Saskatchewan",Locataire,47,21.0
2021,Saskatchewan,Census metropolitan areas,"Regina, Saskatchewan",Renter not in social and affordable housing,47,17.2
2021,Saskatchewan,Census metropolitan areas,"Regina, Saskatchewan",Renter in social and affordable housing,47,43.0
2021,Saskatchewan,Census metropolitan areas,"Saskatoon, Saskatchewan","Total, tenure",47,9.3
2021,Saskatchewan,Census metropolitan areas,"Saskatoon, Saskatchewan",Propriétaire,47,4.6
2021,Saskatchewan,Census metropolitan areas,"Saskatoon, Saskatchewan",Owner who is not a first-time homebuyer,47,5.1
2021,Saskatchewan,Census metropolitan areas,"Saskatoon, Saskatchewan",Locataire,47,19.5
2021,Saskatchewan,Census metropolitan areas,"Saskatoon, Saskatchewan",Renter not in social and affordable housing,47,17.2
2021,Saskatchewan,Census metropolitan areas,"Saskatoon, Saskatchewan",Renter in social and affordable housing,47,36.0
2021,Alberta,Census metropolitan areas,"Lethbridge, Alberta","Total, tenure",48,9.0
2021,Alberta,Census metropolitan areas,"Lethbridge, Alberta",Propriétaire,48,4.6
2021,Alberta,Census metropolitan areas,"Lethbridge, Alberta",Owner who is a first-time homebuyer,48,8.6
2021,Alberta,Census metropolitan areas,"Lethbridge, Alberta",Owner who is not a first-time homebuyer,48,4.1
2021,Alberta,Census metropolitan areas,"Lethbridge, Alberta",Locataire,48,19.8
2021,Alberta,Census metropolitan areas,"Lethbridge, Alberta",Renter not in social and affordable housing,48,17.2
2021,Alberta,Census metropolitan areas,"Lethbridge, Alberta",Renter in social and affordable housing,48,42.0
2021,Alberta,Census metropolitan areas,"Calgary, Alberta","Total, tenure",48,8.2
2021,Alberta,Census metropolitan areas,"Calgary, Alberta",Propriétaire,48,3.4
2021,Alberta,Census metropolitan areas,"Calgary, Alberta",Owner who is a first-time homebuyer,48,8.2
2021,Alberta,Census metropolitan areas,"Calgary, Alberta",Owner who is not a first-time homebuyer,48,2.6
2021,Alberta,Census metropolitan areas,"Calgary, Alberta",Locataire,48,21.0
2021,Alberta,Census metropolitan areas,"Calgary, Alberta",Renter not in social and affordable housing,48,18.3
2021,Alberta,Census metropolitan areas,"Calgary, Alberta",Renter in social and affordable housing,48,45.0
2021,Alberta,Census metropolitan areas,"Edmonton, Alberta","Total, tenure",48,9.5
2021,Alberta,Census metropolitan areas,"Edmonton, Alberta",Propriétaire,48,4.2
2021,Alberta,Census metropolitan areas,"Edmonton, Alberta",Owner who is a first-time homebuyer,48,3.9
2021,Alberta,Census metropolitan areas,"Edmonton, Alberta",Owner who is not a first-time homebuyer,48,4.2
2021,Alberta,Census metropolitan areas,"Edmonton, Alberta",Locataire,48,22.0
2021,Alberta,Census metropolitan areas,"Edmonton, Alberta",Renter not in social and affordable housing,48,19.8
2021,Alberta,Census metropolitan areas,"Edmonton, Alberta",Renter in social and affordable housing,48,38.0
2021,Colombie-Britannique,Census metropolitan areas,"Vancouver, Colombie-Britannique","Total, tenure",59,15.0
2021,Colombie-Britannique,Census metropolitan areas,"Vancouver, Colombie-Britannique",Propriétaire,59,9.4
2021,Colombie-Britannique,Census metropolitan areas,"Vancouver, Colombie-Britannique",Owner who is a first-time homebuyer,59,11.2
2021,Colombie-Britannique,Census metropolitan areas,"Vancouver, Colombie-Britannique",Owner who is not a first-time homebuyer,59,9.1
2021,Colombie-Britannique,Census metropolitan areas,"Vancouver, Colombie-Britannique",Locataire,59,24.0
2021,Colombie-Britannique,Census metropolitan areas,"Vancouver, Colombie-Britannique",Renter not in social and affordable housing,59,23.0
2021,Colombie-Britannique,Census metropolitan areas,"Vancouver, Colombie-Britannique",Renter in social and affordable housing,59,32.0
2021,Québec,Census metropolitan areas,"Autres régions métropolitaines de recensement, Québec","Total, tenure",24,3.1
2021,Québec,Census metropolitan areas,"Autres régions métropolitaines de recensement, Québec",Locataire,24,7.1
2021,Québec,Census metropolitan areas,"Autres régions métropolitaines de recensement, Québec",Renter not in social and affordable housing,24,7.6
2021,Québec,Census metropolitan areas,"Autres régions métropolitaines de recensement, Québec",Renter in social and affordable housing,24,2.6
2021,Ontario,Census metropolitan areas,"Autres régions métropolitaines de recensement, Ontario","Total, tenure",35,9.1
2021,Ontario,Census metropolitan areas,"Autres régions métropolitaines de recensement, Ontario",Propriétaire,35,2.6
2021,Ontario,Census metropolitan areas,"Autres régions métropolitaines de recensement, Ontario",Owner who is not a first-time homebuyer,35,3.1
2021,Ontario,Census metropolitan areas,"Autres régions métropolitaines de recensement, Ontario",Locataire,35,24.0
2021,Ontario,Census metropolitan areas,"Autres régions métropolitaines de recensement, Ontario",Renter not in social and affordable housing,35,24.0
2021,Ontario,Census metropolitan areas,"Autres régions métropolitaines de recensement, Ontario",Renter in social and affordable housing,35,21.0
2021,Colombie-Britannique,Census metropolitan areas,"Autres régions métropolitaines de recensement, Colombie-Britannique","Total, tenure",59,9.4
2021,Colombie-Britannique,Census metropolitan areas,"Autres régions métropolitaines de recensement, Colombie-Britannique",Propriétaire,59,4.6
2021,Colombie-Britannique,Census metropolitan areas,"Autres régions métropolitaines de recensement, Colombie-Britannique",Owner who is not a first-time homebuyer,59,4.8
2021,Colombie-Britannique,Census metropolitan areas,"Autres régions métropolitaines de recensement, Colombie-Britannique",Locataire,59,18.2
2021,Colombie-Britannique,Census metropolitan areas,"Autres régions métropolitaines de recensement, Colombie-Britannique",Renter not in social and affordable housing,59,16.6
2021,Colombie-Britannique,Census metropolitan areas,"Autres régions métropolitaines de recensement, Colombie-Britannique",Renter in social and affordable housing,59,34.0
2018,Canada,Agglomérations de recensement,,"Total, tenure",,9.0
2018,Canada,Agglomérations de recensement,,Propriétaire,,3.4
2018,Canada,Agglomérations de recensement,,Owner who is a first-time homebuyer,,3.6
2018,Canada,Agglomérations de recensement,,Owner who is not a first-time homebuyer,,3.4
2018,Canada,Agglomérations de recensement,,Locataire,,22.0
2018,Canada,Agglomérations de recensement,,Renter not in social and affordable housing,,20.0
2018,Canada,Agglomérations de recensement,,Renter in social and affordable housing,,33.0
2018,Terre-Neuve-et-Labrador,Agglomérations de recensement,,"Total, tenure",10,7.5
2018,Terre-Neuve-et-Labrador,Agglomérations de recensement,,Propriétaire,10,2.3
2018,Terre-Neuve-et-Labrador,Agglomérations de recensement,,Owner who is not a first-time homebuyer,10,2.5
2018,Terre-Neuve-et-Labrador,Agglomérations de recensement,,Locataire,10,23.0
2018,Terre-Neuve-et-Labrador,Agglomérations de recensement,,Renter not in social and affordable housing,10,20.0
2018,Terre-Neuve-et-Labrador,Agglomérations de recensement,,Renter in social and affordable housing,10,30.0
2018,Île-du-Prince-Édouard,Agglomérations de recensement,,"Total, tenure",11,7.9
2018,Île-du-Prince-Édouard,Agglomérations de recensement,,Propriétaire,11,4.7
2018,Île-du-Prince-Édouard,Agglomérations de recensement,,Owner who is a first-time homebuyer,11,3.6
2018,Île-du-Prince-Édouard,Agglomérations de recensement,,Owner who is not a first-time homebuyer,11,4.9
2018,Île-du-Prince-Édouard,Agglomérations de recensement,,Locataire,11,13.5
2018,Île-du-Prince-Édouard,Agglomérations de recensement,,Renter not in social and affordable housing,11,11.5
2018,Île-du-Prince-Édouard,Agglomérations de recensement,,Renter in social and affordable housing,11,26.0
2018,Nouvelle-Écosse,Agglomérations de recensement,,"Total, tenure",12,11.6
2018,Nouvelle-Écosse,Agglomérations de recensement,,Propriétaire,12,6.8
2018,Nouvelle-Écosse,Agglomérations de recensement,,Owner who is a first-time homebuyer,12,8.4
2018,Nouvelle-Écosse,Agglomérations de recensement,,Owner who is not a first-time homebuyer,12,6.6
2018,Nouvelle-Écosse,Agglomérations de recensement,,Locataire,12,24.0
2018,Nouvelle-Écosse,Agglomérations de recensement,,Renter not in social and affordable housing,12,19.7
2018,Nouvelle-Écosse,Agglomérations de recensement,,Renter in social and affordable housing,12,43.0
2018,Nouveau-Brunswick,Agglomérations de recensement,,"Total, tenure",13,5.9
2018,Nouveau-Brunswick,Agglomérations de recensement,,Propriétaire,13,1.6
2018,Nouveau-Brunswick,Agglomérations de recensement,,Owner who is not a first-time homebuyer,13,1.7
2018,Nouveau-Brunswick,Agglomérations de recensement,,Locataire,13,18.1
2018,Nouveau-Brunswick,Agglomérations de recensement,,Renter not in social and affordable housing,13,16.1
2018,Nouveau-Brunswick,Agglomérations de recensement,,Renter in social and affordable housing,13,30.0
2018,Québec,Agglomérations de recensement,,"Total, tenure",24,5.5
2018,Québec,Agglomérations de recensement,,Propriétaire,24,0.6
2018,Québec,Agglomérations de recensement,,Owner who is not a first-time homebuyer,24,0.6
2018,Québec,Agglomérations de recensement,,Locataire,24,14.0
2018,Québec,Agglomérations de recensement,,Renter not in social and affordable housing,24,14.3
2018,Québec,Agglomérations de recensement,,Renter in social and affordable housing,24,10.4
2018,Ontario,Agglomérations de recensement,,"Total, tenure",35,10.3
2018,Ontario,Agglomérations de recensement,,Propriétaire,35,3.5
2018,Ontario,Agglomérations de recensement,,Owner who is a first-time homebuyer,35,7.4
2018,Ontario,Agglomérations de recensement,,Owner who is not a first-time homebuyer,35,3.0
2018,Ontario,Agglomérations de recensement,,Locataire,35,28.0
2018,Ontario,Agglomérations de recensement,,Renter not in social and affordable housing,35,26.0
2018,Ontario,Agglomérations de recensement,,Renter in social and affordable housing,35,33.0
2018,Manitoba,Agglomérations de recensement,,"Total, tenure",46,7.5
2018,Manitoba,Agglomérations de recensement,,Propriétaire,46,2.4
2018,Manitoba,Agglomérations de recensement,,Owner who is a first-time homebuyer,46,2.4
2018,Manitoba,Agglomérations de recensement,,Owner who is not a first-time homebuyer,46,2.3
2018,Manitoba,Agglomérations de recensement,,Locataire,46,18.0
2018,Manitoba,Agglomérations de recensement,,Renter not in social and affordable housing,46,13.2
2018,Manitoba,Agglomérations de recensement,,Renter in social and affordable housing,46,36.0
2018,Saskatchewan,Agglomérations de recensement,,"Total, tenure",47,12.0
2018,Saskatchewan,Agglomérations de recensement,,Propriétaire,47,5.4
2018,Saskatchewan,Agglomérations de recensement,,Owner who is a first-time homebuyer,47,5.3
2018,Saskatchewan,Agglomérations de recensement,,Owner who is not a first-time homebuyer,47,5.4
2018,Saskatchewan,Agglomérations de recensement,,Locataire,47,28.0
2018,Saskatchewan,Agglomérations de recensement,,Renter not in social and affordable housing,47,19.7
2018,Saskatchewan,Agglomérations de recensement,,Renter in social and affordable housing,47,52.0
2018,Alberta,Agglomérations de recensement,,"Total, tenure",48,9.7
2018,Alberta,Agglomérations de recensement,,Propriétaire,48,5.9
2018,Alberta,Agglomérations de recensement,,Owner who is a first-time homebuyer,48,5.0
2018,Alberta,Agglomérations de recensement,,Owner who is not a first-time homebuyer,48,6.1
2018,Alberta,Agglomérations de recensement,,Locataire,48,18.9
2018,Alberta,Agglomérations de recensement,,Renter not in social and affordable housing,48,16.8
2018,Alberta,Agglomérations de recensement,,Renter in social and affordable housing,48,39.0
2018,Colombie-Britannique,Agglomérations de recensement,,"Total, tenure",59,10.6
2018,Colombie-Britannique,Agglomérations de recensement,,Propriétaire,59,3.9
2018,Colombie-Britannique,Agglomérations de recensement,,Owner who is not a first-time homebuyer,59,4.4
2018,Colombie-Britannique,Agglomérations de recensement,,Locataire,59,28.0
2018,Colombie-Britannique,Agglomérations de recensement,,Renter not in social and affordable housing,59,26.0
2018,Colombie-Britannique,Agglomérations de recensement,,Renter in social and affordable housing,59,45.0
2018,Yukon,Agglomérations de recensement,,"Total, tenure",60,9.6
2018,Yukon,Agglomérations de recensement,,Propriétaire,60,3.7
2018,Yukon,Agglomérations de recensement,,Owner who is not a first-time homebuyer,60,4.2
2018,Yukon,Agglomérations de recensement,,Locataire,60,21.0
2018,Yukon,Agglomérations de recensement,,Renter not in social and affordable housing,60,18.6
2018,Yukon,Agglomérations de recensement,,Renter in social and affordable housing,60,30.0
2018,Territoires du Nord-Ouest,Agglomérations de recensement,,"Total, tenure",61,10.4
2018,Territoires du Nord-Ouest,Agglomérations de recensement,,Propriétaire,61,5.8
2018,Territoires du Nord-Ouest,Agglomérations de recensement,,Owner who is not a first-time homebuyer,61,7.2
2018,Territoires du Nord-Ouest,Agglomérations de recensement,,Locataire,61,17.0
2018,Territoires du Nord-Ouest,Agglomérations de recensement,,Renter not in social and affordable housing,61,15.8
2018,Territoires du Nord-Ouest,Agglomérations de recensement,,Renter in social and affordable housing,61,23.0
2021,Canada,Agglomérations de recensement,,"Total, tenure",,7.5
2021,Canada,Agglomérations de recensement,,Propriétaire,,3.0
2021,Canada,Agglomérations de recensement,,Owner who is a first-time homebuyer,,3.1
2021,Canada,Agglomérations de recensement,,Owner who is not a first-time homebuyer,,3.0
2021,Canada,Agglomérations de recensement,,Locataire,,17.8
2021,Canada,Agglomérations de recensement,,Renter not in social and affordable housing,,16.5
2021,Canada,Agglomérations de recensement,,Renter in social and affordable housing,,26.0
2021,Terre-Neuve-et-Labrador,Agglomérations de recensement,,"Total, tenure",10,5.5
2021,Terre-Neuve-et-Labrador,Agglomérations de recensement,,Propriétaire,10,1.7
2021,Terre-Neuve-et-Labrador,Agglomérations de recensement,,Owner who is not a first-time homebuyer,10,1.6
2021,Terre-Neuve-et-Labrador,Agglomérations de recensement,,Locataire,10,15.0
2021,Terre-Neuve-et-Labrador,Agglomérations de recensement,,Renter not in social and affordable housing,10,12.6
2021,Terre-Neuve-et-Labrador,Agglomérations de recensement,,Renter in social and affordable housing,10,23.0
2021,Île-du-Prince-Édouard,Agglomérations de recensement,,"Total, tenure",11,7.1
2021,Île-du-Prince-Édouard,Agglomérations de recensement,,Propriétaire,11,3.0
2021,Île-du-Prince-Édouard,Agglomérations de recensement,,Owner who is a first-time homebuyer,11,4.5
2021,Île-du-Prince-Édouard,Agglomérations de recensement,,Owner who is not a first-time homebuyer,11,2.6
2021,Île-du-Prince-Édouard,Agglomérations de recensement,,Locataire,11,14.0
2021,Île-du-Prince-Édouard,Agglomérations de recensement,,Renter not in social and affordable housing,11,11.8
2021,Île-du-Prince-Édouard,Agglomérations de recensement,,Renter in social and affordable housing,11,26.0
2021,Nouvelle-Écosse,Agglomérations de recensement,,"Total, tenure",12,9.7
2021,Nouvelle-Écosse,Agglomérations de recensement,,Propriétaire,12,6.5
2021,Nouvelle-Écosse,Agglomérations de recensement,,Owner who is a first-time homebuyer,12,17.9
2021,Nouvelle-Écosse,Agglomérations de recensement,,Owner who is not a first-time homebuyer,12,5.7
2021,Nouvelle-Écosse,Agglomérations de recensement,,Locataire,12,17.8
2021,Nouvelle-Écosse,Agglomérations de recensement,,Renter not in social and affordable housing,12,14.6
2021,Nouvelle-Écosse,Agglomérations de recensement,,Renter in social and affordable housing,12,30.0
2021,Nouveau-Brunswick,Agglomérations de recensement,,"Total, tenure",13,4.2
2021,Nouveau-Brunswick,Agglomérations de recensement,,Propriétaire,13,1.7
2021,Nouveau-Brunswick,Agglomérations de recensement,,Owner who is not a first-time homebuyer,13,1.9
2021,Nouveau-Brunswick,Agglomérations de recensement,,Locataire,13,10.7
2021,Nouveau-Brunswick,Agglomérations de recensement,,Renter not in social and affordable housing,13,9.2
2021,Nouveau-Brunswick,Agglomérations de recensement,,Renter in social and affordable housing,13,22.0
2021,Québec,Agglomérations de recensement,,"Total, tenure",24,4.4
2021,Québec,Agglomérations de recensement,,Locataire,24,11.1
2021,Québec,Agglomérations de recensement,,Renter not in social and affordable housing,24,11.5
2021,Québec,Agglomérations de recensement,,Renter in social and affordable housing,24,6.8
2021,Ontario,Agglomérations de recensement,,"Total, tenure",35,9.2
2021,Ontario,Agglomérations de recensement,,Propriétaire,35,3.5
2021,Ontario,Agglomérations de recensement,,Owner who is not a first-time homebuyer,35,3.6
2021,Ontario,Agglomérations de recensement,,Locataire,35,24.0
2021,Ontario,Agglomérations de recensement,,Renter not in social and affordable housing,35,23.0
2021,Ontario,Agglomérations de recensement,,Renter in social and affordable housing,35,29.0
2021,Manitoba,Agglomérations de recensement,,"Total, tenure",46,6.8
2021,Manitoba,Agglomérations de recensement,,Propriétaire,46,2.6
2021,Manitoba,Agglomérations de recensement,,Owner who is not a first-time homebuyer,46,2.8
2021,Manitoba,Agglomérations de recensement,,Locataire,46,15.0
2021,Manitoba,Agglomérations de recensement,,Renter not in social and affordable housing,46,10.5
2021,Manitoba,Agglomérations de recensement,,Renter in social and affordable housing,46,33.0
2021,Saskatchewan,Agglomérations de recensement,,"Total, tenure",47,5.4
2021,Saskatchewan,Agglomérations de recensement,,Propriétaire,47,2.0
2021,Saskatchewan,Agglomérations de recensement,,Owner who is not a first-time homebuyer,47,2.0
2021,Saskatchewan,Agglomérations de recensement,,Locataire,47,13.9
2021,Saskatchewan,Agglomérations de recensement,,Renter not in social and affordable housing,47,10.0
2021,Saskatchewan,Agglomérations de recensement,,Renter in social and affordable housing,47,25.0
2021,Alberta,Agglomérations de recensement,,"Total, tenure",48,7.3
2021,Alberta,Agglomérations de recensement,,Propriétaire,48,2.1
2021,Alberta,Agglomérations de recensement,,Owner who is not a first-time homebuyer,48,1.9
2021,Alberta,Agglomérations de recensement,,Locataire,48,20.0
2021,Alberta,Agglomérations de recensement,,Renter not in social and affordable housing,48,18.2
2021,Alberta,Agglomérations de recensement,,Renter in social and affordable housing,48,35.0
2021,Colombie-Britannique,Agglomérations de recensement,,"Total, tenure",59,9.2
2021,Colombie-Britannique,Agglomérations de recensement,,Propriétaire,59,4.8
2021,Colombie-Britannique,Agglomérations de recensement,,Owner who is a first-time homebuyer,59,3.2
2021,Colombie-Britannique,Agglomérations de recensement,,Owner who is not a first-time homebuyer,59,4.9
2021,Colombie-Britannique,Agglomérations de recensement,,Locataire,59,21.0
2021,Colombie-Britannique,Agglomérations de recensement,,Renter not in social and affordable housing,59,19.7
2021,Colombie-Britannique,Agglomérations de recensement,,Renter in social and affordable housing,59,36.0
2018,Canada,À l'extérieur des régions métropolitaines de recensement et agglomérations de recensement,,"Total, tenure",,8.8
2018,Canada,À l'extérieur des régions métropolitaines de recensement et agglomérations de recensement,,Propriétaire,,6.0
2018,Canada,À l'extérieur des régions métropolitaines de recensement et agglomérations de recensement,,Owner who is a first-time homebuyer,,3.0
2018,Canada,À l'extérieur des régions métropolitaines de recensement et agglomérations de recensement,,Owner who is not a first-time homebuyer,,6.3
2018,Canada,À l'extérieur des régions métropolitaines de recensement et agglomérations de recensement,,Locataire,,19.5
2018,Canada,À l'extérieur des régions métropolitaines de recensement et agglomérations de recensement,,Renter not in social and affordable housing,,16.8
2018,Canada,À l'extérieur des régions métropolitaines de recensement et agglomérations de recensement,,Renter in social and affordable housing,,31.0
2018,Terre-Neuve-et-Labrador,À l'extérieur des régions métropolitaines de recensement et agglomérations de recensement,,"Total, tenure",10,8.8
2018,Terre-Neuve-et-Labrador,À l'extérieur des régions métropolitaines de recensement et agglomérations de recensement,,Propriétaire,10,5.5
2018,Terre-Neuve-et-Labrador,À l'extérieur des régions métropolitaines de recensement et agglomérations de recensement,,Owner who is not a first-time homebuyer,10,5.6
2018,Terre-Neuve-et-Labrador,À l'extérieur des régions métropolitaines de recensement et agglomérations de recensement,,Locataire,10,28.0
2018,Terre-Neuve-et-Labrador,À l'extérieur des régions métropolitaines de recensement et agglomérations de recensement,,Renter not in social and affordable housing,10,24.0
2018,Terre-Neuve-et-Labrador,À l'extérieur des régions métropolitaines de recensement et agglomérations de recensement,,Renter in social and affordable housing,10,42.0
