Year,Units,Géographie,Offences,Âge,Sexe,Value
2017/2018,Adult criminal courts,Nouveau-Brunswick,Administration of justice,45 to 54 years,Femmes,111.0
2018/2019,Adult criminal courts,Nouveau-Brunswick,Administration of justice,45 to 54 years,Femmes,167.0
2014/2015,Adult criminal courts,Nouveau-Brunswick,Administration of justice,45 to 54 years,Sex unknown,0.0
2015/2016,Adult criminal courts,Nouveau-Brunswick,Administration of justice,45 to 54 years,Sex unknown,0.0
2016/2017,Adult criminal courts,Nouveau-Brunswick,Administration of justice,45 to 54 years,Sex unknown,0.0
2017/2018,Adult criminal courts,Nouveau-Brunswick,Administration of justice,45 to 54 years,Sex unknown,185.0
2018/2019,Adult criminal courts,Nouveau-Brunswick,Administration of justice,45 to 54 years,Sex unknown,0.0
2014/2015,Adult criminal courts,Nouveau-Brunswick,Administration of justice,55 years and over,Total,83.0
2015/2016,Adult criminal courts,Nouveau-Brunswick,Administration of justice,55 years and over,Total,45.0
2016/2017,Adult criminal courts,Nouveau-Brunswick,Administration of justice,55 years and over,Total,76.0
2017/2018,Adult criminal courts,Nouveau-Brunswick,Administration of justice,55 years and over,Total,86.0
2018/2019,Adult criminal courts,Nouveau-Brunswick,Administration of justice,55 years and over,Total,117.0
2014/2015,Adult criminal courts,Nouveau-Brunswick,Administration of justice,55 years and over,Hommes,74.0
2015/2016,Adult criminal courts,Nouveau-Brunswick,Administration of justice,55 years and over,Hommes,42.0
2016/2017,Adult criminal courts,Nouveau-Brunswick,Administration of justice,55 years and over,Hommes,86.0
2017/2018,Adult criminal courts,Nouveau-Brunswick,Administration of justice,55 years and over,Hommes,92.0
2018/2019,Adult criminal courts,Nouveau-Brunswick,Administration of justice,55 years and over,Hommes,113.0
2014/2015,Adult criminal courts,Nouveau-Brunswick,Administration of justice,55 years and over,Femmes,134.0
2015/2016,Adult criminal courts,Nouveau-Brunswick,Administration of justice,55 years and over,Femmes,81.0
2016/2017,Adult criminal courts,Nouveau-Brunswick,Administration of justice,55 years and over,Femmes,76.0
2017/2018,Adult criminal courts,Nouveau-Brunswick,Administration of justice,55 years and over,Femmes,78.0
2018/2019,Adult criminal courts,Nouveau-Brunswick,Administration of justice,55 years and over,Femmes,198.0
2014/2015,Adult criminal courts,Nouveau-Brunswick,Administration of justice,55 years and over,Sex unknown,0.0
2015/2016,Adult criminal courts,Nouveau-Brunswick,Administration of justice,55 years and over,Sex unknown,0.0
2016/2017,Adult criminal courts,Nouveau-Brunswick,Administration of justice,55 years and over,Sex unknown,0.0
2017/2018,Adult criminal courts,Nouveau-Brunswick,Administration of justice,55 years and over,Sex unknown,0.0
2018/2019,Adult criminal courts,Nouveau-Brunswick,Administration of justice,55 years and over,Sex unknown,0.0
2014/2015,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,Total,Total,129.0
2015/2016,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,Total,Total,123.0
2016/2017,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,Total,Total,113.0
2017/2018,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,Total,Total,142.0
2018/2019,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,Total,Total,150.0
2014/2015,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,Total,Hommes,127.0
2015/2016,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,Total,Hommes,134.0
2016/2017,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,Total,Hommes,111.0
2017/2018,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,Total,Hommes,145.0
2018/2019,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,Total,Hommes,150.0
2014/2015,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,Total,Femmes,134.0
2015/2016,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,Total,Femmes,93.0
2016/2017,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,Total,Femmes,128.0
2017/2018,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,Total,Femmes,118.0
2018/2019,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,Total,Femmes,144.0
2014/2015,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,Total,Company,0.0
2015/2016,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,Total,Company,0.0
2016/2017,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,Total,Company,0.0
2017/2018,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,Total,Company,0.0
2018/2019,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,Total,Company,0.0
2014/2015,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,Total,Sex unknown,513.0
2015/2016,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,Total,Sex unknown,57.0
2016/2017,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,Total,Sex unknown,12.0
2017/2018,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,Total,Sex unknown,292.0
2018/2019,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,Total,Sex unknown,317.0
2014/2015,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,18 to 24 years,Total,115.0
2015/2016,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,18 to 24 years,Total,82.0
2016/2017,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,18 to 24 years,Total,76.0
2017/2018,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,18 to 24 years,Total,78.0
2018/2019,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,18 to 24 years,Total,106.0
2014/2015,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,18 to 24 years,Hommes,116.0
2015/2016,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,18 to 24 years,Hommes,82.0
2016/2017,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,18 to 24 years,Hommes,67.0
2017/2018,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,18 to 24 years,Hommes,77.0
2018/2019,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,18 to 24 years,Hommes,125.0
2014/2015,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,18 to 24 years,Femmes,113.0
2015/2016,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,18 to 24 years,Femmes,70.0
2016/2017,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,18 to 24 years,Femmes,123.0
2017/2018,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,18 to 24 years,Femmes,78.0
2018/2019,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,18 to 24 years,Femmes,29.0
2014/2015,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,18 to 24 years,Sex unknown,0.0
2015/2016,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,18 to 24 years,Sex unknown,0.0
2016/2017,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,18 to 24 years,Sex unknown,0.0
2017/2018,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,18 to 24 years,Sex unknown,0.0
2018/2019,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,18 to 24 years,Sex unknown,0.0
2014/2015,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,25 to 34 years,Total,126.0
2015/2016,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,25 to 34 years,Total,119.0
2016/2017,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,25 to 34 years,Total,131.0
2017/2018,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,25 to 34 years,Total,160.0
2018/2019,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,25 to 34 years,Total,161.0
2014/2015,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,25 to 34 years,Hommes,115.0
2015/2016,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,25 to 34 years,Hommes,125.0
2016/2017,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,25 to 34 years,Hommes,132.0
2017/2018,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,25 to 34 years,Hommes,186.0
2018/2019,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,25 to 34 years,Hommes,158.0
2014/2015,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,25 to 34 years,Femmes,175.0
2015/2016,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,25 to 34 years,Femmes,28.0
2016/2017,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,25 to 34 years,Femmes,117.0
2017/2018,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,25 to 34 years,Femmes,118.0
2018/2019,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,25 to 34 years,Femmes,177.0
2014/2015,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,25 to 34 years,Sex unknown,0.0
2015/2016,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,25 to 34 years,Sex unknown,0.0
2016/2017,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,25 to 34 years,Sex unknown,0.0
2017/2018,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,25 to 34 years,Sex unknown,0.0
2018/2019,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,25 to 34 years,Sex unknown,0.0
2014/2015,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,35 to 44 years,Total,131.0
2015/2016,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,35 to 44 years,Total,145.0
2016/2017,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,35 to 44 years,Total,117.0
2017/2018,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,35 to 44 years,Total,177.0
2018/2019,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,35 to 44 years,Total,189.0
2014/2015,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,35 to 44 years,Hommes,148.0
2015/2016,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,35 to 44 years,Hommes,158.0
2016/2017,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,35 to 44 years,Hommes,111.0
2017/2018,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,35 to 44 years,Hommes,185.0
2018/2019,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,35 to 44 years,Hommes,197.0
2014/2015,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,35 to 44 years,Femmes,50.0
2015/2016,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,35 to 44 years,Femmes,108.0
2016/2017,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,35 to 44 years,Femmes,140.0
2017/2018,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,35 to 44 years,Femmes,81.0
2018/2019,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,35 to 44 years,Femmes,169.0
2014/2015,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,35 to 44 years,Sex unknown,402.0
2015/2016,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,35 to 44 years,Sex unknown,97.0
2016/2017,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,35 to 44 years,Sex unknown,0.0
2017/2018,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,35 to 44 years,Sex unknown,0.0
2018/2019,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,35 to 44 years,Sex unknown,0.0
2014/2015,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,45 to 54 years,Total,151.0
2015/2016,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,45 to 54 years,Total,151.0
2016/2017,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,45 to 54 years,Total,121.0
2017/2018,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,45 to 54 years,Total,200.0
2018/2019,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,45 to 54 years,Total,136.0
2014/2015,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,45 to 54 years,Hommes,147.0
2015/2016,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,45 to 54 years,Hommes,165.0
2016/2017,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,45 to 54 years,Hommes,140.0
2017/2018,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,45 to 54 years,Hommes,212.0
2018/2019,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,45 to 54 years,Hommes,134.0
2014/2015,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,45 to 54 years,Femmes,171.0
2015/2016,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,45 to 54 years,Femmes,93.0
2016/2017,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,45 to 54 years,Femmes,104.0
2017/2018,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,45 to 54 years,Femmes,114.0
2018/2019,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,45 to 54 years,Femmes,143.0
2014/2015,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,45 to 54 years,Sex unknown,624.0
2015/2016,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,45 to 54 years,Sex unknown,57.0
2016/2017,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,45 to 54 years,Sex unknown,12.0
2017/2018,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,45 to 54 years,Sex unknown,0.0
2018/2019,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,45 to 54 years,Sex unknown,0.0
2014/2015,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,55 years and over,Total,129.0
2015/2016,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,55 years and over,Total,126.0
2016/2017,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,55 years and over,Total,119.0
2017/2018,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,55 years and over,Total,127.0
2018/2019,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,55 years and over,Total,148.0
2014/2015,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,55 years and over,Hommes,128.0
2015/2016,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,55 years and over,Hommes,125.0
2016/2017,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,55 years and over,Hommes,92.0
2017/2018,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,55 years and over,Hommes,93.0
2018/2019,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,55 years and over,Hommes,134.0
2014/2015,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,55 years and over,Femmes,149.0
2015/2016,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,55 years and over,Femmes,148.0
2016/2017,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,55 years and over,Femmes,162.0
2017/2018,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,55 years and over,Femmes,170.0
2018/2019,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,55 years and over,Femmes,189.0
2014/2015,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,55 years and over,Sex unknown,0.0
2015/2016,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,55 years and over,Sex unknown,0.0
2016/2017,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,55 years and over,Sex unknown,0.0
2017/2018,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,55 years and over,Sex unknown,292.0
2018/2019,Adult criminal courts,Nouveau-Brunswick,Criminal Code traffic,55 years and over,Sex unknown,317.0
2014/2015,Adult criminal courts,Québec,Total offences,Total,Total,209.0
2015/2016,Adult criminal courts,Québec,Total offences,Total,Total,199.0
2016/2017,Adult criminal courts,Québec,Total offences,Total,Total,214.0
2017/2018,Adult criminal courts,Québec,Total offences,Total,Total,190.0
2018/2019,Adult criminal courts,Québec,Total offences,Total,Total,165.0
2014/2015,Adult criminal courts,Québec,Total offences,Total,Hommes,211.0
2015/2016,Adult criminal courts,Québec,Total offences,Total,Hommes,200.0
2016/2017,Adult criminal courts,Québec,Total offences,Total,Hommes,213.0
2017/2018,Adult criminal courts,Québec,Total offences,Total,Hommes,191.0
2018/2019,Adult criminal courts,Québec,Total offences,Total,Hommes,164.0
2014/2015,Adult criminal courts,Québec,Total offences,Total,Femmes,224.0
2015/2016,Adult criminal courts,Québec,Total offences,Total,Femmes,204.0
2016/2017,Adult criminal courts,Québec,Total offences,Total,Femmes,223.0
2017/2018,Adult criminal courts,Québec,Total offences,Total,Femmes,198.0
2018/2019,Adult criminal courts,Québec,Total offences,Total,Femmes,170.0
2014/2015,Adult criminal courts,Québec,Total offences,Total,Company,309.0
2015/2016,Adult criminal courts,Québec,Total offences,Total,Company,484.0
2016/2017,Adult criminal courts,Québec,Total offences,Total,Company,367.0
2017/2018,Adult criminal courts,Québec,Total offences,Total,Company,528.0
2018/2019,Adult criminal courts,Québec,Total offences,Total,Company,336.0
2014/2015,Adult criminal courts,Québec,Total offences,Total,Sex unknown,172.0
2015/2016,Adult criminal courts,Québec,Total offences,Total,Sex unknown,182.0
2016/2017,Adult criminal courts,Québec,Total offences,Total,Sex unknown,211.0
2017/2018,Adult criminal courts,Québec,Total offences,Total,Sex unknown,143.0
2018/2019,Adult criminal courts,Québec,Total offences,Total,Sex unknown,173.0
2014/2015,Adult criminal courts,Québec,Total offences,18 to 24 years,Total,217.0
2015/2016,Adult criminal courts,Québec,Total offences,18 to 24 years,Total,204.0
2016/2017,Adult criminal courts,Québec,Total offences,18 to 24 years,Total,225.0
2017/2018,Adult criminal courts,Québec,Total offences,18 to 24 years,Total,205.0
2018/2019,Adult criminal courts,Québec,Total offences,18 to 24 years,Total,179.0
2014/2015,Adult criminal courts,Québec,Total offences,18 to 24 years,Hommes,218.0
2015/2016,Adult criminal courts,Québec,Total offences,18 to 24 years,Hommes,208.0
2016/2017,Adult criminal courts,Québec,Total offences,18 to 24 years,Hommes,225.0
2017/2018,Adult criminal courts,Québec,Total offences,18 to 24 years,Hommes,206.0
2018/2019,Adult criminal courts,Québec,Total offences,18 to 24 years,Hommes,178.0
2014/2015,Adult criminal courts,Québec,Total offences,18 to 24 years,Femmes,232.0
2015/2016,Adult criminal courts,Québec,Total offences,18 to 24 years,Femmes,208.0
2016/2017,Adult criminal courts,Québec,Total offences,18 to 24 years,Femmes,232.0
2017/2018,Adult criminal courts,Québec,Total offences,18 to 24 years,Femmes,214.0
2018/2019,Adult criminal courts,Québec,Total offences,18 to 24 years,Femmes,179.0
2014/2015,Adult criminal courts,Québec,Total offences,18 to 24 years,Sex unknown,176.0
2015/2016,Adult criminal courts,Québec,Total offences,18 to 24 years,Sex unknown,181.0
2016/2017,Adult criminal courts,Québec,Total offences,18 to 24 years,Sex unknown,214.0
2017/2018,Adult criminal courts,Québec,Total offences,18 to 24 years,Sex unknown,166.0
2018/2019,Adult criminal courts,Québec,Total offences,18 to 24 years,Sex unknown,183.0
2014/2015,Adult criminal courts,Québec,Total offences,25 to 34 years,Total,205.0
2015/2016,Adult criminal courts,Québec,Total offences,25 to 34 years,Total,197.0
2016/2017,Adult criminal courts,Québec,Total offences,25 to 34 years,Total,209.0
2017/2018,Adult criminal courts,Québec,Total offences,25 to 34 years,Total,184.0
2018/2019,Adult criminal courts,Québec,Total offences,25 to 34 years,Total,163.0
2014/2015,Adult criminal courts,Québec,Total offences,25 to 34 years,Hommes,205.0
2015/2016,Adult criminal courts,Québec,Total offences,25 to 34 years,Hommes,200.0
2016/2017,Adult criminal courts,Québec,Total offences,25 to 34 years,Hommes,206.0
2017/2018,Adult criminal courts,Québec,Total offences,25 to 34 years,Hommes,185.0
2018/2019,Adult criminal courts,Québec,Total offences,25 to 34 years,Hommes,162.0
2014/2015,Adult criminal courts,Québec,Total offences,25 to 34 years,Femmes,221.0
2015/2016,Adult criminal courts,Québec,Total offences,25 to 34 years,Femmes,196.0
2016/2017,Adult criminal courts,Québec,Total offences,25 to 34 years,Femmes,219.0
2017/2018,Adult criminal courts,Québec,Total offences,25 to 34 years,Femmes,194.0
2018/2019,Adult criminal courts,Québec,Total offences,25 to 34 years,Femmes,170.0
2014/2015,Adult criminal courts,Québec,Total offences,25 to 34 years,Sex unknown,170.0
2015/2016,Adult criminal courts,Québec,Total offences,25 to 34 years,Sex unknown,176.0
2016/2017,Adult criminal courts,Québec,Total offences,25 to 34 years,Sex unknown,211.0
2017/2018,Adult criminal courts,Québec,Total offences,25 to 34 years,Sex unknown,141.0
2018/2019,Adult criminal courts,Québec,Total offences,25 to 34 years,Sex unknown,171.0
2014/2015,Adult criminal courts,Québec,Total offences,35 to 44 years,Total,211.0
2015/2016,Adult criminal courts,Québec,Total offences,35 to 44 years,Total,198.0
2016/2017,Adult criminal courts,Québec,Total offences,35 to 44 years,Total,207.0
2017/2018,Adult criminal courts,Québec,Total offences,35 to 44 years,Total,186.0
2018/2019,Adult criminal courts,Québec,Total offences,35 to 44 years,Total,161.0
2014/2015,Adult criminal courts,Québec,Total offences,35 to 44 years,Hommes,213.0
2015/2016,Adult criminal courts,Québec,Total offences,35 to 44 years,Hommes,198.0
2016/2017,Adult criminal courts,Québec,Total offences,35 to 44 years,Hommes,203.0
2017/2018,Adult criminal courts,Québec,Total offences,35 to 44 years,Hommes,190.0
2018/2019,Adult criminal courts,Québec,Total offences,35 to 44 years,Hommes,160.0
2014/2015,Adult criminal courts,Québec,Total offences,35 to 44 years,Femmes,228.0
2015/2016,Adult criminal courts,Québec,Total offences,35 to 44 years,Femmes,210.0
2016/2017,Adult criminal courts,Québec,Total offences,35 to 44 years,Femmes,227.0
2017/2018,Adult criminal courts,Québec,Total offences,35 to 44 years,Femmes,195.0
2018/2019,Adult criminal courts,Québec,Total offences,35 to 44 years,Femmes,164.0
2014/2015,Adult criminal courts,Québec,Total offences,35 to 44 years,Sex unknown,169.0
2015/2016,Adult criminal courts,Québec,Total offences,35 to 44 years,Sex unknown,180.0
2016/2017,Adult criminal courts,Québec,Total offences,35 to 44 years,Sex unknown,204.0
2017/2018,Adult criminal courts,Québec,Total offences,35 to 44 years,Sex unknown,134.0
2018/2019,Adult criminal courts,Québec,Total offences,35 to 44 years,Sex unknown,163.0
2014/2015,Adult criminal courts,Québec,Total offences,45 to 54 years,Total,204.0
2015/2016,Adult criminal courts,Québec,Total offences,45 to 54 years,Total,197.0
2016/2017,Adult criminal courts,Québec,Total offences,45 to 54 years,Total,215.0
2017/2018,Adult criminal courts,Québec,Total offences,45 to 54 years,Total,191.0
2018/2019,Adult criminal courts,Québec,Total offences,45 to 54 years,Total,166.0
2014/2015,Adult criminal courts,Québec,Total offences,45 to 54 years,Hommes,206.0
2015/2016,Adult criminal courts,Québec,Total offences,45 to 54 years,Hommes,192.0
2016/2017,Adult criminal courts,Québec,Total offences,45 to 54 years,Hommes,215.0
2017/2018,Adult criminal courts,Québec,Total offences,45 to 54 years,Hommes,190.0
2018/2019,Adult criminal courts,Québec,Total offences,45 to 54 years,Hommes,162.0
2014/2015,Adult criminal courts,Québec,Total offences,45 to 54 years,Femmes,211.0
2015/2016,Adult criminal courts,Québec,Total offences,45 to 54 years,Femmes,215.0
2016/2017,Adult criminal courts,Québec,Total offences,45 to 54 years,Femmes,213.0
2017/2018,Adult criminal courts,Québec,Total offences,45 to 54 years,Femmes,204.0
2018/2019,Adult criminal courts,Québec,Total offences,45 to 54 years,Femmes,177.0
2014/2015,Adult criminal courts,Québec,Total offences,45 to 54 years,Sex unknown,176.0
2015/2016,Adult criminal courts,Québec,Total offences,45 to 54 years,Sex unknown,190.0
2016/2017,Adult criminal courts,Québec,Total offences,45 to 54 years,Sex unknown,216.0
2017/2018,Adult criminal courts,Québec,Total offences,45 to 54 years,Sex unknown,158.0
2018/2019,Adult criminal courts,Québec,Total offences,45 to 54 years,Sex unknown,182.0
2014/2015,Adult criminal courts,Québec,Total offences,55 years and over,Total,183.0
2015/2016,Adult criminal courts,Québec,Total offences,55 years and over,Total,183.0
2016/2017,Adult criminal courts,Québec,Total offences,55 years and over,Total,194.0
2017/2018,Adult criminal courts,Québec,Total offences,55 years and over,Total,154.0
2018/2019,Adult criminal courts,Québec,Total offences,55 years and over,Total,147.0
2014/2015,Adult criminal courts,Québec,Total offences,55 years and over,Hommes,184.0
2015/2016,Adult criminal courts,Québec,Total offences,55 years and over,Hommes,184.0
2016/2017,Adult criminal courts,Québec,Total offences,55 years and over,Hommes,194.0
2017/2018,Adult criminal courts,Québec,Total offences,55 years and over,Hommes,157.0
2018/2019,Adult criminal courts,Québec,Total offences,55 years and over,Hommes,145.0
2014/2015,Adult criminal courts,Québec,Total offences,55 years and over,Femmes,184.0
2015/2016,Adult criminal courts,Québec,Total offences,55 years and over,Femmes,171.0
2016/2017,Adult criminal courts,Québec,Total offences,55 years and over,Femmes,194.0
2017/2018,Adult criminal courts,Québec,Total offences,55 years and over,Femmes,158.0
2018/2019,Adult criminal courts,Québec,Total offences,55 years and over,Femmes,146.0
2014/2015,Adult criminal courts,Québec,Total offences,55 years and over,Sex unknown,173.0
2015/2016,Adult criminal courts,Québec,Total offences,55 years and over,Sex unknown,183.0
2016/2017,Adult criminal courts,Québec,Total offences,55 years and over,Sex unknown,196.0
2017/2018,Adult criminal courts,Québec,Total offences,55 years and over,Sex unknown,108.0
2018/2019,Adult criminal courts,Québec,Total offences,55 years and over,Sex unknown,152.0
2014/2015,Adult criminal courts,Québec,Total Criminal Code,Total,Total,218.0
2015/2016,Adult criminal courts,Québec,Total Criminal Code,Total,Total,204.0
2016/2017,Adult criminal courts,Québec,Total Criminal Code,Total,Total,218.0
2017/2018,Adult criminal courts,Québec,Total Criminal Code,Total,Total,198.0
2018/2019,Adult criminal courts,Québec,Total Criminal Code,Total,Total,168.0
2014/2015,Adult criminal courts,Québec,Total Criminal Code,Total,Hommes,221.0
2015/2016,Adult criminal courts,Québec,Total Criminal Code,Total,Hommes,206.0
2016/2017,Adult criminal courts,Québec,Total Criminal Code,Total,Hommes,218.0
2017/2018,Adult criminal courts,Québec,Total Criminal Code,Total,Hommes,202.0
2018/2019,Adult criminal courts,Québec,Total Criminal Code,Total,Hommes,168.0
2014/2015,Adult criminal courts,Québec,Total Criminal Code,Total,Femmes,226.0
2015/2016,Adult criminal courts,Québec,Total Criminal Code,Total,Femmes,204.0
2016/2017,Adult criminal courts,Québec,Total Criminal Code,Total,Femmes,221.0
2017/2018,Adult criminal courts,Québec,Total Criminal Code,Total,Femmes,198.0
2018/2019,Adult criminal courts,Québec,Total Criminal Code,Total,Femmes,169.0
2014/2015,Adult criminal courts,Québec,Total Criminal Code,Total,Company,217.0
2015/2016,Adult criminal courts,Québec,Total Criminal Code,Total,Company,119.0
2016/2017,Adult criminal courts,Québec,Total Criminal Code,Total,Company,81.0
2017/2018,Adult criminal courts,Québec,Total Criminal Code,Total,Company,159.0
2018/2019,Adult criminal courts,Québec,Total Criminal Code,Total,Company,137.0
2014/2015,Adult criminal courts,Québec,Total Criminal Code,Total,Sex unknown,183.0
2015/2016,Adult criminal courts,Québec,Total Criminal Code,Total,Sex unknown,183.0
2016/2017,Adult criminal courts,Québec,Total Criminal Code,Total,Sex unknown,210.0
2017/2018,Adult criminal courts,Québec,Total Criminal Code,Total,Sex unknown,155.0
2018/2019,Adult criminal courts,Québec,Total Criminal Code,Total,Sex unknown,173.0
2014/2015,Adult criminal courts,Québec,Total Criminal Code,18 to 24 years,Total,226.0
2015/2016,Adult criminal courts,Québec,Total Criminal Code,18 to 24 years,Total,213.0
