Year,Units,Géographie,Catégorie d'utilisation des sols,Qualité de l'eau,Value
2016-2018,Number,Océan Pacifique,Foresterie,Satisfaisante,0
2016-2018,Number,Océan Pacifique,Foresterie,Douteuse,0
2016-2018,Number,Océan Pacifique,Foresterie,Mauvaise,0
2016-2018,Number,Océan Pacifique,Exploitation minière,Excellente,0
2016-2018,Number,Océan Pacifique,Exploitation minière,Bonne,2
2016-2018,Number,Océan Pacifique,Exploitation minière,Satisfaisante,1
2016-2018,Number,Océan Pacifique,Exploitation minière,Douteuse,3
2016-2018,Number,Océan Pacifique,Exploitation minière,Mauvaise,0
2016-2018,Number,Océan Pacifique,Peuplé,Excellente,0
2016-2018,Number,Océan Pacifique,Peuplé,Bonne,0
2016-2018,Number,Océan Pacifique,Peuplé,Satisfaisante,0
2016-2018,Number,Océan Pacifique,Peuplé,Douteuse,0
2016-2018,Number,Océan Pacifique,Peuplé,Mauvaise,0
2016-2018,Number,Océan Pacifique,Pressions mixtes,Excellente,0
2016-2018,Number,Océan Pacifique,Pressions mixtes,Bonne,2
2016-2018,Number,Océan Pacifique,Pressions mixtes,Satisfaisante,9
2016-2018,Number,Océan Pacifique,Pressions mixtes,Douteuse,2
2016-2018,Number,Océan Pacifique,Pressions mixtes,Mauvaise,1
2016-2018,Number,Océan Pacifique,Non aménagés,Excellente,2
2016-2018,Number,Océan Pacifique,Non aménagés,Bonne,1
2016-2018,Number,Océan Pacifique,Non aménagés,Satisfaisante,0
2016-2018,Number,Océan Pacifique,Non aménagés,Douteuse,0
2016-2018,Number,Océan Pacifique,Non aménagés,Mauvaise,0
