Year,Géographie,data.Educational attainment level,Groupe d'âge,Sexe,Value
2012,Nouvelle-Écosse,data.Tertiary education,45 to 54 years,Male,39.0
2013,Nouvelle-Écosse,data.Tertiary education,45 to 54 years,Male,39.0
2014,Nouvelle-Écosse,data.Tertiary education,45 to 54 years,Male,41.0
2015,Nouvelle-Écosse,data.Tertiary education,45 to 54 years,Male,40.0
2016,Nouvelle-Écosse,data.Tertiary education,45 to 54 years,Male,41.0
2017,Nouvelle-Écosse,data.Tertiary education,45 to 54 years,Male,43.0
2018,Nouvelle-Écosse,data.Tertiary education,45 to 54 years,Male,44.0
2019,Nouvelle-Écosse,data.Tertiary education,45 to 54 years,Male,48.0
2020,Nouvelle-Écosse,data.Tertiary education,45 to 54 years,Male,50.0
2010,Nouvelle-Écosse,data.Tertiary education,45 to 54 years,Female,49.0
2011,Nouvelle-Écosse,data.Tertiary education,45 to 54 years,Female,50.0
2012,Nouvelle-Écosse,data.Tertiary education,45 to 54 years,Female,52.0
2013,Nouvelle-Écosse,data.Tertiary education,45 to 54 years,Female,55.0
2014,Nouvelle-Écosse,data.Tertiary education,45 to 54 years,Female,55.0
2015,Nouvelle-Écosse,data.Tertiary education,45 to 54 years,Female,56.0
2016,Nouvelle-Écosse,data.Tertiary education,45 to 54 years,Female,58.0
2017,Nouvelle-Écosse,data.Tertiary education,45 to 54 years,Female,59.0
2018,Nouvelle-Écosse,data.Tertiary education,45 to 54 years,Female,62.0
2019,Nouvelle-Écosse,data.Tertiary education,45 to 54 years,Female,62.0
2020,Nouvelle-Écosse,data.Tertiary education,45 to 54 years,Female,66.0
2010,Nouvelle-Écosse,data.Tertiary education,55 à 64 ans,Les deux sexes,40.0
2011,Nouvelle-Écosse,data.Tertiary education,55 à 64 ans,Les deux sexes,39.0
2012,Nouvelle-Écosse,data.Tertiary education,55 à 64 ans,Les deux sexes,41.0
2013,Nouvelle-Écosse,data.Tertiary education,55 à 64 ans,Les deux sexes,43.0
2014,Nouvelle-Écosse,data.Tertiary education,55 à 64 ans,Les deux sexes,44.0
2015,Nouvelle-Écosse,data.Tertiary education,55 à 64 ans,Les deux sexes,42.0
2016,Nouvelle-Écosse,data.Tertiary education,55 à 64 ans,Les deux sexes,43.0
2017,Nouvelle-Écosse,data.Tertiary education,55 à 64 ans,Les deux sexes,45.0
2018,Nouvelle-Écosse,data.Tertiary education,55 à 64 ans,Les deux sexes,43.0
2019,Nouvelle-Écosse,data.Tertiary education,55 à 64 ans,Les deux sexes,44.0
2020,Nouvelle-Écosse,data.Tertiary education,55 à 64 ans,Les deux sexes,46.0
2010,Nouvelle-Écosse,data.Tertiary education,55 à 64 ans,Male,35.0
2011,Nouvelle-Écosse,data.Tertiary education,55 à 64 ans,Male,34.0
2012,Nouvelle-Écosse,data.Tertiary education,55 à 64 ans,Male,34.0
2013,Nouvelle-Écosse,data.Tertiary education,55 à 64 ans,Male,37.0
2014,Nouvelle-Écosse,data.Tertiary education,55 à 64 ans,Male,38.0
2015,Nouvelle-Écosse,data.Tertiary education,55 à 64 ans,Male,35.0
2016,Nouvelle-Écosse,data.Tertiary education,55 à 64 ans,Male,36.0
2017,Nouvelle-Écosse,data.Tertiary education,55 à 64 ans,Male,37.0
2018,Nouvelle-Écosse,data.Tertiary education,55 à 64 ans,Male,35.0
2019,Nouvelle-Écosse,data.Tertiary education,55 à 64 ans,Male,37.0
2020,Nouvelle-Écosse,data.Tertiary education,55 à 64 ans,Male,37.0
2010,Nouvelle-Écosse,data.Tertiary education,55 à 64 ans,Female,45.0
2011,Nouvelle-Écosse,data.Tertiary education,55 à 64 ans,Female,45.0
2012,Nouvelle-Écosse,data.Tertiary education,55 à 64 ans,Female,47.0
2013,Nouvelle-Écosse,data.Tertiary education,55 à 64 ans,Female,50.0
2014,Nouvelle-Écosse,data.Tertiary education,55 à 64 ans,Female,50.0
2015,Nouvelle-Écosse,data.Tertiary education,55 à 64 ans,Female,48.0
2016,Nouvelle-Écosse,data.Tertiary education,55 à 64 ans,Female,49.0
2017,Nouvelle-Écosse,data.Tertiary education,55 à 64 ans,Female,53.0
2018,Nouvelle-Écosse,data.Tertiary education,55 à 64 ans,Female,50.0
2019,Nouvelle-Écosse,data.Tertiary education,55 à 64 ans,Female,50.0
2020,Nouvelle-Écosse,data.Tertiary education,55 à 64 ans,Female,55.0
2010,Nouvelle-Écosse,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Les deux sexes,25.0
2011,Nouvelle-Écosse,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Les deux sexes,24.0
2012,Nouvelle-Écosse,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Les deux sexes,26.0
2013,Nouvelle-Écosse,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Les deux sexes,26.0
2014,Nouvelle-Écosse,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Les deux sexes,26.0
2015,Nouvelle-Écosse,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Les deux sexes,26.0
2016,Nouvelle-Écosse,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Les deux sexes,25.0
2017,Nouvelle-Écosse,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Les deux sexes,26.0
2018,Nouvelle-Écosse,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Les deux sexes,26.0
2019,Nouvelle-Écosse,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Les deux sexes,25.0
2020,Nouvelle-Écosse,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Les deux sexes,27.0
2010,Nouvelle-Écosse,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,21.0
2011,Nouvelle-Écosse,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,19.0
2012,Nouvelle-Écosse,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,21.0
2013,Nouvelle-Écosse,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,21.0
2014,Nouvelle-Écosse,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,21.0
2015,Nouvelle-Écosse,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,21.0
2016,Nouvelle-Écosse,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,20.0
2017,Nouvelle-Écosse,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,21.0
2018,Nouvelle-Écosse,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,21.0
2019,Nouvelle-Écosse,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,22.0
2020,Nouvelle-Écosse,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,23.0
2010,Nouvelle-Écosse,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,29.0
2011,Nouvelle-Écosse,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,28.0
2012,Nouvelle-Écosse,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,30.0
2013,Nouvelle-Écosse,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,31.0
2014,Nouvelle-Écosse,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,31.0
2015,Nouvelle-Écosse,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,31.0
2016,Nouvelle-Écosse,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,30.0
2017,Nouvelle-Écosse,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,30.0
2018,Nouvelle-Écosse,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,29.0
2019,Nouvelle-Écosse,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,29.0
2020,Nouvelle-Écosse,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,30.0
2010,Nouvelle-Écosse,data.Short-cycle tertiary,25 to 34 years,Les deux sexes,29.0
2011,Nouvelle-Écosse,data.Short-cycle tertiary,25 to 34 years,Les deux sexes,25.0
2012,Nouvelle-Écosse,data.Short-cycle tertiary,25 to 34 years,Les deux sexes,27.0
2013,Nouvelle-Écosse,data.Short-cycle tertiary,25 to 34 years,Les deux sexes,26.0
2014,Nouvelle-Écosse,data.Short-cycle tertiary,25 to 34 years,Les deux sexes,27.0
2015,Nouvelle-Écosse,data.Short-cycle tertiary,25 to 34 years,Les deux sexes,27.0
2016,Nouvelle-Écosse,data.Short-cycle tertiary,25 to 34 years,Les deux sexes,26.0
2017,Nouvelle-Écosse,data.Short-cycle tertiary,25 to 34 years,Les deux sexes,26.0
2018,Nouvelle-Écosse,data.Short-cycle tertiary,25 to 34 years,Les deux sexes,25.0
2019,Nouvelle-Écosse,data.Short-cycle tertiary,25 to 34 years,Les deux sexes,26.0
2020,Nouvelle-Écosse,data.Short-cycle tertiary,25 to 34 years,Les deux sexes,28.0
2010,Nouvelle-Écosse,data.Short-cycle tertiary,25 to 34 years,Male,28.0
2011,Nouvelle-Écosse,data.Short-cycle tertiary,25 to 34 years,Male,23.0
2012,Nouvelle-Écosse,data.Short-cycle tertiary,25 to 34 years,Male,25.0
2013,Nouvelle-Écosse,data.Short-cycle tertiary,25 to 34 years,Male,24.0
2014,Nouvelle-Écosse,data.Short-cycle tertiary,25 to 34 years,Male,23.0
2015,Nouvelle-Écosse,data.Short-cycle tertiary,25 to 34 years,Male,25.0
2016,Nouvelle-Écosse,data.Short-cycle tertiary,25 to 34 years,Male,23.0
2017,Nouvelle-Écosse,data.Short-cycle tertiary,25 to 34 years,Male,23.0
2018,Nouvelle-Écosse,data.Short-cycle tertiary,25 to 34 years,Male,24.0
2019,Nouvelle-Écosse,data.Short-cycle tertiary,25 to 34 years,Male,23.0
2020,Nouvelle-Écosse,data.Short-cycle tertiary,25 to 34 years,Male,26.0
2010,Nouvelle-Écosse,data.Short-cycle tertiary,25 to 34 years,Female,30.0
2011,Nouvelle-Écosse,data.Short-cycle tertiary,25 to 34 years,Female,27.0
2012,Nouvelle-Écosse,data.Short-cycle tertiary,25 to 34 years,Female,29.0
2013,Nouvelle-Écosse,data.Short-cycle tertiary,25 to 34 years,Female,28.0
2014,Nouvelle-Écosse,data.Short-cycle tertiary,25 to 34 years,Female,31.0
2015,Nouvelle-Écosse,data.Short-cycle tertiary,25 to 34 years,Female,30.0
2016,Nouvelle-Écosse,data.Short-cycle tertiary,25 to 34 years,Female,28.0
2017,Nouvelle-Écosse,data.Short-cycle tertiary,25 to 34 years,Female,28.0
2018,Nouvelle-Écosse,data.Short-cycle tertiary,25 to 34 years,Female,26.0
2019,Nouvelle-Écosse,data.Short-cycle tertiary,25 to 34 years,Female,28.0
2020,Nouvelle-Écosse,data.Short-cycle tertiary,25 to 34 years,Female,30.0
2010,Nouvelle-Écosse,data.Short-cycle tertiary,30 à 34 ans,Les deux sexes,30.0
2011,Nouvelle-Écosse,data.Short-cycle tertiary,30 à 34 ans,Les deux sexes,27.0
2012,Nouvelle-Écosse,data.Short-cycle tertiary,30 à 34 ans,Les deux sexes,29.0
2013,Nouvelle-Écosse,data.Short-cycle tertiary,30 à 34 ans,Les deux sexes,29.0
2014,Nouvelle-Écosse,data.Short-cycle tertiary,30 à 34 ans,Les deux sexes,28.0
2015,Nouvelle-Écosse,data.Short-cycle tertiary,30 à 34 ans,Les deux sexes,29.0
2016,Nouvelle-Écosse,data.Short-cycle tertiary,30 à 34 ans,Les deux sexes,25.0
2017,Nouvelle-Écosse,data.Short-cycle tertiary,30 à 34 ans,Les deux sexes,28.0
2018,Nouvelle-Écosse,data.Short-cycle tertiary,30 à 34 ans,Les deux sexes,26.0
2019,Nouvelle-Écosse,data.Short-cycle tertiary,30 à 34 ans,Les deux sexes,27.0
2020,Nouvelle-Écosse,data.Short-cycle tertiary,30 à 34 ans,Les deux sexes,29.0
2010,Nouvelle-Écosse,data.Short-cycle tertiary,30 à 34 ans,Male,30.0
2011,Nouvelle-Écosse,data.Short-cycle tertiary,30 à 34 ans,Male,24.0
2012,Nouvelle-Écosse,data.Short-cycle tertiary,30 à 34 ans,Male,25.0
2013,Nouvelle-Écosse,data.Short-cycle tertiary,30 à 34 ans,Male,28.0
2014,Nouvelle-Écosse,data.Short-cycle tertiary,30 à 34 ans,Male,25.0
2015,Nouvelle-Écosse,data.Short-cycle tertiary,30 à 34 ans,Male,27.0
2016,Nouvelle-Écosse,data.Short-cycle tertiary,30 à 34 ans,Male,23.0
2017,Nouvelle-Écosse,data.Short-cycle tertiary,30 à 34 ans,Male,27.0
2018,Nouvelle-Écosse,data.Short-cycle tertiary,30 à 34 ans,Male,25.0
2019,Nouvelle-Écosse,data.Short-cycle tertiary,30 à 34 ans,Male,26.0
2020,Nouvelle-Écosse,data.Short-cycle tertiary,30 à 34 ans,Male,26.0
2010,Nouvelle-Écosse,data.Short-cycle tertiary,30 à 34 ans,Female,31.0
2011,Nouvelle-Écosse,data.Short-cycle tertiary,30 à 34 ans,Female,30.0
2012,Nouvelle-Écosse,data.Short-cycle tertiary,30 à 34 ans,Female,32.0
2013,Nouvelle-Écosse,data.Short-cycle tertiary,30 à 34 ans,Female,29.0
2014,Nouvelle-Écosse,data.Short-cycle tertiary,30 à 34 ans,Female,30.0
2015,Nouvelle-Écosse,data.Short-cycle tertiary,30 à 34 ans,Female,30.0
2016,Nouvelle-Écosse,data.Short-cycle tertiary,30 à 34 ans,Female,27.0
2017,Nouvelle-Écosse,data.Short-cycle tertiary,30 à 34 ans,Female,29.0
2018,Nouvelle-Écosse,data.Short-cycle tertiary,30 à 34 ans,Female,27.0
2019,Nouvelle-Écosse,data.Short-cycle tertiary,30 à 34 ans,Female,28.0
2020,Nouvelle-Écosse,data.Short-cycle tertiary,30 à 34 ans,Female,31.0
2010,Nouvelle-Écosse,data.Short-cycle tertiary,35 to 44 years,Les deux sexes,28.0
2011,Nouvelle-Écosse,data.Short-cycle tertiary,35 to 44 years,Les deux sexes,28.0
2012,Nouvelle-Écosse,data.Short-cycle tertiary,35 to 44 years,Les deux sexes,29.0
2013,Nouvelle-Écosse,data.Short-cycle tertiary,35 to 44 years,Les deux sexes,32.0
2014,Nouvelle-Écosse,data.Short-cycle tertiary,35 to 44 years,Les deux sexes,29.0
2015,Nouvelle-Écosse,data.Short-cycle tertiary,35 to 44 years,Les deux sexes,30.0
2016,Nouvelle-Écosse,data.Short-cycle tertiary,35 to 44 years,Les deux sexes,28.0
2017,Nouvelle-Écosse,data.Short-cycle tertiary,35 to 44 years,Les deux sexes,29.0
2018,Nouvelle-Écosse,data.Short-cycle tertiary,35 to 44 years,Les deux sexes,27.0
2019,Nouvelle-Écosse,data.Short-cycle tertiary,35 to 44 years,Les deux sexes,27.0
2020,Nouvelle-Écosse,data.Short-cycle tertiary,35 to 44 years,Les deux sexes,27.0
2010,Nouvelle-Écosse,data.Short-cycle tertiary,35 to 44 years,Male,24.0
2011,Nouvelle-Écosse,data.Short-cycle tertiary,35 to 44 years,Male,21.0
2012,Nouvelle-Écosse,data.Short-cycle tertiary,35 to 44 years,Male,26.0
2013,Nouvelle-Écosse,data.Short-cycle tertiary,35 to 44 years,Male,27.0
2014,Nouvelle-Écosse,data.Short-cycle tertiary,35 to 44 years,Male,26.0
2015,Nouvelle-Écosse,data.Short-cycle tertiary,35 to 44 years,Male,27.0
2016,Nouvelle-Écosse,data.Short-cycle tertiary,35 to 44 years,Male,23.0
2017,Nouvelle-Écosse,data.Short-cycle tertiary,35 to 44 years,Male,25.0
2018,Nouvelle-Écosse,data.Short-cycle tertiary,35 to 44 years,Male,25.0
2019,Nouvelle-Écosse,data.Short-cycle tertiary,35 to 44 years,Male,26.0
2020,Nouvelle-Écosse,data.Short-cycle tertiary,35 to 44 years,Male,25.0
2010,Nouvelle-Écosse,data.Short-cycle tertiary,35 to 44 years,Female,32.0
2011,Nouvelle-Écosse,data.Short-cycle tertiary,35 to 44 years,Female,34.0
2012,Nouvelle-Écosse,data.Short-cycle tertiary,35 to 44 years,Female,33.0
2013,Nouvelle-Écosse,data.Short-cycle tertiary,35 to 44 years,Female,36.0
2014,Nouvelle-Écosse,data.Short-cycle tertiary,35 to 44 years,Female,33.0
2015,Nouvelle-Écosse,data.Short-cycle tertiary,35 to 44 years,Female,32.0
2016,Nouvelle-Écosse,data.Short-cycle tertiary,35 to 44 years,Female,33.0
2017,Nouvelle-Écosse,data.Short-cycle tertiary,35 to 44 years,Female,32.0
2018,Nouvelle-Écosse,data.Short-cycle tertiary,35 to 44 years,Female,29.0
2019,Nouvelle-Écosse,data.Short-cycle tertiary,35 to 44 years,Female,29.0
2020,Nouvelle-Écosse,data.Short-cycle tertiary,35 to 44 years,Female,29.0
2010,Nouvelle-Écosse,data.Short-cycle tertiary,45 to 54 years,Les deux sexes,24.0
2011,Nouvelle-Écosse,data.Short-cycle tertiary,45 to 54 years,Les deux sexes,24.0
2012,Nouvelle-Écosse,data.Short-cycle tertiary,45 to 54 years,Les deux sexes,26.0
2013,Nouvelle-Écosse,data.Short-cycle tertiary,45 to 54 years,Les deux sexes,26.0
2014,Nouvelle-Écosse,data.Short-cycle tertiary,45 to 54 years,Les deux sexes,27.0
2015,Nouvelle-Écosse,data.Short-cycle tertiary,45 to 54 years,Les deux sexes,27.0
2016,Nouvelle-Écosse,data.Short-cycle tertiary,45 to 54 years,Les deux sexes,25.0
2017,Nouvelle-Écosse,data.Short-cycle tertiary,45 to 54 years,Les deux sexes,26.0
2018,Nouvelle-Écosse,data.Short-cycle tertiary,45 to 54 years,Les deux sexes,27.0
2019,Nouvelle-Écosse,data.Short-cycle tertiary,45 to 54 years,Les deux sexes,27.0
2020,Nouvelle-Écosse,data.Short-cycle tertiary,45 to 54 years,Les deux sexes,30.0
2010,Nouvelle-Écosse,data.Short-cycle tertiary,45 to 54 years,Male,20.0
2011,Nouvelle-Écosse,data.Short-cycle tertiary,45 to 54 years,Male,18.0
2012,Nouvelle-Écosse,data.Short-cycle tertiary,45 to 54 years,Male,20.0
2013,Nouvelle-Écosse,data.Short-cycle tertiary,45 to 54 years,Male,20.0
2014,Nouvelle-Écosse,data.Short-cycle tertiary,45 to 54 years,Male,20.0
2015,Nouvelle-Écosse,data.Short-cycle tertiary,45 to 54 years,Male,20.0
2016,Nouvelle-Écosse,data.Short-cycle tertiary,45 to 54 years,Male,20.0
2017,Nouvelle-Écosse,data.Short-cycle tertiary,45 to 54 years,Male,22.0
2018,Nouvelle-Écosse,data.Short-cycle tertiary,45 to 54 years,Male,21.0
2019,Nouvelle-Écosse,data.Short-cycle tertiary,45 to 54 years,Male,22.0
2020,Nouvelle-Écosse,data.Short-cycle tertiary,45 to 54 years,Male,27.0
2010,Nouvelle-Écosse,data.Short-cycle tertiary,45 to 54 years,Female,29.0
2011,Nouvelle-Écosse,data.Short-cycle tertiary,45 to 54 years,Female,29.0
2012,Nouvelle-Écosse,data.Short-cycle tertiary,45 to 54 years,Female,31.0
2013,Nouvelle-Écosse,data.Short-cycle tertiary,45 to 54 years,Female,32.0
2014,Nouvelle-Écosse,data.Short-cycle tertiary,45 to 54 years,Female,33.0
2015,Nouvelle-Écosse,data.Short-cycle tertiary,45 to 54 years,Female,32.0
2016,Nouvelle-Écosse,data.Short-cycle tertiary,45 to 54 years,Female,30.0
2017,Nouvelle-Écosse,data.Short-cycle tertiary,45 to 54 years,Female,31.0
2018,Nouvelle-Écosse,data.Short-cycle tertiary,45 to 54 years,Female,33.0
2019,Nouvelle-Écosse,data.Short-cycle tertiary,45 to 54 years,Female,31.0
2020,Nouvelle-Écosse,data.Short-cycle tertiary,45 to 54 years,Female,33.0
2010,Nouvelle-Écosse,data.Short-cycle tertiary,55 à 64 ans,Les deux sexes,19.0
2011,Nouvelle-Écosse,data.Short-cycle tertiary,55 à 64 ans,Les deux sexes,19.0
2012,Nouvelle-Écosse,data.Short-cycle tertiary,55 à 64 ans,Les deux sexes,21.0
2013,Nouvelle-Écosse,data.Short-cycle tertiary,55 à 64 ans,Les deux sexes,23.0
2014,Nouvelle-Écosse,data.Short-cycle tertiary,55 à 64 ans,Les deux sexes,21.0
2015,Nouvelle-Écosse,data.Short-cycle tertiary,55 à 64 ans,Les deux sexes,22.0
2016,Nouvelle-Écosse,data.Short-cycle tertiary,55 à 64 ans,Les deux sexes,22.0
2017,Nouvelle-Écosse,data.Short-cycle tertiary,55 à 64 ans,Les deux sexes,23.0
2018,Nouvelle-Écosse,data.Short-cycle tertiary,55 à 64 ans,Les deux sexes,23.0
2019,Nouvelle-Écosse,data.Short-cycle tertiary,55 à 64 ans,Les deux sexes,23.0
2020,Nouvelle-Écosse,data.Short-cycle tertiary,55 à 64 ans,Les deux sexes,23.0
2010,Nouvelle-Écosse,data.Short-cycle tertiary,55 à 64 ans,Male,14.0
2011,Nouvelle-Écosse,data.Short-cycle tertiary,55 à 64 ans,Male,13.0
2012,Nouvelle-Écosse,data.Short-cycle tertiary,55 à 64 ans,Male,14.0
2013,Nouvelle-Écosse,data.Short-cycle tertiary,55 à 64 ans,Male,16.0
2014,Nouvelle-Écosse,data.Short-cycle tertiary,55 à 64 ans,Male,15.0
2015,Nouvelle-Écosse,data.Short-cycle tertiary,55 à 64 ans,Male,16.0
2016,Nouvelle-Écosse,data.Short-cycle tertiary,55 à 64 ans,Male,16.0
2017,Nouvelle-Écosse,data.Short-cycle tertiary,55 à 64 ans,Male,17.0
2018,Nouvelle-Écosse,data.Short-cycle tertiary,55 à 64 ans,Male,17.0
2019,Nouvelle-Écosse,data.Short-cycle tertiary,55 à 64 ans,Male,18.0
2020,Nouvelle-Écosse,data.Short-cycle tertiary,55 à 64 ans,Male,17.0
2010,Nouvelle-Écosse,data.Short-cycle tertiary,55 à 64 ans,Female,24.0
2011,Nouvelle-Écosse,data.Short-cycle tertiary,55 à 64 ans,Female,24.0
2012,Nouvelle-Écosse,data.Short-cycle tertiary,55 à 64 ans,Female,27.0
2013,Nouvelle-Écosse,data.Short-cycle tertiary,55 à 64 ans,Female,29.0
2014,Nouvelle-Écosse,data.Short-cycle tertiary,55 à 64 ans,Female,27.0
2015,Nouvelle-Écosse,data.Short-cycle tertiary,55 à 64 ans,Female,28.0
2016,Nouvelle-Écosse,data.Short-cycle tertiary,55 à 64 ans,Female,28.0
2017,Nouvelle-Écosse,data.Short-cycle tertiary,55 à 64 ans,Female,28.0
2018,Nouvelle-Écosse,data.Short-cycle tertiary,55 à 64 ans,Female,29.0
2019,Nouvelle-Écosse,data.Short-cycle tertiary,55 à 64 ans,Female,27.0
2020,Nouvelle-Écosse,data.Short-cycle tertiary,55 à 64 ans,Female,29.0
2010,Nouvelle-Écosse,data.Bachelor's level,"data.Total, 25 to 64 years",Les deux sexes,15.0
2011,Nouvelle-Écosse,data.Bachelor's level,"data.Total, 25 to 64 years",Les deux sexes,15.0
2012,Nouvelle-Écosse,data.Bachelor's level,"data.Total, 25 to 64 years",Les deux sexes,16.0
2013,Nouvelle-Écosse,data.Bachelor's level,"data.Total, 25 to 64 years",Les deux sexes,16.0
2014,Nouvelle-Écosse,data.Bachelor's level,"data.Total, 25 to 64 years",Les deux sexes,16.0
2015,Nouvelle-Écosse,data.Bachelor's level,"data.Total, 25 to 64 years",Les deux sexes,17.0
2016,Nouvelle-Écosse,data.Bachelor's level,"data.Total, 25 to 64 years",Les deux sexes,17.0
2017,Nouvelle-Écosse,data.Bachelor's level,"data.Total, 25 to 64 years",Les deux sexes,18.0
2018,Nouvelle-Écosse,data.Bachelor's level,"data.Total, 25 to 64 years",Les deux sexes,18.0
2019,Nouvelle-Écosse,data.Bachelor's level,"data.Total, 25 to 64 years",Les deux sexes,17.0
2020,Nouvelle-Écosse,data.Bachelor's level,"data.Total, 25 to 64 years",Les deux sexes,19.0
2010,Nouvelle-Écosse,data.Bachelor's level,"data.Total, 25 to 64 years",Male,12.0
2011,Nouvelle-Écosse,data.Bachelor's level,"data.Total, 25 to 64 years",Male,13.0
2012,Nouvelle-Écosse,data.Bachelor's level,"data.Total, 25 to 64 years",Male,13.0
2013,Nouvelle-Écosse,data.Bachelor's level,"data.Total, 25 to 64 years",Male,14.0
2014,Nouvelle-Écosse,data.Bachelor's level,"data.Total, 25 to 64 years",Male,15.0
2015,Nouvelle-Écosse,data.Bachelor's level,"data.Total, 25 to 64 years",Male,14.0
2016,Nouvelle-Écosse,data.Bachelor's level,"data.Total, 25 to 64 years",Male,15.0
2017,Nouvelle-Écosse,data.Bachelor's level,"data.Total, 25 to 64 years",Male,14.0
2018,Nouvelle-Écosse,data.Bachelor's level,"data.Total, 25 to 64 years",Male,14.0
2019,Nouvelle-Écosse,data.Bachelor's level,"data.Total, 25 to 64 years",Male,14.0
2020,Nouvelle-Écosse,data.Bachelor's level,"data.Total, 25 to 64 years",Male,16.0
2010,Nouvelle-Écosse,data.Bachelor's level,"data.Total, 25 to 64 years",Female,17.0
2011,Nouvelle-Écosse,data.Bachelor's level,"data.Total, 25 to 64 years",Female,18.0
2012,Nouvelle-Écosse,data.Bachelor's level,"data.Total, 25 to 64 years",Female,18.0
2013,Nouvelle-Écosse,data.Bachelor's level,"data.Total, 25 to 64 years",Female,18.0
2014,Nouvelle-Écosse,data.Bachelor's level,"data.Total, 25 to 64 years",Female,18.0
2015,Nouvelle-Écosse,data.Bachelor's level,"data.Total, 25 to 64 years",Female,19.0
2016,Nouvelle-Écosse,data.Bachelor's level,"data.Total, 25 to 64 years",Female,19.0
2017,Nouvelle-Écosse,data.Bachelor's level,"data.Total, 25 to 64 years",Female,21.0
2018,Nouvelle-Écosse,data.Bachelor's level,"data.Total, 25 to 64 years",Female,21.0
2019,Nouvelle-Écosse,data.Bachelor's level,"data.Total, 25 to 64 years",Female,20.0
2020,Nouvelle-Écosse,data.Bachelor's level,"data.Total, 25 to 64 years",Female,22.0
2010,Nouvelle-Écosse,data.Bachelor's level,25 to 34 years,Les deux sexes,21.0
2011,Nouvelle-Écosse,data.Bachelor's level,25 to 34 years,Les deux sexes,23.0
2012,Nouvelle-Écosse,data.Bachelor's level,25 to 34 years,Les deux sexes,26.0
2013,Nouvelle-Écosse,data.Bachelor's level,25 to 34 years,Les deux sexes,24.0
2014,Nouvelle-Écosse,data.Bachelor's level,25 to 34 years,Les deux sexes,25.0
2015,Nouvelle-Écosse,data.Bachelor's level,25 to 34 years,Les deux sexes,24.0
2016,Nouvelle-Écosse,data.Bachelor's level,25 to 34 years,Les deux sexes,23.0
2017,Nouvelle-Écosse,data.Bachelor's level,25 to 34 years,Les deux sexes,25.0
2018,Nouvelle-Écosse,data.Bachelor's level,25 to 34 years,Les deux sexes,25.0
2019,Nouvelle-Écosse,data.Bachelor's level,25 to 34 years,Les deux sexes,23.0
2020,Nouvelle-Écosse,data.Bachelor's level,25 to 34 years,Les deux sexes,24.0
2010,Nouvelle-Écosse,data.Bachelor's level,25 to 34 years,Male,16.0
2011,Nouvelle-Écosse,data.Bachelor's level,25 to 34 years,Male,17.0
2012,Nouvelle-Écosse,data.Bachelor's level,25 to 34 years,Male,21.0
2013,Nouvelle-Écosse,data.Bachelor's level,25 to 34 years,Male,20.0
2014,Nouvelle-Écosse,data.Bachelor's level,25 to 34 years,Male,21.0
2015,Nouvelle-Écosse,data.Bachelor's level,25 to 34 years,Male,20.0
2016,Nouvelle-Écosse,data.Bachelor's level,25 to 34 years,Male,19.0
2017,Nouvelle-Écosse,data.Bachelor's level,25 to 34 years,Male,20.0
2018,Nouvelle-Écosse,data.Bachelor's level,25 to 34 years,Male,18.0
2019,Nouvelle-Écosse,data.Bachelor's level,25 to 34 years,Male,18.0
2020,Nouvelle-Écosse,data.Bachelor's level,25 to 34 years,Male,19.0
2010,Nouvelle-Écosse,data.Bachelor's level,25 to 34 years,Female,27.0
2011,Nouvelle-Écosse,data.Bachelor's level,25 to 34 years,Female,29.0
2012,Nouvelle-Écosse,data.Bachelor's level,25 to 34 years,Female,30.0
