Year,Géographie,data.Economic family type,Value
2011,Nouveau-Brunswick,Personnes âgées hors famille économique,24000.0
2012,Nouveau-Brunswick,Personnes âgées hors famille économique,23500.0
2013,Nouveau-Brunswick,Personnes âgées hors famille économique,25500.0
2014,Nouveau-Brunswick,Personnes âgées hors famille économique,24300.0
2015,Nouveau-Brunswick,Personnes âgées hors famille économique,26000.0
2016,Nouveau-Brunswick,Personnes âgées hors famille économique,25200.0
2017,Nouveau-Brunswick,Personnes âgées hors famille économique,25900.0
2018,Nouveau-Brunswick,Personnes âgées hors famille économique,25900.0
2019,Nouveau-Brunswick,Personnes âgées hors famille économique,26700.0
2010,Nouveau-Brunswick,data.Elderly males not in an economic family,28800.0
2011,Nouveau-Brunswick,data.Elderly males not in an economic family,24000.0
2012,Nouveau-Brunswick,data.Elderly males not in an economic family,21500.0
2013,Nouveau-Brunswick,data.Elderly males not in an economic family,27100.0
2014,Nouveau-Brunswick,data.Elderly males not in an economic family,25100.0
2015,Nouveau-Brunswick,data.Elderly males not in an economic family,28800.0
2016,Nouveau-Brunswick,data.Elderly males not in an economic family,26500.0
2017,Nouveau-Brunswick,data.Elderly males not in an economic family,28000.0
2018,Nouveau-Brunswick,data.Elderly males not in an economic family,25900.0
2019,Nouveau-Brunswick,data.Elderly males not in an economic family,26400.0
2010,Nouveau-Brunswick,data.Elderly females not in an economic family,22900.0
2011,Nouveau-Brunswick,data.Elderly females not in an economic family,23900.0
2012,Nouveau-Brunswick,data.Elderly females not in an economic family,23900.0
2013,Nouveau-Brunswick,data.Elderly females not in an economic family,24700.0
2014,Nouveau-Brunswick,data.Elderly females not in an economic family,23900.0
2015,Nouveau-Brunswick,data.Elderly females not in an economic family,23800.0
2016,Nouveau-Brunswick,data.Elderly females not in an economic family,24800.0
2017,Nouveau-Brunswick,data.Elderly females not in an economic family,25400.0
2018,Nouveau-Brunswick,data.Elderly females not in an economic family,25600.0
2019,Nouveau-Brunswick,data.Elderly females not in an economic family,27000.0
2010,Nouveau-Brunswick,Personnes non âgées hors famille économique,27000.0
2011,Nouveau-Brunswick,Personnes non âgées hors famille économique,27400.0
2012,Nouveau-Brunswick,Personnes non âgées hors famille économique,29400.0
2013,Nouveau-Brunswick,Personnes non âgées hors famille économique,28500.0
2014,Nouveau-Brunswick,Personnes non âgées hors famille économique,30300.0
2015,Nouveau-Brunswick,Personnes non âgées hors famille économique,26100.0
2016,Nouveau-Brunswick,Personnes non âgées hors famille économique,26900.0
2017,Nouveau-Brunswick,Personnes non âgées hors famille économique,30100.0
2018,Nouveau-Brunswick,Personnes non âgées hors famille économique,28400.0
2019,Nouveau-Brunswick,Personnes non âgées hors famille économique,31100.0
2010,Nouveau-Brunswick,Hommes non âgés hors famille économique,28900.0
2011,Nouveau-Brunswick,Hommes non âgés hors famille économique,31100.0
2012,Nouveau-Brunswick,Hommes non âgés hors famille économique,30400.0
2013,Nouveau-Brunswick,Hommes non âgés hors famille économique,30000.0
2014,Nouveau-Brunswick,Hommes non âgés hors famille économique,35400.0
2015,Nouveau-Brunswick,Hommes non âgés hors famille économique,26900.0
2016,Nouveau-Brunswick,Hommes non âgés hors famille économique,28900.0
2017,Nouveau-Brunswick,Hommes non âgés hors famille économique,32500.0
2018,Nouveau-Brunswick,Hommes non âgés hors famille économique,28700.0
2019,Nouveau-Brunswick,Hommes non âgés hors famille économique,31700.0
2010,Nouveau-Brunswick,Femmes non âgées hors famille économique,25100.0
2011,Nouveau-Brunswick,Femmes non âgées hors famille économique,23400.0
2012,Nouveau-Brunswick,Femmes non âgées hors famille économique,23800.0
2013,Nouveau-Brunswick,Femmes non âgées hors famille économique,24400.0
2014,Nouveau-Brunswick,Femmes non âgées hors famille économique,27200.0
2015,Nouveau-Brunswick,Femmes non âgées hors famille économique,26000.0
2016,Nouveau-Brunswick,Femmes non âgées hors famille économique,25500.0
2017,Nouveau-Brunswick,Femmes non âgées hors famille économique,28200.0
2018,Nouveau-Brunswick,Femmes non âgées hors famille économique,28200.0
2019,Nouveau-Brunswick,Femmes non âgées hors famille économique,30200.0
2010,Québec,data.Economic families and persons not in an economic family,50100.0
2011,Québec,data.Economic families and persons not in an economic family,50200.0
2012,Québec,data.Economic families and persons not in an economic family,51600.0
2013,Québec,data.Economic families and persons not in an economic family,52100.0
2014,Québec,data.Economic families and persons not in an economic family,51700.0
2015,Québec,data.Economic families and persons not in an economic family,51800.0
2016,Québec,data.Economic families and persons not in an economic family,52500.0
2017,Québec,data.Economic families and persons not in an economic family,53700.0
2018,Québec,data.Economic families and persons not in an economic family,54200.0
2019,Québec,data.Economic families and persons not in an economic family,55600.0
2010,Québec,data.Economic families,68200.0
2011,Québec,data.Economic families,68800.0
2012,Québec,data.Economic families,71500.0
2013,Québec,data.Economic families,72000.0
2014,Québec,data.Economic families,72800.0
2015,Québec,data.Economic families,73500.0
2016,Québec,data.Economic families,74500.0
2017,Québec,data.Economic families,76000.0
2018,Québec,data.Economic families,77300.0
2019,Québec,data.Economic families,79600.0
2010,Québec,data.Elderly families,46700.0
2011,Québec,data.Elderly families,45900.0
2012,Québec,data.Elderly families,51300.0
2013,Québec,data.Elderly families,51300.0
2014,Québec,data.Elderly families,50800.0
2015,Québec,data.Elderly families,53800.0
2016,Québec,data.Elderly families,55600.0
2017,Québec,data.Elderly families,55000.0
2018,Québec,data.Elderly families,56800.0
2019,Québec,data.Elderly families,56000.0
2010,Québec,data.Elderly couples,45900.0
2011,Québec,data.Elderly couples,45400.0
2012,Québec,data.Elderly couples,50500.0
2013,Québec,data.Elderly couples,51100.0
2014,Québec,data.Elderly couples,50500.0
2015,Québec,data.Elderly couples,53100.0
2016,Québec,data.Elderly couples,55500.0
2017,Québec,data.Elderly couples,53700.0
2018,Québec,data.Elderly couples,55500.0
2019,Québec,data.Elderly couples,55300.0
2010,Québec,data.Other elderly families,53600.0
2011,Québec,data.Other elderly families,49000.0
2012,Québec,data.Other elderly families,57100.0
2013,Québec,data.Other elderly families,54900.0
2014,Québec,data.Other elderly families,53900.0
2015,Québec,data.Other elderly families,60600.0
2016,Québec,data.Other elderly families,56700.0
2017,Québec,data.Other elderly families,59700.0
2018,Québec,data.Other elderly families,62700.0
2019,Québec,data.Other elderly families,57600.0
2010,Québec,data.Non-elderly families,73700.0
2011,Québec,data.Non-elderly families,74900.0
2012,Québec,data.Non-elderly families,77400.0
2013,Québec,data.Non-elderly families,77600.0
2014,Québec,data.Non-elderly families,80300.0
2015,Québec,data.Non-elderly families,79300.0
2016,Québec,data.Non-elderly families,80700.0
2017,Québec,data.Non-elderly families,83000.0
2018,Québec,data.Non-elderly families,84600.0
2019,Québec,data.Non-elderly families,87800.0
2010,Québec,data.Couples,66500.0
2011,Québec,data.Couples,65400.0
2012,Québec,data.Couples,69000.0
2013,Québec,data.Couples,71400.0
2014,Québec,data.Couples,71400.0
2015,Québec,data.Couples,71000.0
2016,Québec,data.Couples,74100.0
2017,Québec,data.Couples,71800.0
2018,Québec,data.Couples,74400.0
2019,Québec,data.Couples,75900.0
2010,Québec,data.Couples with children,85100.0
2011,Québec,data.Couples with children,89200.0
2012,Québec,data.Couples with children,83900.0
2013,Québec,data.Couples with children,85400.0
2014,Québec,data.Couples with children,90200.0
2015,Québec,data.Couples with children,91600.0
2016,Québec,data.Couples with children,94600.0
2017,Québec,data.Couples with children,95200.0
2018,Québec,data.Couples with children,95500.0
2019,Québec,data.Couples with children,100400.0
2010,Québec,data.Couples with other relatives,105900.0
2011,Québec,data.Couples with other relatives,103800.0
2012,Québec,data.Couples with other relatives,108000.0
2013,Québec,data.Couples with other relatives,109500.0
2014,Québec,data.Couples with other relatives,107800.0
2015,Québec,data.Couples with other relatives,102500.0
2016,Québec,data.Couples with other relatives,112600.0
2017,Québec,data.Couples with other relatives,120800.0
2018,Québec,data.Couples with other relatives,121100.0
2019,Québec,data.Couples with other relatives,120100.0
2010,Québec,data.Lone-parent families,46500.0
2011,Québec,data.Lone-parent families,46700.0
2012,Québec,data.Lone-parent families,49300.0
2013,Québec,data.Lone-parent families,53500.0
2014,Québec,data.Lone-parent families,46300.0
2015,Québec,data.Lone-parent families,51200.0
2016,Québec,data.Lone-parent families,51800.0
2017,Québec,data.Lone-parent families,54500.0
2018,Québec,data.Lone-parent families,53400.0
2019,Québec,data.Lone-parent families,61500.0
2010,Québec,data.Male lone-parent families,59200.0
2011,Québec,data.Male lone-parent families,60700.0
2012,Québec,data.Male lone-parent families,60900.0
2013,Québec,data.Male lone-parent families,54800.0
2014,Québec,data.Male lone-parent families,65400.0
2015,Québec,data.Male lone-parent families,65800.0
2016,Québec,data.Male lone-parent families,61400.0
2017,Québec,data.Male lone-parent families,58600.0
2018,Québec,data.Male lone-parent families,64100.0
2019,Québec,data.Male lone-parent families,67600.0
2010,Québec,data.Female lone-parent families,44400.0
2011,Québec,data.Female lone-parent families,46300.0
2012,Québec,data.Female lone-parent families,47500.0
2013,Québec,data.Female lone-parent families,53500.0
2014,Québec,data.Female lone-parent families,42900.0
2015,Québec,data.Female lone-parent families,48500.0
2016,Québec,data.Female lone-parent families,50700.0
2017,Québec,data.Female lone-parent families,52900.0
2018,Québec,data.Female lone-parent families,51700.0
2019,Québec,data.Female lone-parent families,57500.0
2010,Québec,data.Other non-elderly families,63000.0
2011,Québec,data.Other non-elderly families,62500.0
2012,Québec,data.Other non-elderly families,70000.0
2013,Québec,data.Other non-elderly families,65700.0
2014,Québec,data.Other non-elderly families,62500.0
2015,Québec,data.Other non-elderly families,69200.0
2016,Québec,data.Other non-elderly families,64000.0
2017,Québec,data.Other non-elderly families,68200.0
2018,Québec,data.Other non-elderly families,69000.0
2019,Québec,data.Other non-elderly families,76400.0
2010,Québec,Personnes hors famille économique,28000.0
2011,Québec,Personnes hors famille économique,28000.0
2012,Québec,Personnes hors famille économique,29200.0
2013,Québec,Personnes hors famille économique,28500.0
2014,Québec,Personnes hors famille économique,29500.0
2015,Québec,Personnes hors famille économique,28500.0
2016,Québec,Personnes hors famille économique,28900.0
2017,Québec,Personnes hors famille économique,29400.0
2018,Québec,Personnes hors famille économique,29300.0
2019,Québec,Personnes hors famille économique,29100.0
2010,Québec,Personnes âgées hors famille économique,24500.0
2011,Québec,Personnes âgées hors famille économique,23700.0
2012,Québec,Personnes âgées hors famille économique,26300.0
2013,Québec,Personnes âgées hors famille économique,26500.0
2014,Québec,Personnes âgées hors famille économique,26300.0
2015,Québec,Personnes âgées hors famille économique,26400.0
2016,Québec,Personnes âgées hors famille économique,25200.0
2017,Québec,Personnes âgées hors famille économique,24800.0
2018,Québec,Personnes âgées hors famille économique,25700.0
2019,Québec,Personnes âgées hors famille économique,25700.0
2010,Québec,data.Elderly males not in an economic family,25200.0
2011,Québec,data.Elderly males not in an economic family,28700.0
2012,Québec,data.Elderly males not in an economic family,28800.0
2013,Québec,data.Elderly males not in an economic family,27600.0
2014,Québec,data.Elderly males not in an economic family,25900.0
2015,Québec,data.Elderly males not in an economic family,26300.0
2016,Québec,data.Elderly males not in an economic family,25200.0
2017,Québec,data.Elderly males not in an economic family,27100.0
2018,Québec,data.Elderly males not in an economic family,26700.0
2019,Québec,data.Elderly males not in an economic family,27400.0
2010,Québec,data.Elderly females not in an economic family,24000.0
2011,Québec,data.Elderly females not in an economic family,22600.0
2012,Québec,data.Elderly females not in an economic family,25800.0
2013,Québec,data.Elderly females not in an economic family,25700.0
2014,Québec,data.Elderly females not in an economic family,26300.0
2015,Québec,data.Elderly females not in an economic family,26500.0
2016,Québec,data.Elderly females not in an economic family,25100.0
2017,Québec,data.Elderly females not in an economic family,23800.0
2018,Québec,data.Elderly females not in an economic family,25500.0
2019,Québec,data.Elderly females not in an economic family,24900.0
2010,Québec,Personnes non âgées hors famille économique,30100.0
2011,Québec,Personnes non âgées hors famille économique,30900.0
2012,Québec,Personnes non âgées hors famille économique,30600.0
2013,Québec,Personnes non âgées hors famille économique,30800.0
2014,Québec,Personnes non âgées hors famille économique,31500.0
2015,Québec,Personnes non âgées hors famille économique,30300.0
2016,Québec,Personnes non âgées hors famille économique,31300.0
2017,Québec,Personnes non âgées hors famille économique,32200.0
2018,Québec,Personnes non âgées hors famille économique,31900.0
2019,Québec,Personnes non âgées hors famille économique,32000.0
2010,Québec,Hommes non âgés hors famille économique,29900.0
2011,Québec,Hommes non âgés hors famille économique,30900.0
2012,Québec,Hommes non âgés hors famille économique,32400.0
2013,Québec,Hommes non âgés hors famille économique,30400.0
2014,Québec,Hommes non âgés hors famille économique,32500.0
2015,Québec,Hommes non âgés hors famille économique,32700.0
2016,Québec,Hommes non âgés hors famille économique,32800.0
2017,Québec,Hommes non âgés hors famille économique,33300.0
2018,Québec,Hommes non âgés hors famille économique,33700.0
2019,Québec,Hommes non âgés hors famille économique,31500.0
2010,Québec,Femmes non âgées hors famille économique,30700.0
2011,Québec,Femmes non âgées hors famille économique,30900.0
2012,Québec,Femmes non âgées hors famille économique,29200.0
2013,Québec,Femmes non âgées hors famille économique,30800.0
2014,Québec,Femmes non âgées hors famille économique,27000.0
2015,Québec,Femmes non âgées hors famille économique,27700.0
2016,Québec,Femmes non âgées hors famille économique,30000.0
2017,Québec,Femmes non âgées hors famille économique,30200.0
2018,Québec,Femmes non âgées hors famille économique,29900.0
2019,Québec,Femmes non âgées hors famille économique,32600.0
2010,Ontario,data.Economic families and persons not in an economic family,61800.0
2011,Ontario,data.Economic families and persons not in an economic family,61100.0
2012,Ontario,data.Economic families and persons not in an economic family,61500.0
2013,Ontario,data.Economic families and persons not in an economic family,61100.0
2014,Ontario,data.Economic families and persons not in an economic family,63100.0
2015,Ontario,data.Economic families and persons not in an economic family,63400.0
2016,Ontario,data.Economic families and persons not in an economic family,62900.0
2017,Ontario,data.Economic families and persons not in an economic family,65400.0
2018,Ontario,data.Economic families and persons not in an economic family,67400.0
2019,Ontario,data.Economic families and persons not in an economic family,66600.0
2010,Ontario,data.Economic families,81300.0
2011,Ontario,data.Economic families,80800.0
2012,Ontario,data.Economic families,82500.0
2013,Ontario,data.Economic families,81700.0
2014,Ontario,data.Economic families,84900.0
2015,Ontario,data.Economic families,85700.0
2016,Ontario,data.Economic families,85600.0
2017,Ontario,data.Economic families,87400.0
2018,Ontario,data.Economic families,90900.0
2019,Ontario,data.Economic families,89900.0
2010,Ontario,data.Elderly families,58400.0
2011,Ontario,data.Elderly families,61300.0
2012,Ontario,data.Elderly families,63600.0
2013,Ontario,data.Elderly families,62200.0
2014,Ontario,data.Elderly families,66100.0
2015,Ontario,data.Elderly families,68100.0
2016,Ontario,data.Elderly families,62600.0
2017,Ontario,data.Elderly families,67200.0
2018,Ontario,data.Elderly families,70100.0
2019,Ontario,data.Elderly families,68000.0
2010,Ontario,data.Elderly couples,57700.0
2011,Ontario,data.Elderly couples,58200.0
2012,Ontario,data.Elderly couples,63600.0
2013,Ontario,data.Elderly couples,62600.0
2014,Ontario,data.Elderly couples,65400.0
2015,Ontario,data.Elderly couples,66700.0
2016,Ontario,data.Elderly couples,59800.0
2017,Ontario,data.Elderly couples,66400.0
2018,Ontario,data.Elderly couples,69100.0
2019,Ontario,data.Elderly couples,66700.0
2010,Ontario,data.Other elderly families,62100.0
2011,Ontario,data.Other elderly families,69000.0
2012,Ontario,data.Other elderly families,62800.0
2013,Ontario,data.Other elderly families,59600.0
2014,Ontario,data.Other elderly families,72200.0
2015,Ontario,data.Other elderly families,74700.0
2016,Ontario,data.Other elderly families,76800.0
2017,Ontario,data.Other elderly families,73400.0
2018,Ontario,data.Other elderly families,75900.0
2019,Ontario,data.Other elderly families,74000.0
2010,Ontario,data.Non-elderly families,87400.0
2011,Ontario,data.Non-elderly families,87300.0
2012,Ontario,data.Non-elderly families,89000.0
2013,Ontario,data.Non-elderly families,87300.0
2014,Ontario,data.Non-elderly families,90300.0
2015,Ontario,data.Non-elderly families,90700.0
2016,Ontario,data.Non-elderly families,92500.0
2017,Ontario,data.Non-elderly families,93000.0
2018,Ontario,data.Non-elderly families,96300.0
2019,Ontario,data.Non-elderly families,97300.0
2010,Ontario,data.Couples,79300.0
2011,Ontario,data.Couples,78000.0
2012,Ontario,data.Couples,82800.0
2013,Ontario,data.Couples,82900.0
2014,Ontario,data.Couples,83500.0
2015,Ontario,data.Couples,80500.0
2016,Ontario,data.Couples,86200.0
2017,Ontario,data.Couples,87900.0
2018,Ontario,data.Couples,88300.0
2019,Ontario,data.Couples,83700.0
2010,Ontario,data.Couples with children,96000.0
2011,Ontario,data.Couples with children,98000.0
2012,Ontario,data.Couples with children,97500.0
2013,Ontario,data.Couples with children,93800.0
2014,Ontario,data.Couples with children,101600.0
2015,Ontario,data.Couples with children,103000.0
2016,Ontario,data.Couples with children,101300.0
2017,Ontario,data.Couples with children,101000.0
2018,Ontario,data.Couples with children,105300.0
2019,Ontario,data.Couples with children,110400.0
2010,Ontario,data.Couples with other relatives,124000.0
2011,Ontario,data.Couples with other relatives,129500.0
2012,Ontario,data.Couples with other relatives,126100.0
2013,Ontario,data.Couples with other relatives,128000.0
2014,Ontario,data.Couples with other relatives,112600.0
2015,Ontario,data.Couples with other relatives,131700.0
2016,Ontario,data.Couples with other relatives,123800.0
2017,Ontario,data.Couples with other relatives,126500.0
2018,Ontario,data.Couples with other relatives,130700.0
2019,Ontario,data.Couples with other relatives,137900.0
2010,Ontario,data.Lone-parent families,46400.0
2011,Ontario,data.Lone-parent families,46900.0
2012,Ontario,data.Lone-parent families,45500.0
2013,Ontario,data.Lone-parent families,40700.0
2014,Ontario,data.Lone-parent families,47100.0
2015,Ontario,data.Lone-parent families,46200.0
2016,Ontario,data.Lone-parent families,41600.0
2017,Ontario,data.Lone-parent families,51200.0
2018,Ontario,data.Lone-parent families,51700.0
2019,Ontario,data.Lone-parent families,53700.0
2010,Ontario,data.Male lone-parent families,51400.0
2011,Ontario,data.Male lone-parent families,48700.0
2012,Ontario,data.Male lone-parent families,59600.0
2013,Ontario,data.Male lone-parent families,61600.0
2014,Ontario,data.Male lone-parent families,63100.0
2015,Ontario,data.Male lone-parent families,54300.0
2016,Ontario,data.Male lone-parent families,53400.0
2017,Ontario,data.Male lone-parent families,67600.0
2018,Ontario,data.Male lone-parent families,57400.0
2019,Ontario,data.Male lone-parent families,72200.0
2010,Ontario,data.Female lone-parent families,45000.0
2011,Ontario,data.Female lone-parent families,45400.0
2012,Ontario,data.Female lone-parent families,40900.0
2013,Ontario,data.Female lone-parent families,37200.0
2014,Ontario,data.Female lone-parent families,44400.0
2015,Ontario,data.Female lone-parent families,43800.0
2016,Ontario,data.Female lone-parent families,40100.0
2017,Ontario,data.Female lone-parent families,48900.0
2018,Ontario,data.Female lone-parent families,49900.0
2019,Ontario,data.Female lone-parent families,48600.0
2010,Ontario,data.Other non-elderly families,70300.0
2011,Ontario,data.Other non-elderly families,69800.0
2012,Ontario,data.Other non-elderly families,76200.0
2013,Ontario,data.Other non-elderly families,70100.0
2014,Ontario,data.Other non-elderly families,76800.0
2015,Ontario,data.Other non-elderly families,72600.0
2016,Ontario,data.Other non-elderly families,74800.0
2017,Ontario,data.Other non-elderly families,76200.0
2018,Ontario,data.Other non-elderly families,80100.0
2019,Ontario,data.Other non-elderly families,77800.0
2010,Ontario,Personnes hors famille économique,32300.0
2011,Ontario,Personnes hors famille économique,29000.0
2012,Ontario,Personnes hors famille économique,29800.0
2013,Ontario,Personnes hors famille économique,31900.0
2014,Ontario,Personnes hors famille économique,31800.0
2015,Ontario,Personnes hors famille économique,30700.0
2016,Ontario,Personnes hors famille économique,31000.0
2017,Ontario,Personnes hors famille économique,32000.0
2018,Ontario,Personnes hors famille économique,31700.0
2019,Ontario,Personnes hors famille économique,34200.0
2010,Ontario,Personnes âgées hors famille économique,31300.0
2011,Ontario,Personnes âgées hors famille économique,29000.0
2012,Ontario,Personnes âgées hors famille économique,28800.0
2013,Ontario,Personnes âgées hors famille économique,31700.0
2014,Ontario,Personnes âgées hors famille économique,33000.0
2015,Ontario,Personnes âgées hors famille économique,31000.0
2016,Ontario,Personnes âgées hors famille économique,31400.0
2017,Ontario,Personnes âgées hors famille économique,30900.0
2018,Ontario,Personnes âgées hors famille économique,32400.0
2019,Ontario,Personnes âgées hors famille économique,33500.0
2010,Ontario,data.Elderly males not in an economic family,39300.0
2011,Ontario,data.Elderly males not in an economic family,36100.0
2012,Ontario,data.Elderly males not in an economic family,30900.0
2013,Ontario,data.Elderly males not in an economic family,34300.0
2014,Ontario,data.Elderly males not in an economic family,35400.0
2015,Ontario,data.Elderly males not in an economic family,33700.0
2016,Ontario,data.Elderly males not in an economic family,33000.0
2017,Ontario,data.Elderly males not in an economic family,32200.0
2018,Ontario,data.Elderly males not in an economic family,34000.0
2019,Ontario,data.Elderly males not in an economic family,37000.0
2010,Ontario,data.Elderly females not in an economic family,28700.0
2011,Ontario,data.Elderly females not in an economic family,27700.0
2012,Ontario,data.Elderly females not in an economic family,28300.0
2013,Ontario,data.Elderly females not in an economic family,29900.0
2014,Ontario,data.Elderly females not in an economic family,31500.0
2015,Ontario,data.Elderly females not in an economic family,29300.0
2016,Ontario,data.Elderly females not in an economic family,30300.0
2017,Ontario,data.Elderly females not in an economic family,30400.0
2018,Ontario,data.Elderly females not in an economic family,31600.0
2019,Ontario,data.Elderly females not in an economic family,31800.0
2010,Ontario,Personnes non âgées hors famille économique,33000.0
2011,Ontario,Personnes non âgées hors famille économique,28600.0
2012,Ontario,Personnes non âgées hors famille économique,30200.0
2013,Ontario,Personnes non âgées hors famille économique,32300.0
2014,Ontario,Personnes non âgées hors famille économique,31200.0
2015,Ontario,Personnes non âgées hors famille économique,30600.0
2016,Ontario,Personnes non âgées hors famille économique,30800.0
2017,Ontario,Personnes non âgées hors famille économique,32100.0
2018,Ontario,Personnes non âgées hors famille économique,31300.0
2019,Ontario,Personnes non âgées hors famille économique,34500.0
2010,Ontario,Hommes non âgés hors famille économique,35100.0
2011,Ontario,Hommes non âgés hors famille économique,35300.0
2012,Ontario,Hommes non âgés hors famille économique,32100.0
2013,Ontario,Hommes non âgés hors famille économique,34700.0
2014,Ontario,Hommes non âgés hors famille économique,30200.0
2015,Ontario,Hommes non âgés hors famille économique,36800.0
2016,Ontario,Hommes non âgés hors famille économique,33900.0
2017,Ontario,Hommes non âgés hors famille économique,33400.0
2018,Ontario,Hommes non âgés hors famille économique,31200.0
2019,Ontario,Hommes non âgés hors famille économique,39800.0
2010,Ontario,Femmes non âgées hors famille économique,28500.0
2011,Ontario,Femmes non âgées hors famille économique,23600.0
2012,Ontario,Femmes non âgées hors famille économique,25900.0
2013,Ontario,Femmes non âgées hors famille économique,30100.0
2014,Ontario,Femmes non âgées hors famille économique,31800.0
2015,Ontario,Femmes non âgées hors famille économique,27000.0
2016,Ontario,Femmes non âgées hors famille économique,27700.0
2017,Ontario,Femmes non âgées hors famille économique,32000.0
2018,Ontario,Femmes non âgées hors famille économique,31300.0
2019,Ontario,Femmes non âgées hors famille économique,31400.0
2010,data.Prairie provinces,data.Economic families and persons not in an economic family,64800.0
2011,data.Prairie provinces,data.Economic families and persons not in an economic family,64600.0
2012,data.Prairie provinces,data.Economic families and persons not in an economic family,68500.0
2013,data.Prairie provinces,data.Economic families and persons not in an economic family,70300.0
2014,data.Prairie provinces,data.Economic families and persons not in an economic family,71400.0
2015,data.Prairie provinces,data.Economic families and persons not in an economic family,70700.0
2016,data.Prairie provinces,data.Economic families and persons not in an economic family,69300.0
2017,data.Prairie provinces,data.Economic families and persons not in an economic family,69200.0
2018,data.Prairie provinces,data.Economic families and persons not in an economic family,69400.0
2019,data.Prairie provinces,data.Economic families and persons not in an economic family,68700.0
2010,data.Prairie provinces,data.Economic families,87600.0
2011,data.Prairie provinces,data.Economic families,89000.0
2012,data.Prairie provinces,data.Economic families,94000.0
2013,data.Prairie provinces,data.Economic families,94400.0
2014,data.Prairie provinces,data.Economic families,94700.0
2015,data.Prairie provinces,data.Economic families,95400.0
2016,data.Prairie provinces,data.Economic families,92700.0
2017,data.Prairie provinces,data.Economic families,94800.0
2018,data.Prairie provinces,data.Economic families,93800.0
2019,data.Prairie provinces,data.Economic families,91200.0
2010,data.Prairie provinces,data.Elderly families,57400.0
2011,data.Prairie provinces,data.Elderly families,59900.0
2012,data.Prairie provinces,data.Elderly families,65100.0
2013,data.Prairie provinces,data.Elderly families,64000.0
2014,data.Prairie provinces,data.Elderly families,66300.0
2015,data.Prairie provinces,data.Elderly families,67200.0
2016,data.Prairie provinces,data.Elderly families,68000.0
2017,data.Prairie provinces,data.Elderly families,68800.0
2018,data.Prairie provinces,data.Elderly families,67100.0
2019,data.Prairie provinces,data.Elderly families,69100.0
2010,data.Prairie provinces,data.Elderly couples,57300.0
2011,data.Prairie provinces,data.Elderly couples,59800.0
2012,data.Prairie provinces,data.Elderly couples,63700.0
2013,data.Prairie provinces,data.Elderly couples,61400.0
2014,data.Prairie provinces,data.Elderly couples,65600.0
2015,data.Prairie provinces,data.Elderly couples,64700.0
2016,data.Prairie provinces,data.Elderly couples,67000.0
2017,data.Prairie provinces,data.Elderly couples,65900.0
2018,data.Prairie provinces,data.Elderly couples,66400.0
2019,data.Prairie provinces,data.Elderly couples,68200.0
2010,data.Prairie provinces,data.Other elderly families,58400.0
2011,data.Prairie provinces,data.Other elderly families,61900.0
2012,data.Prairie provinces,data.Other elderly families,69100.0
2013,data.Prairie provinces,data.Other elderly families,78400.0
2014,data.Prairie provinces,data.Other elderly families,70200.0
2015,data.Prairie provinces,data.Other elderly families,77100.0
2016,data.Prairie provinces,data.Other elderly families,72500.0
2017,data.Prairie provinces,data.Other elderly families,89200.0
2018,data.Prairie provinces,data.Other elderly families,72600.0
2019,data.Prairie provinces,data.Other elderly families,73800.0
2010,data.Prairie provinces,data.Non-elderly families,93800.0
2011,data.Prairie provinces,data.Non-elderly families,94900.0
2012,data.Prairie provinces,data.Non-elderly families,99300.0
2013,data.Prairie provinces,data.Non-elderly families,100300.0
2014,data.Prairie provinces,data.Non-elderly families,100500.0
2015,data.Prairie provinces,data.Non-elderly families,101400.0
2016,data.Prairie provinces,data.Non-elderly families,97500.0
2017,data.Prairie provinces,data.Non-elderly families,101200.0
2018,data.Prairie provinces,data.Non-elderly families,101300.0
2019,data.Prairie provinces,data.Non-elderly families,100200.0
2010,data.Prairie provinces,data.Couples,88200.0
2011,data.Prairie provinces,data.Couples,89900.0
2012,data.Prairie provinces,data.Couples,93900.0
2013,data.Prairie provinces,data.Couples,92000.0
2014,data.Prairie provinces,data.Couples,93600.0
2015,data.Prairie provinces,data.Couples,95800.0
2016,data.Prairie provinces,data.Couples,86700.0
2017,data.Prairie provinces,data.Couples,91800.0
2018,data.Prairie provinces,data.Couples,93900.0
2019,data.Prairie provinces,data.Couples,88200.0
2010,data.Prairie provinces,data.Couples with children,100300.0
2011,data.Prairie provinces,data.Couples with children,102200.0
2012,data.Prairie provinces,data.Couples with children,104900.0
2013,data.Prairie provinces,data.Couples with children,107700.0
2014,data.Prairie provinces,data.Couples with children,104700.0
2015,data.Prairie provinces,data.Couples with children,108200.0
2016,data.Prairie provinces,data.Couples with children,105300.0
2017,data.Prairie provinces,data.Couples with children,107100.0
2018,data.Prairie provinces,data.Couples with children,110900.0
2019,data.Prairie provinces,data.Couples with children,110000.0
2010,data.Prairie provinces,data.Couples with other relatives,134200.0
2011,data.Prairie provinces,data.Couples with other relatives,134100.0
2012,data.Prairie provinces,data.Couples with other relatives,135100.0
2013,data.Prairie provinces,data.Couples with other relatives,144300.0
2014,data.Prairie provinces,data.Couples with other relatives,136800.0
2015,data.Prairie provinces,data.Couples with other relatives,142700.0
2016,data.Prairie provinces,data.Couples with other relatives,140700.0
2017,data.Prairie provinces,data.Couples with other relatives,139800.0
2018,data.Prairie provinces,data.Couples with other relatives,132400.0
